Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.26,34.67,34.23,34.4,7195600,34.4
2014-02-21,34.95,34.95,34.3,34.3,8145900,34.3
2014-02-20,34.21,34.78,34.19,34.48,7998000,34.48
2014-02-19,34.02,34.35,33.98,34.26,8617300,34.26
2014-02-18,34.25,34.31,33.94,34.19,9416100,34.19
2014-02-14,33.83,34.28,33.77,34.12,9097000,34.12
2014-02-13,32.87,34.04,32.78,34.01,11350400,34.01
2014-02-12,33.47,33.47,33.05,33.21,7560300,33.21
2014-02-11,32.99,33.41,32.9,33.28,6556100,33.28
2014-02-10,32.79,33.14,32.75,33.12,4559900,33.12
2014-02-07,32.93,33.06,32.69,32.93,7182600,32.93
2014-02-06,32.2,32.8,32.14,32.7,7092200,32.7
2014-02-05,31.84,32.28,31.84,32.09,8234100,32.09
2014-02-04,32.26,32.29,31.87,32.01,9187900,32.01
2014-02-03,32.8,32.8,32.02,32.08,13054300,32.08
2014-01-31,32.31,33.05,32.28,32.76,11070200,32.76
2014-01-30,32.99,33.27,32.91,32.93,8166000,32.93
2014-01-29,33.32,33.5,32.9,32.99,14317400,32.99
2014-01-28,33.56,33.98,33.54,33.73,7511100,33.73
2014-01-27,33.64,33.86,33.4,33.61,8846100,33.61
2014-01-24,34.47,34.48,33.62,33.65,22597800,33.65
2014-01-23,34.31,34.67,34.13,34.45,9557100,34.45
2014-01-22,34.58,34.87,34.4,34.45,10833100,34.45
2014-01-21,34.9,34.9,33.96,34.45,27921700,34.45
2014-01-17,35.48,35.68,34.99,35.25,17191700,35.25
2014-01-16,35.67,36.05,35.31,35.7,14005000,35.7
2014-01-15,35.39,35.94,35.2,35.7,12169900,35.7
2014-01-14,34.24,35.63,34.23,35.4,8904100,35.4
2014-01-13,35.58,35.79,35.1,35.2,11635200,35.2
2014-01-10,35.49,35.84,35.21,35.8,12548600,35.8
2014-01-09,34.58,35.4,34.55,35.36,10606400,35.36
2014-01-08,34.7,34.86,34.59,34.82,9278100,34.82
2014-01-07,34.52,34.93,34.5,34.81,6846400,34.81
2014-01-06,34.85,34.94,34.38,34.53,7413700,34.53
2014-01-03,34.78,35.01,34.63,34.75,5300700,34.75
2014-01-02,35.03,35.2,34.75,34.81,6213100,34.81
2013-12-31,35.21,35.43,34.95,35.3,5234300,35.3
2013-12-30,34.53,35.15,34.53,35.13,3981800,35.13
2013-12-27,34.93,34.95,34.75,34.91,3429800,34.91
2013-12-26,34.71,34.98,34.64,34.91,4236000,34.77
2013-12-24,34.61,34.84,34.58,34.72,2648500,34.58
