Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,85.29,85.29,83.76,83.95,1287300,83.95
2014-02-21,84.44,86.12,83.48,84.81,1911500,84.81
2014-02-20,83.07,84.46,81.86,84.01,1234400,84.01
2014-02-19,81.96,84.41,81.61,82.6,1241500,82.6
2014-02-18,82.03,83.3,81.92,82.,2043400,82.
2014-02-14,84.38,84.98,81.05,81.61,1772000,81.61
2014-02-13,83.39,85.65,82.03,85.,1492700,85.
2014-02-12,84.54,85.89,83.49,83.9,1265800,83.9
2014-02-11,82.28,85.,81.56,84.98,1439000,84.98
2014-02-10,81.1,82.3,80.95,82.17,1590400,82.17
2014-02-07,78.69,81.46,78.23,81.41,1465400,81.41
2014-02-06,76.45,79.24,76.24,78.17,1685300,78.17
2014-02-05,78.12,78.73,75.89,77.41,1843600,77.41
2014-02-04,76.95,79.7,76.78,79.15,2141200,79.15
2014-02-03,78.5,79.84,77.16,77.63,2403900,77.63
2014-01-31,80.7,81.,78.96,79.04,1572700,79.04
2014-01-30,80.82,84.38,80.05,82.15,2458500,82.15
2014-01-29,78.56,81.75,77.85,78.82,1973700,78.82
2014-01-28,79.69,81.23,78.99,79.3,1340700,79.3
2014-01-27,79.75,80.97,77.01,79.37,2657100,79.37
2014-01-24,83.12,83.12,79.75,79.77,1847400,79.77
2014-01-23,83.35,84.2,82.49,83.83,1251200,83.83
2014-01-22,85.68,87.77,83.45,84.12,2397900,84.12
2014-01-21,82.86,85.85,81.75,85.48,2635100,85.48
2014-01-17,80.98,82.81,80.64,82.09,1978400,82.09
2014-01-16,79.17,81.03,78.77,81.,1503200,81.
2014-01-15,79.1,79.22,78.2,78.77,1221600,78.77
2014-01-14,77.36,79.47,77.36,79.38,1841000,79.38
2014-01-13,77.84,78.72,76.16,77.04,2865100,77.04
2014-01-10,76.07,78.22,75.71,78.21,1204300,78.21
2014-01-09,75.44,77.,74.96,76.32,1660200,76.32
2014-01-08,74.55,75.38,74.1,75.23,882600,75.23
2014-01-07,75.75,75.83,73.97,74.49,1021400,74.49
2014-01-06,74.92,75.94,74.11,75.5,1699600,75.5
2014-01-03,74.01,74.63,73.17,73.45,799600,73.45
2014-01-02,74.07,74.15,72.88,73.83,966800,73.83
