Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,11.72,11.82,11.63,11.77,16780900,11.77
2014-02-18,11.34,12.,11.21,11.73,22570100,11.73
2014-02-10,11.21,11.49,10.83,11.37,16452100,11.37
2014-02-03,11.52,11.72,10.93,11.19,24081800,11.19
2014-01-27,11.51,12.23,11.37,11.51,29249600,11.48
2014-01-21,11.78,12.32,11.4,11.44,76238000,11.41
2014-01-13,10.19,11.53,10.05,11.36,33618200,11.33
2014-01-06,10.63,10.9,9.82,10.11,38318000,10.08
2013-12-30,10.68,10.77,10.31,10.57,15014800,10.54
2013-12-23,9.99,10.7,9.95,10.69,15848400,10.66
2013-12-16,9.54,10.08,9.51,9.94,21850200,9.91
2013-12-09,9.4,9.62,9.29,9.51,17187800,9.49
2013-12-02,9.62,9.65,9.31,9.36,24471200,9.34
2013-11-25,9.73,9.78,9.43,9.61,27939500,9.58
2013-11-18,9.06,9.3,8.93,9.24,21304600,9.22
2013-11-11,9.08,9.24,8.78,9.03,16073100,9.01
2013-11-04,9.33,9.97,8.78,9.06,35441800,9.04
2013-10-28,9.22,9.64,9.15,9.27,27625500,9.22
2013-10-21,8.64,9.63,8.54,9.24,43451800,9.19
2013-10-14,8.27,8.68,8.27,8.63,22331500,8.58
2013-10-07,7.9,8.42,7.84,8.32,41505000,8.27
2013-09-30,8.1,8.2,7.82,7.96,25603000,7.91
2013-09-23,8.25,8.4,8.18,8.2,13838500,8.15
2013-09-16,8.17,8.68,8.09,8.29,31391800,8.24
2013-09-09,7.96,8.2,7.94,8.08,24708300,8.03
2013-09-03,7.79,7.95,7.7,7.92,24279400,7.88
2013-08-26,8.07,8.12,7.68,7.7,22516900,7.66
2013-08-19,8.07,8.12,7.83,8.05,17708400,8.
2013-08-12,8.22,8.29,7.95,8.12,19604000,8.07
2013-08-05,7.94,8.22,7.76,8.22,22588500,8.17
2013-07-29,8.06,8.08,7.91,7.97,12984400,7.89
2013-07-22,8.1,8.21,7.93,8.07,10998800,7.99
2013-07-15,8.09,8.25,8.04,8.07,12793400,7.99
2013-07-08,7.88,8.14,7.78,8.1,23329800,8.02
2013-07-01,7.83,7.91,7.63,7.81,14125900,7.74
2013-06-24,7.96,7.97,7.71,7.82,19786600,7.75
2013-06-17,8.2,8.22,7.97,7.98,25301300,7.9
2013-06-10,8.34,8.39,8.11,8.12,13250800,8.04
2013-06-03,8.53,8.59,8.17,8.33,14790100,8.25
2013-05-28,8.58,8.68,8.45,8.5,16909000,8.42
2013-05-20,8.61,8.88,8.45,8.48,17632700,8.4
2013-05-13,8.66,8.68,8.4,8.61,12812900,8.53
2013-05-06,8.66,8.88,8.6,8.7,14752600,8.62
2013-04-29,8.29,8.7,8.27,8.62,15694400,8.51
2013-04-22,8.12,8.5,7.99,8.27,17324400,8.16
