Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,523.15,529.92,522.42,527.55,10318200,527.55
2014-02-18,546.,551.19,524.6,525.25,10345200,525.25
2014-02-10,518.66,545.98,518.,543.99,10830200,543.99
2014-02-03,502.61,522.93,499.3,519.68,12389500,519.68
2014-01-27,550.07,554.8,493.55,500.6,23332200,497.62
2014-01-21,540.99,557.29,540.42,546.07,13759800,542.82
2014-01-13,529.91,560.2,529.88,540.67,12562200,537.45
2014-01-06,537.45,546.86,531.11,532.94,11231900,529.77
2013-12-30,557.46,561.28,540.43,540.98,9855900,537.76
2013-12-23,568.,571.88,559.5,560.09,9810300,556.76
2013-12-16,555.02,562.64,538.8,549.02,13112300,545.75
2013-12-09,560.9,570.97,553.67,554.43,11097100,551.13
2013-12-02,558.,575.14,550.82,560.02,14948800,556.69
2013-11-25,521.02,558.33,521.,556.07,11716700,552.76
2013-11-18,524.99,527.19,513.67,519.8,8096800,516.71
2013-11-11,519.99,529.28,514.41,524.99,8780600,521.87
2013-11-04,521.1,528.89,512.38,520.56,9108200,517.46
2013-10-28,529.04,539.25,514.54,520.03,14935700,513.94
2013-10-21,511.77,533.23,508.03,525.96,14060300,519.8
2013-10-14,489.83,509.26,489.35,508.89,9837200,502.93
2013-10-07,486.56,493.84,478.28,492.81,10366200,487.03
2013-09-30,477.25,492.35,474.41,483.03,10606000,477.37
2013-09-23,496.1,496.91,480.72,482.75,13633300,477.09
2013-09-16,461.,478.55,447.22,467.41,17884200,461.93
2013-09-09,505.,507.92,464.7,464.9,19181900,459.45
2013-09-03,493.1,502.24,487.35,498.22,11364700,492.38
2013-08-26,500.75,510.2,486.,487.22,11247900,481.51
2013-08-19,504.34,513.74,498.2,501.02,11943000,495.15
2013-08-12,456.86,504.25,456.63,502.33,20395300,496.44
2013-08-05,464.69,471.89,453.65,454.45,10537200,449.12
2013-07-29,440.8,462.85,440.2,462.54,9724800,454.12
2013-07-22,429.46,444.59,418.71,440.99,11419800,432.96
2013-07-15,425.01,434.87,424.17,424.95,8178900,417.21
2013-07-08,420.11,429.79,410.38,426.51,10985600,418.75
2013-07-01,402.69,423.29,401.22,417.42,12284500,409.82
2013-06-24,407.4,408.66,388.87,396.53,14845600,389.31
2013-06-17,431.44,435.7,408.1,413.5,11455700,405.97
2013-06-10,444.73,449.08,428.5,430.05,11137000,422.22
2013-06-03,450.73,454.43,432.77,441.81,12693800,433.77
2013-05-28,449.9,457.1,439.4,449.73,12987000,441.54
2013-05-20,431.91,448.35,430.1,445.15,14141600,437.05
2013-05-13,451.51,457.9,418.9,433.26,18119900,425.37
2013-05-06,455.71,465.75,450.48,452.97,15616600,444.72
2013-04-29,420.45,453.23,420.,449.98,18727800,438.88
2013-04-22,392.64,418.77,391.27,417.2,22948100,406.91
2013-04-15,427.,427.89,385.1,390.53,20313700,380.9
2013-04-08,424.85,437.99,422.49,429.8,11073900,419.2
2013-04-01,441.9,443.7,419.68,423.2,14461500,412.76
2013-03-25,464.69,469.95,441.62,442.66,14013400,431.74
2013-03-18,441.45,462.1,441.2,461.91,15857100,450.52
2013-03-11,429.75,444.23,425.14,443.66,16382300,432.72
2013-03-04,427.8,435.43,419.,431.72,18152800,421.07
2013-02-25,453.85,455.12,429.98,430.47,16688500,419.86
2013-02-19,461.1,462.73,442.82,450.81,15088600,439.69
2013-02-11,476.5,484.94,459.92,460.16,16776900,448.81
2013-02-04,453.91,478.81,442.,474.98,21299300,463.27
2013-01-28,437.83,462.6,435.86,453.62,18804600,439.87
2013-01-22,504.56,514.99,435.,439.88,35642200,426.55
2013-01-14,502.68,510.75,483.38,500.,23059900,484.85
2013-01-07,522.,531.89,515.2,520.3,16443700,504.53
2012-12-31,510.53,555.,509.,527.,19350900,511.03
2012-12-24,520.35,524.25,504.66,509.59,11496300,494.14
2012-12-17,508.93,534.9,501.23,519.33,20790100,503.59
2012-12-10,525.,549.56,505.58,509.79,23891500,494.34
2012-12-03,593.65,594.59,518.63,533.25,28073100,517.09
2012-11-26,575.9,594.25,572.26,585.28,18505600,567.54
2012-11-19,540.71,572.,539.88,571.5,18856200,554.18
2012-11-12,554.15,554.5,505.75,527.68,25590900,511.69
2012-11-05,583.52,590.74,533.72,547.06,26312500,530.48
2012-10-31,594.88,603.,574.75,576.8,17508000,556.77
2012-10-22,612.42,635.38,591.,604.,24908300,583.03
2012-10-15,632.35,652.79,609.62,609.84,18514400,588.67
2012-10-08,646.88,647.56,623.55,629.71,21378800,607.85
2012-10-01,671.16,676.75,650.65,652.59,18290000,629.93
2012-09-24,686.86,695.12,660.35,667.1,20459000,643.94
2012-09-17,699.35,705.07,693.62,700.09,14332600,675.78
2012-09-10,680.45,696.98,656.,691.28,20736000,667.28
2012-09-04,665.76,682.48,664.5,680.44,12724300,656.82
2012-08-27,679.99,680.87,657.25,665.24,10987500,642.14
2012-08-20,650.01,674.88,648.11,663.22,20349200,640.19
2012-08-13,623.39,648.19,623.25,648.11,11240200,625.61
2012-08-06,617.29,625.,615.26,621.7,8955900,600.12
2012-07-30,590.92,617.98,587.82,615.7,13593200,591.78
2012-07-23,594.4,609.68,570.,585.16,19578500,562.43
2012-07-16,605.12,615.35,603.15,604.3,12013700,580.83
2012-07-09,605.3,619.87,592.68,604.97,15001100,581.47
2012-07-02,584.73,614.34,583.6,605.88,13795700,582.34
2012-06-25,577.3,584.,565.61,584.,10630300,561.31
2012-06-18,570.96,590.,570.37,582.1,12654100,559.49
2012-06-11,587.72,588.5,566.7,574.13,14293200,551.83
2012-06-04,561.5,580.58,548.5,580.32,14813900,557.78
2012-05-29,570.9,581.5,560.52,560.99,17166000,539.2
2012-05-21,534.5,576.5,534.05,562.29,19540000,540.45
2012-05-14,562.57,567.51,522.18,530.38,20281200,509.78
2012-05-07,561.5,575.88,558.73,566.71,15505800,544.7
2012-04-30,597.8,598.4,565.17,565.25,17607600,543.29
2012-04-23,570.61,618.,555.,603.,27794600,579.58
2012-04-16,610.06,620.25,570.42,572.98,34975300,550.72
2012-04-09,626.13,644.,603.51,605.23,26127500,581.72
2012-04-02,601.83,634.66,600.38,633.68,23635600,609.06
2012-03-26,599.79,621.45,595.26,599.55,22840000,576.26
2012-03-19,598.37,609.65,589.05,596.05,24402100,572.9
2012-03-12,548.98,600.01,547.,585.57,32158400,562.82
2012-03-05,545.42,547.74,516.22,545.17,23951800,523.99
2012-02-27,521.31,548.21,516.28,545.18,22964000,524.
2012-02-21,506.88,522.9,504.12,522.41,18499900,502.12
2012-02-13,499.53,526.29,486.63,502.12,28314900,482.61
2012-02-06,458.38,497.62,458.2,493.42,17778800,474.25
2012-01-30,445.71,460.,445.39,459.68,10817600,441.82
2012-01-23,422.67,454.45,419.55,447.28,17397900,429.91
2012-01-17,424.2,431.37,419.75,420.3,10673200,403.97
2012-01-09,425.5,427.75,418.66,419.81,9327900,403.5
2012-01-03,409.4,422.75,409.,422.4,10283900,405.99
2011-12-27,403.1,409.09,400.51,405.,7940800,389.27
2011-12-19,382.47,403.59,380.48,403.33,9338900,387.66
2011-12-12,391.68,395.4,377.68,381.02,12318300,366.22
2011-12-05,393.49,396.41,386.76,393.62,11563600,378.33
2011-11-28,372.35,393.63,370.2,389.7,13531700,374.56
2011-11-21,370.4,377.93,363.32,363.57,13750300,349.45
2011-11-14,383.52,391.14,374.88,374.94,14748300,360.38
2011-11-07,399.91,408.,380.26,384.62,18771000,369.68
2011-10-31,402.42,409.33,393.22,400.24,14208300,384.69
2011-10-24,396.18,409.,393.15,404.95,15759800,389.22
2011-10-17,421.74,426.7,390.75,392.87,27444400,377.61
2011-10-10,379.09,422.,378.21,422.,19071700,405.61
2011-10-03,380.37,384.78,354.24,369.8,28837700,355.43
2011-09-26,399.86,409.25,381.18,381.32,21955200,366.51
2011-09-19,397.,422.86,395.2,404.3,26573900,388.59
2011-09-12,373.,400.5,371.9,400.5,18281700,384.94
2011-09-06,367.37,388.61,366.48,377.48,16439700,362.82
2011-08-29,388.18,392.08,371.83,374.05,15203100,359.52
2011-08-22,364.51,383.8,355.09,383.58,23794500,368.68
2011-08-15,379.63,384.97,356.,356.03,21633400,342.2
2011-08-08,361.69,379.64,353.02,376.99,31257200,362.35
2011-08-01,397.78,399.5,362.57,373.62,29006300,359.11
2011-07-25,390.35,404.5,384.,390.48,21088000,375.31
2011-07-18,365.43,396.27,365.28,393.3,24117100,378.02
2011-07-11,356.34,365.,348.62,364.92,15720800,350.74
2011-07-05,343.,360.,342.5,359.71,15082700,345.74
2011-06-27,327.59,343.5,327.25,343.26,12463700,329.93
2011-06-20,317.36,333.15,310.5,326.35,18029800,313.67
2011-06-13,326.6,333.25,318.33,320.26,15635900,307.82
2011-06-06,345.7,347.05,325.51,325.9,14532100,313.24
2011-05-31,341.1,352.13,341.,343.44,14504200,330.1
2011-05-23,329.97,338.56,329.42,337.41,10185000,324.3
2011-05-16,339.2,342.41,330.73,335.22,13114400,322.2
2011-05-09,347.86,350.,340.35,340.5,10506800,327.27
2011-05-02,349.74,351.83,345.5,346.66,12581500,333.19
2011-04-25,350.34,354.99,345.52,350.13,16634700,336.53
2011-04-18,326.1,355.13,320.16,350.7,22176300,337.08
2011-04-11,334.06,336.14,326.8,327.46,13758600,314.74
2011-04-04,344.31,344.6,333.95,335.06,14973800,322.04
2011-03-28,353.15,354.32,343.3,344.56,12031000,331.18
2011-03-21,335.99,352.06,335.26,351.54,14013800,337.88
2011-03-14,353.18,356.48,326.26,330.67,26654900,317.82
2011-03-07,361.4,361.67,344.9,351.99,16674000,338.32
2011-02-28,351.24,360.29,347.68,360.,17256100,346.02
2011-02-22,342.15,348.43,337.72,348.16,21645800,334.64
2011-02-14,356.79,364.9,349.52,350.56,17302700,336.94
2011-02-07,347.89,360.,347.64,356.85,18892300,342.99
2011-01-31,335.8,346.7,334.3,346.5,12703300,333.04
