Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,68.31,69.22,68.31,68.58,1363100,68.58
2014-02-18,68.06,69.15,67.57,68.4,1516200,68.4
2014-02-10,66.46,68.82,65.72,68.,1952700,68.
2014-02-03,67.13,67.13,64.28,66.54,2186700,66.31
2014-01-27,67.04,68.15,66.13,67.22,2362200,66.99
2014-01-21,70.88,71.17,67.25,67.25,2209400,67.02
2014-01-13,71.42,71.75,69.61,70.53,1622500,70.29
2014-01-06,70.34,71.92,69.35,71.34,1621900,71.09
2013-12-30,70.25,70.64,69.48,69.94,879700,69.7
2013-12-23,70.13,70.63,69.77,70.21,770200,69.97
2013-12-16,68.84,70.24,68.04,69.82,1873400,69.58
2013-12-09,70.47,71.21,67.74,68.45,2126800,68.21
2013-12-02,70.79,71.38,68.78,70.29,1776800,70.05
2013-11-25,69.8,71.16,69.8,70.53,966200,70.29
2013-11-18,69.99,70.19,68.67,70.02,1343800,69.78
2013-11-11,68.08,69.61,67.66,69.5,1279900,69.26
2013-11-04,66.5,68.02,66.25,68.,1840800,67.53
2013-10-28,65.16,66.38,64.53,66.38,1718600,65.92
2013-10-21,64.57,65.31,63.24,65.24,1359200,64.79
2013-10-14,62.46,65.06,62.18,64.61,1145300,64.16
2013-10-07,62.27,62.88,60.78,62.65,1320300,62.22
2013-09-30,60.9,62.54,60.69,62.47,1363600,62.04
2013-09-23,61.68,61.9,60.69,61.28,949700,60.86
2013-09-16,60.8,62.44,60.66,61.65,1186300,61.23
2013-09-09,58.31,61.02,58.15,60.28,1350400,59.86
2013-09-03,57.46,58.63,57.21,58.24,953000,57.84
2013-08-26,57.41,57.78,56.24,56.92,1021900,56.53
2013-08-19,56.54,57.66,56.5,57.45,1701600,57.05
2013-08-12,58.9,59.24,56.53,56.53,2001800,56.14
2013-08-05,58.38,59.75,58.21,59.49,1281300,58.87
2013-07-29,58.37,59.12,58.,58.48,1816600,57.87
2013-07-22,58.74,59.3,55.8,58.47,2585000,57.86
2013-07-15,58.57,58.95,58.04,58.81,1697400,58.19
2013-07-08,55.83,58.42,55.59,58.39,1766000,57.78
2013-07-01,56.11,56.23,54.4,55.56,1910000,54.98
2013-06-24,54.02,56.33,53.06,55.83,2816600,55.24
2013-06-17,55.13,56.39,54.01,54.34,2529100,53.77
2013-06-10,53.13,55.35,52.97,54.93,2860700,54.35
2013-06-03,54.01,54.14,52.38,52.94,3340800,52.39
2013-05-28,54.77,55.2,53.22,54.08,2429200,53.51
2013-05-20,55.01,55.23,54.04,54.44,1926700,53.87
2013-05-13,54.68,55.48,54.18,54.99,2239600,54.41
2013-05-06,54.49,55.21,54.34,54.84,1835000,54.06
2013-04-29,53.33,55.08,53.25,54.57,2364100,53.79
2013-04-22,56.42,56.91,52.78,53.26,4287100,52.5
2013-04-15,54.14,56.07,53.84,55.92,2753500,55.12
2013-04-08,52.18,54.33,51.69,54.18,2436900,53.41
2013-04-01,51.38,53.36,51.29,52.08,2950200,51.34
2013-03-25,49.95,51.57,49.84,51.45,2634900,50.72
2013-03-18,48.32,52.15,48.16,49.82,5615800,49.11
2013-03-11,48.36,49.39,48.29,48.89,1482600,48.19
2013-03-04,47.83,48.8,47.66,48.48,1697300,47.79
2013-02-25,47.1,48.14,46.08,47.98,1682600,47.3
2013-02-19,46.67,47.39,46.16,46.95,1559400,46.28
2013-02-11,46.85,47.09,46.5,46.6,1996800,45.94
2013-02-04,46.35,46.9,45.99,46.89,2250000,46.01
2013-01-28,45.06,46.77,44.87,46.53,2685900,45.66
2013-01-22,45.9,46.59,44.73,45.03,2819600,44.19
2013-01-14,43.99,45.85,43.8,45.85,1761300,44.99
2013-01-07,43.7,44.1,43.5,43.84,1568900,43.02
2012-12-31,42.74,43.74,42.63,43.69,1938900,42.87
2012-12-24,43.52,43.68,42.76,42.82,1128400,42.02
2012-12-17,43.36,44.02,43.27,43.64,2742400,42.83
2012-12-10,42.31,43.38,42.14,43.36,3757900,42.55
2012-12-03,42.26,42.85,42.02,42.27,2880100,41.48
2012-11-26,41.35,42.24,40.84,42.22,2611600,41.43
2012-11-19,40.48,41.49,40.37,41.38,1599000,40.61
2012-11-12,40.6,40.99,39.9,40.26,2265500,39.51
2012-11-05,40.28,40.97,39.65,40.47,2409400,39.51
2012-10-31,39.62,41.23,39.28,40.5,3295700,39.54
2012-10-22,40.19,40.56,39.22,39.34,2222200,38.4
2012-10-15,39.5,40.95,39.37,40.28,2384700,39.32
2012-10-08,39.47,39.88,39.15,39.5,1693400,38.56
2012-10-01,38.79,39.85,38.69,39.52,2481400,38.58
