Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,38.87,39.35,38.82,38.98,8104600,38.98
2014-02-18,38.96,39.45,38.53,38.82,7708500,38.82
2014-02-10,37.17,38.98,36.96,38.81,8630000,38.81
2014-02-03,36.58,37.21,35.8,37.18,10015300,37.18
2014-01-27,36.68,36.89,35.65,36.66,9513300,36.66
2014-01-21,39.52,39.57,36.57,36.58,10143500,36.58
2014-01-13,39.11,39.86,39.06,39.4,6983500,39.4
2014-01-06,39.19,39.69,38.72,39.57,7191500,39.35
2013-12-30,38.48,38.78,38.,38.64,4236200,38.43
2013-12-23,37.97,38.55,37.95,38.37,3720500,38.16
2013-12-16,36.45,38.24,36.31,37.84,8212500,37.63
2013-12-09,37.57,37.58,36.27,36.4,5524400,36.2
2013-12-02,38.24,38.31,36.89,37.53,5575400,37.32
2013-11-25,38.38,38.74,37.9,38.19,4361600,37.98
2013-11-18,38.04,38.81,37.87,38.25,6082600,38.04
2013-11-11,38.17,38.46,37.17,38.05,5980200,37.84
2013-11-04,36.98,38.14,36.67,38.12,7998300,37.91
2013-10-28,37.33,37.46,36.55,36.96,5752400,36.75
2013-10-21,37.17,37.62,36.72,37.25,7516600,37.04
2013-10-14,33.51,37.29,33.38,37.29,12786000,37.08
2013-10-07,33.22,33.9,32.75,33.76,6927500,33.57
2013-09-30,33.05,33.92,33.02,33.56,8137600,33.23
2013-09-23,35.25,35.26,33.05,33.14,12321000,32.82
2013-09-16,35.1,35.72,34.82,35.29,6327200,34.95
2013-09-09,33.5,34.95,33.46,34.87,6897900,34.53
2013-09-03,33.68,33.78,32.7,33.5,9721900,33.17
2013-08-26,34.83,34.9,33.23,33.33,5796200,33.
2013-08-19,34.85,34.96,34.43,34.84,4745300,34.5
2013-08-12,35.79,36.03,34.55,34.97,6318200,34.63
2013-08-05,36.64,36.78,35.66,35.89,6615300,35.54
2013-07-29,36.62,37.16,36.5,36.75,7034100,36.39
2013-07-22,35.76,36.85,35.58,36.78,6565400,36.42
2013-07-15,35.23,36.48,35.15,35.87,7398500,35.52
2013-07-08,34.95,35.57,34.71,35.32,8436500,34.98
2013-07-01,34.97,35.47,33.72,34.92,6296300,34.44
2013-06-24,35.29,35.82,34.69,34.88,9279600,34.4
2013-06-17,37.07,37.64,35.07,35.58,7419600,35.09
2013-06-10,37.47,37.58,36.12,36.81,5343800,36.3
2013-06-03,36.63,37.55,36.03,37.51,7323000,36.99
2013-05-28,37.98,38.64,36.62,36.67,9117200,36.17
2013-05-20,36.95,38.77,36.87,37.76,7670300,37.24
2013-05-13,36.05,37.7,36.04,36.59,6713300,36.09
2013-05-06,36.75,36.78,35.58,36.17,7049700,35.67
2013-04-29,36.49,37.25,36.4,36.8,4912400,36.29
2013-04-22,37.,37.35,36.25,36.46,5505500,35.96
2013-04-15,36.84,37.48,35.9,37.2,8974400,36.69
2013-04-08,36.31,37.55,35.93,37.13,5980700,36.62
2013-04-01,35.18,36.89,34.95,36.31,8617600,35.68
2013-03-25,33.76,35.34,33.57,35.32,8245700,34.7
2013-03-18,33.94,34.01,33.27,33.69,6809900,33.1
2013-03-11,34.59,35.14,34.13,34.14,6966100,33.54
2013-03-04,33.51,34.7,33.4,34.68,6299500,34.07
2013-02-25,34.6,34.84,33.55,33.6,11580500,33.01
2013-02-19,35.18,35.29,34.01,34.55,7968600,33.95
2013-02-11,34.42,35.1,34.21,35.08,8052200,34.47
2013-02-04,33.37,34.66,33.37,34.41,12855700,33.81
2013-01-28,32.81,34.12,32.75,33.87,18186200,33.28
2013-01-22,32.78,33.15,32.55,32.79,16589900,32.22
2013-01-14,33.48,33.57,32.6,32.74,14483700,32.17
2013-01-07,33.02,33.94,32.85,33.37,11539600,32.79
2012-12-31,64.13,65.53,31.64,33.07,19313200,32.36
2012-12-24,66.05,66.05,64.36,64.42,8971800,30.24
2012-12-17,65.58,66.1,64.72,66.05,19733500,31.01
2012-12-10,65.07,66.85,64.73,65.35,15702500,30.68
2012-12-03,65.09,65.62,64.06,65.53,13041300,30.76
2012-11-26,64.08,65.4,63.52,65.,10967000,30.52
2012-11-19,63.25,64.49,62.62,64.47,12614200,30.27
2012-11-12,64.97,65.37,62.77,62.88,14199400,29.52
2012-11-05,64.78,65.3,63.41,64.84,16368600,30.44
2012-10-31,65.81,66.28,64.9,64.96,14249000,30.5
2012-10-22,65.66,66.3,64.73,65.48,18999400,30.74
2012-10-15,69.5,72.47,64.52,66.15,37274200,31.06
2012-10-08,71.47,71.56,69.19,69.28,10544800,32.52
2012-10-01,68.49,71.91,68.3,71.61,14587500,33.37
2012-09-24,69.6,70.41,68.41,68.56,13605700,31.95
2012-09-17,68.16,69.99,68.15,69.62,13448000,32.45
2012-09-10,66.8,69.27,66.66,68.27,12915100,31.82
2012-09-04,65.26,67.24,64.57,66.69,9647600,31.08
2012-08-27,65.79,66.,65.06,65.54,6502200,30.55
2012-08-20,65.98,66.1,65.07,65.84,7519400,30.69
2012-08-13,65.86,66.68,65.68,65.92,6525600,30.72
2012-08-06,66.7,66.83,65.56,66.11,7746600,30.81
2012-07-30,66.16,67.45,65.66,66.59,12437100,31.04
2012-07-23,63.92,66.79,63.51,66.39,13041400,30.94
2012-07-16,65.25,66.8,64.89,65.06,12420400,30.32
2012-07-09,64.84,66.3,64.71,65.45,22526900,30.5
2012-07-02,64.22,65.,64.,64.75,26077500,29.94
