Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,83.71,84.75,83.61,83.95,1843100,83.95
2014-02-18,82.1,84.19,81.78,83.8,2661700,83.8
2014-02-10,80.19,82.43,79.78,82.11,2193600,82.11
2014-02-03,80.02,80.73,77.42,80.58,3035700,80.58
2014-01-27,81.34,81.91,78.82,79.88,2856200,79.88
2014-01-21,84.22,85.88,81.17,81.18,3528400,81.18
2014-01-13,82.71,84.9,80.71,84.43,3892100,84.43
2014-01-06,81.31,83.22,80.44,83.2,3664300,83.2
2013-12-30,81.71,82.46,80.68,81.4,2220900,81.4
2013-12-23,80.51,83.45,79.98,82.51,2708700,82.51
2013-12-16,74.09,80.98,73.96,80.55,6459400,80.55
2013-12-09,75.64,76.,73.79,73.94,2778700,73.94
2013-12-02,77.42,77.64,75.14,75.53,2727000,75.53
2013-11-25,77.82,78.25,77.05,77.47,1795400,77.47
2013-11-18,78.02,79.45,77.65,77.84,2676300,77.84
2013-11-11,75.15,78.51,75.,78.02,4023200,78.02
2013-11-04,73.1,76.28,72.33,75.24,3478300,75.24
2013-10-28,73.6,75.26,72.92,73.,2916700,73.
2013-10-21,73.03,74.16,72.85,73.61,3019100,73.61
2013-10-14,72.17,73.11,71.56,72.88,2708300,72.88
2013-10-07,72.51,73.47,69.78,72.71,3811300,72.71
2013-09-30,74.06,74.52,72.99,73.26,3115600,72.3
2013-09-23,77.1,77.5,72.36,74.09,5030700,73.12
2013-09-16,75.34,78.34,75.34,77.32,3137900,76.31
2013-09-09,73.5,75.66,73.26,74.5,2708900,73.53
2013-09-03,72.72,74.6,72.53,73.21,2660200,72.25
2013-08-26,73.88,74.56,71.77,72.25,2277400,71.3
2013-08-19,71.63,74.65,71.4,74.01,3212000,73.04
2013-08-12,72.99,73.7,70.5,71.65,3420500,70.71
2013-08-05,74.39,74.78,72.57,73.53,2949900,72.57
2013-07-29,72.84,74.97,72.15,74.59,3586600,73.61
2013-07-22,75.83,75.89,72.16,73.12,2833300,72.16
2013-07-15,75.81,76.62,74.54,75.22,3201300,74.24
2013-07-08,74.01,75.74,73.73,75.52,4015000,74.53
2013-07-01,72.14,74.09,71.39,73.64,4277400,72.68
2013-06-24,79.06,80.92,69.,71.96,8174200,71.02
2013-06-17,81.28,83.3,78.78,79.4,2730600,78.36
2013-06-10,81.28,81.65,79.44,80.55,1815800,79.5
2013-06-03,82.48,82.61,78.77,80.9,2686100,79.84
2013-05-28,83.27,83.5,82.,82.11,2473300,81.04
2013-05-20,82.94,84.22,80.78,82.22,2752200,81.14
2013-05-13,80.06,82.24,79.29,82.24,2296700,81.16
2013-05-06,79.4,81.48,78.74,80.48,2985800,79.43
2013-04-29,78.66,82.18,78.63,79.5,3560100,78.46
2013-04-22,75.,79.66,74.19,78.66,3087000,77.63
2013-04-15,76.93,77.56,74.21,74.74,3734900,73.76
2013-04-08,76.14,77.94,75.5,77.23,2570200,76.22
2013-04-01,76.07,77.,75.52,76.25,2312800,74.45
2013-03-25,74.2,76.14,72.42,75.97,2989900,74.18
2013-03-18,75.87,77.27,73.33,73.88,3006000,72.14
2013-03-11,78.38,78.43,76.52,76.6,2655100,74.79
2013-03-04,74.53,78.46,74.25,78.35,2161200,76.5
2013-02-25,75.17,75.52,73.39,74.82,2209800,73.06
2013-02-19,74.28,75.97,73.45,74.8,2501400,73.04
2013-02-11,73.09,74.16,72.1,74.16,2158600,72.41
2013-02-04,72.56,73.71,71.58,73.31,2679300,71.58
2013-01-28,72.87,73.91,71.48,73.8,2784000,72.06
2013-01-22,69.79,72.24,69.79,72.21,3109900,70.51
2013-01-14,69.79,70.35,69.36,70.11,2271900,68.46
2013-01-07,68.58,70.27,68.35,69.88,2536200,68.23
2012-12-31,65.51,69.61,65.32,69.19,3652500,67.56
2012-12-24,66.62,67.39,65.2,65.66,3265900,64.11
2012-12-17,70.31,71.5,66.,67.42,5731300,65.83
2012-12-10,69.32,71.,68.61,70.21,2134100,68.56
2012-12-03,68.14,69.88,67.75,69.48,2569000,67.84
2012-11-26,67.69,68.51,66.28,67.92,2311600,66.32
2012-11-19,66.71,68.18,66.07,68.18,2105300,66.57
2012-11-12,65.85,67.08,64.3,66.19,2991300,64.63
2012-11-05,67.95,68.8,65.54,65.81,2814300,64.26
2012-10-31,67.61,69.25,66.97,67.91,3290100,66.31
2012-10-22,67.46,67.92,66.22,67.11,3404800,65.53
2012-10-15,69.57,70.76,67.69,67.75,3124900,66.15
2012-10-08,70.31,71.09,69.,69.42,2893200,67.78
2012-10-01,69.99,71.79,69.15,70.74,4435700,68.28
2012-09-24,65.16,70.65,64.14,70.03,4641000,67.59
2012-09-17,65.77,66.24,64.87,65.25,3074800,62.98
2012-09-10,64.23,66.75,63.84,65.89,2965800,63.6
2012-09-04,61.6,64.55,60.69,64.44,2676200,62.2
2012-08-27,61.55,61.95,60.5,61.6,1777200,59.46
2012-08-20,61.12,61.96,60.41,61.53,2434800,59.39
2012-08-13,61.27,61.98,60.56,61.08,1963200,58.95
2012-08-06,60.96,61.93,60.39,61.63,2102100,59.48
2012-07-30,60.22,60.8,58.69,60.35,2625800,58.25
2012-07-23,57.87,60.79,56.8,60.43,2856200,58.33
2012-07-16,57.57,59.78,57.57,59.,2927100,56.95
2012-07-09,58.24,58.65,56.23,58.06,3044500,56.04
2012-07-02,59.79,61.12,58.23,58.44,3135900,56.41
2012-06-25,56.8,60.09,55.34,60.09,5247300,58.
2012-06-18,58.7,60.32,56.55,57.56,3434300,55.56
