Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,217.75,223.66,217.75,222.37,3213500,222.37
2014-02-18,205.04,222.24,201.41,218.41,8501700,218.41
2014-02-10,188.17,193.21,186.31,191.88,1185100,191.88
2014-02-03,190.,190.27,180.7,188.21,1804600,188.21
2014-01-27,177.84,191.17,174.94,188.98,1982200,188.98
2014-01-21,186.,189.78,176.34,177.19,1817600,177.19
2014-01-13,183.67,186.98,179.6,183.28,1592700,183.28
2014-01-06,169.52,186.74,167.01,183.32,1548600,183.32
2013-12-30,165.49,170.71,164.4,168.02,749700,168.02
2013-12-23,163.68,166.73,163.67,165.14,656700,165.14
2013-12-16,161.47,166.04,156.4,162.51,1638200,162.51
2013-12-09,166.75,170.51,158.76,159.82,1301900,159.82
2013-12-02,163.46,168.15,159.34,166.73,1309300,166.73
2013-11-25,164.68,165.47,161.3,163.07,898900,163.07
2013-11-18,165.51,166.32,159.85,164.83,926100,164.83
2013-11-11,157.38,165.47,156.77,165.27,1433000,165.27
2013-11-04,158.06,159.69,153.42,156.73,1243800,156.73
2013-10-28,147.68,158.15,144.91,158.12,1912400,158.12
2013-10-21,147.15,149.19,143.71,148.15,1352200,148.15
2013-10-14,140.51,148.,139.46,146.92,1231300,146.92
2013-10-07,146.17,146.78,136.52,141.71,1612200,141.71
2013-09-30,143.5,149.8,142.06,146.9,3507900,146.9
2013-09-23,136.33,145.5,136.33,144.3,1473300,144.3
2013-09-16,137.98,139.78,135.5,135.5,1235100,135.5
2013-09-09,137.4,138.44,134.75,135.59,994800,135.59
2013-09-03,136.68,140.97,135.96,137.39,1421500,137.39
2013-08-26,133.87,135.94,130.06,135.18,795100,135.18
2013-08-19,134.78,136.24,132.38,133.89,849800,133.89
2013-08-12,133.8,139.1,131.87,134.52,1146700,134.52
2013-08-05,135.76,138.,133.7,133.87,802600,133.87
2013-07-29,133.99,136.73,133.11,135.89,1534400,135.89
2013-07-22,125.22,134.73,124.45,132.71,1793200,132.71
2013-07-15,126.76,126.77,121.12,125.42,1174200,125.42
2013-07-08,127.,127.45,123.3,126.18,1058200,126.18
2013-07-01,126.63,127.62,122.01,126.37,975000,126.37
2013-06-24,120.78,127.56,118.92,126.22,1352400,126.22
2013-06-17,127.33,127.57,119.59,121.52,1219600,121.52
2013-06-10,124.43,127.5,122.64,126.45,1011600,126.45
2013-06-03,123.73,125.25,118.68,124.12,1452200,124.12
2013-05-28,127.44,128.64,121.71,123.29,1466100,123.29
2013-05-20,127.8,133.,125.49,127.23,3374200,127.23
2013-05-13,119.,126.53,117.64,125.5,2701000,125.5
2013-05-06,106.63,121.13,104.86,119.86,2395800,119.86
2013-04-29,105.24,110.5,103.75,106.46,2741900,106.46
2013-04-22,98.4,101.46,97.81,100.94,843200,100.94
2013-04-15,97.31,98.63,96.01,98.48,742000,98.48
2013-04-08,97.33,98.46,96.44,97.33,904000,97.33
2013-04-01,92.33,98.37,91.88,97.19,1174000,97.19
2013-03-25,90.78,92.37,90.,92.11,977500,92.11
2013-03-18,90.25,91.06,89.2,90.31,915600,90.31
2013-03-11,87.23,92.33,87.04,91.59,1465700,91.59
2013-03-04,85.55,87.71,85.28,87.56,931900,87.56
2013-02-25,83.52,86.97,83.14,85.54,1226300,85.54
2013-02-19,87.4,87.7,82.02,83.44,1681500,83.44
2013-02-11,87.13,87.54,85.,85.24,884500,85.24
2013-02-04,86.76,87.92,85.97,87.45,916200,87.45
2013-01-28,84.22,87.97,83.68,87.88,1453800,87.88
2013-01-22,85.47,87.06,83.76,84.27,1569000,84.27
2013-01-14,83.5,85.99,83.18,85.48,1462300,85.48
2013-01-07,85.01,88.33,83.5,83.71,1396000,83.71
2012-12-31,87.82,88.95,82.95,85.3,2701600,85.3
2012-12-24,90.48,91.47,88.15,89.04,481400,89.04
2012-12-17,87.98,91.16,87.33,90.85,939600,90.85
2012-12-10,88.67,90.39,87.55,87.74,759100,87.74
2012-12-03,88.47,89.45,87.15,88.62,786200,88.62
2012-11-26,85.77,88.24,85.49,88.01,789200,88.01
2012-11-19,83.8,86.15,83.51,86.08,472100,86.08
2012-11-12,85.47,86.5,81.73,83.4,843200,83.4
2012-11-05,86.76,89.07,84.5,85.11,669300,85.11
2012-10-31,86.71,90.,84.33,86.73,1398100,86.73
2012-10-22,86.79,87.75,85.24,86.64,726900,86.64
2012-10-15,86.7,89.9,86.05,86.91,698500,86.91
2012-10-08,87.7,88.33,86.48,86.67,575800,86.67
2012-10-01,85.4,88.06,84.8,87.86,877000,87.86
2012-09-24,83.85,86.07,82.21,85.16,958000,85.16
2012-09-17,81.62,84.59,81.23,83.9,805800,83.9
2012-09-10,83.5,84.02,81.37,81.86,964100,81.86
2012-09-04,81.58,83.78,81.57,83.59,995000,83.59
2012-08-27,83.63,83.63,80.81,81.35,1132500,81.35
2012-08-20,79.81,83.83,78.02,83.32,1265900,83.32
2012-08-13,80.07,80.65,78.98,79.9,889300,79.9
2012-08-06,79.68,80.09,78.72,79.86,716000,79.86
2012-07-30,78.94,79.95,73.39,79.36,1281200,79.36
2012-07-23,75.59,81.,74.1,79.77,1594200,79.77
2012-07-16,76.97,78.,75.25,75.81,1598400,75.81
2012-07-09,75.11,77.02,73.63,76.76,1281400,76.76
