Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,280.,288.22,278.6,286.3,649000,286.3
2014-02-18,279.59,285.7,279.26,282.95,614800,282.95
2014-02-10,266.65,281.8,263.05,280.11,699200,280.11
2014-02-03,240.,270.6,230.53,265.08,1323100,265.08
2014-01-27,251.34,251.34,239.,239.66,902800,239.66
2014-01-21,258.17,263.36,249.11,249.72,690500,249.72
2014-01-13,256.95,258.57,249.61,256.89,563100,256.89
2014-01-06,264.05,264.08,251.67,258.26,884800,258.26
2013-12-30,257.47,265.35,256.74,263.7,523800,263.7
2013-12-23,252.,259.42,251.87,258.15,524200,258.15
2013-12-16,252.55,256.77,243.03,250.5,1735400,250.5
2013-12-09,248.97,250.96,240.4,250.87,693800,250.87
2013-12-02,240.77,249.58,238.06,248.7,498300,248.7
2013-11-25,243.28,244.73,239.22,242.26,396000,242.26
2013-11-18,249.,251.64,241.97,243.27,569200,243.27
2013-11-11,242.95,253.77,240.06,249.11,464400,249.11
2013-11-04,238.29,245.63,237.03,242.86,586100,242.86
2013-10-28,234.51,238.67,231.74,236.78,388500,236.78
2013-10-21,233.15,237.04,230.59,234.47,344200,234.47
2013-10-14,223.1,231.93,222.51,231.08,465000,231.08
2013-10-07,216.39,225.43,211.82,223.55,474700,223.55
2013-09-30,207.19,218.28,207.,217.86,393900,217.86
2013-09-23,209.05,212.66,206.47,209.28,254800,209.28
2013-09-16,208.65,220.02,203.62,209.75,346900,209.75
2013-09-09,199.54,209.38,199.14,206.09,295400,206.09
2013-09-03,198.28,202.31,194.29,199.43,461100,199.43
2013-08-26,202.07,203.33,195.26,195.7,264800,195.7
2013-08-19,201.61,203.66,199.61,202.3,387400,202.3
2013-08-12,205.62,208.84,198.26,202.55,425900,202.55
2013-08-05,202.96,207.12,201.46,206.01,324900,206.01
2013-07-29,192.14,203.93,190.24,203.11,857600,203.11
2013-07-22,188.41,191.97,187.22,191.76,1046100,191.76
2013-07-15,191.46,192.17,186.78,188.79,828500,188.79
2013-07-08,182.72,191.35,181.14,190.51,1079800,190.51
2013-07-01,180.99,183.27,171.3,182.32,742000,182.32
2013-06-24,171.54,182.65,169.93,181.03,1016600,181.03
2013-06-17,179.7,181.65,170.87,172.63,892600,172.63
2013-06-10,178.55,181.74,173.79,177.79,846600,177.79
2013-06-03,177.74,180.46,173.37,178.37,996400,178.37
2013-05-28,182.75,185.32,177.04,177.09,902700,177.09
2013-05-20,178.08,182.72,175.77,181.63,392700,181.63
2013-05-13,177.13,179.99,175.45,178.08,303000,178.08
2013-05-06,173.79,177.56,172.04,177.19,399600,177.19
2013-04-29,167.13,175.45,167.07,173.95,510100,173.95
2013-04-22,160.32,167.51,159.85,166.89,528300,166.89
2013-04-15,156.2,161.5,155.21,160.07,811100,160.07
2013-04-08,155.42,158.68,152.8,157.87,501200,157.87
2013-04-01,161.54,163.25,154.64,155.35,372100,155.35
2013-03-25,157.91,162.07,156.45,161.89,371200,161.89
2013-03-18,156.9,158.18,154.76,157.46,455100,157.46
2013-03-11,157.7,158.63,156.52,157.84,349300,157.84
2013-03-04,158.42,160.,157.26,157.85,508600,157.85
2013-02-25,154.33,159.96,153.97,158.58,534000,158.58
2013-02-19,155.64,156.63,151.4,154.02,394600,154.02
2013-02-11,154.06,157.33,151.68,155.41,475800,155.41
2013-02-04,155.92,157.05,152.8,154.08,344300,154.08
2013-01-28,158.58,159.38,153.38,156.75,569300,156.75
2013-01-22,156.,158.78,155.34,158.05,388800,158.05
2013-01-14,155.84,157.97,149.83,155.8,564300,155.8
2013-01-07,150.5,156.67,150.5,155.53,765600,155.53
2012-12-31,143.54,152.48,143.19,151.1,505200,151.1
2012-12-24,145.88,146.71,142.59,144.02,290800,144.02
2012-12-17,144.21,148.41,143.73,146.31,587000,146.31
2012-12-10,142.47,146.96,141.96,144.1,717200,144.1
2012-12-03,143.09,143.73,141.23,142.96,314000,142.96
2012-11-26,140.18,143.25,137.92,142.49,489900,142.49
2012-11-19,137.4,141.8,135.91,140.83,406800,140.83
2012-11-12,142.66,144.03,137.01,139.66,499500,139.66
2012-11-05,143.55,144.77,139.64,142.32,456700,142.32
2012-10-31,142.64,145.31,141.46,143.43,542700,143.43
2012-10-22,143.34,144.31,141.29,142.64,428100,142.64
2012-10-15,137.85,145.68,136.7,144.33,1017100,144.33
2012-10-08,143.54,143.85,136.52,137.84,648400,137.84
2012-10-01,141.56,144.74,140.82,144.02,418000,144.02
2012-09-24,142.51,143.47,140.2,141.95,546900,141.95
2012-09-17,141.03,144.34,140.92,142.21,627800,142.21
2012-09-10,140.94,142.92,139.44,140.91,345100,140.91
2012-09-04,137.65,141.28,136.95,141.19,501500,141.19
2012-08-27,138.73,139.72,136.1,137.65,495700,137.65
2012-08-20,137.88,138.68,134.75,138.49,361800,138.49
2012-08-13,131.15,137.83,130.84,137.47,542900,137.47
2012-08-06,129.37,132.79,128.83,131.28,410800,131.28
2012-07-30,130.11,132.65,126.75,129.29,532100,129.29
2012-07-23,128.7,131.51,123.11,130.6,658000,130.6
2012-07-16,132.04,133.45,128.38,130.55,725700,130.55
2012-07-09,136.25,137.28,130.3,132.23,722500,132.23
2012-07-02,135.45,137.84,134.91,135.92,311600,135.92
2012-06-25,128.53,135.49,127.58,135.,488800,135.
2012-06-18,128.65,132.25,128.18,129.4,493400,129.4
2012-06-11,125.49,129.59,122.83,128.91,548800,128.91
2012-06-04,122.25,126.35,119.82,124.8,566800,124.8
2012-05-29,128.36,129.47,120.78,122.19,789000,122.19
2012-05-21,121.24,127.43,119.56,127.18,831300,127.18
2012-05-14,126.,128.05,120.85,121.25,645900,121.25
2012-05-07,126.05,128.01,122.7,127.2,401400,127.2
2012-04-30,130.3,130.3,125.71,126.41,417300,126.41
2012-04-23,127.24,130.66,126.36,130.28,574700,130.28
2012-04-16,124.75,130.31,123.75,128.4,932000,128.4
2012-04-09,125.03,126.83,122.78,124.32,653700,124.32
2012-04-02,125.62,127.71,125.44,126.41,545700,126.41
2012-03-26,126.15,127.55,123.64,125.96,532400,125.96
2012-03-19,124.9,126.42,123.76,125.98,442600,125.98
2012-03-12,122.88,126.56,122.28,124.87,486000,124.87
2012-03-05,120.8,123.46,119.27,122.9,695500,122.9
2012-02-27,120.87,122.53,120.07,120.7,435400,120.7
2012-02-21,119.62,122.11,119.2,121.88,515300,121.88
2012-02-13,118.82,122.62,117.75,119.62,681000,119.62
2012-02-06,115.61,118.09,115.01,117.93,977500,117.93
2012-01-30,109.91,116.05,107.,115.57,937300,115.57
2012-01-23,108.3,111.74,107.09,110.4,632800,110.4
2012-01-17,103.6,110.16,103.07,108.49,641600,108.49
2012-01-09,102.57,108.62,102.37,106.03,753200,106.03
2012-01-03,102.99,105.25,100.42,102.54,1173900,102.54
2011-12-27,105.5,106.03,103.51,103.84,372500,103.84
2011-12-19,103.7,106.5,102.5,105.74,371300,105.74
2011-12-12,102.95,104.74,99.58,103.,636400,103.
2011-12-05,106.85,107.33,101.35,103.7,713500,103.7
2011-11-28,95.05,105.24,94.6,104.85,898500,104.85
2011-11-21,94.04,95.67,92.8,93.08,562700,93.08
2011-11-14,101.34,102.69,94.9,95.83,794700,95.83
2011-11-07,102.56,103.54,99.29,101.95,585300,101.95
2011-10-31,104.66,107.18,98.92,102.57,821000,102.57
2011-10-24,98.41,105.67,97.95,104.97,1231300,104.97
2011-10-17,93.77,98.5,92.25,97.99,1281700,97.99
2011-10-10,96.11,100.76,91.65,94.15,1306100,94.15
2011-10-03,92.,96.15,84.91,94.6,1019100,94.6
2011-09-26,92.22,97.64,90.75,92.7,687900,92.7
2011-09-19,93.56,101.05,88.79,91.54,1177000,91.54
2011-09-12,88.4,96.75,87.87,95.04,740600,95.04
2011-09-06,87.31,93.22,87.27,89.7,655800,89.7
2011-08-29,96.13,96.13,89.76,90.52,612800,90.52
2011-08-22,85.06,90.49,82.68,89.9,808700,89.9
2011-08-15,89.85,91.89,82.89,83.01,1192300,83.01
2011-08-08,87.53,89.75,80.38,89.36,1386600,89.36
2011-08-01,99.56,99.82,86.8,88.17,1292800,88.17
2011-07-25,96.56,101.51,96.01,98.34,899000,98.34
2011-07-18,93.95,100.,93.55,97.65,1298600,97.65
2011-07-11,96.72,98.29,93.12,94.22,609100,94.22
2011-07-05,94.57,98.59,94.05,97.73,714800,97.73
2011-06-27,89.6,94.99,89.1,94.64,566800,94.64
2011-06-20,87.7,93.08,87.51,89.35,659200,89.35
2011-06-13,86.9,88.83,86.27,88.13,694200,88.13
2011-06-06,89.8,90.31,85.7,86.4,709400,86.4
2011-05-31,94.91,95.27,89.32,89.86,1080700,89.86
2011-05-23,90.1,94.45,88.21,93.72,1018400,93.72
2011-05-16,92.16,92.47,89.47,91.49,817700,91.49
2011-05-09,91.02,94.73,89.88,91.78,740600,91.78
2011-05-02,94.99,97.,89.51,90.79,1409400,90.79
2011-04-25,90.3,95.29,90.04,95.,1300700,95.
2011-04-18,82.73,90.71,81.99,90.25,1267200,90.25
2011-04-11,84.7,85.43,83.37,83.66,738100,83.66
2011-04-04,84.65,85.78,80.31,85.,1292000,85.
2011-03-28,84.98,87.85,82.72,85.93,1067300,85.93
2011-03-21,81.96,85.56,81.04,84.86,797600,84.86
2011-03-14,78.41,82.98,76.01,81.13,1147700,81.13
2011-03-07,81.23,82.25,78.03,78.73,702600,78.73
2011-02-28,78.6,81.27,77.35,81.22,708500,81.22
2011-02-22,77.88,78.68,75.31,78.35,721900,78.35
2011-02-14,79.21,79.97,78.02,78.96,608200,78.96
2011-02-07,76.68,78.72,76.28,78.53,765800,78.53
2011-01-31,71.42,78.,70.64,76.51,1473000,76.51
2011-01-24,71.76,73.59,71.2,71.25,745100,71.25
2011-01-18,71.97,73.05,70.88,71.64,776700,71.64
2011-01-10,70.9,74.05,70.09,72.16,648700,72.16
2011-01-03,71.93,72.97,69.67,71.2,935800,71.2
2010-12-27,70.38,71.56,69.99,71.03,251300,71.03
2010-12-20,70.33,71.76,69.41,70.68,420700,70.68
2010-12-13,70.1,71.67,68.61,70.07,894200,70.07
2010-12-06,68.15,70.45,67.51,69.84,575900,69.84
2010-11-29,63.13,68.28,62.2,68.18,1010300,68.18
2010-11-22,61.39,64.45,61.2,63.7,551400,63.7
2010-11-15,62.37,62.53,60.89,61.72,702000,61.72
2010-11-08,62.87,63.56,61.29,62.18,887900,62.18
2010-11-01,61.03,63.91,59.97,62.95,820100,62.95
2010-10-25,65.61,66.32,58.58,60.72,1463200,60.72
2010-10-18,68.19,68.19,59.99,64.24,2227800,64.24
2010-10-11,64.56,69.95,64.32,68.35,941800,68.35
2010-10-04,65.37,65.75,63.32,64.55,892000,64.55
2010-09-27,65.03,67.79,64.85,65.71,1050300,65.71
2010-09-20,63.68,65.38,62.05,65.35,842000,65.35
2010-09-13,62.5,64.38,61.63,63.3,1035400,63.3
2010-09-07,60.65,61.85,58.88,61.76,662600,61.76
2010-08-30,56.91,62.11,55.5,61.,723900,61.
2010-08-23,57.08,57.44,53.15,57.33,816100,57.33
2010-08-16,57.4,60.41,56.1,56.59,795600,56.59
2010-08-09,61.66,63.93,57.,58.07,956700,58.07
2010-08-02,58.43,61.67,57.48,61.42,1048900,61.42
2010-07-26,56.88,59.23,56.52,57.48,902600,57.48
2010-07-19,56.23,58.54,55.12,56.66,1400200,56.66
2010-07-12,56.9,59.46,55.88,55.88,1285500,55.88
2010-07-06,56.67,58.56,53.83,58.2,1696800,58.2
2010-06-28,63.6,64.4,55.68,55.7,2328300,55.7
2010-06-21,71.63,71.99,63.68,63.9,1413300,63.9
2010-06-14,69.67,71.54,68.34,70.5,1040000,70.5
2010-06-07,68.88,69.43,65.17,69.39,1203200,69.39
2010-06-01,70.14,72.62,68.2,68.61,1272400,68.61
2010-05-24,68.95,72.47,67.28,70.66,1335700,70.66
2010-05-17,70.43,73.14,67.02,69.81,2233800,69.81
2010-05-10,76.28,78.18,69.44,69.93,2080900,69.93
2010-05-03,75.88,77.59,67.82,71.5,2081200,71.5
2010-04-26,74.95,76.99,73.52,75.06,1300600,75.06
2010-04-19,66.47,77.08,66.1,76.74,1849900,76.74
2010-04-12,65.21,68.49,64.14,66.87,900500,66.87
2010-04-05,64.4,66.45,64.3,64.96,968700,64.96
2010-03-29,64.22,65.06,63.74,64.29,628600,64.29
2010-03-22,63.41,65.4,62.97,64.12,1277700,64.12
2010-03-15,62.48,67.,62.14,64.07,1812000,64.07
2010-03-08,60.16,63.01,59.37,62.75,1144700,62.75
2010-03-01,55.68,60.7,55.52,60.36,1560200,60.36
2010-02-22,56.75,57.69,54.91,55.44,913900,55.44
2010-02-16,54.25,57.3,53.18,56.88,1656100,56.88
2010-02-08,55.5,56.96,53.38,53.86,1461000,53.86
2010-02-01,59.82,62.15,52.7,55.3,2721200,55.3
2010-01-25,61.71,62.02,59.18,59.46,973500,59.46
2010-01-19,65.46,67.44,61.1,61.32,1383200,61.32
2010-01-11,67.85,67.93,65.33,65.64,625700,65.64
2010-01-04,65.,68.47,64.96,67.68,828200,67.68
2009-12-28,64.61,65.49,63.94,64.59,370200,64.59
2009-12-21,65.01,65.77,63.52,64.48,432600,64.48
2009-12-14,64.,65.6,63.73,64.66,773000,64.66
2009-12-07,61.2,64.06,59.02,63.36,896700,63.36
2009-11-30,61.43,62.03,60.13,61.16,835400,61.16
2009-11-23,60.,63.38,59.52,61.71,889900,61.71
2009-11-16,60.9,62.05,58.84,59.1,667800,59.1
2009-11-09,59.81,61.76,59.33,60.52,842300,60.52
2009-11-02,55.42,59.14,54.66,59.13,1214000,59.13
2009-10-26,60.76,61.97,54.96,54.98,1443800,54.98
2009-10-19,66.77,68.96,59.99,60.28,2538400,60.28
2009-10-12,61.55,69.09,61.02,66.48,2385800,66.48
2009-10-05,59.3,61.72,59.05,60.94,980900,60.94
2009-09-28,59.25,63.11,58.56,58.9,1072200,58.9
2009-09-21,63.07,64.34,58.39,59.07,1285000,59.07
2009-09-14,58.21,65.95,57.95,63.96,1742500,63.96
2009-09-08,55.68,59.25,55.61,58.83,1088100,58.83
2009-08-31,56.2,56.95,52.5,55.71,1100300,55.71
2009-08-24,56.66,58.81,55.09,56.96,1573600,56.96
2009-08-17,58.,58.47,55.,56.66,1230700,56.66
2009-08-10,57.11,60.66,54.96,59.51,1619000,59.51
2009-08-03,51.73,58.97,51.47,57.26,1908700,57.26
2009-07-27,50.24,51.42,49.27,51.,1343800,51.
2009-07-20,46.43,51.3,45.85,50.48,2302300,50.48
2009-07-13,37.77,47.57,36.3,46.3,2711200,46.3
2009-07-06,39.4,40.27,37.05,37.63,1140600,37.63
2009-06-29,40.61,42.21,39.49,39.56,904300,39.56
2009-06-22,42.97,43.,38.,40.3,1650700,40.3
2009-06-15,47.78,47.78,42.3,43.48,1550500,43.48
2009-06-08,43.28,49.69,42.46,48.28,1639200,48.28
2009-06-01,41.51,43.46,40.75,43.25,1064400,43.25
2009-05-26,38.23,41.36,37.93,40.5,1921000,40.5
2009-05-18,39.52,41.7,38.39,38.62,1513600,38.62
2009-05-11,41.17,43.8,38.56,38.82,1411000,38.82
2009-05-04,41.98,43.87,40.94,42.9,1646300,42.9
