Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.68,31.56,30.44,31.27,5092700,31.27
2014-02-18,31.56,31.97,30.49,30.57,4165900,30.57
2014-02-10,31.19,32.27,30.39,31.61,4864800,31.61
2014-02-03,30.05,31.6,28.65,31.53,8265800,31.53
2014-01-27,39.22,39.22,29.56,30.04,12473800,30.04
2014-01-21,39.89,40.44,38.76,38.78,3538600,38.58
2014-01-13,39.09,40.07,38.1,39.66,3078800,39.46
2014-01-06,39.67,40.49,38.99,39.08,2710800,38.88
2013-12-30,41.15,41.39,39.38,39.5,2635400,39.3
2013-12-23,39.78,41.26,39.72,41.15,1796600,40.94
2013-12-16,38.99,40.43,38.94,39.69,3147300,39.49
2013-12-09,40.53,40.94,38.4,38.8,3475400,38.6
2013-12-02,40.77,41.63,39.82,40.52,2830500,40.31
2013-11-25,42.34,42.37,39.71,40.56,7202200,40.35
2013-11-18,43.12,46.05,42.57,44.01,4193400,43.78
2013-11-11,42.58,43.62,42.23,43.25,1925400,43.03
2013-11-04,43.53,43.83,42.14,42.4,1868400,42.18
2013-10-28,42.07,44.,41.66,43.46,2721300,43.24
2013-10-21,40.94,42.32,40.5,42.17,2361300,41.95
2013-10-14,39.24,41.2,38.37,40.99,3146400,40.78
2013-10-07,39.63,40.46,38.83,39.34,2473600,39.14
2013-09-30,41.04,41.15,39.64,40.06,2153300,39.85
2013-09-23,42.32,43.02,41.15,41.26,2424900,41.05
2013-09-16,40.55,42.79,40.47,42.32,3546100,42.1
2013-09-09,39.63,40.73,39.38,40.03,1534800,39.82
2013-09-03,40.,40.23,38.91,39.48,3080600,39.28
2013-08-26,41.24,41.45,39.71,39.83,1679600,39.62
2013-08-19,40.93,41.62,40.62,41.25,1818400,41.04
2013-08-12,41.08,41.41,39.95,41.06,2049000,40.85
2013-08-05,40.5,41.56,39.92,41.2,2242900,40.99
2013-07-29,40.92,44.,39.6,40.6,4747400,40.39
2013-07-22,42.18,42.65,40.94,41.16,1463400,40.82
2013-07-15,43.2,44.56,42.04,42.17,2088500,41.83
2013-07-08,39.84,43.06,39.7,43.02,4009500,42.67
2013-07-01,39.99,40.76,39.2,39.61,2518300,39.29
2013-06-24,39.09,41.28,38.63,39.85,2910400,39.52
2013-06-17,39.54,41.4,39.06,39.37,3455700,39.05
2013-06-10,40.18,40.23,38.09,39.41,4736200,39.09
2013-06-03,40.98,41.7,39.43,40.21,4025200,39.88
2013-05-28,42.73,42.8,40.56,40.59,2961200,40.26
2013-05-20,42.75,43.,40.76,42.33,3028900,41.98
2013-05-13,44.01,44.11,41.78,43.3,2695000,42.95
2013-05-06,43.76,45.04,43.36,44.13,2360600,43.77
2013-04-29,44.07,44.8,40.19,43.5,4529800,43.14
2013-04-22,43.78,44.61,43.06,43.91,1634200,43.55
2013-04-15,45.94,45.96,42.75,43.84,2921100,43.36
2013-04-08,46.13,46.71,43.86,45.98,3786200,45.47
2013-04-01,48.85,48.86,43.26,46.32,6961900,45.81
2013-03-25,49.16,49.38,48.23,48.94,1621600,48.4
2013-03-18,49.05,50.35,48.27,48.83,1577000,48.29
2013-03-11,47.81,50.37,47.76,49.41,1541300,48.87
2013-03-04,47.95,49.66,47.76,47.88,1450000,47.35
2013-02-25,47.47,48.4,46.13,47.93,1982200,47.4
2013-02-19,46.4,47.89,45.92,46.98,2351600,46.46
2013-02-11,47.75,47.96,46.1,46.4,1485500,45.89
2013-02-04,47.31,48.47,47.01,47.67,1959400,47.15
2013-01-28,47.25,49.1,46.45,47.59,2943500,47.07
2013-01-22,48.23,48.25,46.6,47.18,1538400,46.54
2013-01-14,46.97,48.91,46.5,47.98,1984100,47.33
2013-01-07,46.26,47.5,45.63,46.84,1953500,46.2
2012-12-31,45.,47.31,44.6,46.75,2023700,46.11
2012-12-24,44.61,46.48,44.28,45.35,1423400,44.73
2012-12-17,46.06,47.,44.35,44.73,2383000,44.12
2012-12-10,45.56,46.09,44.6,45.9,1367300,45.27
2012-12-03,45.81,45.97,43.25,45.55,2321000,44.93
2012-11-26,42.65,45.98,42.38,45.9,3341700,45.15
2012-11-19,41.46,42.91,41.2,42.86,1107100,42.16
2012-11-12,43.06,44.97,40.94,41.03,1659700,40.36
2012-11-05,41.5,43.35,40.39,43.06,2137500,42.35
2012-10-31,41.76,43.,40.77,41.5,2296400,40.82
2012-10-22,38.6,42.58,37.55,41.86,3254300,41.17
2012-10-15,35.78,39.1,35.38,38.8,3072100,38.16
2012-10-08,36.64,38.58,35.75,36.48,3978600,35.88
2012-10-02,37.18,40.35,36.3,38.24,6761700,37.61
