Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,123.85,126.23,123.41,124.5,2376200,124.5
2014-02-18,123.69,127.98,123.07,125.07,2305100,125.07
2014-02-10,118.75,125.44,118.49,124.57,2908300,124.57
2014-02-03,115.,118.88,110.62,118.84,2551300,118.84
2014-01-27,115.25,116.07,112.44,114.6,2081600,114.6
2014-01-21,120.9,121.53,114.16,114.87,3270700,114.87
2014-01-13,114.46,123.83,113.82,120.15,3394100,120.15
2014-01-06,112.16,116.04,110.53,115.19,1908600,115.19
2013-12-30,110.73,112.16,109.52,112.06,1739800,112.06
2013-12-23,107.94,110.88,106.26,110.85,1678600,110.85
2013-12-16,97.25,109.89,97.25,107.73,4395500,107.73
2013-12-09,98.45,98.52,95.47,96.57,1354000,96.57
2013-12-02,96.88,98.59,94.98,98.2,1549500,98.2
2013-11-25,98.53,98.79,96.71,97.05,1150600,97.05
2013-11-18,96.5,99.35,95.56,98.57,2319700,98.57
2013-11-11,90.,96.62,89.63,96.41,2259600,96.36
2013-11-04,90.83,90.9,88.34,89.95,2386800,89.9
2013-10-28,92.79,94.21,90.02,90.49,2517700,90.44
2013-10-21,90.9,93.,90.15,92.82,1876900,92.77
2013-10-14,89.5,90.75,89.29,90.74,2396300,90.69
2013-10-07,90.09,90.61,88.36,89.96,1980700,89.91
2013-09-30,90.71,91.25,89.95,90.66,1661200,90.61
2013-09-23,92.64,92.69,90.77,91.04,2312700,90.99
2013-09-16,89.82,93.09,87.88,92.63,2401600,92.58
2013-09-09,89.35,89.85,86.95,88.77,1992000,88.72
2013-09-03,89.38,90.25,88.1,89.21,1463700,89.16
2013-08-26,89.5,90.4,87.51,88.38,1191600,88.33
2013-08-19,87.64,93.25,87.64,89.54,1722600,89.49
2013-08-12,90.74,91.86,87.08,87.93,1685500,87.83
2013-08-05,91.5,92.97,90.29,91.1,1458900,91.
2013-07-29,92.07,93.1,90.08,91.77,2620500,91.67
2013-07-22,91.88,92.35,90.09,92.26,1514700,92.16
2013-07-15,90.86,92.83,89.4,91.97,1986700,91.87
2013-07-08,84.84,91.83,84.84,90.51,2849300,90.41
2013-07-01,85.33,85.33,82.56,84.35,2359700,84.26
2013-06-24,87.57,88.24,81.33,84.24,7474800,84.15
2013-06-17,101.48,102.94,90.85,92.7,4106800,92.6
2013-06-10,99.85,102.1,98.62,101.14,1512400,101.03
2013-06-03,99.5,100.74,96.81,99.75,1899000,99.64
2013-05-28,99.51,102.33,98.55,99.49,2474300,99.38
2013-05-20,101.4,101.4,96.76,98.02,3075500,97.91
2013-05-13,103.91,104.8,99.62,101.41,2212100,101.25
2013-05-06,105.11,105.3,102.83,104.18,1885100,104.01
2013-04-29,112.48,114.91,96.77,104.77,6055100,104.6
2013-04-22,113.9,115.25,110.6,111.98,1222200,111.8
2013-04-15,115.74,116.04,111.83,113.74,1148400,113.56
2013-04-08,112.27,116.45,111.84,116.02,853700,115.84
2013-04-01,111.98,115.,111.28,112.51,1381100,112.33
2013-03-25,112.,112.3,110.44,111.63,1072600,111.45
2013-03-18,108.25,112.,107.93,111.89,1298900,111.71
2013-03-11,109.5,110.93,108.63,108.98,1332800,108.81
2013-03-04,108.26,111.84,108.07,109.45,1294600,109.28
2013-02-25,108.,109.2,106.29,108.6,1235900,108.43
2013-02-19,107.97,109.31,105.75,107.92,1506900,107.7
2013-02-11,107.5,108.22,106.1,108.02,1264100,107.8
