Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,49.1,49.8,49.,49.45,10042200,49.45
2014-02-18,49.15,50.43,48.91,48.98,11437900,48.98
2014-02-10,49.02,49.74,48.,48.98,13119700,48.98
2014-02-03,48.,49.05,46.8,49.01,9818000,49.01
2014-01-27,48.02,49.13,46.81,47.96,12202300,47.96
2014-01-21,51.17,51.42,47.85,47.86,10203900,47.86
2014-01-13,52.07,52.47,50.8,50.89,6836600,50.89
2014-01-06,51.55,52.34,50.48,52.22,9010900,52.22
2013-12-30,51.1,51.34,50.47,50.92,6397300,50.92
2013-12-23,51.42,51.47,50.9,51.18,4057300,51.18
2013-12-16,50.86,51.11,49.,51.03,13170100,51.03
2013-12-09,49.69,50.21,48.42,49.73,9545200,49.73
2013-12-02,49.77,50.25,48.03,49.55,9576100,49.55
2013-11-25,49.59,50.4,49.11,49.75,6249700,49.65
2013-11-18,49.47,49.67,48.03,49.59,8768800,49.49
2013-11-11,48.46,49.59,47.9,49.3,10151900,49.2
2013-11-04,48.47,49.17,47.11,48.54,16874200,48.44
2013-10-28,51.83,52.5,48.02,48.28,17516900,48.18
2013-10-21,52.48,53.33,51.34,51.85,7480800,51.75
2013-10-14,49.63,52.4,49.57,52.3,7740800,52.19
2013-10-07,49.04,50.,47.18,50.,8563500,49.9
2013-09-30,48.61,49.55,48.32,49.53,6943600,49.43
2013-09-23,49.6,49.93,48.92,49.15,7529400,49.05
2013-09-16,50.16,50.99,49.33,49.95,9808700,49.85
2013-09-09,48.36,49.93,48.35,49.7,8647300,49.6
2013-09-03,47.1,48.94,47.04,48.18,10643800,47.99
2013-08-26,47.36,47.93,45.94,46.46,7434900,46.27
2013-08-19,47.02,47.67,46.01,47.39,8633600,47.2
2013-08-12,47.78,48.48,46.81,47.1,8204500,46.91
2013-08-05,48.29,48.99,47.55,48.03,11790600,47.84
2013-07-29,46.42,49.5,45.5,48.33,18427200,48.13
2013-07-22,46.94,47.68,45.64,46.54,8469800,46.35
2013-07-15,46.99,47.09,46.02,46.88,9338900,46.69
2013-07-08,45.47,46.83,45.31,46.74,12736100,46.55
2013-07-01,44.82,45.56,44.17,45.19,11757500,45.01
2013-06-24,43.01,45.11,41.53,44.7,22898800,44.52
2013-06-17,45.51,45.85,43.33,43.69,18722700,43.51
2013-06-10,45.43,46.45,44.23,45.38,14740000,45.2
2013-06-03,44.68,45.5,43.23,45.28,18057100,45.1
2013-05-28,45.6,46.46,44.45,44.46,19373800,44.28
2013-05-20,45.17,45.74,43.25,44.69,13794000,44.51
2013-05-13,44.81,46.45,44.15,45.23,14648900,45.05
2013-05-06,44.65,45.85,43.66,44.18,16650200,44.
2013-04-29,41.29,44.9,40.37,44.52,22227300,44.34
2013-04-22,38.88,42.66,38.19,40.87,22472000,40.7
2013-04-15,39.8,40.06,38.05,38.88,13516800,38.72
2013-04-08,38.73,40.68,38.41,40.13,16904200,39.97
2013-04-01,38.8,39.19,36.9,38.62,16593900,38.46
2013-03-25,38.,38.92,37.47,38.82,14019000,38.66
