Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.55,29.82,29.46,29.57,1134200,29.57
2014-02-18,29.75,30.03,29.07,29.47,2120800,29.47
2014-02-10,29.57,30.76,29.49,29.74,2546800,29.74
2014-02-03,28.,29.58,27.6,29.52,2338000,29.27
2014-01-27,26.75,28.1,26.45,27.97,1913000,27.73
2014-01-21,27.21,27.44,26.71,26.73,1089400,26.5
2014-01-13,26.33,27.22,26.25,27.13,1397200,26.9
2014-01-06,25.89,26.59,25.52,26.41,1613800,26.18
2013-12-30,26.07,26.22,25.66,25.91,858300,25.69
2013-12-23,25.97,26.16,25.64,26.06,621100,25.84
2013-12-16,25.75,26.11,25.07,25.89,1529600,25.67
2013-12-09,25.79,26.38,25.24,25.67,1244100,25.45
2013-12-02,25.01,26.3,24.78,25.85,1640000,25.63
2013-11-25,25.64,25.67,24.97,25.11,925400,24.89
2013-11-18,26.19,26.38,25.39,25.6,799400,25.38
2013-11-11,26.59,26.79,26.06,26.24,792500,26.01
2013-11-04,27.76,27.98,25.92,26.5,1343400,26.03
2013-10-28,29.4,29.4,26.66,27.65,1183100,27.16
2013-10-21,29.38,29.62,28.77,29.37,943200,28.85
2013-10-14,28.61,29.57,28.21,29.34,844700,28.82
2013-10-07,27.6,28.71,27.37,28.7,853500,28.19
2013-09-30,28.1,28.64,27.43,27.76,1117100,27.27
2013-09-23,28.9,29.09,27.89,28.19,707000,27.69
2013-09-16,29.03,30.25,28.22,29.01,856300,28.5
2013-09-09,27.83,28.64,27.69,28.56,745200,28.06
2013-09-03,27.76,28.,26.95,27.72,771300,27.23
2013-08-26,28.42,28.52,27.46,27.53,860100,27.04
2013-08-19,27.64,28.45,27.26,28.43,1182800,27.93
2013-08-12,29.06,29.06,27.62,27.64,1056200,27.15
2013-08-05,29.,29.5,28.71,29.21,734100,28.46
2013-07-29,30.66,30.77,28.96,29.01,1217200,28.26
2013-07-22,30.78,31.31,30.15,30.75,822700,29.96
2013-07-15,30.86,31.76,30.5,30.77,1017600,29.98
2013-07-08,29.9,31.26,29.83,30.89,1016300,30.09
2013-07-01,30.31,30.53,29.11,29.9,1092700,29.13
2013-06-24,27.62,30.29,27.31,30.04,1544700,29.26
2013-06-17,29.09,29.28,27.44,27.89,1651900,27.17
2013-06-10,29.82,29.89,28.12,28.93,2738400,28.18
2013-06-03,30.41,31.17,29.59,29.79,1712500,29.02
2013-05-28,31.93,32.04,30.05,30.26,1828300,29.48
2013-05-20,33.02,33.44,31.41,31.61,1125600,30.79
2013-05-13,31.88,33.25,31.79,33.08,1123000,32.23
2013-05-06,30.49,31.98,30.46,31.89,1060400,30.84
2013-04-29,30.84,31.39,30.09,30.46,1333200,29.46
2013-04-22,31.18,31.28,30.69,30.74,694300,29.73
2013-04-15,31.6,31.88,30.67,31.12,1351600,30.09
2013-04-08,31.56,31.91,31.37,31.64,1038800,30.6
2013-04-01,30.58,31.82,30.34,31.6,1093300,30.56
2013-03-25,29.98,30.72,29.95,30.66,1038200,29.65
2013-03-18,30.53,30.64,29.82,29.95,1006200,28.96
2013-03-11,30.4,30.85,29.89,30.74,1180900,29.73
2013-03-04,29.7,30.63,29.64,30.41,975900,29.41
2013-02-25,29.96,30.12,29.33,29.76,1450900,28.78
2013-02-19,29.21,30.06,29.13,29.83,1397900,28.85
2013-02-11,28.57,29.16,28.57,29.12,1352400,28.16
2013-02-04,27.3,28.67,27.04,28.57,2084800,27.4
2013-01-28,27.96,28.2,27.2,27.39,1413100,26.27
2013-01-22,27.5,28.05,27.49,27.99,1109800,26.84
2013-01-14,27.21,27.92,27.13,27.59,1062900,26.46
2013-01-07,27.35,27.73,27.15,27.25,900000,26.13
2012-12-31,26.74,27.67,26.63,27.45,1246600,26.33
2012-12-24,26.71,27.09,26.58,26.76,847300,25.66
2012-12-17,25.67,26.93,25.62,26.73,1353900,25.64
2012-12-10,25.48,25.83,25.39,25.56,856100,24.51
2012-12-03,25.14,25.62,24.98,25.48,1136300,24.44
2012-11-26,24.57,25.59,24.54,25.07,1987700,24.04
2012-11-19,24.77,24.89,24.44,24.69,817500,23.68
2012-11-12,25.44,25.44,24.05,24.51,940200,23.51
2012-11-05,26.02,26.3,25.38,25.38,1438700,24.15
2012-10-31,26.5,27.13,26.06,26.16,2362900,24.89
2012-10-22,26.85,26.88,26.19,26.36,1607300,25.08
2012-10-15,25.54,27.,25.23,26.86,1562400,25.56
2012-10-08,25.42,25.95,25.12,25.45,2023700,24.21
2012-10-01,26.11,26.11,25.17,25.48,1393200,24.24
2012-09-24,26.47,26.64,25.87,25.99,1405100,24.73
2012-09-17,27.46,27.65,26.12,26.65,1908400,25.36
2012-09-10,27.1,27.56,26.45,27.42,1292200,26.09
2012-09-04,26.44,27.9,26.34,27.21,1149800,25.89
2012-08-27,26.9,27.05,26.28,26.48,802300,25.19
2012-08-20,26.27,26.94,26.13,26.86,1049000,25.56
2012-08-13,26.06,26.42,25.52,26.38,1348600,25.1
2012-08-06,26.81,26.93,25.94,26.04,1157400,24.59
2012-07-30,27.21,27.77,26.61,26.7,1525600,25.21
2012-07-23,27.14,27.47,26.7,27.2,1214100,25.68
2012-07-16,27.93,28.3,27.24,27.4,1639100,25.87
2012-07-09,27.46,28.06,26.92,28.03,1610900,26.46
2012-07-02,27.17,27.67,26.87,27.37,1787900,25.84
2012-06-25,26.28,27.16,26.07,27.03,1819300,25.52
2012-06-18,27.37,27.97,26.16,26.58,3987500,25.1
2012-06-11,27.42,27.49,26.46,27.39,1372400,25.86
2012-06-04,26.27,27.47,25.81,27.17,1743700,25.65
2012-05-29,26.87,27.52,26.16,26.23,2506300,24.77
2012-05-21,25.87,26.95,25.71,26.71,1329000,25.22
2012-05-14,27.2,27.65,25.64,25.75,1622600,24.31
2012-05-07,27.07,27.98,26.9,27.47,2310400,25.76
2012-04-30,27.07,27.6,26.73,27.16,1653500,25.47
2012-04-23,25.98,27.27,25.87,27.17,1556600,25.48
2012-04-16,26.12,26.54,25.87,26.2,1878400,24.57
2012-04-09,26.,26.19,25.17,25.91,1040600,24.3
2012-04-02,26.3,26.86,26.2,26.34,1142300,24.7
2012-03-26,25.88,26.44,25.34,26.41,1068200,24.77
2012-03-19,25.95,26.36,25.12,25.59,882800,24.
2012-03-12,24.92,26.2,24.8,25.97,1645300,24.36
2012-03-05,24.59,25.33,24.26,24.83,1558100,23.29
2012-02-27,25.26,25.6,24.44,24.59,1590900,23.06
2012-02-21,25.37,25.49,24.43,25.48,1703200,23.9
2012-02-13,25.25,25.46,24.49,25.33,1414100,23.76
2012-02-06,24.89,25.51,24.67,25.07,2262800,23.34
2012-01-30,24.4,25.1,24.08,25.02,1689800,23.3
2012-01-23,23.79,24.93,23.62,24.64,1506100,22.94
2012-01-17,22.89,24.,22.79,23.81,1908600,22.17
2012-01-09,22.91,23.31,22.19,22.6,1656800,21.04
2012-01-03,23.38,23.6,22.55,22.95,1041500,21.37
2011-12-27,22.91,23.2,22.47,22.91,738100,21.33
2011-12-19,21.83,23.14,21.56,22.95,1133800,21.37
2011-12-12,21.6,22.05,20.73,21.8,1560700,20.3
2011-12-05,22.27,22.27,21.02,21.91,1430700,20.4
2011-11-28,21.18,22.23,20.17,21.89,2724100,20.38
2011-11-21,21.17,21.32,20.31,20.56,1598200,19.14
2011-11-14,23.22,23.35,21.48,21.52,2140900,20.04
2011-11-07,22.83,23.82,22.06,23.52,2629000,21.78
2011-10-31,23.96,24.95,22.09,22.79,4665400,21.11
2011-10-24,24.64,27.26,24.53,25.03,2798600,23.18
2011-10-17,23.13,24.67,22.61,24.67,2135000,22.85
2011-10-10,22.07,23.43,21.9,23.35,1755100,21.63
2011-10-03,21.88,22.61,20.08,21.6,2527500,20.
2011-09-26,23.62,24.47,22.11,22.12,2168100,20.49
2011-09-19,26.12,26.39,22.91,23.52,2225200,21.78
2011-09-12,25.67,27.24,25.66,26.57,2720100,24.61
2011-09-06,24.8,27.22,24.8,26.06,1886500,24.14
2011-08-29,25.42,26.76,25.3,25.72,1550700,23.82
2011-08-22,24.65,25.82,23.76,25.02,1959100,23.17
2011-08-15,24.9,26.46,24.05,24.11,2464300,22.33
2011-08-08,23.48,25.56,21.92,24.65,4169500,22.72
2011-08-01,27.69,27.85,23.68,24.19,2915000,22.3
2011-07-25,27.69,27.89,26.36,27.3,1609800,25.17
2011-07-18,26.73,28.12,26.27,27.97,1386500,25.78
2011-07-11,26.87,27.51,26.26,26.83,1225600,24.73
2011-07-05,26.03,27.51,25.89,27.17,1381300,25.05
2011-06-27,24.99,26.1,24.97,26.06,1281100,24.02
2011-06-20,25.31,26.33,24.7,25.02,1540200,23.07
2011-06-13,25.23,25.79,24.5,25.38,1385700,23.4
2011-06-06,25.58,26.1,25.09,25.2,1939700,23.23
2011-05-31,26.54,26.73,24.95,25.61,1578300,23.61
2011-05-23,25.73,26.38,25.45,26.29,968600,24.24
2011-05-16,25.96,26.85,25.81,26.13,1093200,24.09
2011-05-09,25.89,26.71,25.66,26.11,1229900,23.96
2011-05-02,27.54,27.58,25.86,25.86,1640900,23.73
2011-04-25,26.03,27.67,25.96,26.96,1998800,24.74
2011-04-18,24.73,26.06,24.7,25.99,1458500,23.85
2011-04-11,25.1,25.25,24.65,25.11,1480400,23.04
2011-04-04,25.42,25.69,25.03,25.03,1004200,22.97
2011-03-28,24.69,25.67,24.1,25.41,1183900,23.32
2011-03-21,24.97,24.97,23.96,24.6,1133600,22.57
2011-03-14,24.33,24.78,23.38,24.58,1251900,22.56
2011-03-07,24.48,24.63,23.77,24.52,1108400,22.5
2011-02-28,24.93,25.75,24.,24.4,1787800,22.39
2011-02-22,24.26,24.77,23.5,24.74,1200300,22.7
2011-02-14,24.31,24.74,24.18,24.59,995100,22.56
2011-02-07,24.34,24.43,23.76,24.32,1445000,22.21
2011-01-31,25.08,25.89,24.06,24.35,1585100,22.24
2011-01-24,24.68,25.84,24.49,24.91,941100,22.75
2011-01-18,24.84,25.36,24.48,24.71,898800,22.56
2011-01-10,25.35,25.45,24.43,24.85,1454500,22.69
2011-01-03,26.04,26.33,24.98,25.26,1090500,23.07
2010-12-27,25.45,26.24,25.39,25.84,575200,23.6
2010-12-20,24.55,25.71,24.54,25.52,868900,23.3
2010-12-13,25.13,25.46,24.17,24.52,1176400,22.39
2010-12-06,25.08,25.85,24.47,25.06,1233300,22.88
2010-11-29,24.05,25.32,23.71,25.18,1492900,22.99
