Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,63.69,64.53,63.61,64.1,785200,64.1
2014-02-18,64.17,65.36,62.93,63.64,546600,63.64
2014-02-10,64.31,64.56,62.54,64.05,631400,63.8
2014-02-03,65.43,65.93,59.17,64.37,1112900,64.12
2014-01-27,64.29,66.01,64.05,65.35,704800,65.09
2014-01-21,67.85,68.38,64.12,64.14,528200,63.89
2014-01-13,67.81,68.26,66.55,67.65,454100,67.38
2014-01-06,66.18,68.95,65.88,67.74,877000,67.47
2013-12-30,66.1,66.69,65.15,65.72,367800,65.46
2013-12-23,66.13,66.73,65.5,66.08,301900,65.82
2013-12-16,64.69,66.24,63.6,65.74,731000,65.48
2013-12-09,65.05,65.72,63.68,64.25,642700,64.
2013-12-02,64.96,66.24,63.08,65.33,875600,65.07
2013-11-25,64.14,65.38,63.66,64.94,472200,64.69
2013-11-18,63.86,64.14,60.46,64.04,536600,63.54
2013-11-11,59.89,61.75,59.42,61.35,399400,60.87
2013-11-04,58.79,59.87,58.27,59.84,478800,59.38
2013-10-28,57.77,59.21,57.66,58.6,583800,58.14
2013-10-21,59.39,60.26,56.77,57.75,661900,57.3
2013-10-14,57.49,59.62,57.28,59.33,530700,58.87
2013-10-07,54.85,58.01,54.58,57.69,662500,57.24
2013-09-30,53.81,55.26,53.52,55.25,479600,54.82
2013-09-23,53.81,55.25,53.45,54.3,561200,53.88
2013-09-16,55.94,56.42,53.67,53.81,846900,53.39
2013-09-09,53.4,55.87,53.4,55.21,459500,54.78
2013-09-03,53.73,54.77,53.05,53.72,380200,53.3
2013-08-26,56.03,56.12,52.94,53.04,517300,52.63
2013-08-19,55.16,56.07,54.2,56.03,408600,55.59
2013-08-12,55.03,56.12,54.55,55.23,565200,54.55
2013-08-05,54.73,55.43,53.9,55.2,866300,54.52
2013-07-29,53.12,55.19,52.67,54.83,501500,54.16
2013-07-22,53.17,53.69,51.5,53.09,440300,52.44
2013-07-15,53.28,53.72,52.53,53.18,391600,52.53
2013-07-08,51.29,53.09,51.29,53.09,465500,52.44
2013-07-01,51.17,51.65,50.2,50.95,516700,50.32
2013-06-24,49.76,51.42,49.03,50.91,590900,50.28
2013-06-17,50.82,51.92,49.64,50.24,510100,49.62
2013-06-10,50.03,51.1,49.92,50.56,412300,49.94
2013-06-03,49.84,50.26,48.41,49.97,537900,49.36
2013-05-28,50.33,51.03,49.41,49.74,669900,49.13
2013-05-20,49.44,51.19,49.13,49.71,611000,49.1
2013-05-13,47.39,49.94,47.39,49.84,537900,48.98
2013-05-06,47.54,48.31,47.29,47.38,823400,46.56
2013-04-29,46.73,48.5,46.72,47.45,701600,46.63
2013-04-22,46.61,47.75,45.03,46.52,724100,45.72
2013-04-15,47.24,47.57,45.96,46.66,840700,45.86
2013-04-08,45.09,47.86,45.01,47.49,791300,46.67
2013-04-01,45.01,45.57,44.74,45.01,738500,44.23
2013-03-25,44.3,45.05,42.9,45.01,1282700,44.23
2013-03-18,43.55,44.79,43.07,44.02,930200,43.26
2013-03-11,42.71,44.47,42.71,44.04,721600,43.28
2013-03-04,41.63,43.11,41.29,42.84,782200,42.1
2013-02-25,41.83,42.27,40.17,41.82,975000,41.1
2013-02-19,41.81,42.38,40.72,41.64,1071300,40.92
2013-02-11,38.5,42.18,38.36,41.84,1329900,40.91
2013-02-04,38.86,40.33,37.94,38.56,1166800,37.7
2013-01-28,38.59,39.25,37.87,39.,874600,38.13
2013-01-22,37.31,38.62,37.28,38.62,843100,37.76
2013-01-14,36.22,37.98,36.2,37.29,1086600,36.46
2013-01-07,35.8,36.34,34.83,36.19,660900,35.39
2012-12-31,34.3,35.97,34.12,35.93,704300,35.13
2012-12-24,34.71,35.19,34.13,34.3,369200,33.54
2012-12-17,34.67,35.84,34.56,34.79,806700,34.02
2012-12-10,34.73,35.53,34.45,34.54,764800,33.77
2012-12-03,34.28,35.,33.68,34.81,992700,34.04
2012-11-26,34.18,34.47,33.62,34.21,1496600,33.45
2012-11-19,35.91,36.01,33.77,34.35,1111600,33.59
2012-11-12,36.69,36.69,34.58,35.56,721300,34.56
2012-11-05,37.48,38.03,35.81,36.64,705600,35.61
2012-10-31,37.87,38.43,37.22,37.6,723600,36.54
2012-10-22,40.38,41.36,37.,37.85,1310700,36.78
2012-10-15,39.44,41.27,39.29,40.33,575400,39.19
2012-10-08,39.44,39.98,38.85,39.38,673300,38.27
2012-10-01,37.44,39.7,37.18,39.68,868700,38.56
2012-09-24,37.19,37.54,36.92,37.3,594800,36.25
2012-09-17,38.11,38.11,37.2,37.35,794500,36.3
2012-09-10,36.5,38.31,36.35,38.16,880500,37.08
2012-09-04,35.19,36.73,34.84,36.54,1056700,35.51
2012-08-27,34.3,35.44,33.36,35.25,769300,34.26
2012-08-20,34.63,35.03,33.81,34.18,725000,33.22
2012-08-13,35.8,35.83,34.21,34.63,1724600,33.45
2012-08-06,36.85,37.21,35.63,35.85,790300,34.63
2012-07-30,35.56,36.79,35.49,36.65,883600,35.4
2012-07-23,33.45,36.17,32.8,35.54,932200,34.33
2012-07-16,34.4,34.88,33.78,33.9,658300,32.74
2012-07-09,34.86,35.04,33.65,34.4,698500,33.23
2012-07-02,35.05,35.88,34.38,34.9,657200,33.71
2012-06-25,33.9,35.28,33.54,34.84,895600,33.65
2012-06-18,33.66,35.24,33.36,34.15,1008900,32.99
2012-06-11,34.25,34.3,33.12,33.86,1217800,32.71
2012-06-04,32.74,34.7,32.41,33.97,1238400,32.81
2012-05-29,33.52,33.71,32.52,32.85,1290600,31.73
2012-05-21,35.36,35.98,33.19,33.25,1931000,32.12
