Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,53.59,54.3,53.25,53.86,3995900,53.86
2014-02-18,53.09,54.01,51.64,53.86,3756400,53.86
2014-02-10,52.62,53.06,51.5,52.96,3004000,52.96
2014-02-03,51.2,52.82,49.18,52.76,4214900,52.76
2014-01-27,50.62,52.37,50.35,51.2,3260100,51.2
2014-01-21,53.28,53.42,50.62,50.62,3095700,50.62
2014-01-13,53.94,54.18,52.85,52.9,2576700,52.9
2014-01-06,53.54,54.34,52.83,54.09,2413400,54.09
2013-12-30,53.68,54.6,53.11,53.33,1854300,53.33
2013-12-23,54.,54.07,53.46,53.65,1423200,53.65
2013-12-16,53.19,54.05,51.75,53.77,3186200,53.77
2013-12-09,54.05,54.45,52.73,52.81,1860000,52.81
2013-12-02,54.28,54.46,53.03,54.32,2311700,54.32
2013-11-25,54.75,54.84,54.19,54.27,1567700,54.27
2013-11-18,54.7,54.75,53.58,54.71,1728400,54.46
2013-11-11,54.07,54.71,53.13,54.7,1813200,54.45
2013-11-04,53.5,54.16,52.78,54.12,1939200,53.87
2013-10-28,53.26,53.58,52.29,53.28,2944000,53.04
2013-10-21,53.97,54.57,52.77,53.35,2523800,53.11
2013-10-14,52.3,54.14,52.23,53.87,2258500,53.62
2013-10-07,51.86,52.52,50.21,52.52,2856100,52.28
2013-09-30,50.77,52.37,50.24,52.35,3699000,52.11
2013-09-23,51.78,52.49,50.97,51.07,3053900,50.84
2013-09-16,50.46,52.98,50.39,52.,3486600,51.76
2013-09-09,48.45,50.72,48.45,50.06,2696500,49.83
2013-09-03,48.92,49.08,47.83,48.4,2825300,48.18
2013-08-26,49.18,49.19,47.32,47.92,2397500,47.7
2013-08-19,49.28,49.54,48.61,49.27,1984500,48.79
2013-08-12,50.38,50.76,49.07,49.39,2669000,48.91
2013-08-05,51.83,51.83,50.14,50.66,3467800,50.16
2013-07-29,51.57,52.61,50.75,52.15,2775600,51.64
2013-07-22,52.08,52.45,50.61,51.52,2494700,51.02
2013-07-15,51.21,52.38,50.65,52.1,2402100,51.59
2013-07-08,49.32,51.11,49.32,51.11,2965000,50.61
2013-07-01,48.3,49.21,48.04,49.13,2049900,48.65
2013-06-24,46.68,48.57,46.29,48.12,3632600,47.65
2013-06-17,47.09,47.99,46.47,47.23,4058700,46.77
2013-06-10,47.51,47.74,46.53,46.87,3542600,46.41
2013-06-03,48.24,48.37,45.6,47.46,4595300,47.
2013-05-28,49.15,49.49,48.1,48.24,3183300,47.77
2013-05-20,49.99,50.18,48.03,48.73,4202600,48.01
2013-05-13,49.22,50.69,49.12,50.,3267100,49.26
2013-05-06,48.57,49.7,48.55,49.39,3096400,48.66
2013-04-29,49.3,49.54,48.08,48.69,4146300,47.97
2013-04-22,48.96,49.98,48.5,49.09,3211900,48.36
2013-04-15,50.17,50.24,48.22,48.97,3320600,48.24
2013-04-08,49.24,50.56,49.24,50.35,3548800,49.6
2013-04-01,49.17,49.95,48.78,49.32,3053500,48.59
2013-03-25,48.92,49.13,48.31,49.07,2737700,48.34
2013-03-18,47.36,48.26,47.19,48.22,2813300,47.5
2013-03-11,47.39,48.3,47.26,47.98,2916200,47.27
2013-03-04,46.12,47.75,45.91,47.42,3124800,46.72
2013-02-25,46.87,46.88,45.02,46.35,3906900,45.66
2013-02-19,45.85,47.08,45.85,46.74,3949900,45.79
2013-02-11,45.03,46.19,44.91,45.85,3052800,44.92
2013-02-04,44.5,46.1,43.85,45.14,3777900,44.22
2013-01-28,43.97,44.99,43.4,44.84,3037700,43.93
2013-01-22,43.44,44.25,43.44,43.91,3395000,43.02
2013-01-14,42.94,43.34,42.57,43.21,2556300,42.33
2013-01-07,42.07,43.,41.47,42.96,2676200,42.09
2012-12-31,39.72,42.36,39.54,42.2,3071200,41.34
2012-12-24,40.23,40.52,39.69,39.86,1758100,39.05
2012-12-17,40.39,41.91,40.25,40.31,4624900,39.49
2012-12-10,41.41,41.65,40.11,40.18,2816200,39.36
2012-12-03,40.52,41.59,40.24,41.48,3411400,40.64
2012-11-26,40.49,40.97,40.08,40.48,3553500,39.66
2012-11-19,39.19,40.76,39.11,40.74,3688300,39.7
2012-11-12,38.74,39.59,38.02,38.92,4010900,37.92
2012-11-05,38.26,39.41,38.11,38.73,4555000,37.74
2012-10-31,39.9,40.97,37.92,38.56,8507700,37.57
2012-10-22,41.98,42.38,39.81,40.15,4473000,39.12
2012-10-15,40.67,42.81,40.58,42.01,3250400,40.93
2012-10-08,40.84,41.55,40.4,40.61,2983400,39.57
2012-10-01,39.79,41.18,39.66,40.98,2703600,39.93
2012-09-24,40.26,40.72,39.38,39.61,3554800,38.6
2012-09-17,39.73,40.64,39.22,40.43,4087100,39.39
2012-09-10,38.35,39.9,38.17,39.86,2883900,38.84
2012-09-04,37.29,38.65,37.26,38.48,3779400,37.49
2012-08-27,37.8,37.9,37.02,37.28,2828600,36.32
2012-08-20,37.9,38.5,37.52,37.76,3044200,36.58
2012-08-13,37.97,38.18,37.4,37.86,4044000,36.67
2012-08-06,37.18,38.38,36.96,37.98,4336400,36.79
2012-07-30,34.6,37.38,34.22,37.04,6554400,35.88
2012-07-23,33.9,34.98,33.38,34.73,4080500,33.64
2012-07-16,33.96,34.89,33.45,34.41,4037200,33.33
2012-07-09,34.7,34.76,33.35,33.87,3848300,32.81
2012-07-02,35.32,35.42,34.4,34.79,2544300,33.7
2012-06-25,33.64,35.15,33.08,35.09,4167400,33.99
2012-06-18,34.11,34.93,33.89,34.08,3762700,33.01
2012-06-11,34.56,34.67,33.76,34.15,4053700,33.08
2012-06-04,33.14,34.7,32.8,34.31,5275000,33.23
2012-05-29,33.75,34.27,32.99,33.07,6269500,32.03
2012-05-21,32.76,33.71,32.42,33.57,5413600,32.31
2012-05-14,34.6,34.95,32.56,32.75,6119900,31.52
2012-05-07,34.21,34.99,33.96,34.83,6225100,33.52
2012-04-30,33.54,34.83,32.71,34.2,7066900,32.92
2012-04-23,32.23,34.07,32.07,33.55,3988700,32.29
2012-04-16,32.49,33.27,32.18,32.65,3961100,31.42
2012-04-09,32.27,32.96,31.93,32.3,3098900,31.09
2012-04-02,32.93,33.58,32.43,32.75,4115400,31.52
2012-03-26,32.69,33.33,32.54,32.92,3391800,31.68
2012-03-19,32.63,33.07,32.18,32.51,2569200,31.29
2012-03-12,31.65,32.87,31.62,32.68,3614700,31.45
2012-03-05,31.27,31.75,30.76,31.66,4039100,30.47
2012-02-27,31.13,31.87,31.01,31.24,4260900,30.07
2012-02-21,31.39,31.75,31.22,31.36,3463900,29.97
2012-02-13,31.42,31.6,30.79,31.39,3830700,30.
2012-02-06,30.59,31.19,30.33,30.97,5067300,29.6
2012-01-30,28.87,30.75,28.62,30.69,6279100,29.33
2012-01-23,29.81,29.91,28.68,29.09,5349300,27.8
2012-01-17,29.3,29.86,28.8,29.83,3893000,28.51
2012-01-09,28.11,29.33,27.93,28.98,4020700,27.7
2012-01-03,27.88,28.15,26.98,28.02,4397800,26.78
2011-12-27,27.45,27.71,27.13,27.41,2327700,26.2
2011-12-19,26.48,27.63,26.01,27.62,3631400,26.4
2011-12-12,26.68,26.79,25.86,26.44,5858200,25.27
2011-12-05,27.07,27.39,26.52,26.93,4359000,25.74
2011-11-28,25.08,27.25,25.01,26.68,5014800,25.5
2011-11-21,25.54,25.61,24.5,24.7,3925000,23.41
2011-11-14,26.45,26.78,25.46,25.98,4516800,24.62
2011-11-07,25.85,26.9,25.64,26.64,5659000,25.24
2011-10-31,27.07,27.25,25.51,25.9,7374100,24.54
2011-10-24,26.92,27.98,26.39,27.16,5658100,25.74
2011-10-17,24.78,26.91,24.1,26.9,5903100,25.49
2011-10-10,24.2,25.48,24.16,24.96,3441700,23.65
2011-10-03,23.49,24.62,22.34,23.72,4845500,22.48
2011-09-26,22.99,24.65,22.55,23.69,6318700,22.45
2011-09-19,24.47,24.8,22.27,22.77,5651100,21.58
2011-09-12,24.7,25.46,24.45,24.94,6176000,23.63
2011-09-06,24.27,25.88,24.11,24.81,5385200,23.51
2011-08-29,25.09,26.43,24.96,24.96,5477700,23.65
2011-08-22,24.95,25.67,23.62,24.45,6609200,22.97
2011-08-15,25.55,26.05,24.,24.36,5537900,22.88
2011-08-08,25.8,26.19,23.92,25.12,9365100,23.6
2011-08-01,28.71,28.71,25.79,26.29,7550600,24.7
2011-07-25,28.47,28.56,27.53,27.72,4287600,26.04
2011-07-18,28.46,28.91,27.68,28.69,6828300,26.95
2011-07-11,30.2,30.48,29.26,29.47,3256800,27.69
2011-07-05,30.87,31.01,30.37,30.54,2865700,28.69
2011-06-27,29.39,30.93,29.32,30.9,3587900,29.03
2011-06-20,29.53,30.39,29.27,29.43,4316100,27.65
2011-06-13,29.89,30.39,29.28,29.65,4584800,27.85
2011-06-06,30.55,30.7,29.52,29.65,3523400,27.85
2011-05-31,31.39,31.53,30.25,30.67,5172200,28.81
2011-05-23,31.6,31.82,30.86,31.24,3911700,29.35
2011-05-16,32.22,32.84,31.96,32.01,3895000,29.87
2011-05-09,33.41,33.65,32.28,32.38,4612200,30.21
2011-05-02,33.93,34.4,33.19,33.43,4497300,31.19
2011-04-25,31.62,34.12,31.22,33.84,6299300,31.58
2011-04-18,31.04,31.66,30.81,31.65,3543500,29.53
2011-04-11,31.4,31.88,31.29,31.41,4013200,29.31
2011-04-04,31.57,31.96,31.23,31.4,3213600,29.3
2011-03-28,31.54,32.17,31.27,31.45,3805700,29.35
2011-03-21,31.49,31.83,31.13,31.46,3462100,29.36
2011-03-14,31.79,31.9,30.67,31.15,5679200,29.07
