Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.36,53.11,52.36,52.86,667900,52.86
2014-02-18,49.72,52.79,49.03,52.37,2161700,52.37
2014-02-10,49.99,51.,49.33,49.63,1040300,49.63
2014-02-03,49.35,50.27,47.15,49.94,1181000,49.94
2014-01-27,45.2,49.96,45.2,49.35,1099700,49.35
2014-01-21,49.38,49.38,45.83,46.84,1134400,46.84
2014-01-13,45.7,49.19,45.2,48.,1820100,48.
2014-01-06,43.97,46.08,42.16,45.73,1295600,45.73
2013-12-30,44.45,44.88,43.17,43.96,656700,43.96
2013-12-23,44.17,45.02,43.55,44.64,496200,44.64
2013-12-16,43.01,44.5,42.11,44.26,1609400,44.26
2013-12-09,40.7,43.8,40.24,43.25,2437000,43.25
2013-12-02,43.08,44.85,40.63,40.7,3838100,40.7
2013-11-25,44.28,45.62,42.5,43.24,214700,43.24
2013-11-18,49.75,50.,43.11,43.99,117300,43.99
