Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.5,53.37,52.4,52.86,725200,52.86
2014-02-18,51.55,52.72,51.12,52.35,1150300,52.35
2014-02-10,49.63,51.42,49.12,51.38,718600,51.38
2014-02-03,49.6,49.72,47.39,49.66,1059300,49.66
2014-01-27,49.88,50.66,48.59,49.42,1376900,49.42
2014-01-21,52.36,52.49,49.62,49.63,908400,49.63
2014-01-13,52.29,53.16,51.4,52.02,799400,52.02
2014-01-06,52.6,52.73,51.64,52.53,827700,52.53
2013-12-30,52.45,52.82,51.9,52.17,546200,52.17
2013-12-23,52.29,52.89,51.98,52.45,492500,52.45
2013-12-16,49.41,52.35,49.41,52.03,1466800,52.03
2013-12-09,49.68,49.79,48.39,49.28,1021300,49.28
2013-12-02,49.16,49.51,48.13,49.48,807800,49.48
2013-11-25,49.83,49.96,49.11,49.22,799500,49.16
2013-11-18,49.56,49.77,48.33,49.75,872400,49.69
2013-11-11,48.61,49.32,48.26,49.25,808700,49.19
2013-11-04,47.93,49.03,47.34,48.53,1146100,48.47
2013-10-28,47.01,48.4,45.98,47.8,1453700,47.74
2013-10-21,46.21,47.25,46.19,47.09,1135700,47.03
2013-10-14,45.11,46.36,44.83,46.07,959500,46.01
2013-10-07,44.48,45.56,43.4,45.43,1250500,45.37
2013-09-30,45.15,46.38,44.44,44.98,1509400,44.92
2013-09-23,45.85,46.61,45.59,45.64,2381900,45.58
2013-09-16,45.62,46.52,45.11,46.,6637700,45.94
2013-09-09,44.18,47.,43.87,45.14,2145300,45.08
2013-09-03,43.51,44.28,42.23,43.98,1294600,43.87
2013-08-26,44.39,44.66,42.84,42.92,829300,42.81
2013-08-19,43.46,44.45,43.44,44.25,788000,44.14
2013-08-12,45.17,46.04,43.31,43.43,1037900,43.32
2013-08-05,47.6,48.01,43.87,45.42,1484000,45.3
2013-07-29,45.68,47.85,45.54,47.78,1013800,47.66
2013-07-22,45.8,46.32,45.38,45.76,726700,45.64
2013-07-15,45.3,45.95,45.02,45.81,614800,45.69
2013-07-08,44.32,45.36,44.1,45.33,913500,45.21
2013-07-01,42.44,44.17,42.44,44.15,1215900,44.04
2013-06-24,39.81,42.49,39.46,42.3,1279800,42.19
2013-06-17,43.21,43.21,40.07,40.38,1240000,40.28
2013-06-10,43.2,43.32,41.97,42.76,941700,42.65
2013-06-03,43.27,43.61,42.26,43.1,1275600,42.93
2013-05-28,43.43,43.98,42.74,43.15,889900,42.98
2013-05-20,43.16,43.94,42.51,42.93,932100,42.76
2013-05-13,41.68,43.5,41.45,43.36,869700,43.19
2013-05-06,40.77,42.,40.62,41.84,886900,41.67
2013-04-29,40.79,41.12,39.82,40.87,1347600,40.71
2013-04-22,40.2,41.36,39.8,40.54,1065000,40.38
2013-04-15,40.7,40.76,39.54,40.2,1603700,40.04
2013-04-08,40.95,41.92,40.4,40.95,1052700,40.79
2013-04-01,43.32,43.32,40.42,40.99,879800,40.83
2013-03-25,42.78,43.46,42.06,43.36,607700,43.19
2013-03-18,42.32,43.15,42.19,42.75,634000,42.58
2013-03-11,42.35,42.89,42.09,42.81,750400,42.64
2013-03-04,41.46,42.61,41.23,42.42,798500,42.19
2013-02-25,42.34,42.45,40.69,41.49,1135400,41.27
2013-02-19,41.99,42.45,41.45,42.24,905300,42.01
2013-02-11,41.37,42.06,40.93,41.91,614900,41.68
2013-02-04,41.15,41.57,40.64,41.46,699700,41.24
2013-01-28,41.24,41.61,40.63,41.47,865300,41.25
2013-01-22,39.36,41.55,39.33,41.07,1615700,40.85
2013-01-14,38.76,39.39,38.24,39.36,802100,39.15
2013-01-07,38.75,38.97,38.2,38.77,939300,38.56
2012-12-31,36.98,38.97,36.86,38.92,991400,38.71
2012-12-24,37.2,37.57,36.79,37.08,551400,36.88
2012-12-17,37.21,38.,36.92,37.34,1175600,37.14
2012-12-10,37.85,38.21,37.18,37.32,1012000,37.12
2012-12-03,37.5,37.85,36.99,37.73,905500,37.53
2012-11-26,36.89,37.4,36.36,37.33,852700,37.07
2012-11-19,35.59,37.39,35.42,37.26,790500,37.
2012-11-12,36.14,36.31,34.66,35.25,826200,35.
2012-11-05,36.6,36.84,35.68,36.04,1109500,35.79
2012-10-31,35.75,37.34,35.19,36.6,1448400,36.34
2012-10-22,33.98,35.9,32.67,35.82,1257100,35.57
2012-10-15,34.22,35.67,33.96,34.04,1092700,33.8
2012-10-08,34.97,35.26,33.97,34.11,894300,33.87
2012-10-01,35.47,35.84,33.75,35.09,1984400,34.84
2012-09-24,35.94,36.04,35.08,35.45,1420800,35.2
2012-09-17,36.14,36.56,35.65,36.24,1037100,35.99
2012-09-10,35.38,36.19,34.99,36.14,859600,35.89
