Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,51.12,51.43,50.94,51.17,1648100,51.17
2014-02-18,51.92,52.37,50.36,51.08,1235600,51.08
2014-02-10,51.14,51.83,50.48,51.76,809400,51.76
2014-02-03,49.56,51.23,47.66,51.13,938600,51.13
2014-01-27,47.2,50.4,46.38,49.39,1425100,49.39
2014-01-21,48.15,49.21,47.18,47.34,1159300,47.34
2014-01-13,49.66,49.94,46.74,47.82,1459600,47.82
2014-01-06,49.87,50.21,48.81,49.8,831600,49.8
2013-12-30,49.99,50.25,49.12,49.75,578300,49.75
2013-12-23,50.09,50.96,49.71,50.06,393400,50.06
2013-12-16,50.32,51.68,49.02,49.84,1077900,49.84
2013-12-09,50.6,51.11,49.29,50.01,668800,50.01
2013-12-02,48.95,51.26,48.45,50.55,748300,50.55
2013-11-25,49.22,49.56,48.23,49.04,407600,49.04
2013-11-18,49.89,50.11,48.42,49.04,524700,49.04
2013-11-11,47.13,49.94,47.13,49.86,999600,49.86
2013-11-04,48.51,49.77,46.62,47.08,1029800,47.08
2013-10-28,49.21,49.45,47.78,48.39,955600,48.39
2013-10-21,50.12,50.9,47.74,49.16,1427700,49.16
2013-10-14,49.51,50.44,49.05,50.18,834700,50.18
2013-10-07,50.55,50.95,47.45,50.,1653000,50.
2013-09-30,52.04,53.01,50.82,50.95,1129800,50.95
2013-09-23,53.32,54.13,51.98,52.71,1000500,52.71
2013-09-16,53.63,54.49,51.91,53.32,2008400,53.32
2013-09-09,49.4,53.54,49.27,53.05,2108500,53.05
2013-09-03,47.01,49.35,46.9,49.27,1967500,49.27
2013-08-26,46.38,47.11,44.92,46.74,660000,46.74
2013-08-19,45.74,46.82,45.36,46.42,548100,46.42
2013-08-12,48.26,48.46,45.64,45.65,823400,45.65
2013-08-05,49.19,49.3,46.38,48.44,805200,48.44
2013-07-29,45.57,49.49,45.51,49.29,973000,49.29
2013-07-22,44.86,46.42,44.8,45.78,797500,45.78
2013-07-15,46.19,46.77,43.56,44.74,1107000,44.74
2013-07-08,46.28,46.85,45.87,46.,781500,46.
2013-07-01,43.8,46.25,43.64,46.14,1146100,46.14
2013-06-24,42.51,43.83,41.89,43.39,916600,43.39
2013-06-17,44.41,44.79,41.97,42.98,806300,42.98
2013-06-10,47.,47.,42.8,44.07,1501000,44.07
2013-06-03,46.18,47.91,45.11,46.82,740600,46.82
2013-05-28,46.68,47.9,45.4,46.33,735600,46.33
2013-05-20,45.82,46.99,45.44,46.28,422800,46.28
2013-05-13,45.85,46.58,45.16,46.,441500,46.
2013-05-06,45.62,46.4,44.66,45.88,441600,45.88
2013-04-29,44.69,46.05,44.47,45.63,518100,45.63
2013-04-22,43.87,45.7,43.27,44.61,642100,44.61
2013-04-15,43.96,47.49,41.92,43.82,945000,43.82
2013-04-08,41.4,44.96,41.4,44.17,593600,44.17
2013-04-01,43.79,44.59,40.3,41.39,696200,41.39
