Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,85.01,85.83,84.25,84.33,3861200,84.33
2014-02-18,83.42,85.95,82.53,84.56,3379900,84.56
2014-02-10,81.46,83.82,78.53,83.39,3464600,83.39
2014-02-03,80.26,81.62,77.31,81.4,3197600,81.4
2014-01-27,81.93,82.63,79.84,80.26,2328500,80.26
2014-01-21,84.78,85.23,82.13,82.42,2470300,82.42
2014-01-13,85.95,86.41,83.75,84.31,3010800,84.31
2014-01-06,85.76,87.91,85.12,86.2,2474400,86.
2013-12-30,87.16,87.83,85.16,85.54,2197700,85.34
2013-12-23,87.04,87.63,85.81,86.68,1443300,86.48
2013-12-16,86.13,87.15,84.15,86.41,2719700,86.21
2013-12-09,89.09,90.03,85.07,86.16,2765200,85.96
2013-12-02,91.22,91.85,88.95,89.02,2431900,88.81
2013-11-25,93.85,94.55,90.87,91.49,2091400,91.28
2013-11-18,91.42,94.84,91.42,94.42,2612800,94.2
2013-11-11,90.,92.84,88.84,92.5,2708600,92.28
2013-11-04,89.59,91.1,87.73,89.8,3083100,89.59
2013-10-28,90.53,91.21,88.21,89.24,1950800,89.03
2013-10-21,90.6,91.13,88.09,90.45,2213900,90.24
2013-10-14,87.24,91.65,87.13,91.26,2457700,91.05
2013-10-07,86.04,88.31,84.95,87.95,2091500,87.55
2013-09-30,85.43,87.29,84.75,87.,2184600,86.61
2013-09-23,87.5,87.88,86.03,86.25,1993300,85.86
2013-09-16,87.78,89.17,86.91,87.85,3028100,87.45
2013-09-09,86.06,87.76,86.01,86.81,2645300,86.42
2013-09-03,86.5,87.17,84.41,86.51,3692100,86.12
2013-08-26,79.95,85.99,78.16,85.68,4649500,85.29
2013-08-19,78.42,79.92,75.07,79.8,4093300,79.44
2013-08-12,82.56,83.37,78.83,78.99,2530200,78.63
2013-08-05,81.97,83.51,81.35,83.2,2633200,82.82
2013-07-29,81.8,82.33,79.99,82.,2917100,81.63
2013-07-22,84.9,84.97,81.73,82.06,2285700,81.69
