Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,83.01,85.21,82.95,83.39,4927500,83.39
2014-02-18,81.7,84.39,81.7,82.31,4203600,82.31
2014-02-10,80.18,82.62,79.43,81.54,3512500,81.54
2014-02-03,80.73,81.47,78.15,80.17,5283900,80.17
2014-01-27,81.11,81.99,79.04,80.69,3892700,80.69
2014-01-21,80.65,83.97,80.63,81.09,5490900,81.09
2014-01-13,79.5,82.38,78.19,80.06,5788000,80.06
2014-01-06,78.37,80.,77.8,79.83,4183600,79.83
2013-12-30,79.33,79.86,78.01,78.31,2542800,78.31
2013-12-23,79.11,79.69,77.89,79.4,2855100,79.4
2013-12-16,78.45,79.9,78.,78.77,7809100,78.77
2013-12-09,86.66,87.28,73.6,78.3,11605800,78.3
2013-12-02,88.92,89.7,86.37,86.65,3379600,86.47
2013-11-25,91.96,91.96,87.66,88.82,2826400,88.64
2013-11-18,91.23,92.75,89.5,92.04,2523500,91.85
2013-11-11,91.15,91.76,89.3,90.93,3082900,90.74
2013-11-04,95.34,96.54,89.47,90.97,3885200,90.78
2013-10-28,96.27,98.47,93.29,94.39,2879500,94.19
2013-10-21,97.71,98.23,91.27,96.15,3849300,95.95
2013-10-14,94.53,98.13,94.27,97.42,2612000,97.22
2013-10-07,93.27,95.98,91.6,95.46,2017900,95.26
2013-09-30,93.27,94.79,92.38,93.9,2333900,93.7
2013-09-23,93.45,96.01,92.65,94.53,2205400,94.33
2013-09-16,95.78,95.81,92.7,93.69,2696500,93.5
2013-09-09,93.14,96.75,92.38,94.7,2724100,94.5
2013-09-03,92.43,94.,91.7,93.01,2077200,92.64
2013-08-26,91.95,93.14,90.19,91.42,2948600,91.05
2013-08-19,91.19,91.23,88.33,89.8,2187800,89.44
2013-08-12,88.93,91.94,87.57,91.52,2882600,91.15
2013-08-05,90.17,91.15,88.23,89.8,2574000,89.44
2013-07-29,88.56,90.71,86.57,90.46,3936400,90.1
2013-07-22,92.45,92.9,88.11,88.51,2889800,88.16
2013-07-15,90.67,92.86,87.85,92.85,3172200,92.48
2013-07-08,88.72,90.85,88.09,90.7,2672200,90.34
2013-07-01,86.33,88.53,86.08,88.38,2058700,88.03
2013-06-24,82.27,87.49,80.44,85.93,3428900,85.59
2013-06-17,87.,87.85,82.1,83.44,3065400,83.11
2013-06-10,88.12,88.53,85.44,86.11,2248300,85.76
2013-06-03,87.85,89.09,85.34,87.98,2608600,87.54
2013-05-28,90.74,91.96,87.41,87.47,3445800,87.03
2013-05-20,89.89,92.18,86.96,89.34,3304800,88.89
2013-05-13,86.,90.46,85.95,90.03,3250800,89.58
2013-05-06,87.,89.72,85.53,86.45,3660400,86.02
2013-04-29,84.43,86.79,82.52,86.6,2475800,86.16
2013-04-22,80.27,85.5,79.25,83.84,3398800,83.42
2013-04-15,83.79,83.88,78.3,79.99,4663100,79.59
2013-04-08,84.73,87.39,84.72,85.29,2939700,84.86
2013-04-01,87.16,87.95,82.5,85.03,2974000,84.6
2013-03-25,86.85,89.2,86.85,87.45,3355300,87.01
2013-03-18,84.44,87.5,82.55,86.58,3467500,86.14
2013-03-11,83.21,85.64,82.37,85.35,3202200,84.92
2013-03-04,80.09,83.74,79.24,83.09,3549800,82.58
2013-02-25,82.28,82.5,77.01,79.82,3759500,79.33
2013-02-19,82.42,84.13,79.29,81.75,3767700,81.25
2013-02-11,83.98,84.43,81.69,82.08,2556000,81.58
2013-02-04,80.69,84.83,80.1,84.45,3339300,83.93
2013-01-28,81.74,81.88,79.18,81.18,3596700,80.68
2013-01-22,77.53,81.55,77.51,81.,3594800,80.51
2013-01-14,77.89,78.19,76.65,77.55,2837300,77.08
2013-01-07,77.73,78.93,77.08,77.84,2879900,77.36
2012-12-31,72.05,78.48,71.77,78.27,3641400,77.79
2012-12-24,75.43,75.5,72.16,72.31,2059300,71.87
2012-12-17,74.82,76.35,74.42,75.8,2983100,75.34
2012-12-10,76.7,76.95,74.07,74.59,3166500,74.13
2012-12-03,73.95,76.9,73.27,76.32,3378200,75.76
2012-11-26,73.96,74.57,71.85,73.19,3482600,72.66
2012-11-19,71.66,74.67,71.04,74.55,2464800,74.01
2012-11-12,71.31,72.35,69.14,70.09,3973300,69.58
2012-11-05,70.,74.03,69.31,70.65,3585700,70.14
2012-10-31,67.3,71.25,67.07,70.26,4453500,69.75
2012-10-22,70.41,70.61,65.82,66.49,3575500,66.01
2012-10-15,69.1,72.52,68.43,70.34,2679400,69.83
2012-10-08,68.47,69.71,67.98,69.18,2723000,68.68
2012-10-01,70.55,71.36,68.69,69.05,2734700,68.55
2012-09-24,70.91,71.18,68.17,69.92,4094000,69.41
2012-09-17,75.41,75.55,70.62,71.93,4012600,71.41
2012-09-10,71.91,76.63,70.31,75.59,3914800,75.04
2012-09-04,69.32,72.4,68.3,72.29,3055600,71.67
2012-08-27,69.53,70.13,68.11,69.27,2609500,68.68
2012-08-20,69.94,70.47,68.32,69.57,2612500,68.98
2012-08-13,69.41,71.08,68.42,70.34,3292000,69.74
2012-08-06,68.91,71.09,68.19,69.68,4063600,69.09
2012-07-30,71.38,72.36,65.38,68.41,6305000,67.83
2012-07-23,70.61,71.9,66.69,71.41,4363200,70.8
2012-07-16,69.3,74.13,68.86,72.06,7627100,71.45
2012-07-09,65.75,69.42,64.19,68.81,5658100,68.22
2012-07-02,66.18,69.2,64.8,65.51,4068500,64.95
2012-06-25,60.55,66.22,59.24,66.2,5762500,65.64
2012-06-18,64.81,66.19,60.47,61.93,5789500,61.4
2012-06-11,64.68,65.41,61.73,65.37,5063800,64.81
2012-06-04,58.62,65.,56.42,63.84,6158500,63.21
2012-05-29,63.62,64.76,57.93,58.13,5073300,57.55
2012-05-21,63.31,65.2,62.25,63.08,4770700,62.45
2012-05-14,66.84,68.28,62.54,62.88,5223300,62.26
2012-05-07,69.21,70.07,66.98,68.31,4485100,67.63
2012-04-30,73.82,76.02,68.25,69.01,4771000,68.33
2012-04-23,70.55,74.68,69.78,73.79,3574000,73.06
2012-04-16,75.28,75.59,71.5,71.73,4184500,71.02
2012-04-09,76.94,77.08,74.25,74.96,3260000,74.22
2012-04-02,78.25,79.85,77.45,78.26,3308700,77.48
2012-03-26,80.39,80.59,75.9,78.34,4357500,77.56
2012-03-19,84.66,84.95,77.94,79.41,4047900,78.62
2012-03-12,85.32,85.32,82.26,84.68,4863800,83.84
2012-03-05,82.1,87.37,80.82,85.25,3813000,84.32
2012-02-27,86.04,87.44,82.25,82.55,3802500,81.65
2012-02-21,86.99,88.28,84.49,87.3,4682800,86.34
2012-02-13,88.03,88.7,86.28,88.05,3392100,87.09
2012-02-06,83.35,88.21,81.98,87.04,4778200,86.09
2012-01-30,78.48,84.49,78.,84.34,3386700,83.42
2012-01-23,79.26,81.69,78.24,79.32,3305900,78.45
2012-01-17,79.61,80.68,77.71,79.02,3673800,78.15
2012-01-09,80.46,82.47,77.6,78.01,3583700,77.16
2012-01-03,78.36,81.15,77.68,80.27,3594400,79.39
2011-12-27,76.23,77.85,75.34,76.33,1674400,75.49
2011-12-19,73.18,76.69,71.18,76.67,2555800,75.83
2011-12-12,78.02,79.53,72.04,72.94,3874000,72.14
2011-12-05,82.11,82.62,76.94,80.25,3158300,79.28
2011-11-28,75.28,82.63,74.79,80.48,4496900,79.51
2011-11-21,75.02,76.45,71.25,71.84,2643000,70.97
2011-11-14,80.42,81.29,75.55,76.7,4079600,75.77
2011-11-07,82.15,84.42,77.32,80.72,4924100,79.75
2011-10-31,81.62,83.01,73.72,82.46,4866300,81.47
2011-10-24,78.95,83.98,76.14,83.74,4422300,82.73
2011-10-17,73.6,79.83,72.54,79.04,7033100,78.09
2011-10-10,66.74,70.62,65.26,70.57,3894800,69.72
2011-10-03,62.17,67.61,57.11,65.12,6572900,64.33
2011-09-26,67.15,74.25,63.03,63.05,5010600,62.29
2011-09-19,72.72,77.45,66.05,66.58,5379000,65.78
2011-09-12,68.42,75.48,67.99,74.77,3961100,73.87
2011-09-06,67.11,73.74,66.93,69.88,4147500,68.95
2011-08-29,70.8,75.73,68.62,69.71,3890400,68.78
2011-08-22,68.11,70.15,65.03,69.27,4030800,68.35
2011-08-15,72.74,74.68,65.73,66.09,4618600,65.21
2011-08-08,66.84,74.99,63.26,71.71,7712700,70.75
2011-08-01,83.8,84.,68.09,71.51,5839300,70.56
2011-07-25,81.6,85.25,81.2,82.56,4037200,81.46
2011-07-18,79.77,83.8,78.23,83.3,3472700,82.19
2011-07-11,78.,80.22,76.2,80.19,3748300,79.12
2011-07-05,77.81,80.58,77.81,79.34,2875000,78.28
2011-06-27,71.44,78.06,71.17,77.91,3397500,76.87
2011-06-20,69.98,73.81,68.67,72.46,4739800,71.49
2011-06-13,71.89,74.13,69.36,70.45,4827300,69.51
2011-06-06,76.78,77.,72.61,72.79,5527800,71.82
2011-05-31,79.96,80.75,75.03,76.98,4068700,75.86
2011-05-23,73.07,79.19,72.3,78.66,4700200,77.52
2011-05-16,73.95,75.99,71.1,74.58,5990600,73.5
2011-05-09,75.18,77.76,72.85,74.06,3474300,72.99
2011-05-02,79.54,81.58,72.64,75.14,5206200,74.05
