Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.24,15.5,15.2,15.3,3355600,15.3
2014-02-18,14.56,15.3,14.56,15.16,5223700,15.16
2014-02-10,14.83,15.37,14.24,14.55,7183000,14.55
2014-02-03,14.77,14.89,14.24,14.8,3746800,14.8
2014-01-27,15.47,15.88,14.62,14.89,6516600,14.89
2014-01-21,16.42,16.54,15.33,15.5,4723100,15.5
2014-01-13,16.75,17.,16.11,16.31,4167700,16.31
2014-01-06,17.14,17.25,16.7,16.8,3192900,16.8
2013-12-30,17.1,17.41,16.92,17.06,2221900,17.06
2013-12-23,17.46,17.5,17.11,17.32,1348400,17.32
2013-12-16,16.94,17.41,16.52,17.31,3012300,17.31
2013-12-09,17.75,18.09,16.65,16.82,4399400,16.82
2013-12-02,17.86,17.95,17.5,17.67,2829100,17.67
2013-11-25,17.66,18.12,17.36,17.83,2655900,17.83
2013-11-18,17.45,17.55,17.01,17.48,3618100,17.48
2013-11-11,17.51,17.56,17.15,17.32,4789600,17.32
2013-11-04,18.35,18.39,17.38,17.46,8591900,17.4
2013-10-28,22.03,22.86,17.02,18.27,12318400,18.21
2013-10-21,21.35,22.,21.03,21.99,2421600,21.91
2013-10-14,20.68,21.64,20.47,21.44,1788700,21.37
2013-10-07,20.,20.86,19.81,20.82,3296800,20.75
2013-09-30,20.48,21.12,20.16,20.21,2787000,20.14
2013-09-23,21.28,21.36,20.62,20.73,1689400,20.66
2013-09-16,20.96,21.94,20.81,21.42,2691900,21.35
2013-09-09,19.93,20.83,19.84,20.75,2202700,20.68
2013-09-03,19.98,20.09,19.37,19.82,2761200,19.75
2013-08-26,20.3,20.32,19.56,19.77,2826000,19.7
2013-08-19,20.63,20.83,20.17,20.33,3200800,20.26
2013-08-12,21.85,22.,20.47,20.63,3018000,20.56
2013-08-05,22.,22.39,21.81,21.98,2806000,21.84
2013-07-29,23.08,24.71,21.38,22.2,5362800,22.06
2013-07-22,23.3,23.45,22.83,23.15,2863800,23.01
2013-07-15,22.55,23.39,22.28,23.32,2650500,23.18
2013-07-08,21.05,22.59,20.98,22.54,3398900,22.4
2013-07-01,21.06,21.4,20.74,21.,2408300,20.87
2013-06-24,20.48,21.69,19.95,21.03,4328200,20.9
2013-06-17,22.96,23.49,20.61,20.8,5506300,20.67
2013-06-10,23.79,23.88,22.68,22.86,3595000,22.72
2013-06-03,23.57,23.91,22.41,23.7,4316000,23.55
2013-05-28,23.83,24.3,23.22,23.57,3857200,23.42
2013-05-20,23.99,24.53,23.21,23.59,3249300,23.44
2013-05-13,23.37,24.03,23.2,24.02,2719400,23.87
2013-05-06,23.23,23.53,23.06,23.39,2508200,23.25
2013-04-29,22.07,24.3,21.86,23.24,6007400,23.04
2013-04-22,22.,22.59,21.68,22.05,5178900,21.86
2013-04-15,21.36,22.,20.88,21.99,4476500,21.8
2013-04-08,20.24,21.64,20.05,21.54,3930000,21.35
2013-04-01,20.68,20.7,19.91,20.26,3061900,20.08
2013-03-25,20.15,20.88,19.85,20.73,3401200,20.55
2013-03-18,19.8,20.33,19.66,20.13,3044100,19.95
2013-03-11,19.77,20.56,19.66,20.1,3192100,19.92
2013-03-04,19.74,20.04,19.31,19.76,2341600,19.59
2013-02-25,20.15,20.16,18.91,19.73,5506200,19.56
2013-02-19,20.66,20.91,19.94,19.96,6366700,19.79
2013-02-11,16.85,21.42,16.59,20.57,13411900,20.33
2013-02-04,17.01,17.53,16.81,16.85,4057100,16.65
2013-01-28,16.68,17.19,16.52,17.15,5281800,16.95
2013-01-22,15.92,16.7,15.89,16.68,4697100,16.49
2013-01-14,15.14,16.18,15.05,15.97,10241900,15.78
2013-01-07,15.99,16.03,15.19,15.22,5585100,15.04
2012-12-31,13.93,16.22,13.9,16.09,7359500,15.9
2012-12-24,14.22,14.26,13.93,13.98,3196100,13.82
2012-12-17,14.16,14.81,13.92,14.29,6206200,14.12
2012-12-10,14.6,14.79,14.,14.07,4355400,13.91
2012-12-03,14.01,14.79,13.77,14.62,4835700,14.45
2012-11-26,14.16,14.33,13.75,13.95,4680400,13.79
2012-11-19,14.24,14.37,13.78,14.26,3678800,14.09
2012-11-12,14.24,14.41,13.7,14.1,4866100,13.94
2012-11-05,15.15,15.35,14.16,14.28,9574000,14.05
2012-10-31,15.49,16.22,14.94,15.2,9387700,14.96
2012-10-22,16.49,16.72,15.35,15.48,4288700,15.24
2012-10-15,17.1,17.38,16.48,16.48,4771700,16.22
2012-10-08,17.38,17.56,17.04,17.11,4682800,16.84
2012-10-01,15.97,17.45,15.74,17.39,5757000,17.11
2012-09-24,16.14,16.23,15.62,15.95,3776800,15.7
2012-09-17,16.3,16.42,15.8,16.14,5159000,15.88
2012-09-10,16.,16.89,15.63,16.29,5152400,16.03
2012-09-04,15.46,16.,15.07,15.99,4751100,15.74
2012-08-27,15.57,15.71,15.28,15.45,3790000,15.21
2012-08-20,15.95,16.35,15.39,15.56,4490500,15.31
2012-08-13,15.95,16.13,15.73,15.96,3910700,15.71
2012-08-06,14.93,16.61,14.86,16.28,5610000,15.8
2012-07-30,16.01,16.01,14.45,14.89,12979200,14.45
2012-07-23,15.55,16.25,15.01,16.17,5365400,15.69
2012-07-16,15.41,16.98,15.21,15.73,17280400,15.26
2012-07-09,16.41,16.46,15.07,15.19,5575500,14.74
2012-07-02,16.17,16.8,15.58,16.47,4887800,15.98
2012-06-25,15.37,16.22,14.89,16.21,5266600,15.73
2012-06-18,15.75,16.21,15.26,15.5,4193800,15.04
2012-06-11,15.99,16.05,15.43,15.79,4350500,15.32
2012-06-04,15.72,16.5,15.6,15.89,5368900,15.42
2012-05-29,16.71,16.81,15.6,15.67,6441700,15.2
2012-05-21,16.44,16.96,16.1,16.59,6767500,16.1
2012-05-14,21.19,21.85,16.84,16.95,15106400,16.45
2012-05-07,20.36,22.13,19.45,20.19,22460900,19.37
2012-04-30,21.52,22.71,19.52,20.57,9467900,19.74
2012-04-23,21.77,22.,21.45,21.57,4181900,20.7
2012-04-16,23.18,23.31,21.81,22.,9399800,21.11
2012-04-09,22.55,23.58,22.19,23.52,7899700,22.57
2012-04-02,23.16,23.5,21.81,23.42,28538300,22.47
2012-03-26,19.23,19.42,19.,19.36,3211300,18.58
2012-03-19,18.84,19.17,18.53,19.09,3519300,18.32
2012-03-12,18.54,19.05,18.29,18.95,2875700,18.18
2012-03-05,18.6,18.74,18.09,18.57,3633900,17.82
2012-02-27,18.8,18.98,18.54,18.65,3408000,17.9
2012-02-21,19.29,19.29,18.83,18.92,6820700,18.16
2012-02-13,18.05,19.83,16.87,19.19,15394600,18.19
2012-02-06,18.45,18.55,17.83,17.87,7495000,16.94
2012-01-30,18.27,18.77,17.5,18.52,6864300,17.56
2012-01-23,18.6,18.67,18.23,18.36,4133300,17.41
2012-01-17,17.69,18.67,17.65,18.58,5633100,17.62
2012-01-09,17.63,18.02,17.45,17.52,5465000,16.61
2012-01-03,17.79,17.87,17.2,17.54,3827100,16.63
2011-12-27,17.37,17.58,17.13,17.47,1988500,16.56
2011-12-19,16.84,17.48,16.42,17.48,3770000,16.57
2011-12-12,16.52,17.93,16.13,16.72,10443500,15.85
2011-12-05,16.92,17.38,16.58,16.58,5006700,15.72
2011-11-28,16.47,17.23,16.32,16.67,5291700,15.81
2011-11-21,16.72,16.93,16.09,16.09,4212600,15.26
2011-11-14,18.17,18.26,16.68,16.84,8003500,15.97
2011-11-07,18.55,19.04,18.1,18.23,6238400,17.28
2011-10-31,18.57,18.75,17.55,18.52,10635300,17.34
2011-10-24,23.4,23.94,18.42,18.87,11482900,17.67
2011-10-17,22.23,23.44,21.73,23.44,3954800,21.95
2011-10-10,20.18,22.49,20.17,22.3,4005300,20.88
2011-10-03,19.36,20.58,18.17,19.82,4183400,18.56
2011-09-26,20.22,20.96,19.5,19.6,3858200,18.35
2011-09-19,21.71,22.25,19.6,19.94,4783700,18.67
2011-09-12,20.88,22.12,20.8,22.1,4891100,20.69
2011-09-06,20.87,22.27,20.87,21.1,3026200,19.76
2011-08-29,21.98,22.77,21.43,21.48,3317100,20.11
2011-08-22,20.98,21.93,20.56,21.68,3923800,20.3
2011-08-15,21.21,22.25,20.51,20.53,4874200,19.22
2011-08-08,22.42,22.75,20.25,21.12,8151200,19.78
2011-08-01,26.39,26.4,22.6,23.21,6125800,21.49
2011-07-25,28.42,28.63,26.,26.23,3599000,24.29
2011-07-18,27.99,28.96,27.59,28.69,2789500,26.56
2011-07-11,28.33,28.74,27.6,28.11,2575100,26.03
2011-07-05,28.03,28.88,27.36,28.53,3250900,26.42
2011-06-27,27.42,28.1,27.39,27.98,2482700,25.91
2011-06-20,27.4,28.29,27.01,27.53,2625400,25.49
2011-06-13,27.55,28.05,27.04,27.36,2979300,25.33
2011-06-06,28.14,28.28,27.36,27.36,2981000,25.33
2011-05-31,29.45,29.78,28.2,28.26,2443700,26.17
2011-05-23,29.73,30.17,28.97,29.26,2927100,27.09
2011-05-16,30.15,30.63,29.78,29.98,2790500,27.76
2011-05-09,29.11,30.55,28.86,30.18,3258900,27.73
2011-05-02,29.88,31.6,28.5,29.04,7351800,26.68
2011-04-25,28.77,29.63,28.45,29.38,2441200,27.
2011-04-18,28.12,29.13,27.71,28.89,3311200,26.55
2011-04-11,28.06,28.54,27.55,28.34,2671800,26.04
2011-04-04,27.46,28.06,27.26,27.98,3020600,25.71
2011-03-28,27.4,27.81,26.9,27.46,3053600,25.23
2011-03-21,26.8,27.61,26.61,27.43,2615400,25.2
2011-03-14,26.82,27.03,26.12,26.59,3190300,24.43
2011-03-07,27.37,27.73,26.91,27.16,2908400,24.96
2011-02-28,27.92,27.98,27.05,27.35,3903100,25.13
2011-02-22,28.69,28.97,27.56,27.94,4344700,25.67
2011-02-14,29.43,29.7,27.67,29.02,5302500,26.66
2011-02-07,29.2,29.73,27.32,29.45,8724200,26.85
2011-01-31,28.09,29.25,28.08,29.25,4203500,26.67
2011-01-24,28.72,29.79,28.06,28.06,3765000,25.58
2011-01-18,28.88,29.09,28.27,28.72,3209100,26.18
2011-01-10,29.64,29.68,28.81,28.91,3053000,26.36
2011-01-03,29.29,30.28,29.14,29.58,3412500,26.97
2010-12-27,29.04,29.34,28.75,29.06,1634900,26.49
2010-12-20,28.98,29.48,28.56,29.07,2610800,26.5
2010-12-13,29.25,29.54,28.68,28.84,3441000,26.29
2010-12-06,29.68,29.84,28.99,29.23,2678000,26.65
2010-11-29,28.77,29.61,28.45,29.33,3613400,26.74
2010-11-22,29.07,29.24,28.65,28.76,2529000,26.22
2010-11-15,29.37,29.57,28.63,29.23,3414000,26.65
2010-11-08,29.34,29.52,28.37,29.4,4925600,26.8
2010-11-01,30.45,30.45,28.41,29.78,8366300,26.95
2010-10-25,34.4,34.87,29.01,30.45,11064200,27.55
2010-10-18,34.73,35.17,33.56,34.43,4241800,31.15
2010-10-11,33.09,36.2,32.83,34.86,8250100,31.54
2010-10-04,31.81,33.1,31.25,32.93,2534300,29.8
2010-09-27,31.76,32.92,31.37,32.12,3137600,29.06
2010-09-20,31.31,32.37,31.19,32.19,2995100,29.13
2010-09-13,30.79,31.43,30.29,31.07,2680900,28.11
2010-09-07,30.36,31.04,29.86,30.47,1774300,27.57
2010-08-30,29.56,30.54,28.72,30.44,2340000,27.54
2010-08-23,29.21,30.13,28.7,29.61,2610900,26.79
2010-08-16,29.23,30.23,28.79,29.,2404900,26.24
2010-08-09,31.23,31.46,29.03,29.4,3215300,26.6
2010-08-02,31.45,31.92,30.49,31.11,3573600,27.94
2010-07-26,29.45,31.49,29.13,31.13,5314900,27.96
2010-07-19,28.94,29.62,27.86,29.44,3808400,26.44
2010-07-12,28.18,29.39,28.16,28.69,2879400,25.77
2010-07-06,27.,28.37,26.61,28.27,2828600,25.39
2010-06-28,27.62,27.89,26.18,26.46,4459000,23.76
2010-06-21,29.11,29.5,27.17,27.49,3751800,24.69
2010-06-14,28.35,29.02,28.13,28.74,3459200,25.81
2010-06-07,25.81,28.36,25.73,28.09,6723200,25.23
2010-06-01,26.31,26.48,25.51,25.73,4770000,23.11
2010-05-24,26.48,27.16,25.,26.49,6085600,23.79
2010-05-17,27.58,28.5,26.01,26.66,5740400,23.94
2010-05-10,29.83,30.33,27.26,27.51,7288500,24.51
2010-05-03,32.26,32.53,25.63,28.59,10630500,25.48
