Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,128.38,130.8,128.36,129.59,4635700,129.59
2014-02-18,130.13,130.94,127.51,128.28,4855500,128.28
2014-02-10,128.96,130.69,126.35,130.16,6171400,130.16
2014-02-03,124.24,127.21,118.77,127.02,8789500,126.31
2014-01-27,136.7,138.46,123.08,125.26,9159200,124.56
2014-01-21,141.46,144.57,136.32,136.65,4494300,135.88
2014-01-13,141.55,142.14,137.8,140.46,4476000,139.67
2014-01-06,139.4,142.8,137.8,141.9,4254600,141.1
2013-12-30,137.16,138.5,135.51,137.62,2760900,136.85
2013-12-23,137.69,138.88,136.14,136.9,2128500,136.13
2013-12-16,134.27,138.1,132.84,136.67,4999300,135.9
2013-12-09,135.49,135.95,131.9,133.83,3595100,133.08
2013-12-02,134.99,135.75,130.55,135.18,4538800,134.42
2013-11-25,134.01,136.3,130.58,134.25,4103500,133.5
2013-11-18,140.25,142.,131.2,135.97,5947700,135.21
2013-11-11,133.14,136.57,131.1,136.08,3433000,135.32
2013-11-04,133.75,134.58,130.59,133.49,4070000,132.74
2013-10-28,128.75,133.5,128.64,133.03,4380100,131.8
2013-10-21,122.69,131.43,121.06,131.19,5769800,129.98
2013-10-14,117.42,122.86,116.69,122.52,3688500,121.39
2013-10-07,115.51,119.4,113.34,117.98,4651800,116.89
2013-09-30,117.35,118.3,114.73,117.2,3647700,116.12
2013-09-23,117.15,119.89,115.8,118.74,3941200,117.65
2013-09-16,113.73,120.38,113.26,116.63,6772400,115.55
2013-09-09,106.58,111.33,106.56,111.33,3667900,110.3
2013-09-03,105.13,107.38,104.62,106.07,3338200,105.09
2013-08-26,105.75,106.52,102.57,103.92,3098500,102.96
2013-08-19,103.,105.5,102.88,105.48,3296100,104.51
2013-08-12,104.86,106.55,101.77,103.47,3943700,102.52
2013-08-05,107.14,107.8,104.88,105.33,3797100,104.36
2013-07-29,103.52,107.95,103.5,107.9,4537800,106.42
2013-07-22,107.27,109.49,105.31,105.6,5291400,104.15
2013-07-15,103.83,107.98,103.1,106.96,7395800,105.49
2013-07-08,104.,108.15,98.99,101.87,12201700,100.47
2013-07-01,102.93,104.2,100.78,104.2,3700400,102.77
2013-06-24,99.06,103.52,96.31,102.44,5284100,101.04
2013-06-17,102.69,104.15,97.42,99.98,5976700,98.61
2013-06-10,102.51,103.22,100.61,101.83,3629800,100.43
2013-06-03,99.36,102.59,98.05,102.49,5051600,101.09
2013-05-28,100.85,101.47,98.9,99.02,4786200,97.66
2013-05-20,99.12,100.58,97.06,100.,6614400,98.63
2013-05-13,94.12,99.04,94.1,98.92,5091800,97.56
2013-05-06,93.44,95.15,93.36,94.24,4032700,92.95
2013-04-29,91.4,93.95,90.72,93.74,4952400,91.98
2013-04-22,88.08,93.38,86.44,92.85,5657500,91.11
2013-04-15,88.44,88.77,85.75,87.96,4490800,86.31
2013-04-08,86.04,89.46,85.38,88.89,4735900,87.22
2013-04-01,85.6,86.3,83.8,86.17,4195800,84.55
2013-03-25,85.03,86.84,84.34,85.85,4170400,84.24
2013-03-18,85.07,86.14,84.18,84.82,4096500,83.23
2013-03-11,81.01,86.49,80.96,86.43,6534400,84.81
2013-03-04,76.95,81.95,76.17,81.23,5905900,79.71
2013-02-25,76.83,77.93,75.03,77.28,5430100,75.83
2013-02-19,74.99,77.03,74.27,76.66,6065900,75.22
2013-02-11,76.42,76.44,74.54,75.03,3813800,73.62
2013-02-04,74.29,77.54,74.25,76.56,6044200,74.64
2013-01-28,73.9,75.07,73.,74.87,8298500,73.
2013-01-22,74.12,75.54,73.45,75.03,7600500,73.15
2013-01-14,75.23,76.98,72.68,75.04,12202300,73.16
2013-01-07,77.54,77.69,73.11,75.16,10638300,73.28
2012-12-31,74.61,78.02,74.,77.69,4348500,75.75
2012-12-24,75.89,76.56,74.56,74.69,2913500,72.82
2012-12-17,74.2,76.24,73.53,76.17,5762200,74.26
2012-12-10,74.62,76.05,73.87,74.02,5132400,72.17
2012-12-03,74.41,74.71,72.93,74.64,3796300,72.77
2012-11-26,73.4,74.86,73.15,74.28,4034100,72.42
2012-11-19,71.49,73.86,71.08,73.74,2833900,71.9
2012-11-12,73.41,74.25,70.29,70.77,5727700,69.
2012-11-05,69.87,73.3,69.3,73.25,6613000,71.42
2012-10-31,71.35,71.56,69.96,70.05,4057300,67.88
2012-10-22,73.8,75.,70.55,71.11,5978300,68.91
2012-10-15,71.85,74.26,71.68,74.01,4708000,71.72
2012-10-08,70.72,72.24,70.23,71.85,3625300,69.62
2012-10-01,69.86,71.25,69.2,70.89,3351200,68.69
2012-09-24,69.45,70.55,69.18,69.6,4517000,67.44
2012-09-17,70.77,70.82,69.03,69.97,7127400,67.8
2012-09-10,72.31,72.43,70.44,71.28,5710100,69.07
2012-09-04,71.5,73.27,70.4,72.89,4075600,70.63
2012-08-27,70.95,71.99,70.5,71.4,3163800,69.19
2012-08-20,73.61,74.36,70.02,71.09,4928600,68.89
2012-08-13,73.71,74.44,72.75,73.91,2862600,71.62
2012-08-06,73.21,74.69,72.71,74.21,3423500,71.48
2012-07-30,74.6,75.59,71.15,72.81,4575500,70.13
2012-07-23,72.31,75.96,71.35,75.51,4488900,72.73
2012-07-16,73.13,75.11,72.04,73.89,3552300,71.17
2012-07-09,74.27,75.05,70.85,73.51,4920400,70.81
2012-07-02,74.21,74.74,72.45,73.69,3294400,70.98
2012-06-25,71.81,74.37,70.48,74.3,3389500,71.57
2012-06-18,71.69,73.62,71.07,71.96,3599500,69.32
2012-06-11,70.61,72.82,69.8,71.99,5589200,69.34
2012-06-04,68.15,70.33,66.82,69.94,4242700,67.37
2012-05-29,70.28,70.5,67.14,67.24,4608600,64.77
2012-05-21,70.46,72.21,69.66,70.,4261500,67.43
2012-05-14,72.89,73.79,68.93,69.15,4451100,66.61
2012-05-07,75.79,76.08,73.25,73.56,3530700,70.86
2012-04-30,76.51,77.83,75.5,75.84,3968600,72.63
2012-04-23,72.69,77.57,72.17,77.27,5636200,74.
2012-04-16,72.98,74.36,72.3,73.55,3685100,70.43
2012-04-09,72.63,73.83,70.59,72.92,4030000,69.83
2012-04-02,74.,75.47,73.3,73.59,3180300,70.47
2012-03-26,74.52,75.29,72.95,74.37,3486000,71.22
2012-03-19,75.,75.69,73.37,73.97,3630300,70.84
2012-03-12,73.2,75.81,73.2,75.2,4918600,72.01
2012-03-05,74.95,74.98,72.3,73.29,4661700,70.18
2012-02-27,75.69,75.78,74.63,74.9,3965600,71.73
2012-02-21,75.67,76.64,75.08,76.06,3819200,72.84
2012-02-13,75.5,76.,74.75,75.35,4456200,72.16
2012-02-06,75.26,76.23,74.3,74.95,4360800,71.77
2012-01-30,73.99,76.74,73.68,76.34,4223400,72.68
2012-01-23,75.66,76.7,72.85,74.55,6403500,70.97
2012-01-17,75.3,76.,74.77,75.52,4459800,71.9
2012-01-09,74.81,75.69,74.16,74.6,4150000,71.02
2012-01-03,74.7,75.,72.74,73.98,5840000,70.43
2011-12-27,73.68,74.6,73.03,73.35,2666500,69.83
2011-12-19,71.2,74.74,69.91,73.97,4776000,70.42
2011-12-12,71.51,72.65,69.72,71.01,6390000,67.6
2011-12-05,72.28,72.76,69.64,71.93,6158700,68.48
2011-11-28,64.53,71.98,64.53,71.3,7562100,67.88
2011-11-21,66.32,66.45,62.12,62.78,4874600,59.77
2011-11-14,68.89,68.97,65.41,67.46,6201900,64.22
2011-11-07,65.71,67.26,64.33,66.92,4491100,63.71
2011-10-31,67.12,67.49,62.37,65.8,5995800,62.25
2011-10-24,64.41,68.76,63.55,68.17,7826000,64.49
2011-10-17,63.34,64.64,61.33,64.59,5686500,61.1
2011-10-10,62.87,65.23,62.75,63.89,3984000,60.44
2011-10-03,60.1,62.96,56.9,61.81,6612500,58.47
2011-09-26,60.8,64.29,60.,60.51,5939200,57.24
2011-09-19,64.08,64.64,57.53,59.51,6216100,56.3
2011-09-12,60.83,65.75,60.33,65.38,5755400,61.85
2011-09-06,61.91,65.21,61.22,61.79,6072800,58.45
2011-08-29,63.99,67.73,63.6,64.03,5800000,60.57
2011-08-22,59.14,62.97,58.04,62.8,6176300,59.41
2011-08-15,62.06,62.98,57.47,57.54,7475300,54.43
2011-08-08,61.1,62.46,56.01,61.75,13371000,58.42
2011-08-01,71.61,71.63,61.41,62.75,8341400,58.96
2011-07-25,71.38,73.2,69.25,70.47,6454000,66.22
2011-07-18,70.66,73.3,69.07,72.67,5995500,68.28
2011-07-11,74.17,74.73,70.85,71.28,4921800,66.98
2011-07-05,74.17,76.2,73.85,75.07,3979000,70.54
2011-06-27,71.44,74.73,71.33,74.27,3934600,69.79
2011-06-20,73.96,75.02,70.29,71.26,6132500,66.96
2011-06-13,72.94,75.51,72.69,74.16,5075500,69.68
2011-06-06,74.76,75.27,72.61,72.69,3714000,68.3
2011-05-31,77.8,78.35,74.09,74.84,4452700,70.32
2011-05-23,76.55,77.5,75.13,76.99,3816900,72.34
2011-05-16,78.66,78.81,75.83,77.52,3993400,72.84
2011-05-09,79.31,80.42,78.48,79.03,3670400,74.26
2011-05-02,80.35,80.65,78.09,79.31,5076200,74.13
2011-04-25,75.51,80.34,74.68,79.78,6099500,74.57
2011-04-18,72.72,75.74,71.75,75.44,5022700,70.51
2011-04-11,73.65,74.28,70.88,72.6,3896400,67.86
2011-04-04,73.38,74.85,72.71,73.47,4240300,68.67
2011-03-28,73.5,74.85,73.03,74.01,4116400,69.18
2011-03-21,70.29,73.5,70.04,73.34,4882400,68.55
2011-03-14,71.17,71.23,67.34,69.1,5943800,64.59
2011-03-07,71.6,72.5,69.91,71.64,5105800,66.96
2011-02-28,72.47,72.9,68.6,71.8,5502900,67.11
2011-02-22,72.35,74.29,70.,72.3,6563700,67.58
2011-02-14,72.7,73.52,71.09,73.04,4268000,68.27
2011-02-07,71.43,72.99,71.15,72.14,4359100,67.43
2011-01-31,69.26,71.64,69.12,71.38,4552100,66.33
2011-01-24,71.52,72.82,69.,69.23,6982900,64.33
2011-01-18,70.86,72.99,70.23,71.68,7392900,66.61
2011-01-10,69.42,70.5,68.35,70.07,4673600,65.11
2011-01-03,66.15,70.1,66.,69.38,7249400,64.47
2010-12-27,64.73,65.29,64.33,65.26,2433700,60.65
2010-12-20,64.74,65.14,62.82,65.06,5847200,60.46
2010-12-13,64.23,65.29,63.63,65.03,5722500,60.43
2010-12-06,66.41,67.39,63.96,64.16,4821600,59.62
2010-11-29,64.33,66.8,63.44,66.54,5166100,61.83
2010-11-22,63.02,65.58,62.8,64.8,5240400,60.22
2010-11-15,63.35,64.74,61.84,63.59,9831300,59.09
2010-11-08,70.06,70.55,63.01,63.09,9201800,58.63
2010-11-01,70.71,71.89,68.04,71.27,4743100,66.23
2010-10-25,71.68,72.49,69.71,70.64,3893500,65.25
2010-10-18,70.19,71.94,68.35,71.26,5012900,65.82
2010-10-11,69.51,72.17,68.91,70.11,4674500,64.76
2010-10-04,66.57,69.71,65.86,69.23,5029400,63.95
2010-09-27,64.61,67.98,62.94,66.83,4979100,61.73
2010-09-20,62.99,64.86,62.53,64.6,4289900,59.67
2010-09-13,64.73,64.98,61.89,62.95,5890300,58.15
2010-09-07,64.25,65.63,62.95,63.84,3419600,58.97
2010-08-30,63.,65.42,60.8,64.64,4242900,59.71
2010-08-23,65.09,65.24,59.48,63.16,6149400,58.34
2010-08-16,64.27,66.91,63.59,64.6,3643300,59.67
2010-08-09,69.17,69.47,64.44,64.84,3954800,59.89
2010-08-02,69.01,70.,67.36,68.7,4375100,63.46
2010-07-26,68.15,69.75,66.47,68.14,5508900,62.56
2010-07-19,62.72,68.17,61.83,67.93,5431000,62.37
2010-07-12,64.55,65.78,61.68,61.9,5483100,56.83
2010-07-06,62.71,65.2,60.65,64.66,4465800,59.37
2010-06-28,68.43,68.62,61.17,61.94,6371100,56.87
2010-06-21,68.95,69.34,65.65,68.77,7098100,63.14
2010-06-14,66.22,68.14,64.71,67.96,5340600,62.39
2010-06-07,61.69,65.7,59.84,65.38,6996200,60.03
2010-06-01,64.27,65.2,60.93,61.15,5727700,56.14
2010-05-24,63.66,65.41,60.61,64.18,6733700,58.92
2010-05-17,70.36,70.37,61.39,64.56,9090300,59.27
2010-05-10,69.96,73.37,68.98,69.82,6725500,64.1
2010-05-03,72.62,74.7,62.,66.72,7968400,61.26
2010-04-26,74.58,75.29,71.34,72.43,5314900,66.12
2010-04-19,70.27,76.,70.16,75.13,7057100,68.58
2010-04-12,72.15,72.61,69.88,70.79,4651200,64.62
2010-04-05,72.99,73.18,70.95,72.42,5664900,66.11
2010-03-29,73.08,74.53,71.95,72.99,5935200,66.63
2010-03-22,71.66,73.43,71.51,72.59,6412700,66.26
