Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,69.48,70.15,69.45,69.48,2624000,69.48
2014-02-18,69.45,70.03,69.01,69.29,2831800,69.29
2014-02-10,67.77,69.82,67.65,69.08,2343100,69.08
2014-02-03,68.35,68.49,66.44,67.9,3358600,67.9
2014-01-27,67.76,69.43,67.71,68.3,3718500,68.3
2014-01-21,70.03,70.74,67.31,67.64,3796000,67.64
2014-01-13,69.8,70.65,68.96,69.93,3286400,69.93
2014-01-06,69.83,70.29,68.92,70.01,3389000,70.01
2013-12-30,69.42,69.81,69.02,69.3,1948300,69.3
2013-12-23,68.55,69.5,68.,69.47,1921700,69.47
2013-12-16,66.53,68.74,65.53,68.39,4166100,68.39
2013-12-09,67.41,68.13,66.11,66.27,3021400,66.27
2013-12-02,69.01,69.36,66.15,67.39,4257000,67.39
2013-11-25,67.77,68.49,67.2,68.45,2740900,67.95
2013-11-18,69.27,69.31,67.66,67.78,3784600,67.29
2013-11-11,65.2,68.84,64.97,68.66,4191900,68.16
2013-11-04,65.95,66.12,64.78,65.13,3145100,64.66
2013-10-28,67.61,67.75,65.49,65.75,3392100,65.27
2013-10-21,66.02,66.08,64.94,65.49,4134900,65.01
2013-10-14,65.78,67.56,65.36,66.,3925100,65.52
2013-10-07,65.24,66.01,64.32,66.,3235100,65.52
2013-09-30,66.21,66.3,62.8,65.01,5056200,64.54
2013-09-23,71.64,72.,66.01,66.38,5379700,65.9
2013-09-16,72.81,72.85,71.05,71.58,2534100,71.06
2013-09-09,70.21,72.3,70.,71.78,2041200,71.26
2013-09-03,70.26,70.55,69.07,70.01,2501100,69.5
2013-08-26,71.94,72.22,69.38,69.56,2221800,68.57
2013-08-19,71.04,72.09,70.46,71.94,1763500,70.91
2013-08-12,73.67,74.11,71.04,71.12,2805700,70.11
2013-08-05,70.3,74.,70.24,73.79,3733800,72.74
2013-07-29,73.01,73.97,69.31,70.44,4318300,69.43
2013-07-22,74.09,74.6,72.41,73.02,2608200,71.98
2013-07-15,72.64,74.14,72.4,74.04,2448500,72.98
2013-07-08,70.29,72.79,70.27,72.5,2352800,71.47
2013-07-01,69.64,70.5,69.04,69.88,1719400,68.88
2013-06-24,69.6,70.4,68.6,69.27,3083700,68.28
2013-06-17,71.,71.13,67.91,69.96,2838100,68.96
2013-06-10,70.08,71.32,68.68,70.6,2449900,69.59
2013-06-03,70.42,70.56,68.5,69.97,3040600,68.97
2013-05-28,72.09,72.81,70.33,70.33,2595400,68.84
2013-05-20,73.01,73.95,71.33,71.51,3363800,69.99
2013-05-13,70.46,73.4,70.17,72.94,4999300,71.39
2013-05-06,70.21,71.45,67.51,70.76,7698200,69.26
