Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.03,37.86,37.02,37.7,3577100,37.7
2014-02-18,37.56,37.7,36.57,37.22,3093100,37.22
2014-02-10,37.21,37.73,36.89,37.6,2904600,37.6
2014-02-03,37.45,37.48,36.28,37.29,2859600,37.06
2014-01-27,38.26,38.41,37.11,37.41,3953200,37.18
2014-01-21,38.85,39.34,38.2,38.26,4931400,38.03
2014-01-13,38.57,39.12,38.03,38.78,6005300,38.54
2014-01-06,37.36,38.78,37.26,38.66,5744500,38.42
2013-12-30,37.1,37.42,36.7,36.93,2585600,36.7
2013-12-23,36.75,37.42,36.67,37.1,2949700,36.87
2013-12-16,35.42,36.83,35.28,36.68,4776600,36.46
2013-12-09,34.99,35.58,34.36,35.34,4558300,35.12
2013-12-02,34.82,35.06,34.06,34.95,4075600,34.74
2013-11-25,34.85,35.11,34.73,34.74,2904100,34.53
2013-11-18,33.78,34.8,33.65,34.74,2931900,34.53
2013-11-11,33.56,33.91,32.85,33.78,3643300,33.57
2013-11-04,34.,34.,32.82,33.63,4016200,33.42
2013-10-28,34.78,34.91,33.88,33.89,3409600,33.45
2013-10-21,33.55,34.9,33.5,34.81,4297800,34.36
2013-10-14,33.57,34.36,33.35,33.6,4272200,33.17
2013-10-07,33.37,33.84,32.65,33.73,3000300,33.29
2013-09-30,33.71,34.09,33.26,33.67,2642600,33.24
2013-09-23,34.92,35.,33.46,33.97,3602300,33.53
2013-09-16,34.36,35.58,34.17,35.05,4843200,34.6
2013-09-09,33.51,34.17,33.3,34.01,2477900,33.57
2013-09-03,34.41,34.47,33.33,33.52,3780300,33.09
2013-08-26,35.76,36.09,33.87,33.96,2925800,33.52
2013-08-19,35.49,36.16,35.2,35.76,3090900,35.3
2013-08-12,35.41,36.11,35.19,35.53,2678200,35.07
2013-08-05,36.36,36.59,35.31,35.46,2165300,35.
2013-07-29,35.7,36.46,35.3,36.42,2911000,35.72
2013-07-22,35.07,35.9,35.03,35.74,2894300,35.05
2013-07-15,34.8,35.2,34.2,35.1,4164200,34.43
2013-07-08,35.,35.23,34.28,34.8,3726800,34.13
2013-07-01,34.08,34.89,33.83,34.88,2896500,34.21
2013-06-24,33.35,34.37,33.07,33.88,4007400,33.23
2013-06-17,33.05,33.83,32.71,33.68,4228200,33.03
2013-06-10,33.43,33.72,32.67,32.78,3334900,32.15
2013-06-03,33.06,33.37,32.1,33.23,3789900,32.59
2013-05-28,33.11,33.69,32.87,32.92,3795700,32.29
2013-05-20,32.46,33.19,32.26,32.82,3982300,32.19
2013-05-13,31.39,32.63,31.38,32.55,4956500,31.93
2013-05-06,30.91,31.61,30.88,31.41,3021400,30.81
2013-04-29,30.65,31.04,30.1,30.94,3827700,30.12
2013-04-22,29.74,30.84,29.51,30.57,3747900,29.76
2013-04-15,30.86,30.91,29.18,29.69,5508100,28.91
2013-04-08,30.1,31.43,29.9,31.01,3765900,30.19
2013-04-01,31.41,31.42,29.82,30.1,3968700,29.31
2013-03-25,30.88,31.42,30.68,31.39,3484800,30.56
2013-03-18,30.66,31.02,30.56,30.8,3385500,29.99
2013-03-11,31.33,31.81,30.67,30.98,4990900,30.16
2013-03-04,30.58,31.71,30.22,31.4,5683200,30.57
2013-02-25,30.8,30.9,29.89,30.66,4209200,29.85
2013-02-19,30.31,30.6,29.86,30.58,4064100,29.77
2013-02-11,30.67,30.8,30.18,30.27,2898000,29.47
2013-02-04,30.94,31.12,30.47,30.65,4047600,29.84
2013-01-28,30.94,31.36,30.13,31.12,4724500,30.08
2013-01-22,31.02,31.19,30.64,30.87,4088900,29.83
2013-01-14,30.32,31.22,29.92,31.04,4272900,30.
2013-01-07,30.06,30.58,29.62,30.31,3389900,29.29
2012-12-31,28.76,30.23,28.71,30.2,4923900,29.19
2012-12-24,29.41,29.44,28.62,28.85,2401900,27.69
2012-12-17,28.48,29.77,28.38,29.45,4987700,28.27
2012-12-10,28.32,29.1,28.13,28.29,3990500,27.15
2012-12-03,28.31,28.49,27.52,28.42,4427600,27.28
2012-11-26,28.61,28.7,27.84,28.17,3799600,27.04
2012-11-19,28.38,28.81,28.05,28.81,3567500,27.65
2012-11-12,28.,28.08,26.86,28.04,7289600,26.91
2012-11-05,29.3,29.38,27.5,27.55,6180000,26.44
2012-10-31,29.18,29.56,28.69,29.42,5683900,28.24
2012-10-22,29.8,29.92,28.6,29.01,6505600,27.84
2012-10-15,32.46,32.58,29.66,29.78,8245800,28.58
2012-10-08,33.51,33.57,32.24,32.34,3494500,31.04
2012-10-01,33.36,33.89,32.76,33.64,3718900,32.29
2012-09-24,33.15,33.73,32.72,33.16,4054000,31.63
2012-09-17,33.85,33.96,33.02,33.31,3884900,31.78
2012-09-10,32.79,34.37,32.31,33.99,4038000,32.43
2012-09-04,31.51,32.92,31.34,32.86,3777300,31.35
2012-08-27,31.24,31.8,31.04,31.54,3059100,30.09
2012-08-20,31.87,32.,30.9,31.11,3161900,29.68
2012-08-13,31.53,32.,31.34,31.96,2524200,30.49
2012-08-06,31.79,31.91,31.34,31.56,2443200,30.11
2012-07-30,32.18,32.18,30.78,31.65,5058700,30.19
2012-07-23,31.19,32.67,31.08,32.4,4588900,30.91
2012-07-16,31.34,32.73,31.21,31.68,5001500,30.22
2012-07-09,30.84,31.51,30.56,31.5,3818000,30.05
2012-07-02,31.26,31.29,30.41,30.95,3932800,29.53
2012-06-25,29.91,30.85,29.36,30.85,4838700,29.24
2012-06-18,29.78,30.52,29.62,30.39,4698600,28.8
2012-06-11,29.26,29.82,28.19,29.82,4996100,28.26
2012-06-04,28.42,29.08,27.4,29.01,5833300,27.5
2012-05-29,30.64,30.75,28.28,28.35,5177100,26.87
2012-05-21,29.86,30.69,29.52,30.43,4140000,28.84
2012-05-14,31.17,31.5,29.52,29.68,4591800,28.13
2012-05-07,31.57,32.,31.,31.75,3517400,30.09
2012-04-30,32.6,32.74,31.43,31.57,4313900,29.92
2012-04-23,31.01,32.71,31.01,32.63,5283700,30.93
2012-04-16,30.75,31.72,30.48,31.58,6427500,29.93
2012-04-09,30.69,31.21,29.93,30.49,5168300,28.9
2012-04-02,31.22,31.69,31.03,31.3,5692900,29.67
2012-03-26,31.34,31.94,30.98,31.39,5713900,29.56
2012-03-19,31.,31.71,30.54,30.99,4388100,29.19
2012-03-12,29.4,31.41,28.92,31.06,7170600,29.25
2012-03-05,29.2,29.66,28.24,29.46,4734400,27.75
2012-02-27,29.24,30.1,29.08,29.31,6430200,27.61
2012-02-21,30.37,30.4,29.3,29.48,4067100,27.77
2012-02-13,29.65,30.39,29.18,30.33,5107800,28.57
2012-02-06,28.93,29.83,28.65,29.33,7279600,27.62
2012-01-30,26.66,29.25,26.61,29.12,8169100,27.43
2012-01-23,27.43,27.9,26.83,26.95,6297300,25.38
2012-01-17,27.47,27.66,26.58,27.49,7361700,25.89
2012-01-09,25.98,27.3,25.81,27.23,5395200,25.65
2012-01-03,25.64,26.49,25.26,25.79,4868900,24.29
2011-12-27,25.3,25.57,24.92,25.17,2603900,23.56
2011-12-19,24.,25.54,23.45,25.48,3906800,23.85
2011-12-12,23.3,24.31,22.88,24.05,6360800,22.51
2011-12-05,23.81,23.98,22.98,23.79,4404600,22.27
2011-11-28,22.23,23.78,21.58,23.4,5440600,21.9
2011-11-21,22.29,22.33,21.03,21.17,3942800,19.82
2011-11-14,23.46,23.64,22.51,22.68,5030600,21.23
2011-11-07,23.25,24.27,22.73,23.58,5531200,22.07
2011-10-31,23.51,24.04,22.14,23.37,7207700,21.87
2011-10-24,23.1,24.3,22.76,23.91,7524800,22.38
2011-10-17,22.19,23.23,21.66,23.05,9378000,21.58
2011-10-10,21.6,23.28,21.54,22.54,10879700,21.1
2011-10-03,21.26,22.03,19.76,20.93,14168100,19.45
2011-09-26,21.12,22.89,20.95,21.33,6902400,19.82
2011-09-19,22.22,22.53,20.24,20.86,6872500,19.39
2011-09-12,20.58,22.9,20.54,22.67,6159600,21.07
2011-09-06,20.13,22.25,20.09,20.9,7823400,19.42
2011-08-29,21.05,22.39,20.82,20.91,6039900,19.43
2011-08-22,19.75,21.7,18.92,20.74,9058100,19.27
2011-08-15,20.86,21.27,19.25,19.27,7076400,17.91
2011-08-08,22.33,22.99,19.85,20.54,11509200,19.09
2011-08-01,26.02,26.11,23.03,23.31,7874100,21.66
2011-07-25,25.86,26.37,25.38,25.68,4164400,23.87
2011-07-18,25.15,26.44,24.59,26.18,5573400,24.33
2011-07-11,25.71,26.19,25.06,25.32,5746500,23.53
2011-07-05,27.25,27.36,26.09,26.09,4693400,24.25
2011-06-27,25.33,27.36,25.33,27.34,4819100,25.26
2011-06-20,26.04,26.46,25.33,25.45,6799800,23.51
2011-06-13,26.11,26.53,25.62,26.19,5738400,24.2
2011-06-06,25.88,26.18,25.24,25.83,4888800,23.86
2011-05-31,27.5,27.56,25.68,26.12,7511900,24.13
2011-05-23,26.24,27.46,25.87,27.3,5170900,25.22
2011-05-16,26.53,27.31,26.41,26.56,5831900,24.54
2011-05-09,27.,27.24,26.56,26.63,6554600,24.6
2011-05-02,27.1,27.1,26.27,26.98,5326700,24.93
2011-04-25,26.01,26.93,25.63,26.92,5304300,24.87
2011-04-18,26.33,27.37,25.3,25.98,7784100,24.
2011-04-11,27.23,27.47,26.31,26.53,4845300,24.51
2011-04-04,27.71,27.81,27.07,27.23,5380400,25.16
2011-03-28,27.38,27.93,27.15,27.62,4620600,25.36
2011-03-21,27.31,27.31,26.24,27.07,4720000,24.85
2011-03-14,26.89,27.75,26.19,27.01,7060800,24.8
2011-03-07,26.52,27.3,26.17,27.1,5728700,24.88
