Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,24.75,25.34,24.59,25.17,6028600,25.17
2014-02-18,24.94,25.17,24.58,24.64,5274400,24.64
2014-02-10,24.51,25.66,24.16,24.78,8223500,24.78
2014-02-03,23.54,24.78,22.3,24.55,9056300,24.55
2014-01-27,25.04,25.13,22.15,23.54,11059600,23.54
2014-01-21,24.59,26.34,24.25,25.02,18756600,25.02
2014-01-13,37.8,38.43,24.41,24.43,35444100,24.43
2014-01-06,39.96,40.45,36.86,37.81,7740600,37.81
2013-12-30,40.26,41.,39.32,40.68,3313600,40.68
2013-12-23,39.76,41.24,39.58,40.17,3136800,40.17
2013-12-16,40.86,42.21,39.64,39.66,5120400,39.66
2013-12-09,41.07,41.93,40.,40.51,3833100,40.51
2013-12-02,40.59,43.19,40.32,41.05,5953500,41.05
2013-11-25,40.01,40.6,39.23,40.55,4835300,40.38
2013-11-18,43.94,44.35,37.91,39.37,13367100,39.21
2013-11-11,43.44,44.66,42.92,43.69,5328900,43.51
2013-11-04,43.03,44.26,40.85,42.41,5410700,42.24
2013-10-28,43.01,43.85,41.81,42.93,3584800,42.75
2013-10-21,43.01,43.7,42.31,42.77,5259400,42.6
2013-10-14,38.98,43.27,38.8,42.97,8256400,42.79
2013-10-07,37.71,39.64,34.88,39.26,6538600,39.1
2013-09-30,37.27,38.45,36.86,38.15,3430000,37.99
2013-09-23,38.52,39.16,37.45,37.98,4705600,37.82
2013-09-16,38.71,39.28,38.13,38.3,4883400,38.14
2013-09-09,37.22,38.56,37.01,38.28,4094500,38.12
2013-09-03,36.44,37.98,36.44,37.02,6700600,36.87
2013-08-26,35.09,36.65,34.75,36.,6141300,35.69
2013-08-19,30.47,35.68,30.4,35.08,12693800,34.78
2013-08-12,30.46,32.17,30.33,30.37,4987500,30.11
2013-08-05,31.19,31.73,30.16,30.63,4437700,30.37
2013-07-29,29.5,31.33,28.64,31.3,3460800,31.03
2013-07-22,28.97,29.94,28.65,29.65,2156700,29.39
2013-07-15,29.76,29.92,28.31,28.97,3313000,28.72
2013-07-08,29.94,30.35,28.03,29.73,7001100,29.47
2013-07-01,27.9,29.91,27.72,29.73,6916100,29.47
2013-06-24,26.36,27.96,25.78,27.33,3815200,27.09
2013-06-17,27.02,28.2,26.27,26.77,4891700,26.54
2013-06-10,27.38,28.22,26.63,26.87,5722800,26.64
2013-06-03,28.23,28.37,26.82,27.36,6822600,27.12
2013-05-28,26.27,28.26,26.22,27.55,8867300,27.15
2013-05-20,26.89,27.37,25.17,26.03,9591100,25.65
2013-05-13,25.47,27.15,25.11,26.9,5194900,26.5
2013-05-06,26.47,26.59,24.98,25.37,4598000,25.
2013-04-29,23.58,26.92,23.3,26.52,9103900,26.13
2013-04-22,23.14,24.38,22.87,23.5,5185500,23.15
2013-04-15,23.91,24.27,22.55,23.25,7188500,22.91
2013-04-08,25.5,26.29,23.42,24.09,16997300,23.74
2013-04-01,22.13,25.46,21.47,25.45,20438700,25.08
2013-03-25,22.9,23.46,21.77,22.15,9682100,21.82
2013-03-18,21.22,23.46,21.22,22.78,14853200,22.45
2013-03-11,20.28,21.8,19.99,21.45,13639200,20.97
2013-03-04,17.08,20.61,16.98,20.17,17263700,19.72
2013-02-25,17.06,17.46,15.75,17.16,13886300,16.78
2013-02-19,17.53,17.76,16.89,17.02,9533100,16.64
2013-02-11,15.24,16.89,13.83,16.87,11697300,16.49
2013-02-04,16.04,16.17,15.12,15.29,4969700,14.95
2013-01-28,16.18,16.41,15.62,16.11,6723900,15.75
2013-01-22,14.88,15.82,14.75,15.78,10555600,15.43
2013-01-14,14.,14.96,13.92,14.88,10486400,14.55
2013-01-07,12.06,14.38,11.38,14.21,15193900,13.89
2012-12-31,11.36,12.21,11.29,12.11,6736800,11.84
2012-12-24,11.68,11.72,11.2,11.29,4305200,11.04
2012-12-17,12.09,12.38,11.6,11.67,7337300,11.41
2012-12-10,11.75,14.48,11.6,12.05,23661800,11.78
2012-12-03,13.11,13.16,11.91,11.99,7247400,11.72
2012-11-26,11.75,13.5,11.7,13.11,14948000,12.64
2012-11-19,14.27,14.3,11.41,11.7,17242700,11.28
2012-11-12,15.58,16.25,13.52,13.75,7358900,13.26
2012-11-05,14.73,15.98,14.38,15.3,5508600,14.75
2012-10-31,14.94,15.33,14.62,14.69,4656200,14.17
2012-10-22,17.21,17.48,14.71,14.96,8342900,14.43
2012-10-15,17.85,17.91,17.22,17.25,2819700,16.63
2012-10-08,17.8,18.22,17.59,17.66,3341600,17.03
2012-10-01,17.2,18.53,16.85,18.03,5903900,17.39
2012-09-24,17.75,18.11,16.78,17.2,5931400,16.59
2012-09-17,18.5,18.52,17.46,17.81,5972800,17.17
2012-09-10,18.2,18.79,18.1,18.58,4924500,17.92
2012-09-04,17.72,18.63,17.51,18.23,6010600,17.58
2012-08-27,18.5,18.65,17.45,17.74,10660800,16.95
2012-08-20,19.,19.2,16.25,17.31,18995000,16.54
2012-08-13,19.1,20.55,18.97,20.27,6338200,19.36
2012-08-06,21.6,21.6,18.46,19.21,17349700,18.35
2012-07-30,18.79,18.8,17.17,17.64,7745800,16.85
2012-07-23,18.,18.83,16.97,17.76,9506700,16.97
2012-07-16,19.13,19.18,18.12,18.23,6331100,17.42
2012-07-09,21.51,21.71,18.38,19.,10566300,18.15
2012-07-02,21.88,23.57,21.5,21.59,14104300,20.63
2012-06-25,19.,21.59,18.39,20.96,11419700,20.02
2012-06-18,19.85,20.91,19.18,19.19,7194700,18.33
2012-06-11,20.13,20.44,19.29,20.03,8303700,19.13
2012-06-04,18.32,20.34,17.92,19.98,13760900,19.09
2012-05-29,19.25,19.44,18.18,18.3,6438300,17.34
2012-05-21,17.66,19.25,17.53,19.17,10826600,18.16
2012-05-14,19.14,19.7,17.84,18.02,7731000,17.07
2012-05-07,20.66,20.95,19.23,19.28,6713200,18.27
2012-04-30,22.33,22.69,20.78,20.82,5583800,19.73
2012-04-23,21.26,22.33,21.13,22.33,5881900,21.16
2012-04-16,22.05,22.43,21.39,21.47,6733600,20.34
2012-04-09,22.31,23.74,21.21,22.04,17590200,20.73
2012-04-02,23.24,23.98,22.43,22.65,9164500,21.3
2012-03-26,27.69,27.75,23.61,23.68,14285700,22.27
2012-03-19,25.35,27.95,25.31,27.51,9006700,25.88
2012-03-12,24.72,25.65,23.39,25.52,6972900,24.
2012-03-05,24.22,24.89,23.92,24.77,3773300,23.3
2012-02-27,24.91,25.68,24.28,24.31,4025600,22.87
2012-02-21,25.93,26.29,24.92,24.99,4477900,23.51
2012-02-13,25.22,26.05,25.02,25.71,3226800,24.18
2012-02-06,23.78,25.75,23.76,25.08,5745300,23.59
2012-01-30,25.18,25.47,23.68,23.86,6466700,22.44
2012-01-23,24.96,25.99,24.85,25.44,4967400,23.93
2012-01-17,24.49,25.44,24.32,25.,4238900,23.52
2012-01-09,24.28,25.03,23.96,24.29,5362400,22.85
2012-01-03,23.7,24.6,22.85,24.22,7651200,22.78
2011-12-27,23.2,23.58,22.85,23.37,4681000,21.98
2011-12-19,23.25,23.39,22.48,23.28,6811100,21.75
2011-12-12,28.02,28.46,23.01,23.19,14344700,21.66
2011-12-05,27.96,28.53,27.18,28.11,5421200,26.26
2011-11-28,26.95,28.42,26.22,27.6,7244600,25.78
2011-11-21,26.62,26.74,25.54,25.63,4186800,23.94
2011-11-14,27.93,28.34,26.9,27.06,5793000,25.28
2011-11-07,27.19,28.36,25.88,28.09,7270700,26.24
2011-10-31,26.65,27.52,25.33,27.31,5704900,25.51
2011-10-24,26.12,27.6,25.88,26.5,5904500,24.75
2011-10-17,25.43,26.39,24.53,26.08,4291300,24.36
2011-10-10,25.2,26.31,24.8,25.66,4475000,23.97
2011-10-03,23.19,25.47,21.79,24.77,8608300,23.14
