Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,141.54,143.,141.41,142.44,883300,142.44
2014-02-18,139.18,142.24,138.95,141.57,743100,141.57
2014-02-10,130.93,139.39,130.33,139.19,977000,139.19
2014-02-03,129.14,131.2,125.,131.02,861700,131.02
2014-01-27,132.69,132.71,125.53,129.59,924900,129.59
2014-01-21,136.38,136.89,133.06,133.09,530400,133.09
2014-01-13,133.82,137.,133.24,135.21,588000,135.21
2014-01-06,130.24,134.85,128.14,134.41,882700,134.2
2013-12-30,133.42,134.76,130.99,131.13,526500,130.93
2013-12-23,132.31,134.1,130.73,133.29,283400,133.08
2013-12-16,133.64,134.62,131.39,132.15,530500,131.95
2013-12-09,137.41,138.44,133.06,133.6,337500,133.39
2013-12-02,139.18,139.64,136.,137.44,346100,137.23
2013-11-25,140.,140.98,138.53,138.88,551900,138.67
2013-11-18,139.05,141.02,136.85,139.85,695700,139.63
2013-11-11,137.4,139.15,136.65,139.05,462900,138.84
2013-11-04,136.34,139.25,136.19,137.62,540500,137.41
2013-10-28,134.5,139.94,133.95,136.38,628800,136.17
2013-10-21,124.99,138.79,124.26,134.55,1238900,134.34
2013-10-14,118.3,128.84,118.3,124.5,598900,124.31
2013-10-07,114.99,119.11,113.81,119.08,581700,118.69
2013-09-30,115.36,116.54,113.52,115.86,577100,115.48
2013-09-23,118.55,118.88,115.58,115.74,483500,115.36
2013-09-16,119.72,121.16,118.44,118.45,610100,118.06
2013-09-09,117.8,119.99,116.62,118.62,408900,118.23
2013-09-03,115.33,118.23,113.66,117.81,490500,117.42
2013-08-26,114.58,115.89,112.97,114.87,469600,114.49
2013-08-19,111.83,114.84,111.37,114.51,471000,114.13
2013-08-12,117.03,117.3,111.24,111.82,415900,111.45
2013-08-05,115.77,117.54,115.27,117.37,439500,116.98
2013-07-29,114.05,116.,113.01,115.77,421900,115.39
2013-07-22,114.,115.,110.,114.46,550500,114.08
2013-07-15,111.9,114.55,110.74,114.17,530000,113.79
2013-07-08,108.75,111.21,107.88,111.16,397200,110.59
2013-07-01,108.54,109.16,106.72,108.41,510200,107.85
2013-06-24,109.54,110.34,107.6,108.68,811300,108.12
2013-06-17,111.78,112.36,108.81,110.1,626600,109.53
2013-06-10,105.16,112.28,103.82,111.04,745600,110.47
2013-06-03,103.22,105.88,102.55,105.4,548100,104.86
2013-05-28,105.75,106.98,103.09,103.09,464900,102.56
2013-05-20,107.18,107.95,104.22,105.14,535400,104.6
2013-05-13,104.24,107.47,104.06,107.41,676100,106.86
2013-05-06,101.55,104.68,99.44,104.61,455400,104.07
2013-04-29,98.69,101.88,98.21,101.57,925800,101.05
2013-04-22,99.61,100.,97.9,98.55,677700,98.04
2013-04-15,102.92,103.16,97.61,99.53,738500,98.82
2013-04-08,99.95,103.32,99.5,103.05,821200,102.31
2013-04-01,100.6,101.81,99.84,100.11,592700,99.39
2013-03-25,100.91,101.09,99.55,100.78,769100,100.06
2013-03-18,101.13,101.88,100.01,100.62,519300,99.9
2013-03-11,100.72,102.21,100.27,101.88,516900,101.15
2013-03-04,98.66,102.47,97.7,100.67,547500,99.95
2013-02-25,98.68,99.53,97.14,98.8,561300,98.09
2013-02-19,100.54,100.88,97.36,98.27,573700,97.57
2013-02-11,101.2,101.84,100.33,100.79,357500,100.07
2013-02-04,99.21,102.05,98.08,101.19,696100,100.47
2013-01-28,103.64,103.73,97.79,99.35,899800,98.64
2013-01-22,101.52,105.54,101.15,103.44,774600,102.7
2013-01-14,103.39,104.63,100.36,101.59,637200,100.86
2013-01-07,100.57,104.06,100.57,103.13,549900,102.19
2012-12-31,95.76,101.85,95.39,100.93,731800,100.01
2012-12-24,97.66,98.86,95.99,95.99,414800,95.12
2012-12-17,96.45,100.59,95.47,98.18,619800,97.29
2012-12-10,97.26,98.86,95.93,96.22,429900,95.34
2012-12-03,99.21,99.89,96.81,97.46,395800,96.57
2012-11-26,98.28,99.19,96.52,99.01,448400,98.11
2012-11-19,96.53,98.59,95.97,98.54,362600,97.64
2012-11-12,95.04,96.,93.79,95.78,528500,94.91
2012-11-05,95.41,98.26,94.21,94.73,528900,93.87
2012-10-31,96.87,97.7,95.51,96.07,461400,95.19
2012-10-22,96.8,100.46,95.74,96.44,850500,95.56
2012-10-15,101.32,102.71,99.36,99.72,548400,98.81
2012-10-08,105.31,105.53,100.79,100.98,388100,99.87
2012-10-01,105.,106.49,104.59,105.6,420900,104.43
2012-09-24,105.,105.99,103.56,104.65,497500,103.49
2012-09-17,101.72,105.,101.69,104.74,569500,103.58
2012-09-10,100.51,102.63,99.25,102.23,697000,101.1
2012-09-04,98.03,101.4,97.55,100.8,805200,99.69
2012-08-27,97.93,98.64,97.17,98.11,352900,97.03
2012-08-20,98.42,98.85,97.02,97.95,365700,96.87
2012-08-13,98.41,99.24,97.54,98.4,451500,97.31
2012-08-06,97.4,98.77,97.,98.57,413800,97.48
2012-07-30,99.44,99.96,93.69,97.46,642200,96.38
2012-07-23,104.87,104.99,97.,99.59,847900,98.49
2012-07-16,107.73,108.07,105.24,105.71,641400,104.54
2012-07-09,106.69,108.05,104.69,107.71,524700,106.32
2012-07-02,107.04,108.31,105.98,106.68,549800,105.3
2012-06-25,104.38,107.91,102.35,107.44,528600,106.05
2012-06-18,101.98,105.79,101.97,104.43,503800,103.08
2012-06-11,100.,102.82,97.28,102.42,831100,101.1
2012-06-04,95.27,99.68,94.9,99.61,435500,98.33
2012-05-29,100.26,100.89,95.48,95.6,620700,94.37
2012-05-21,96.9,100.43,96.8,99.9,500000,98.61
2012-05-14,100.34,101.82,96.48,96.78,624600,95.53
2012-05-07,99.16,102.7,98.9,101.18,720000,99.88
2012-04-30,98.66,100.13,98.14,99.38,484500,98.1
2012-04-23,97.62,99.63,96.07,98.71,684700,97.44
2012-04-16,96.38,98.81,95.38,98.07,604700,96.62
2012-04-09,96.78,97.04,95.27,96.03,542800,94.61
2012-04-02,98.93,99.47,97.18,98.01,481500,96.56
2012-03-26,97.,99.64,96.99,98.72,463100,97.26
2012-03-19,96.79,96.97,95.29,96.56,563300,95.13
2012-03-12,94.15,97.3,94.08,97.28,524200,95.84
2012-03-05,93.17,94.74,91.91,94.07,491300,92.68
2012-02-27,93.57,94.87,92.62,93.3,553800,91.92
2012-02-21,95.44,95.78,93.35,94.07,576700,92.68
2012-02-13,95.96,97.27,94.7,95.53,752400,94.11
2012-02-06,93.16,95.7,91.41,95.67,1095600,94.25
2012-01-30,92.67,95.39,91.69,93.48,747900,92.09
