Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,82.25,83.28,81.67,83.11,512700,83.11
2014-02-18,81.11,81.99,80.32,81.68,359800,81.68
2014-02-10,78.42,81.09,77.59,80.95,434700,80.95
2014-02-03,76.87,78.63,75.54,78.58,514800,78.58
2014-01-27,77.74,79.9,75.26,77.,626200,77.
2014-01-21,79.9,80.22,77.75,77.76,464700,77.76
2014-01-13,75.55,80.76,75.55,79.2,752800,79.2
2014-01-06,75.23,75.49,73.44,75.2,514400,75.2
2013-12-30,75.4,75.87,74.01,74.93,257100,74.93
2013-12-23,75.5,75.94,74.33,75.41,172000,75.41
2013-12-16,73.4,75.29,72.5,75.14,346100,75.14
2013-12-09,76.73,76.73,72.92,73.37,348400,73.37
2013-12-02,75.,76.69,73.4,76.31,424000,76.31
2013-11-25,75.39,76.21,74.96,75.02,184200,75.02
2013-11-18,75.56,76.44,74.1,75.38,180000,75.38
2013-11-11,74.35,75.35,72.99,75.09,207300,75.09
2013-11-04,73.27,74.46,72.11,74.21,284800,74.21
2013-10-28,73.18,74.96,72.52,73.09,338600,73.09
2013-10-21,72.19,73.49,71.23,72.8,241900,72.8
2013-10-14,69.72,73.3,69.56,72.61,436400,72.61
2013-10-07,67.96,70.26,67.25,70.23,328200,70.23
2013-09-30,68.49,69.2,67.51,68.75,433900,68.75
2013-09-23,70.55,70.75,68.41,68.77,273100,68.77
2013-09-16,71.02,72.53,70.12,70.46,677300,70.46
2013-09-09,68.22,70.1,67.94,70.03,274500,70.03
2013-09-03,67.4,68.65,66.41,68.23,420700,68.23
2013-08-26,69.86,70.22,66.83,66.99,384400,66.99
2013-08-19,68.8,70.63,68.36,69.87,244900,69.87
2013-08-12,72.11,72.16,68.68,68.75,277200,68.75
2013-08-05,72.58,73.32,71.99,72.56,296700,72.56
2013-07-29,71.76,73.73,71.44,72.62,333100,72.62
2013-07-22,72.83,73.17,71.1,72.08,187800,72.08
2013-07-15,72.04,73.71,71.65,73.,358000,73.
2013-07-08,67.52,72.29,67.48,72.16,382100,72.16
2013-07-01,67.69,68.45,66.84,67.48,300000,67.48
2013-06-24,67.94,69.,66.97,67.55,336800,67.55
2013-06-17,70.26,71.15,66.44,68.24,338500,68.24
2013-06-10,69.88,71.07,68.28,69.94,248900,69.94
2013-06-03,68.55,70.8,67.88,69.89,397300,69.89
2013-05-28,71.59,72.34,68.82,68.82,304300,68.57
2013-05-20,72.79,72.94,70.5,71.03,214300,70.77
2013-05-13,70.43,74.29,70.22,72.88,271500,72.61
2013-05-06,71.4,71.59,70.14,70.58,225400,70.32
2013-04-29,70.28,71.68,69.35,71.6,256700,71.33
2013-04-22,71.61,71.61,69.54,70.2,209600,69.94
2013-04-15,70.6,71.98,69.75,71.71,336200,71.44
2013-04-08,69.37,71.02,69.04,70.8,202000,70.54
2013-04-01,71.35,71.99,69.12,69.43,285400,69.17
2013-03-25,69.16,71.46,68.94,71.4,261200,71.14
2013-03-18,68.14,69.27,67.82,68.94,226700,68.68
2013-03-11,67.41,69.03,67.32,68.85,289400,68.59
2013-03-04,65.66,68.36,65.64,67.48,329200,67.23
2013-02-25,67.02,67.09,65.28,65.6,431000,65.11
2013-02-19,65.33,66.9,65.21,66.87,375100,66.37
2013-02-11,65.12,65.71,63.84,65.24,574100,64.75
2013-02-04,65.08,65.63,64.4,65.08,348300,64.6
2013-01-28,65.25,65.91,64.14,65.44,465300,64.95
2013-01-22,64.5,65.14,63.8,65.09,324900,64.61
2013-01-14,62.94,64.72,62.74,64.62,518500,64.14
2013-01-07,62.41,63.32,60.9,62.94,686700,62.47
2012-12-31,62.,64.,61.67,62.73,636200,62.26
2012-12-24,63.12,63.56,62.05,62.05,267500,61.59
2012-12-17,63.37,64.09,62.86,63.31,592900,62.84
2012-12-10,64.61,66.07,62.64,63.28,704200,62.81
2012-12-03,70.3,71.,67.82,68.57,881100,68.06
2012-11-26,68.09,70.87,67.61,70.18,663600,69.4
2012-11-19,65.78,68.42,65.21,68.42,216800,67.66
2012-11-12,64.25,65.61,63.5,65.31,463600,64.59
2012-11-05,64.34,65.03,63.09,64.15,311600,63.44
2012-10-31,63.62,65.16,63.15,64.47,323000,63.76
2012-10-22,64.17,64.95,62.77,63.6,271500,62.9
2012-10-15,65.7,67.88,64.41,64.46,352500,63.75
2012-10-08,66.67,66.75,65.,65.46,326000,64.74
