Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,62.34,63.53,62.09,63.08,6327200,63.08
2014-02-18,59.97,61.88,59.77,61.02,4041300,61.02
2014-02-10,59.41,61.73,58.9,59.68,5746100,59.68
2014-02-03,56.75,59.7,55.89,59.51,5974000,59.51
2014-01-27,56.39,57.34,55.08,56.64,5762900,56.64
2014-01-21,55.14,57.05,55.,56.43,6794300,56.28
2014-01-13,53.47,54.2,52.07,54.14,5322000,53.99
2014-01-06,53.95,53.96,50.8,53.06,4920000,52.92
2013-12-30,54.86,55.42,53.43,53.59,2784700,53.45
2013-12-23,54.12,54.96,53.51,54.77,2077300,54.62
2013-12-16,52.89,54.14,52.43,53.81,3695900,53.67
2013-12-09,53.69,54.08,52.25,52.71,4059800,52.57
2013-12-02,57.11,57.17,53.45,53.83,5382200,53.69
2013-11-25,57.85,57.85,56.27,56.96,3193100,56.81
2013-11-18,58.4,58.57,56.79,57.91,3239900,57.75
2013-11-11,57.96,58.73,56.67,58.27,3866200,58.11
2013-11-04,58.45,58.66,55.72,57.92,4910400,57.76
2013-10-28,58.02,58.83,57.26,58.29,3727900,58.13
2013-10-21,55.47,58.67,55.12,58.23,5847300,57.92
2013-10-14,49.87,57.35,49.43,55.55,7026000,55.26
2013-10-07,48.96,50.54,48.37,50.23,2446000,49.97
2013-09-30,48.97,49.95,48.4,49.45,3112800,49.19
2013-09-23,49.61,50.03,48.88,49.53,2377600,49.27
2013-09-16,50.18,50.88,49.43,49.84,3219800,49.58
2013-09-09,49.11,50.72,49.03,49.7,4509400,49.44
2013-09-03,47.04,49.48,46.57,48.99,3537900,48.73
2013-08-26,47.53,47.77,46.25,46.49,2667700,46.25
2013-08-19,46.72,47.69,46.09,47.51,2501000,47.26
2013-08-12,47.11,47.9,46.69,46.86,2689800,46.61
2013-08-05,48.4,48.4,47.,47.44,2355600,47.19
2013-07-29,47.77,48.57,46.98,48.42,2628300,48.17
2013-07-22,47.7,48.48,47.05,47.98,3476100,47.58
2013-07-15,49.18,49.5,46.85,47.8,4770800,47.4
2013-07-08,48.37,49.54,48.24,49.16,3246500,48.75
2013-07-01,46.38,48.27,46.3,48.09,2348100,47.69
2013-06-24,44.34,46.61,43.34,46.13,3323200,45.74
2013-06-17,46.38,47.06,44.21,44.87,3202400,44.49
2013-06-10,46.89,47.06,45.18,46.03,3473000,45.64
2013-06-03,45.63,46.63,45.04,46.49,3218000,46.1
2013-05-28,47.87,48.13,45.48,45.48,3404700,45.1
2013-05-20,47.35,48.63,46.16,47.17,3398400,46.77
2013-05-13,46.67,47.7,45.48,47.53,2376100,47.13
2013-05-06,46.56,47.41,46.12,46.84,2347700,46.45
2013-04-29,44.44,46.82,43.98,46.58,2880500,46.19
2013-04-22,43.68,45.13,42.6,44.13,4732000,43.61
2013-04-15,45.41,45.85,42.81,43.58,5469400,43.07
2013-04-08,44.75,47.,44.49,46.,3541300,45.46
2013-04-01,46.25,46.6,43.87,44.7,2760700,44.18
2013-03-25,45.49,46.73,44.57,46.41,3689700,45.87
2013-03-18,47.19,47.38,44.39,45.25,4495900,44.72
2013-03-11,45.92,48.,45.52,47.96,3987200,47.4
2013-03-04,44.24,46.1,43.04,46.08,3496800,45.54
2013-02-25,46.06,46.46,43.65,44.39,2891000,43.87
2013-02-19,46.85,47.15,44.93,45.8,3682300,45.26
2013-02-11,45.1,47.77,45.1,46.58,3557600,46.03
2013-02-04,44.71,45.65,44.34,45.65,2652300,45.11
2013-01-28,45.71,46.19,44.48,45.03,3691300,44.5
2013-01-22,44.2,46.9,43.76,45.61,4905100,44.92
2013-01-14,42.9,44.3,41.64,44.3,3758000,43.63
2013-01-07,43.17,43.2,41.77,43.01,2499300,42.36
2012-12-31,39.77,43.6,39.76,43.53,4028800,42.88
2012-12-24,40.66,40.76,39.56,39.93,2985400,39.33
2012-12-17,40.77,42.67,39.65,40.66,7149800,40.05
2012-12-10,42.25,43.24,40.8,41.09,3114600,40.47
2012-12-03,43.53,43.67,41.82,42.26,3666700,41.62
2012-11-26,41.43,43.6,40.95,43.15,3694000,42.5
2012-11-19,40.96,41.86,40.82,41.83,2179800,41.2
2012-11-12,40.85,41.11,39.44,40.23,4430700,39.63
2012-11-05,41.43,42.76,40.4,40.71,3733200,40.1
2012-10-31,43.86,43.86,41.47,41.59,5884700,40.96
2012-10-22,44.45,44.77,42.38,43.42,4297000,42.61
2012-10-15,44.66,47.62,44.27,44.75,6010400,43.92
2012-10-08,43.37,45.23,43.2,44.77,3746800,43.94
2012-10-01,45.57,45.78,43.32,43.49,4679200,42.68
2012-09-24,46.79,47.45,44.66,45.23,4821400,44.39
2012-09-17,49.97,50.59,46.67,46.91,4801400,46.04
2012-09-10,46.69,50.97,46.45,50.04,3426700,49.11
2012-09-04,45.34,47.,43.95,46.74,3858500,45.87
2012-08-27,47.5,47.82,44.17,45.6,3339600,44.75
2012-08-20,47.17,48.22,46.88,47.51,2886500,46.63
2012-08-13,48.39,48.74,46.9,47.32,2568400,46.44
2012-08-06,47.11,49.07,47.06,48.69,3638200,47.79
2012-07-30,47.19,47.85,45.53,46.98,3823800,46.11
2012-07-23,44.49,47.74,44.18,47.35,6151700,46.32
2012-07-16,39.12,47.1,38.79,45.59,9089400,44.6
2012-07-09,40.12,40.64,38.14,39.3,4931000,38.45
2012-07-02,41.15,42.2,39.97,40.28,3713500,39.41
2012-06-25,38.51,41.53,37.08,41.1,4975900,40.21
2012-06-18,39.84,41.44,38.77,39.14,4414500,38.29
2012-06-11,39.63,40.39,38.31,40.38,5244200,39.5
2012-06-04,40.99,42.26,38.91,39.25,8309900,38.4
2012-05-29,42.09,43.39,40.46,40.74,7789400,39.86
2012-05-21,40.58,42.66,40.38,41.54,4877400,40.64
2012-05-14,41.02,41.87,40.22,40.43,6498400,39.55
2012-05-07,40.88,42.31,40.03,41.72,6092100,40.82
2012-04-30,42.88,45.17,40.74,41.18,6032800,40.29
2012-04-23,39.92,44.35,39.53,42.91,8286300,41.84
2012-04-16,41.33,42.64,40.2,40.46,6590000,39.45
2012-04-09,40.41,42.12,39.4,41.05,6028900,40.02
2012-04-02,41.84,42.84,40.73,41.,6799600,39.98
2012-03-26,43.86,44.,40.2,41.94,10376100,40.89
2012-03-19,48.64,49.25,42.9,43.71,12001400,42.62
2012-03-12,48.84,49.43,47.23,48.95,6753600,47.73
2012-03-05,48.86,49.28,46.76,48.79,5572800,47.57
2012-02-27,51.01,51.55,48.86,49.03,6853500,47.8
2012-02-21,50.41,52.93,50.41,51.96,7645800,50.66
2012-02-13,48.04,50.27,46.9,50.06,7112100,48.81
2012-02-06,50.59,52.24,47.48,47.62,6962300,46.43
2012-01-30,48.59,51.6,48.26,51.,6419200,49.73
