Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,298.95,304.55,298.94,302.59,635100,302.59
2014-02-18,303.31,307.94,297.5,299.,570000,299.
2014-02-10,297.82,307.49,296.13,303.03,674600,303.03
2014-02-03,297.05,300.,284.78,299.87,1028600,299.87
2014-01-27,306.61,307.63,296.,300.47,910700,300.47
2014-01-21,318.8,324.74,302.9,303.11,963300,303.11
2014-01-13,313.51,326.,305.88,316.72,998300,316.72
2014-01-06,316.28,319.63,311.37,314.94,520800,314.94
2013-12-30,316.29,318.76,310.42,314.17,376000,314.17
2013-12-23,318.56,323.,313.05,316.38,318400,316.38
2013-12-16,298.,317.15,297.49,314.34,933300,314.34
2013-12-09,302.65,304.93,291.67,297.8,571800,297.8
2013-12-02,302.5,309.21,292.02,301.83,529300,301.83
2013-11-25,304.53,309.85,299.08,302.75,408000,302.75
2013-11-18,305.75,306.61,297.38,303.76,480600,302.1
2013-11-11,300.73,305.57,294.37,303.19,532200,301.53
2013-11-04,303.73,308.49,296.54,301.59,536700,299.94
2013-10-28,308.,311.32,300.15,303.65,583900,301.99
2013-10-21,301.68,308.48,300.12,307.61,554300,305.93
2013-10-14,279.39,302.44,277.5,301.66,773800,300.01
2013-10-07,268.82,281.18,262.68,280.49,595700,278.96
2013-09-30,265.66,272.25,265.66,272.01,526900,270.52
2013-09-23,278.78,278.78,268.31,270.95,503600,269.47
2013-09-16,271.,285.43,269.01,278.3,981700,276.78
2013-09-09,262.35,268.02,259.48,264.63,635300,263.18
2013-09-03,265.,267.36,259.42,261.23,539000,259.8
2013-08-26,268.96,272.69,257.19,260.32,606800,258.9
2013-08-19,269.,270.91,263.08,268.8,630700,265.6
2013-08-12,279.17,280.82,267.57,270.15,450900,266.93
2013-08-05,284.97,286.63,277.26,280.57,445000,277.23
2013-07-29,286.81,288.32,281.27,286.62,607500,283.21
2013-07-22,280.25,288.82,278.93,286.38,666700,282.97
2013-07-15,270.17,280.72,265.5,280.72,841600,277.38
2013-07-08,259.98,272.03,255.24,269.74,855100,266.53
2013-07-01,257.61,261.6,253.,257.26,540900,254.2
2013-06-24,246.39,265.5,240.6,256.85,1260000,253.79
2013-06-17,272.56,279.33,241.99,248.67,1419400,245.71
2013-06-10,279.05,282.91,264.71,269.73,826000,266.52
2013-06-03,279.94,281.58,260.52,280.23,1021600,276.89
2013-05-28,285.42,292.29,279.14,279.2,727000,274.14
2013-05-20,289.1,298.14,277.45,283.35,725400,278.22
2013-05-13,275.76,291.21,275.42,290.95,581800,285.68
2013-05-06,271.55,278.82,268.03,276.67,606800,271.66
2013-04-29,264.16,271.6,260.69,271.34,771500,266.42
2013-04-22,251.24,264.62,247.38,263.77,680500,258.99
2013-04-15,260.,262.46,243.58,250.16,918700,245.63
2013-04-08,245.47,265.57,244.1,263.13,609000,258.36
2013-04-01,256.5,258.,241.04,245.79,811100,241.34
2013-03-25,255.,258.68,251.44,256.88,596500,252.23
2013-03-18,254.11,259.57,250.69,253.13,700400,248.54
2013-03-11,248.27,257.77,246.28,256.74,861000,252.09
2013-03-04,236.23,251.7,236.,248.27,838200,243.77
