Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,54.92,55.37,54.83,54.88,680700,54.88
2014-02-18,54.6,55.56,54.45,54.92,1345500,54.92
2014-02-10,52.68,54.87,52.64,54.63,1207800,54.63
2014-02-03,51.3,52.87,50.22,52.8,1700500,52.8
2014-01-27,48.71,52.74,47.75,51.19,1672800,51.19
2014-01-21,50.73,50.81,48.58,48.6,814000,48.6
2014-01-13,51.76,51.9,50.49,50.53,679300,50.53
2014-01-06,51.65,52.45,51.08,51.93,637800,51.93
2013-12-30,51.54,51.97,51.13,51.65,572800,51.65
2013-12-23,51.09,51.77,50.71,51.58,403700,51.58
2013-12-16,49.98,51.26,49.68,50.93,915400,50.93
2013-12-09,50.04,50.9,49.6,49.91,726500,49.91
2013-12-02,50.01,50.68,49.26,50.05,779200,50.05
2013-11-25,50.19,50.61,49.94,49.98,591700,49.98
2013-11-18,50.16,50.71,49.82,50.01,673900,49.88
2013-11-11,49.54,50.42,48.84,50.17,950900,50.04
2013-11-04,49.06,50.35,48.92,49.5,966200,49.37
2013-10-28,48.62,49.24,48.36,48.88,1096600,48.75
2013-10-21,46.14,48.76,45.27,48.6,1079300,48.47
2013-10-14,45.25,46.24,44.78,46.17,963400,46.05
2013-10-07,44.82,45.5,44.29,45.48,1109200,45.36
2013-09-30,44.65,45.6,44.42,45.19,1044900,45.07
2013-09-23,45.58,46.36,44.7,45.,852300,44.88
2013-09-16,45.03,46.8,44.98,45.79,935200,45.67
2013-09-09,44.33,45.63,44.25,44.46,609300,44.35
2013-09-03,44.95,45.17,43.94,44.4,540900,44.29
2013-08-26,45.68,45.85,44.23,44.42,653100,44.31
2013-08-19,44.88,46.49,44.75,45.7,1009200,45.45
2013-08-12,44.54,45.51,44.51,45.01,1330700,44.76
2013-08-05,45.74,45.9,43.95,44.67,947300,44.42
2013-07-29,44.93,45.93,44.67,45.85,727100,45.6
2013-07-22,45.18,45.87,44.59,44.95,996200,44.7
2013-07-15,45.34,45.37,44.43,45.17,787200,44.92
2013-07-08,42.63,45.48,42.57,45.38,1021600,45.13
2013-07-01,41.7,42.63,41.61,42.54,720100,42.31
2013-06-24,42.06,42.45,41.52,41.54,1094900,41.31
2013-06-17,43.58,43.89,42.28,42.55,965400,42.32
2013-06-10,43.65,43.66,42.36,43.34,897300,43.1
2013-06-03,43.13,43.67,42.27,43.58,1269900,43.34
2013-05-28,44.73,45.1,43.15,43.16,1453700,42.92
2013-05-20,45.73,46.6,44.29,44.39,1259500,44.02
2013-05-13,45.69,45.93,45.2,45.75,1601100,45.36
2013-05-06,45.11,46.2,45.11,45.97,1090500,45.58
2013-04-29,44.03,46.1,43.72,45.34,1454000,44.96
2013-04-22,46.54,47.61,43.8,44.03,1569200,43.66
2013-04-15,47.33,47.38,45.85,46.43,851500,46.04
2013-04-08,47.,48.5,46.66,47.89,651700,47.49
2013-04-01,47.48,48.07,46.48,46.99,688400,46.59
2013-03-25,46.,47.63,45.91,47.58,781600,47.18
2013-03-18,45.55,46.37,45.53,45.87,773100,45.48
2013-03-11,44.75,46.16,44.52,46.01,1022800,45.62
2013-03-04,44.07,44.87,43.68,44.85,737300,44.47
2013-02-25,44.62,44.72,43.26,44.22,823700,43.85
2013-02-19,45.58,45.66,43.96,44.34,1044400,43.84
2013-02-11,45.34,46.07,44.69,45.54,1006600,45.02
2013-02-04,45.36,45.8,44.78,45.36,790900,44.84
2013-01-28,46.62,46.62,44.24,45.59,1305800,45.07
2013-01-22,46.65,46.99,46.29,46.61,659300,46.08
2013-01-14,45.39,46.7,45.23,46.65,723300,46.12
2013-01-07,46.3,46.42,45.1,45.4,679200,44.88
2012-12-31,44.15,46.59,44.05,46.5,928300,45.97
2012-12-24,44.79,45.29,44.11,44.29,596200,43.79
2012-12-17,44.02,45.47,43.87,44.8,1290000,44.29
2012-12-10,44.17,44.98,44.01,44.25,990500,43.75
2012-12-03,44.92,45.02,43.32,44.15,990500,43.65
2012-11-26,44.66,45.,44.15,44.69,1015500,44.18
2012-11-19,43.64,45.07,43.37,45.07,991600,44.46
2012-11-12,43.91,44.04,42.62,43.34,1325900,42.75
2012-11-05,43.11,44.33,42.83,43.85,915200,43.25
2012-10-31,42.91,43.75,42.51,43.38,690100,42.79
2012-10-22,42.54,43.,41.7,42.81,705200,42.23
2012-10-15,41.32,43.23,41.14,42.66,621100,42.08
2012-10-08,42.72,42.87,41.11,41.31,740700,40.75
2012-10-01,42.51,43.45,42.02,42.79,608100,42.21
2012-09-24,42.4,42.95,41.66,42.31,667300,41.73
2012-09-17,43.2,43.35,42.47,42.51,856000,41.93
2012-09-10,42.6,43.79,42.54,43.28,862200,42.69
2012-09-04,42.17,42.94,41.52,42.78,638200,42.2
2012-08-27,42.14,42.48,41.59,42.17,558600,41.6
2012-08-20,43.,43.21,41.93,42.13,556800,41.46
2012-08-13,41.9,43.4,41.77,43.06,694700,42.37
2012-08-06,41.14,42.02,40.84,42.01,750500,41.34
2012-07-30,41.83,42.,39.33,41.1,1009300,40.44
2012-07-23,41.16,42.51,40.29,41.89,1019000,41.22
2012-07-16,41.31,42.36,40.79,41.77,840000,41.1
2012-07-09,40.61,41.4,39.69,41.23,965900,40.57
2012-07-02,41.09,41.21,40.24,40.58,657200,39.93
2012-06-25,41.,41.43,39.75,41.05,988500,40.4
2012-06-18,42.52,42.92,41.26,41.64,831900,40.98
2012-06-11,41.36,42.88,40.56,42.75,1290900,42.07
2012-06-04,39.33,41.18,38.98,41.15,1038400,40.49
2012-05-29,40.1,40.5,39.19,39.33,1354900,38.7
2012-05-21,38.66,40.1,38.39,39.88,1021900,39.15
2012-05-14,40.6,40.74,38.56,38.66,1029900,37.95
2012-05-07,40.69,41.34,40.05,40.96,1024200,40.21
2012-04-30,41.8,42.22,40.72,40.76,1522700,40.01
2012-04-23,43.21,43.44,41.51,41.78,1537600,41.01
2012-04-16,42.43,43.7,42.15,43.52,1242800,42.72
2012-04-09,43.07,43.57,42.32,42.77,1580600,41.98
2012-04-02,42.54,43.7,42.54,43.57,1439100,42.77
2012-03-26,41.41,42.99,41.21,42.88,1440500,42.09
2012-03-19,41.46,41.79,40.51,41.09,898300,40.33
2012-03-12,39.63,41.39,39.52,41.39,1230300,40.63
2012-03-05,39.77,40.13,39.08,39.72,1211700,38.99
2012-02-27,39.67,40.44,39.47,39.81,1019900,39.08
2012-02-21,40.12,40.49,39.64,39.78,759500,38.95
2012-02-13,40.05,40.5,39.56,40.11,710800,39.27
2012-02-06,39.68,40.21,39.3,39.81,1011500,38.98
2012-01-30,38.98,40.65,38.94,39.8,1281500,38.97
2012-01-23,37.8,40.05,37.08,39.44,1446600,38.62
2012-01-17,37.76,38.35,36.89,37.91,956200,37.12
2012-01-09,37.13,37.87,36.61,37.64,1028500,36.86
2012-01-03,36.24,37.18,35.66,37.12,1158100,36.35
2011-12-27,35.8,36.06,35.08,35.71,505900,34.97
2011-12-19,34.64,35.9,34.36,35.8,977400,35.05
2011-12-12,34.59,35.21,34.,34.63,1402900,33.91
2011-12-05,35.32,35.69,34.28,34.92,1026800,34.19
2011-11-28,33.97,35.45,33.69,34.92,1268400,34.19
2011-11-21,33.41,33.8,32.81,33.18,1273100,32.42
2011-11-14,35.23,35.36,33.65,33.91,1303200,33.13
2011-11-07,34.95,35.64,33.9,35.41,1642000,34.6
2011-10-31,35.39,35.69,33.36,34.87,1884300,34.07
2011-10-24,34.96,36.11,34.15,35.66,1324200,34.84
2011-10-17,33.72,35.,33.1,34.82,1277600,34.02
2011-10-10,33.02,34.08,32.87,33.96,1522300,33.18
2011-10-03,30.79,32.86,29.69,32.45,2269300,31.71
2011-09-26,31.31,32.8,30.67,31.02,1636600,30.31
2011-09-19,33.77,34.18,30.84,30.95,1595500,30.24
2011-09-12,33.36,34.59,32.94,34.31,1810300,33.53
2011-09-06,33.81,35.54,33.7,34.03,2391700,33.25
2011-08-29,35.5,36.49,34.75,35.02,1589500,34.22
2011-08-22,34.74,35.62,33.65,35.01,1639600,34.14
2011-08-15,36.18,36.53,33.91,34.,1801400,33.16
2011-08-08,34.63,36.48,32.7,35.93,4118200,35.04
2011-08-01,39.19,39.2,34.17,35.44,2223100,34.56
2011-07-25,38.97,39.83,37.9,38.8,2059000,37.84
2011-07-18,39.18,39.38,38.08,39.31,1280300,38.34
2011-07-11,39.87,40.1,38.96,39.44,1488900,38.46
2011-07-05,39.01,40.56,38.91,40.36,1510600,39.36
2011-06-27,37.54,39.21,37.23,39.14,1056000,38.17
2011-06-20,37.65,38.31,37.16,37.49,1596200,36.56
2011-06-13,37.96,38.41,37.04,37.82,1574600,36.88
2011-06-06,38.08,39.1,37.97,38.1,1506600,37.16
2011-05-31,39.32,39.51,38.03,38.06,1256100,37.12
2011-05-23,38.67,39.22,38.04,39.08,1172600,38.11
2011-05-16,38.44,39.55,38.12,39.04,1355100,38.
2011-05-09,38.03,39.25,37.97,38.46,1456900,37.44
2011-05-02,37.54,38.34,37.28,38.03,1424700,37.02
2011-04-25,36.95,38.23,36.53,37.31,1152800,36.32
2011-04-18,36.32,37.42,36.22,37.06,1426400,36.08
2011-04-11,36.11,36.91,35.79,36.79,1340900,35.81
2011-04-04,35.87,36.99,35.68,36.01,1043800,35.05
2011-03-28,35.63,36.22,34.81,35.77,1215600,34.82
2011-03-21,34.74,35.79,34.58,35.51,1025300,34.57
2011-03-14,34.7,35.04,33.41,34.29,1758500,33.38
2011-03-07,35.93,36.4,34.35,34.99,990500,34.06
2011-02-28,36.19,36.44,35.41,35.83,1026700,34.88
2011-02-22,36.73,36.98,35.5,36.1,1132300,35.14
2011-02-14,73.95,74.23,36.72,37.,1260500,35.98
2011-02-07,74.,74.42,72.99,74.05,1022000,36.01
2011-01-31,72.07,74.11,71.04,73.72,1662500,35.85
2011-01-24,69.56,73.67,69.17,70.92,2407400,34.49
2011-01-18,70.01,71.1,68.95,69.54,1589900,33.81
2011-01-10,69.41,70.85,68.5,69.81,1326900,33.95
2011-01-03,68.75,71.05,68.73,70.08,1580900,34.08
2010-12-27,69.,69.61,67.72,68.05,777100,33.09
2010-12-20,68.5,69.7,67.88,69.21,932500,33.65
2010-12-13,68.12,69.27,67.48,68.5,1424600,33.31
2010-12-06,68.7,68.7,67.16,67.98,1352800,33.06
2010-11-29,64.38,69.58,63.58,68.85,1640000,33.48
2010-11-22,65.06,65.86,64.05,64.87,905500,31.49
2010-11-15,65.25,65.83,63.95,65.45,1138800,31.78
2010-11-08,65.73,66.26,64.77,64.88,1227200,31.5
2010-11-01,64.41,66.12,62.92,66.06,1298000,32.07
2010-10-25,61.93,64.65,59.9,64.36,2699300,31.25
2010-10-18,62.09,62.68,61.3,61.38,1290000,29.8
2010-10-11,60.26,62.37,60.09,62.18,1224900,30.19
2010-10-04,59.33,60.6,58.73,60.12,1348800,29.19
2010-09-27,60.15,60.49,58.71,59.39,1523700,28.83
2010-09-20,59.92,60.35,58.68,60.21,1073300,29.23
2010-09-13,59.84,60.,59.2,59.97,1198400,29.12
2010-09-07,58.71,59.64,57.53,59.4,1083900,28.84
2010-08-30,56.42,59.18,55.26,59.08,1192000,28.68
2010-08-23,57.27,57.71,55.14,56.49,1410400,27.38
2010-08-16,56.75,58.45,56.41,57.14,1585500,27.69
2010-08-09,58.57,59.1,56.3,57.17,1259600,27.71
2010-08-02,58.97,59.6,57.96,58.46,1533800,28.33
2010-07-26,57.1,58.98,56.39,58.24,2224600,28.23
