Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,113.25,114.,113.12,113.2,3530100,113.2
2014-02-18,115.16,115.22,112.3,113.18,3429300,113.18
2014-02-10,112.62,115.04,111.73,114.95,3376500,114.95
2014-02-03,112.11,112.7,108.12,112.61,5276500,112.61
2014-01-27,111.92,113.33,110.85,111.6,4583000,111.6
2014-01-21,115.32,115.91,111.76,111.81,4850800,111.81
2014-01-13,115.08,116.07,113.6,115.07,3979400,115.07
2014-01-06,118.2,118.2,114.43,114.97,3598900,114.97
2013-12-30,118.33,118.66,117.36,117.57,2536000,117.57
2013-12-23,116.4,118.21,116.22,118.,2129900,118.
2013-12-16,114.4,116.7,113.5,115.6,4957000,115.6
2013-12-09,116.88,117.46,113.99,114.06,3239300,114.06
2013-12-02,116.5,116.7,114.,116.66,3549100,116.66
2013-11-25,117.18,117.28,115.38,116.53,3330300,116.53
2013-11-18,116.56,117.33,114.54,116.96,2891900,116.96
2013-11-11,115.5,116.34,113.76,116.3,3095500,116.3
2013-11-04,115.78,115.92,113.5,115.88,3481300,115.88
2013-10-28,117.18,117.7,114.94,115.27,3263900,115.27
2013-10-21,116.95,117.61,116.3,117.03,2837900,117.03
2013-10-14,114.99,117.5,114.49,116.97,3428000,116.97
2013-10-07,112.99,115.83,110.84,115.81,3907500,115.81
2013-09-30,113.74,114.43,112.82,113.75,3820400,113.75
2013-09-23,117.06,117.1,114.51,114.85,3415600,114.85
2013-09-16,114.37,117.97,114.22,117.9,5257400,117.9
2013-09-09,112.13,114.28,111.45,113.54,3026200,113.54
2013-09-03,112.32,112.95,110.72,111.86,3375000,111.86
2013-08-26,114.34,114.95,110.72,111.22,3549500,111.22
2013-08-19,115.14,115.49,113.52,114.27,2847300,114.27
2013-08-12,116.24,117.61,114.3,115.24,2640300,115.24
2013-08-05,119.1,119.14,116.47,116.71,2627100,116.71
2013-07-29,116.91,117.86,115.56,117.82,3443700,117.82
2013-07-22,119.16,119.3,115.51,117.34,3133800,117.34
2013-07-15,117.34,119.08,116.86,118.9,3236300,118.9
2013-07-08,115.5,117.37,114.56,117.12,3419800,117.12
2013-07-01,112.51,115.,111.58,114.96,2639600,114.96
2013-06-24,111.75,113.7,109.53,111.92,4153800,111.92
2013-06-17,114.75,115.66,110.86,112.38,4692200,112.38
2013-06-10,115.56,115.98,112.27,114.16,3626100,114.16
2013-06-03,114.76,115.55,111.05,115.31,4718900,115.31
2013-05-28,112.17,115.,111.41,114.07,6009300,114.07
2013-05-20,112.87,113.55,109.11,110.83,4324000,110.83
2013-05-13,111.83,113.1,111.25,113.02,3793100,113.02
2013-05-06,110.95,111.88,109.43,111.82,3922900,111.82
2013-04-29,107.19,109.2,105.63,108.64,3554100,108.64
2013-04-22,105.52,108.04,104.13,107.1,3416700,107.1
2013-04-15,106.84,107.49,102.69,105.28,4529900,105.28
2013-04-08,104.54,107.05,103.62,107.04,2980800,107.04
2013-04-01,104.17,105.56,103.17,104.15,3582100,104.15
2013-03-25,103.,104.48,101.92,104.2,3400600,104.2
2013-03-18,102.11,102.85,101.3,102.57,3412600,102.57
2013-03-11,103.77,104.25,102.12,102.79,4069000,102.79
2013-03-04,101.66,104.,100.5,103.63,3641800,103.63
2013-02-25,101.74,102.33,98.25,102.05,5650100,102.05
2013-02-19,99.98,101.49,99.67,101.21,4822800,101.21
2013-02-11,97.46,99.79,97.01,99.77,3363000,99.77
2013-02-04,97.76,98.04,96.36,97.25,3401500,97.25
2013-01-28,97.42,99.,96.3,98.,4131600,98.
2013-01-22,95.16,97.75,94.88,97.39,4153100,97.39
2013-01-14,94.55,95.59,94.18,95.16,4585100,95.16
2013-01-07,93.8,94.75,92.98,94.39,4020500,94.39
2012-12-31,88.49,94.34,88.11,93.85,6464400,93.85
2012-12-24,89.79,90.03,88.55,88.55,3733700,88.55
2012-12-17,89.75,90.83,89.5,89.83,6608400,89.83
2012-12-10,87.3,90.04,86.95,89.15,5778600,89.15
2012-12-03,88.28,88.62,87.01,87.33,4002100,87.33
2012-11-26,88.3,88.88,87.25,88.08,4262700,88.08
2012-11-19,86.72,88.51,86.04,88.5,3571800,88.5
2012-11-12,85.4,86.67,84.75,85.91,4702600,85.91
2012-11-05,87.02,87.39,83.85,85.18,5119200,85.18
2012-10-31,86.88,88.44,86.18,86.93,4741900,86.93
2012-10-22,89.22,89.35,86.26,86.66,4049500,86.66
2012-10-15,88.43,90.93,88.27,89.26,4011600,89.26
2012-10-08,90.37,90.61,88.23,88.25,2904400,88.25
2012-10-01,88.72,90.76,88.35,90.42,3876100,90.42
2012-09-24,88.94,89.67,87.41,88.2,4188400,88.2
2012-09-17,88.57,89.95,87.91,89.54,6905900,89.54
2012-09-10,86.62,89.23,85.24,88.7,4329900,88.7
2012-09-04,84.4,86.71,84.03,86.64,4254300,86.64
2012-08-27,85.39,85.76,83.97,84.34,2866900,84.34
2012-08-20,85.5,85.95,84.92,85.39,2795000,85.39
2012-08-13,84.61,85.87,84.5,85.87,2747300,85.87
2012-08-06,86.01,86.01,84.21,84.77,3183400,84.77
2012-07-30,85.01,85.69,82.12,85.58,5004600,85.58
2012-07-23,82.99,85.39,82.95,85.2,3948800,85.2
2012-07-16,84.31,85.35,83.5,83.83,3789300,83.83
2012-07-09,82.57,84.49,82.38,84.48,4068400,84.48
2012-07-02,83.34,83.88,82.14,82.54,2955600,82.54
2012-06-25,81.32,83.33,80.44,83.33,4118100,83.33
2012-06-18,82.06,83.03,80.9,81.87,4259200,81.87
2012-06-11,81.58,82.57,80.04,82.57,4781800,82.57
2012-06-04,79.,81.36,78.45,81.36,4580800,81.36
2012-05-29,79.73,79.94,78.28,79.02,4627600,79.02
2012-05-21,79.01,80.8,78.66,79.25,3301700,79.25
2012-05-14,81.01,81.17,78.64,78.91,5408900,78.91
2012-05-07,81.26,82.59,80.95,81.6,5121800,81.6
2012-04-30,80.51,81.54,80.21,80.94,3447300,80.94
2012-04-23,78.42,80.7,78.21,80.56,4139400,80.56
2012-04-16,79.48,80.99,78.75,78.9,4798700,78.9
2012-04-09,80.18,80.26,78.68,78.82,4077500,78.82
2012-04-02,81.15,82.03,80.65,80.91,3603000,80.91
2012-03-26,81.88,82.47,80.75,81.15,3807200,81.15
2012-03-19,81.11,81.62,80.56,81.38,3364900,81.38
2012-03-12,79.43,81.49,79.3,81.07,5325700,81.07
2012-03-05,78.49,79.5,78.26,79.41,4368300,79.41
2012-02-27,79.45,80.49,78.18,78.29,5189100,78.29
2012-02-21,79.44,80.1,78.72,80.04,3948700,80.04
2012-02-13,79.16,79.65,77.89,79.42,4470500,79.42
2012-02-06,79.5,80.,78.5,78.79,3452000,78.79
2012-01-30,78.27,80.05,78.1,80.,4562900,80.
2012-01-23,79.6,80.08,77.96,79.42,3872600,79.42
2012-01-17,78.57,79.92,77.6,79.91,4677400,79.91
2012-01-09,76.49,78.5,75.94,77.77,4026900,77.77
2012-01-03,77.38,78.29,75.86,76.39,4398600,76.39
2011-12-27,77.48,78.05,76.29,76.3,2960100,76.3
2011-12-19,75.06,77.8,73.73,77.74,4909000,77.74
2011-12-12,76.94,77.01,74.6,75.13,6749500,75.13
2011-12-05,78.25,78.9,76.66,77.61,5298800,77.61
2011-11-28,74.4,79.01,74.15,77.44,6240800,77.44
2011-11-21,74.1,75.29,72.6,72.89,4895900,72.89
2011-11-14,76.51,76.89,73.9,75.37,5395300,75.37
