Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.01,17.37,16.87,17.11,5497400,17.11
2014-02-18,16.67,17.4,16.5,16.98,7198100,16.98
2014-02-10,16.43,16.96,16.3,16.65,5256400,16.65
2014-02-03,17.06,17.07,15.77,16.47,8317100,16.47
2014-01-27,17.21,17.51,16.35,17.05,10261700,16.96
2014-01-21,18.01,18.01,16.75,16.87,6761100,16.78
2014-01-13,17.53,18.17,17.29,17.97,5915800,17.88
2014-01-06,18.75,18.8,17.15,17.55,8437200,17.46
2013-12-30,19.38,19.94,18.68,18.78,6796300,18.68
2013-12-23,18.23,19.43,18.13,19.25,4451500,19.15
2013-12-16,18.44,19.26,18.12,18.23,6451100,18.14
2013-12-09,18.59,19.38,18.05,18.41,6058700,18.32
2013-12-02,18.24,19.54,18.05,18.64,7914600,18.54
2013-11-25,18.47,18.74,18.01,18.2,5236000,18.11
2013-11-18,20.05,20.21,18.22,18.45,5929100,18.36
2013-11-11,20.89,21.28,19.58,20.1,6985200,20.
2013-11-04,20.21,20.99,19.86,20.87,6795700,20.76
2013-10-28,19.12,20.31,19.,20.05,7415800,19.87
2013-10-21,18.54,19.42,18.35,19.16,6372600,18.98
2013-10-14,17.2,19.58,17.19,18.5,9108400,18.33
2013-10-07,17.13,17.57,16.78,17.4,4519600,17.24
2013-09-30,17.16,17.82,17.09,17.37,4026000,17.21
2013-09-23,18.14,18.4,17.29,17.49,4938400,17.33
2013-09-16,18.24,19.25,18.,18.16,5377600,17.99
2013-09-09,18.38,19.27,17.92,17.98,6981000,17.81
2013-09-03,17.65,18.6,17.03,18.22,6179300,18.05
2013-08-26,18.24,18.8,17.04,17.2,6095000,17.04
2013-08-19,17.36,17.95,16.55,17.85,5067600,17.69
2013-08-12,17.87,18.48,17.17,17.44,6597100,17.28
2013-08-05,16.07,18.37,15.63,17.9,7804100,17.74
2013-07-29,16.73,17.14,16.01,16.12,5759400,15.89
2013-07-22,16.57,17.85,16.05,16.83,8444200,16.59
2013-07-15,16.01,16.97,15.75,16.48,5009500,16.24
2013-07-08,14.74,16.31,14.66,15.99,7588800,15.76
2013-07-01,14.72,15.07,14.34,14.65,5806200,14.44
2013-06-24,15.7,15.8,14.35,14.64,9147200,14.43
2013-06-17,17.03,17.14,15.82,16.,7541400,15.77
2013-06-10,18.73,18.77,16.43,16.78,9538300,16.54
2013-06-03,19.77,20.01,18.44,18.74,7124100,18.47
2013-05-28,20.75,21.29,19.56,19.67,9378600,19.39
2013-05-20,20.24,21.85,20.15,20.44,7940800,20.15
2013-05-13,20.77,21.,19.51,20.21,7537100,19.92
2013-05-06,20.67,21.54,20.36,21.01,6479000,20.71
2013-04-29,19.37,20.94,19.05,20.67,7038600,20.29
2013-04-22,19.2,20.4,18.22,19.17,9212400,18.82
2013-04-15,20.38,20.97,18.56,19.19,11735300,18.84
2013-04-08,20.16,21.38,20.11,20.77,5162600,20.39
2013-04-01,21.2,21.2,19.38,20.17,8142200,19.8
2013-03-25,21.,21.41,20.35,21.15,7134900,20.76
2013-03-18,21.71,22.69,20.67,20.97,7678800,20.58
2013-03-11,21.64,22.04,21.02,21.84,6098900,21.44
2013-03-04,20.5,22.23,20.07,22.,7004000,21.6
2013-02-25,22.9,22.91,20.33,20.56,9673000,20.18
2013-02-19,24.45,24.63,22.55,22.68,7740000,22.26
2013-02-11,23.68,25.13,23.3,24.4,6386600,23.95
2013-02-04,24.87,25.2,23.36,23.73,6372500,23.29
2013-01-28,25.74,27.2,24.55,25.07,8779000,24.52
2013-01-22,26.01,26.4,25.17,25.82,6023000,25.26
2013-01-14,25.21,26.,24.14,25.97,7703800,25.4
2013-01-07,27.07,27.74,24.98,25.17,6060100,24.62
2012-12-31,25.32,27.67,25.3,27.24,6829100,26.65
2012-12-24,26.13,26.69,25.27,25.36,3653400,24.81
2012-12-17,27.69,28.13,25.85,26.35,6119800,25.78
2012-12-10,26.7,28.75,26.35,27.68,6803600,27.08
2012-12-03,25.4,26.91,24.34,26.88,6468900,26.29
2012-11-26,24.87,25.66,23.8,25.11,5772300,24.56
2012-11-19,25.5,26.11,24.67,25.15,5272800,24.6
2012-11-12,26.35,26.83,24.17,25.,6261700,24.46
2012-11-05,28.,29.57,25.8,26.17,10175200,25.6
2012-10-31,28.6,29.84,27.69,28.15,8296500,27.54
2012-10-22,27.28,29.71,27.2,28.22,14868800,27.52
2012-10-15,25.56,27.94,25.29,25.89,10838700,25.25
2012-10-08,22.22,26.22,22.04,25.71,11567100,25.07
2012-10-01,22.6,23.3,21.64,22.38,6673000,21.83
2012-09-24,23.07,23.44,21.33,22.29,8050700,21.74
2012-09-17,25.36,25.85,23.54,24.03,7849400,23.44
2012-09-10,23.74,26.04,23.42,25.61,9199500,24.98
2012-09-04,21.3,23.84,20.16,23.71,9753300,23.12
2012-08-27,23.4,23.49,21.44,21.63,7289800,21.1
2012-08-20,22.28,24.55,22.21,23.37,6909700,22.79
2012-08-13,23.19,23.53,21.38,22.3,6026900,21.75
2012-08-06,21.36,23.44,21.18,23.23,7903600,22.66
2012-07-30,20.97,21.99,19.91,21.29,8685200,20.76
2012-07-23,22.09,23.32,18.78,20.8,15669600,20.29
2012-07-16,22.16,23.09,21.59,22.66,7824500,22.
2012-07-09,24.73,25.,21.5,22.51,11541300,21.86
2012-07-02,24.41,26.6,24.4,24.86,8549800,24.14
2012-06-25,22.11,24.59,20.67,24.52,9639800,23.81
2012-06-18,23.57,24.73,22.42,22.58,7123700,21.93
2012-06-11,24.55,24.73,22.53,23.83,7997500,23.14
2012-06-04,23.1,25.77,22.82,24.27,7681300,23.57
2012-05-29,25.06,25.43,22.18,22.94,8251300,22.28
2012-05-21,23.83,25.02,22.85,23.88,11169600,23.19
2012-05-14,28.07,28.9,23.65,23.77,10044100,23.08
2012-05-07,29.03,29.96,28.03,28.48,6108800,27.66
2012-04-30,30.1,31.97,28.96,29.14,7163700,28.21
2012-04-23,29.14,30.9,28.65,30.2,5935900,29.24
2012-04-16,28.69,31.04,27.63,29.8,9351200,28.85
2012-04-09,27.81,29.43,27.11,28.38,8545600,27.48
2012-04-02,29.,29.98,28.08,28.27,8307000,27.37
2012-03-26,30.66,30.68,28.18,28.96,9669000,28.04
2012-03-19,32.78,33.7,30.03,30.19,9337200,29.23
2012-03-12,31.23,33.78,29.78,33.25,9046000,32.19
2012-03-05,32.88,33.03,29.86,31.2,8751700,30.21
2012-02-27,36.12,36.23,32.78,32.89,5131200,31.84
2012-02-21,36.46,37.,35.31,36.33,3480100,35.18
2012-02-13,36.33,36.78,34.15,36.14,5485300,34.99
2012-02-06,37.63,38.96,35.64,35.77,5011100,34.63
2012-01-30,35.65,38.4,34.,37.99,6640900,36.7
2012-01-23,38.28,38.5,34.71,36.14,7721400,34.92
2012-01-17,36.39,38.93,34.65,37.85,6807700,36.57
2012-01-09,36.35,37.55,35.15,35.68,5724600,34.47
2012-01-03,34.74,36.87,34.72,35.99,5605900,34.77
2011-12-27,34.2,34.47,32.35,33.11,3338700,31.99
2011-12-19,33.25,34.88,31.21,34.23,4067500,33.07
2011-12-12,35.88,35.88,32.64,32.98,6064800,31.86
2011-12-05,39.25,39.74,35.13,36.72,5071400,35.48
2011-11-28,34.82,39.5,34.,38.22,5760200,36.92
2011-11-21,35.16,35.84,32.72,32.78,4939200,31.67
2011-11-14,40.23,40.97,36.03,36.06,6016200,34.84
2011-11-07,43.33,44.18,39.66,40.43,5848300,39.06
2011-10-31,45.69,45.69,39.48,43.57,7707400,42.09
2011-10-24,39.48,47.81,36.57,46.84,8504200,45.16
2011-10-17,39.28,39.64,36.56,38.89,5226400,37.5
2011-10-10,35.7,40.,35.62,39.46,5047300,38.05
2011-10-03,32.99,36.62,30.6,34.65,7942300,33.41
2011-09-26,37.31,40.3,33.84,33.88,7231400,32.67
2011-09-19,44.71,45.22,36.27,36.77,7537300,35.45
2011-09-12,45.79,47.9,44.78,46.09,5749900,44.44
2011-09-06,44.2,49.56,43.75,46.81,6382400,45.13
2011-08-29,47.95,50.11,44.18,45.79,5225600,44.15
2011-08-22,44.55,47.13,41.2,47.1,7837200,45.41
2011-08-15,48.88,50.24,42.82,42.91,5586800,41.37
2011-08-08,43.51,50.,41.83,48.23,9078300,46.5
2011-08-01,58.41,58.78,45.68,46.87,8507000,45.19
2011-07-25,60.3,61.22,56.2,57.47,4257000,55.33
2011-07-18,59.83,61.81,59.11,61.37,4777600,59.08
2011-07-11,59.06,59.9,57.45,59.61,4195600,57.39
2011-07-05,60.71,61.85,59.31,59.95,4403000,57.72
2011-06-27,56.74,59.48,55.7,59.39,4016700,57.18
2011-06-20,54.5,57.88,53.8,57.04,6403300,54.92
2011-06-13,53.22,56.14,52.44,53.87,5823100,51.86
2011-06-06,58.75,59.64,55.05,55.33,5564400,53.27
2011-05-31,62.87,63.08,57.25,58.76,5772500,56.57
2011-05-23,57.17,62.59,56.09,61.62,6164000,59.33
2011-05-16,58.06,61.18,56.91,58.8,6857000,56.61
