Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,110.91,111.54,110.6,110.63,694500,110.63
2014-02-18,110.77,111.97,109.85,110.91,610800,110.91
2014-02-10,109.15,111.24,108.41,110.96,664000,110.96
2014-02-03,107.93,109.99,105.82,109.18,901100,109.18
2014-01-27,104.95,108.63,103.93,108.09,902900,108.09
2014-01-21,105.1,107.81,104.89,104.89,794700,104.89
2014-01-13,104.06,105.66,103.16,104.74,839700,104.74
2014-01-06,101.84,104.98,101.7,104.44,976100,104.44
2013-12-30,100.54,102.7,99.55,101.59,745100,101.59
2013-12-23,103.96,105.22,99.8,100.4,606200,100.4
2013-12-16,98.59,103.62,98.04,103.5,1076600,100.61
2013-12-09,100.96,102.96,98.18,98.46,987700,95.71
2013-12-02,99.85,101.42,98.42,100.73,1016700,97.92
2013-11-25,101.71,102.28,99.36,99.49,567800,96.72
2013-11-18,103.7,104.26,101.04,101.69,752900,98.85
2013-11-11,100.66,103.12,99.94,103.03,772000,100.16
2013-11-04,104.46,104.99,98.71,100.33,868500,97.53
2013-10-28,109.81,109.83,102.88,104.42,1076900,101.51
2013-10-21,108.65,109.69,106.52,109.64,950200,106.58
2013-10-14,106.81,109.58,106.1,108.82,694100,105.79
2013-10-07,105.68,107.33,103.19,107.28,965800,104.29
2013-09-30,106.68,108.91,105.35,106.48,933000,103.51
2013-09-23,108.94,110.38,105.57,107.09,892300,104.1
2013-09-16,106.65,112.93,104.7,109.36,967700,105.66
2013-09-09,104.75,107.24,104.19,104.8,716000,101.25
2013-09-03,103.1,105.47,100.79,104.81,1082900,101.26
2013-08-26,103.57,104.45,101.26,102.5,742700,99.03
2013-08-19,99.45,103.36,98.21,103.29,851700,99.8
2013-08-12,104.78,105.2,98.29,99.46,1176700,96.1
2013-08-05,103.79,105.3,102.16,105.09,831500,101.53
2013-07-29,109.44,110.25,103.82,103.97,867500,100.45
2013-07-22,110.09,111.82,107.83,109.75,713600,106.04
2013-07-15,110.,110.69,108.25,110.11,782900,106.39
2013-07-08,105.3,111.44,105.,110.36,1014300,106.63
2013-07-01,106.27,106.83,103.15,105.18,686800,101.62
2013-06-24,100.43,106.9,99.59,105.47,1253600,101.9
2013-06-17,110.81,111.92,99.71,101.94,1477500,97.87
2013-06-10,110.,113.19,106.26,110.09,1200000,105.69
2013-06-03,106.88,110.49,106.18,109.81,1120200,105.42
2013-05-28,113.36,113.62,106.55,106.58,1403300,102.32
2013-05-20,112.34,115.85,111.01,112.44,1271600,107.95
2013-05-13,110.74,112.44,110.12,112.43,1050100,107.94
2013-05-06,108.86,111.27,108.56,111.23,1166700,106.79
2013-04-29,107.77,109.65,107.68,108.58,1001700,104.24
2013-04-22,109.9,109.98,107.57,107.77,1150400,103.47
2013-04-15,109.56,110.1,108.07,109.8,1308200,105.41
2013-04-08,106.18,110.9,105.27,110.36,1319700,105.95
2013-04-01,100.86,106.5,100.,106.25,1227200,102.01
2013-03-25,101.35,101.76,99.85,101.06,1220600,97.02
2013-03-18,104.54,105.2,100.66,100.98,1334200,96.32
2013-03-11,102.81,105.9,102.68,105.25,975300,100.39
2013-03-04,103.48,105.65,102.65,102.89,689400,98.14
2013-02-25,106.69,106.92,102.18,103.52,1295200,98.74
2013-02-19,107.19,107.84,105.07,106.27,781900,101.37
2013-02-11,104.95,107.36,104.61,107.21,1033500,102.26
2013-02-04,104.45,105.85,103.57,105.14,888400,100.29
2013-01-28,109.46,109.49,105.02,105.1,1164200,100.25
2013-01-22,107.5,109.65,107.47,109.46,546700,104.41
2013-01-14,107.12,108.89,106.71,107.83,773600,102.86
2013-01-07,107.03,108.32,106.88,107.,680100,102.06
2012-12-31,104.7,107.66,104.53,107.47,805600,102.51
2012-12-24,105.47,106.32,104.23,104.94,507300,100.1
2012-12-17,104.43,106.87,104.08,105.7,1057100,100.2
2012-12-10,105.04,105.42,103.43,103.98,791800,98.57
2012-12-03,102.97,105.44,101.96,105.4,778500,99.92
2012-11-26,102.3,103.49,100.68,102.63,1038400,97.29
2012-11-19,101.31,103.06,100.96,103.06,534700,97.7
2012-11-12,103.18,103.22,99.23,100.85,1187200,95.61
2012-11-05,107.72,107.72,103.02,103.1,846000,97.74
2012-10-31,107.84,108.,105.41,107.22,825700,101.64
2012-10-22,109.37,109.7,105.75,106.53,1028700,100.99
2012-10-15,108.97,111.46,108.47,109.53,628900,103.83
2012-10-08,110.11,110.94,108.67,108.98,414500,103.31
2012-10-01,110.67,111.56,108.62,110.15,645300,104.42
2012-09-24,113.1,114.44,110.22,110.61,860800,104.86
2012-09-17,116.24,117.,112.18,113.54,836200,107.1
2012-09-10,114.16,116.94,112.29,116.07,868900,109.49
2012-09-04,112.1,114.51,111.07,114.37,682900,107.88
2012-08-27,111.95,112.32,110.29,112.13,575900,105.77
2012-08-20,111.51,112.2,110.19,111.84,626900,105.5
2012-08-13,110.28,112.21,110.28,111.76,430300,105.42
2012-08-06,113.39,113.83,109.84,110.7,952100,104.42
2012-07-30,110.67,113.3,109.94,113.,800900,106.59
2012-07-23,108.72,111.67,107.52,110.79,697200,104.51
2012-07-16,110.85,112.09,108.96,109.93,722800,103.7
2012-07-09,109.89,110.62,107.88,110.59,649200,104.32
2012-07-02,109.23,110.44,108.04,110.18,620000,103.93
2012-06-25,102.61,108.37,102.5,108.37,697700,102.22
2012-06-18,103.96,106.26,103.11,103.31,1000400,96.94
2012-06-11,105.71,105.85,100.97,104.03,1074000,97.61
2012-06-04,101.56,105.38,99.33,105.2,808800,98.71
2012-05-29,104.1,105.6,100.8,101.31,1007900,95.06
2012-05-21,101.45,104.5,101.17,103.85,794900,97.44
2012-05-14,107.58,108.48,100.47,100.87,1108200,94.65
2012-05-07,107.41,108.97,107.,108.31,937800,101.63
2012-04-30,107.76,110.17,106.7,107.95,1166200,101.29
2012-04-23,103.93,108.18,103.47,107.8,1063000,101.15
2012-04-16,100.97,105.17,100.87,105.02,916400,98.54
2012-04-09,101.03,102.01,98.92,100.3,944000,94.11
2012-04-02,104.99,105.6,102.14,102.76,801900,96.42
2012-03-26,105.19,105.31,102.82,104.99,951100,98.51
2012-03-19,105.61,106.,102.42,104.01,940400,97.08
2012-03-12,102.53,106.36,102.38,105.94,1169300,98.88
2012-03-05,102.38,103.4,101.26,102.31,894000,95.49
2012-02-27,102.17,102.96,100.98,102.46,984700,95.63
2012-02-21,104.79,104.91,101.57,102.62,695900,95.78
2012-02-13,105.,105.46,102.19,104.84,863200,97.85
2012-02-06,107.43,107.53,103.4,103.78,762000,96.86
2012-01-30,102.68,107.87,102.17,107.57,1224100,100.4
2012-01-23,99.51,104.69,99.51,104.24,966100,97.29
2012-01-17,98.56,100.08,98.12,99.86,982800,93.2
2012-01-09,99.31,100.63,96.73,97.49,933100,90.99
2012-01-03,101.74,102.86,98.17,99.22,1172800,92.61
2011-12-27,100.61,102.32,98.88,99.6,634800,92.96
2011-12-19,96.09,101.14,94.92,101.01,797300,93.77
2011-12-12,94.62,97.22,91.85,95.96,1076200,89.08
2011-12-05,94.96,96.44,93.51,95.49,679500,88.64
