Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.53,28.65,28.37,28.54,5072200,28.54
2014-02-18,29.36,29.37,28.32,28.5,6075700,28.5
2014-02-10,30.93,31.1,28.6,29.36,7028400,29.36
2014-02-03,31.75,31.79,30.35,30.85,3578800,30.85
2014-01-27,32.81,33.09,31.45,31.79,3922500,31.79
2014-01-21,33.62,33.78,32.75,32.75,2300300,32.5
2014-01-13,33.71,34.18,33.36,33.42,2271200,33.17
2014-01-06,33.6,33.94,33.25,33.86,2526300,33.6
2013-12-30,33.57,33.83,33.42,33.49,1558500,33.23
2013-12-23,33.73,33.74,33.24,33.55,1568000,33.29
2013-12-16,31.69,33.92,31.03,33.54,5235300,33.28
2013-12-09,33.15,33.47,31.53,31.67,3047800,31.43
2013-12-02,33.,33.14,32.46,33.07,2585800,32.82
2013-11-25,32.71,33.21,32.31,32.99,3017600,32.74
2013-11-18,33.08,33.08,32.06,32.68,2701400,32.43
2013-11-11,32.64,33.19,32.05,33.,2770800,32.75
2013-11-04,31.81,33.,31.46,32.64,3665900,32.39
2013-10-28,31.75,32.3,31.6,31.8,3841400,31.56
2013-10-21,31.16,31.87,30.83,31.72,3028300,31.23
2013-10-14,30.67,31.41,30.59,31.17,2702200,30.69
2013-10-07,30.15,30.91,29.99,30.85,2949700,30.38
2013-09-30,30.19,30.71,29.87,30.37,5219400,29.9
2013-09-23,30.97,31.02,30.02,30.27,4340700,29.81
2013-09-16,32.2,32.35,30.27,31.,7973300,30.52
2013-09-09,33.79,33.99,30.64,31.88,10051600,31.39
2013-09-03,34.15,34.25,33.47,33.7,2532000,33.18
2013-08-26,35.09,35.15,33.72,33.82,2765300,33.3
2013-08-19,34.77,35.27,34.35,35.08,2136300,34.54
2013-08-12,36.48,36.79,34.63,34.78,2015100,34.25
2013-08-05,36.98,37.28,36.55,36.65,2286100,36.09
2013-07-29,36.5,37.04,36.16,37.04,2469900,36.47
2013-07-22,36.9,37.03,36.35,36.74,2051600,35.93
2013-07-15,36.56,37.13,36.45,37.02,2537200,36.2
2013-07-08,35.73,36.71,35.48,36.58,3463700,35.77
2013-07-01,35.,35.81,34.9,35.62,2869900,34.84
2013-06-24,32.94,35.54,32.81,34.93,6007300,34.16
2013-06-17,34.23,34.67,32.8,33.25,3970700,32.52
2013-06-10,33.8,34.48,33.51,34.09,2496100,33.34
2013-06-03,33.67,33.79,32.7,33.75,3925200,33.01
2013-05-28,34.94,35.29,33.69,33.69,2698600,32.95
2013-05-20,35.92,36.02,34.41,34.77,3223500,34.
2013-05-13,34.89,36.22,34.86,35.92,2568800,35.13
2013-05-06,35.66,35.76,34.7,34.86,2746800,34.09
2013-04-29,35.3,35.74,34.87,35.66,2984900,34.87
2013-04-22,36.1,36.31,35.04,35.28,2861300,34.5
2013-04-15,35.14,36.1,34.76,36.06,3860800,35.02
2013-04-08,34.4,35.17,34.19,35.16,3852800,34.14
2013-04-01,35.83,35.84,34.13,34.42,4422400,33.42
2013-03-25,35.26,35.91,35.09,35.81,2742600,34.77
2013-03-18,34.89,35.66,34.76,35.13,3186300,34.11
2013-03-11,34.79,35.13,34.51,34.97,2485300,33.96
2013-03-04,34.3,34.95,34.13,34.77,2736400,33.76
2013-02-25,34.,34.38,33.41,34.3,3147200,33.31
2013-02-19,33.78,34.,33.26,33.92,4745300,32.94
2013-02-11,33.49,33.93,33.26,33.73,4213300,32.75
2013-02-04,32.91,33.46,32.79,33.38,4125700,32.41
2013-01-28,32.5,33.08,32.01,33.07,4589400,32.11
2013-01-22,31.74,32.47,31.66,32.33,3924900,31.15
2013-01-14,30.83,31.7,30.69,31.7,4249200,30.55
2013-01-07,30.25,30.87,29.82,30.8,4813000,29.68
2012-12-31,29.1,30.38,28.78,30.24,3121900,29.14
2012-12-24,29.88,29.93,29.2,29.2,2031200,28.14
2012-12-17,30.15,31.12,29.75,29.8,5355800,28.72
2012-12-10,29.67,30.55,29.63,30.15,4067700,29.05
2012-12-03,29.91,29.93,29.4,29.75,3221700,28.67
2012-11-26,28.18,29.97,28.11,29.86,6114800,28.77
2012-11-19,27.89,28.41,27.72,28.41,2736100,27.38
2012-11-12,27.76,27.94,27.48,27.74,3367300,26.73
2012-11-05,27.99,28.53,27.66,27.77,2503000,26.76
2012-10-31,28.16,28.34,27.8,28.07,4722000,27.05
2012-10-22,28.32,28.39,27.87,28.21,3168800,26.94
2012-10-15,27.85,28.8,27.84,28.26,3319700,26.99
2012-10-08,27.74,28.16,27.73,27.94,3046500,26.69
2012-10-01,27.7,27.95,27.61,27.79,3641200,26.54
2012-09-24,27.41,27.67,27.19,27.59,3799400,26.35
2012-09-17,25.55,27.75,25.51,27.51,7500500,26.27
2012-09-10,25.65,26.,25.5,25.59,2945700,24.44
2012-09-04,25.3,25.91,25.3,25.58,4312100,24.43
2012-08-27,24.9,25.39,24.81,25.11,2876600,23.98
2012-08-20,24.74,24.94,24.59,24.85,2991500,23.73
2012-08-13,24.74,24.84,24.51,24.73,2649500,23.62
2012-08-06,24.64,24.88,24.52,24.83,2622200,23.72
2012-07-30,24.26,24.82,24.07,24.57,4067900,23.47
2012-07-23,24.14,24.35,23.64,24.3,5398400,23.21
2012-07-16,25.25,25.27,24.06,24.13,7412800,22.81
2012-07-09,25.71,25.74,25.11,25.28,4076700,23.9
2012-07-02,25.85,25.92,25.59,25.72,2698400,24.32
2012-06-25,25.23,25.93,25.08,25.93,3675900,24.52
2012-06-18,24.77,25.71,24.47,25.35,5498100,23.97
2012-06-11,25.26,25.29,24.74,24.97,2676600,23.61
2012-06-04,24.47,25.17,24.19,25.14,3623900,23.77
2012-05-29,25.3,25.42,24.51,24.59,4792300,23.25
2012-05-21,25.23,25.43,24.99,25.25,3789200,23.87
2012-05-14,25.65,25.79,25.04,25.11,3820100,23.74
2012-05-07,25.65,25.95,25.42,25.74,4011300,24.34
2012-04-30,25.85,26.02,25.65,25.75,2871300,24.35
2012-04-23,26.04,26.05,25.5,25.92,2905100,24.51
2012-04-16,25.78,26.33,25.71,26.25,4984200,24.59
2012-04-09,26.18,26.34,25.63,25.77,7192100,24.14
2012-04-02,26.28,26.87,26.1,26.44,5640600,24.77
2012-03-26,26.15,26.48,26.07,26.26,3597100,24.6
2012-03-19,26.4,26.53,25.96,26.05,2688000,24.4
2012-03-12,26.17,26.75,26.05,26.43,2028100,24.76
2012-03-05,26.12,26.41,25.95,26.17,2772200,24.51
2012-02-27,26.65,26.83,26.03,26.14,3423100,24.49
2012-02-21,26.5,26.98,26.1,26.84,5233200,25.14
2012-02-13,26.76,27.04,26.44,26.48,3430200,24.8
2012-02-06,26.68,26.96,26.48,26.65,3167900,24.96
2012-01-30,26.6,27.08,26.46,26.8,3024900,25.1
2012-01-23,27.1,27.34,26.58,26.71,2998800,25.02
2012-01-17,27.,27.25,26.82,27.06,6324000,25.12
2012-01-09,26.48,27.04,26.4,26.85,6175000,24.93
2012-01-03,26.63,26.72,26.22,26.42,3318400,24.53
2011-12-27,26.51,26.68,26.35,26.4,1774000,24.51
2011-12-19,25.45,26.63,25.09,26.6,4157900,24.7
2011-12-12,25.64,25.76,25.16,25.45,4022700,23.63
2011-12-05,25.47,25.76,25.3,25.7,3028800,23.86
2011-11-28,24.29,25.53,24.19,25.29,3565000,23.48
2011-11-21,24.04,24.36,23.81,23.95,2940800,22.23
2011-11-14,24.84,25.1,24.16,24.28,4268700,22.54
2011-11-07,25.35,25.97,24.61,24.77,3426700,23.
2011-10-31,25.23,25.55,24.65,25.39,4210600,23.57
2011-10-24,25.58,25.81,24.96,25.27,5110000,23.46
2011-10-17,25.5,25.9,25.2,25.52,5773500,23.47
2011-10-10,25.2,25.75,25.11,25.63,2835400,23.57
2011-10-03,24.,25.22,23.64,25.03,5501000,23.02
2011-09-26,23.72,24.78,23.69,24.22,5693400,22.27
2011-09-19,23.63,23.87,22.39,23.62,7065800,21.72
2011-09-12,23.64,24.33,23.08,23.93,5746100,22.
2011-09-06,23.67,24.91,23.4,23.8,3233300,21.88
2011-08-29,24.13,24.82,24.07,24.09,3513700,22.15
2011-08-22,23.58,24.16,23.17,23.91,2976600,21.99
2011-08-15,23.36,24.26,23.08,23.28,4115400,21.41
2011-08-08,23.9,24.3,22.2,23.19,9434000,21.32
2011-08-01,25.83,25.83,23.82,24.44,5083400,22.47
2011-07-25,26.26,26.6,25.36,25.61,3554700,23.55
2011-07-18,26.12,26.59,26.03,26.52,4093500,24.17
2011-07-11,26.15,26.5,25.67,26.37,7350500,24.04
2011-07-05,25.86,26.5,25.64,26.31,4606400,23.98
2011-06-27,25.69,25.92,25.36,25.9,4240100,23.61
2011-06-20,24.65,25.64,24.55,25.2,7268300,22.97
2011-06-13,24.31,24.98,23.91,24.65,4294900,22.47
2011-06-06,24.39,24.65,24.,24.18,3082000,22.04
2011-05-31,25.14,25.5,24.42,24.47,3739000,22.3
2011-05-23,25.35,25.54,24.67,25.04,3125900,22.82
2011-05-16,25.42,25.69,25.15,25.52,4094300,23.26
2011-05-09,25.22,25.61,25.02,25.52,3269300,23.26
2011-05-02,24.5,25.82,24.5,25.17,9671700,22.94
2011-04-25,24.05,24.5,23.96,24.45,3768400,22.29
2011-04-18,24.43,24.74,24.05,24.12,3192100,21.78
2011-04-11,23.67,24.71,23.51,24.69,3978500,22.29
2011-04-04,23.92,23.99,23.58,23.65,2216500,21.35
2011-03-28,23.84,23.99,23.61,23.84,3019500,21.52
2011-03-21,22.89,23.9,22.64,23.83,4383700,21.52
2011-03-14,23.25,23.39,22.44,22.77,6056400,20.56
2011-03-07,23.2,23.47,23.02,23.37,2747300,21.1
2011-02-28,23.08,23.3,22.65,23.16,3223000,20.91
2011-02-22,22.49,23.09,22.45,23.,4146500,20.77
2011-02-14,22.55,22.85,22.36,22.76,3899400,20.55
2011-02-07,22.78,22.95,22.36,22.52,3755600,20.33
2011-01-31,22.48,22.85,22.28,22.78,3401600,20.57
2011-01-24,23.44,23.68,22.43,22.44,4978600,20.26
2011-01-18,23.16,23.64,23.08,23.47,3336400,20.98
2011-01-10,22.76,23.37,22.52,23.11,4246500,20.66
2011-01-03,22.69,22.85,22.43,22.61,5096400,20.21
2010-12-27,22.32,22.7,22.26,22.58,2559900,20.19
2010-12-20,22.57,22.71,22.2,22.4,4621800,20.02
2010-12-13,22.4,22.56,22.03,22.49,3793900,20.11
2010-12-06,22.05,22.39,21.8,22.33,3416700,19.96
2010-11-29,21.48,22.1,21.43,22.08,4702500,19.74
2010-11-22,21.46,21.68,21.25,21.62,1964400,19.33
2010-11-15,22.05,22.18,21.02,21.48,3402900,19.2
2010-11-08,22.08,22.32,21.87,22.01,2950700,19.68
2010-11-01,22.54,22.56,21.97,22.14,3110400,19.79
2010-10-25,23.02,23.16,22.19,22.49,3234400,20.11
2010-10-18,22.4,23.,22.4,22.95,5036400,20.31
2010-10-11,21.92,22.85,21.85,22.42,4722600,19.84
2010-10-04,22.15,22.39,21.78,21.87,4362600,19.35
2010-09-27,21.71,22.17,21.65,22.13,4714500,19.58
2010-09-20,22.13,22.38,21.03,21.78,7777400,19.27
2010-09-13,22.09,22.31,21.67,22.09,3149200,19.55
2010-09-07,21.9,22.16,21.78,21.95,3156100,19.42
2010-08-30,21.59,22.15,21.34,21.99,3095800,19.46
2010-08-23,21.5,21.75,21.23,21.74,3696600,19.24
2010-08-16,21.53,22.13,21.34,21.45,4580500,18.98
2010-08-09,22.32,22.52,21.33,21.62,8188100,19.13
2010-08-02,23.69,23.87,22.18,22.21,7295700,19.65
2010-07-26,23.82,24.25,23.15,23.48,3312800,20.78
2010-07-19,23.73,24.06,23.5,23.93,3058500,21.
2010-07-12,23.89,24.24,23.63,23.66,3007900,20.76
2010-07-06,23.37,24.08,23.12,23.91,3182000,20.98
2010-06-28,23.99,24.16,23.01,23.16,5207500,20.32
2010-06-21,25.14,25.25,23.8,23.92,4648500,20.99
2010-06-14,24.99,25.42,24.89,24.97,4033600,21.91
2010-06-07,24.19,25.04,23.97,24.88,4430200,21.83
2010-06-01,23.99,24.84,23.83,24.21,3415500,21.25
2010-05-24,24.71,24.75,23.69,24.18,4332300,21.22
2010-05-17,24.4,24.84,23.9,24.76,7299900,21.73
2010-05-10,24.19,24.92,23.83,24.37,3938400,21.39
2010-05-03,24.58,24.83,22.36,23.58,5409300,20.69
2010-04-26,24.85,25.01,24.09,24.47,4416400,21.47
2010-04-19,24.79,25.16,24.66,24.91,2755300,21.68
2010-04-12,25.13,25.28,24.76,24.88,3943000,21.65
2010-04-05,25.34,25.38,24.79,25.23,4434800,21.96
2010-03-29,24.69,25.29,24.62,25.23,4612600,21.96
2010-03-22,25.54,26.32,24.23,24.64,6810800,21.45
2010-03-15,25.34,26.04,25.3,25.84,3813800,22.49
2010-03-08,25.31,25.49,25.05,25.37,2632200,22.08
2010-03-01,24.55,25.29,24.55,25.29,4361600,22.01
2010-02-22,24.61,24.75,24.17,24.46,3755800,21.29
2010-02-16,23.63,24.7,23.41,24.64,4580000,21.45
2010-02-08,22.87,23.44,22.65,23.4,3882800,20.37
2010-02-01,22.85,23.14,22.19,22.83,5374000,19.87
2010-01-25,23.25,23.4,22.67,22.74,3372800,19.79
2010-01-19,23.28,23.95,23.14,23.14,4139500,19.97
2010-01-11,23.09,23.86,23.06,23.26,3545500,20.07
2010-01-04,23.25,23.55,22.95,23.02,3131800,19.86
2009-12-28,23.42,23.67,23.04,23.05,2357900,19.89
2009-12-21,22.76,23.42,21.83,23.25,5729300,20.06
2009-12-14,22.54,22.75,21.91,22.16,3809200,19.12
2009-12-07,22.54,22.76,22.08,22.47,2716000,19.39
2009-11-30,22.25,22.79,22.09,22.6,2812400,19.5
2009-11-23,22.47,22.84,21.98,22.18,2214700,19.14
2009-11-16,22.46,22.5,22.07,22.35,3111000,19.28
2009-11-09,21.44,22.48,21.44,22.41,4000700,19.34
2009-11-02,21.13,21.4,20.55,21.4,3533500,18.46
2009-10-26,21.51,21.72,20.9,21.,4006600,18.12
2009-10-19,21.7,22.39,21.48,21.56,3160300,18.43
2009-10-12,21.5,21.78,20.97,21.7,4312600,18.55
2009-10-05,21.46,21.49,21.01,21.41,4326600,18.3
2009-09-28,21.48,21.94,21.,21.41,4340200,18.3
2009-09-21,22.3,22.73,21.42,21.47,5420300,18.35
2009-09-14,22.17,22.44,21.93,22.32,5013900,19.08
2009-09-08,20.97,22.24,20.8,22.22,5539800,18.99
2009-08-31,20.18,20.74,19.74,20.72,5036400,17.71
2009-08-24,20.26,20.52,20.09,20.27,3277000,17.33
