Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,66.38,67.29,66.29,66.46,4822800,66.46
2014-02-18,65.23,66.6,64.66,66.06,6213400,66.06
2014-02-10,60.55,65.93,60.19,64.96,7699000,64.96
2014-02-03,58.59,61.04,55.71,60.5,7906900,60.5
2014-01-27,58.38,60.17,57.37,58.72,6078000,58.72
2014-01-21,61.23,61.23,58.03,58.39,5293200,58.39
2014-01-13,62.49,62.69,60.03,60.49,5576600,60.49
2014-01-06,63.71,63.84,61.38,62.99,3179000,62.99
2013-12-30,62.99,64.06,62.41,63.14,4954200,63.14
2013-12-23,61.07,63.33,60.82,63.04,3721900,63.04
2013-12-16,58.84,61.23,58.1,60.7,4680600,60.7
2013-12-09,58.96,59.61,57.84,58.42,3297700,58.42
2013-12-02,58.6,59.28,57.52,58.9,3667400,58.78
2013-11-25,58.75,59.02,58.13,58.56,3422300,58.44
2013-11-18,60.64,60.75,58.03,58.63,4257400,58.51
2013-11-11,58.69,61.08,58.21,60.55,4416200,60.43
2013-11-04,60.07,60.91,56.63,58.74,6598700,58.62
2013-10-28,59.89,60.27,57.86,59.94,4556900,59.82
2013-10-21,59.32,60.,58.88,59.8,3773000,59.68
2013-10-14,55.89,59.44,55.71,59.2,4138300,59.08
2013-10-07,55.57,56.59,53.01,56.25,4039600,56.14
2013-09-30,54.97,56.53,54.8,56.38,3902300,56.27
2013-09-23,56.01,57.04,54.6,55.5,4424500,55.39
2013-09-16,56.14,57.47,55.66,56.08,3707200,55.97
2013-09-09,53.79,55.67,53.44,55.46,3455100,55.35
2013-09-03,52.62,54.81,52.55,53.62,4116200,53.51
2013-08-26,53.19,53.66,50.77,51.1,3186200,50.88
2013-08-19,51.6,53.26,50.51,53.2,3841200,52.97
2013-08-12,53.21,53.9,51.51,51.68,3287100,51.46
2013-08-05,54.21,54.64,53.26,53.55,3068800,53.32
2013-07-29,53.48,55.58,52.1,54.53,5234600,54.3
2013-07-22,52.63,53.78,51.93,53.5,3348800,53.27
2013-07-15,52.78,53.84,52.13,52.5,3987400,52.28
2013-07-08,50.24,52.98,50.19,52.89,4194000,52.66
2013-07-01,48.89,50.39,48.45,50.06,3520800,49.85
2013-06-24,46.37,49.5,45.78,48.87,4956100,48.66
2013-06-17,47.91,49.21,46.4,46.89,6154000,46.69
2013-06-10,48.26,48.53,45.61,47.72,7035800,47.52
2013-06-03,49.5,50.13,47.61,48.03,6224800,47.83
2013-05-28,51.35,51.84,49.5,49.5,4522900,49.17
2013-05-20,51.44,52.46,50.01,50.75,5067700,50.41
