Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,47.42,47.89,47.23,47.25,2890200,47.25
2014-02-18,46.06,47.46,45.93,47.34,2307500,47.34
2014-02-10,44.31,46.18,44.06,46.15,2319300,46.15
2014-02-03,43.4,44.81,42.07,44.4,2584900,44.4
2014-01-27,43.55,44.03,42.94,43.29,1896100,43.29
2014-01-21,44.68,45.03,43.53,43.53,1591900,43.53
2014-01-13,44.25,44.93,43.67,44.28,1560600,44.28
2014-01-06,43.97,44.46,43.29,44.4,1756500,44.4
2013-12-30,43.68,44.36,43.3,43.67,2004100,43.67
2013-12-23,43.32,43.77,42.94,43.63,769900,43.63
2013-12-16,40.95,43.26,40.82,43.14,2351700,43.14
2013-12-09,42.6,42.67,40.55,40.66,1838700,40.66
2013-12-02,41.93,42.87,41.92,42.59,1817200,42.59
2013-11-25,41.73,42.23,41.36,41.94,1256200,41.94
2013-11-18,42.12,42.24,41.26,41.57,1788800,41.57
2013-11-11,41.35,42.44,41.21,42.06,1496400,41.86
2013-11-04,41.65,41.94,40.49,41.32,1565700,41.12
2013-10-28,41.26,42.76,41.14,41.77,2092100,41.57
2013-10-21,42.16,42.95,39.93,41.18,3168800,40.98
2013-10-14,40.71,42.2,40.36,42.19,1947300,41.99
2013-10-07,39.9,40.88,39.49,40.88,1967700,40.68
2013-09-30,40.25,40.87,39.95,40.2,2185800,40.01
2013-09-23,40.78,40.89,39.99,40.57,1754800,40.38
2013-09-16,40.14,41.48,40.01,40.83,2772500,40.63
2013-09-09,38.84,39.94,38.84,39.71,1960300,39.52
2013-09-03,38.42,39.17,37.96,38.81,3600000,38.62
2013-08-26,37.62,37.75,36.58,37.4,2173900,37.03
2013-08-19,37.58,37.8,37.03,37.59,1675800,37.22
2013-08-12,38.,38.49,37.4,37.59,2175000,37.22
2013-08-05,38.11,38.5,37.72,38.18,1497100,37.8
2013-07-29,37.79,38.23,37.25,38.12,1587300,37.74
2013-07-22,37.25,38.32,37.12,37.85,2399100,37.47
2013-07-15,36.85,37.31,36.7,37.17,2449700,36.8
