Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.99,75.7,74.69,74.72,1406300,74.72
2014-02-18,75.14,76.54,73.67,74.88,2225100,74.88
2014-02-10,71.55,75.04,71.55,75.02,2181200,75.02
2014-02-03,70.96,71.73,68.44,71.56,3031400,71.56
2014-01-27,71.31,71.84,70.17,70.96,2902400,70.96
2014-01-21,74.5,75.,71.36,71.37,4663500,71.37
2014-01-13,71.82,74.76,71.51,74.22,2651600,74.22
2014-01-06,71.56,72.85,71.21,71.85,3213400,71.85
2013-12-30,72.64,73.69,70.91,71.24,2379500,71.24
2013-12-23,72.32,72.93,71.87,72.57,1182300,72.57
2013-12-16,73.77,73.77,70.43,71.98,4175700,71.98
2013-12-09,75.38,76.08,73.59,73.91,1649300,73.91
2013-12-02,74.1,75.43,73.79,75.4,2080800,75.4
2013-11-25,74.2,75.,73.1,74.23,1895500,74.23
2013-11-18,76.08,76.9,73.22,74.19,1788000,74.19
2013-11-11,74.75,76.36,73.61,76.09,1617700,76.09
2013-11-04,75.43,76.85,72.59,74.54,2539200,74.54
2013-10-28,76.2,76.76,74.01,75.18,3933300,75.18
2013-10-21,74.03,76.72,72.81,76.11,11121200,76.11
2013-10-14,71.05,77.22,70.96,75.96,2327100,75.96
2013-10-07,71.11,71.7,69.87,71.37,1602400,71.37
2013-09-30,72.51,73.21,70.4,70.66,1945500,70.66
2013-09-23,70.41,73.28,70.06,72.71,1705200,72.71
2013-09-16,70.85,71.67,69.28,70.62,2804300,70.62
2013-09-09,72.2,73.51,69.73,69.86,2847100,69.86
2013-09-03,69.32,72.,68.69,70.55,2258400,70.55
2013-08-26,69.68,70.46,68.44,69.42,1476500,69.42
2013-08-19,67.7,69.87,67.7,69.73,1311800,69.73
2013-08-12,68.37,68.77,66.73,67.91,2203500,67.91
2013-08-05,69.96,70.84,68.11,68.76,1988900,68.76
2013-07-29,73.39,73.92,69.12,69.3,3037300,69.3
2013-07-22,76.89,77.22,73.21,73.35,1904900,73.35
2013-07-15,77.62,78.,73.87,76.72,2365900,76.72
2013-07-08,72.37,77.57,72.33,77.3,2707200,77.3
2013-07-01,72.5,73.29,71.,72.21,1892700,72.21
2013-06-24,67.7,73.29,66.95,72.39,3333700,72.39
2013-06-17,70.74,71.68,67.06,68.53,2723900,68.53
2013-06-10,70.35,70.96,67.7,70.34,3090500,70.34
2013-06-03,71.25,71.71,69.24,70.28,3467900,70.28
2013-05-28,74.51,74.98,69.87,71.25,3183200,71.25
2013-05-20,78.02,78.54,72.75,73.72,2324600,73.72
2013-05-13,78.49,81.16,77.22,77.87,1559600,77.87
2013-05-06,78.11,79.61,77.32,78.71,1044600,78.71
2013-04-29,77.54,78.62,76.65,78.23,2019300,78.23
2013-04-22,75.02,79.,73.24,77.38,2187500,77.38
2013-04-15,73.44,75.11,72.74,75.01,1836500,75.01
2013-04-08,70.71,74.05,70.7,73.39,1231100,73.39
2013-04-01,69.69,71.02,69.36,70.83,1746700,70.83
2013-03-25,71.,71.24,69.43,69.64,1708200,69.64
2013-03-18,69.41,71.4,69.04,70.74,1455600,70.74
2013-03-11,71.57,71.83,69.9,69.99,1440100,69.99
2013-03-04,69.99,72.63,69.84,71.79,1490400,71.79
2013-02-25,70.25,71.72,69.42,70.14,2201700,70.14
2013-02-19,68.,70.66,66.52,69.97,2978500,69.97
2013-02-11,70.74,70.74,66.13,67.9,4110000,67.9
2013-02-04,71.1,71.6,69.91,70.79,2119100,70.79
2013-01-28,73.71,73.89,69.99,71.49,2648600,71.49
2013-01-22,74.34,75.5,73.21,73.45,1853400,73.45
2013-01-14,72.54,74.47,72.37,74.29,1625500,74.29
2013-01-07,73.21,73.6,72.25,72.78,1751500,72.78
2012-12-31,70.7,75.1,70.68,73.54,2353900,73.54
2012-12-24,71.09,71.48,69.73,70.65,694200,70.65
2012-12-17,71.25,71.84,70.63,71.26,1502500,71.26
2012-12-10,68.78,71.7,67.68,71.16,1660900,71.16
2012-12-03,67.85,68.65,65.97,68.45,1207500,68.45
2012-11-26,67.27,68.2,65.22,67.52,1311000,67.52
2012-11-19,65.67,67.55,65.37,67.55,846700,67.55
2012-11-12,66.78,67.45,63.74,65.18,1574200,65.18
2012-11-05,67.53,68.69,66.29,66.83,1811600,66.83
2012-10-31,66.5,68.63,66.11,67.7,1450900,67.7
2012-10-22,65.6,66.71,63.42,66.46,1859500,66.46
2012-10-15,64.84,67.64,64.58,65.72,1375700,65.72
2012-10-08,65.52,65.75,63.82,64.65,1413600,64.65
2012-10-01,64.2,67.61,63.43,65.8,1670300,65.8
2012-09-24,64.46,65.43,63.39,64.1,1796400,64.1
2012-09-17,63.5,66.11,63.42,65.26,2697100,65.26
2012-09-10,64.5,64.67,63.16,63.49,1455200,63.49
2012-09-04,63.48,65.31,62.84,64.5,2546000,64.5
2012-08-27,61.91,63.74,61.53,63.46,1415600,63.46
2012-08-20,62.56,63.07,61.33,61.89,1039500,61.89
2012-08-13,62.13,63.44,61.93,62.49,1341600,62.49
2012-08-06,62.79,62.97,60.98,62.42,1235400,62.42
2012-07-30,61.74,63.19,61.24,62.52,1727800,62.52
2012-07-23,58.47,62.95,57.6,61.69,1634100,61.69
2012-07-16,60.68,60.91,58.39,59.,1850100,59.
2012-07-09,59.25,60.72,58.57,60.66,1790100,60.66
2012-07-02,58.89,60.35,58.66,59.42,1245900,59.42
2012-06-25,55.91,59.26,55.9,58.66,1714200,58.66
2012-06-18,57.95,59.11,56.22,56.65,1961500,56.65
