Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,161.59,164.99,161.39,164.09,2871000,164.09
2014-02-18,163.82,166.45,160.23,160.97,2629900,160.97
2014-02-10,157.01,167.26,155.64,163.93,3081100,163.93
2014-02-03,151.81,157.18,147.77,156.88,4002800,156.88
2014-01-27,160.72,161.19,147.83,151.93,4769600,151.93
2014-01-21,168.07,170.88,161.11,161.22,2960500,161.22
2014-01-13,170.47,174.66,162.7,167.04,4038500,167.04
2014-01-06,165.89,171.,160.5,169.81,2936700,169.81
2013-12-30,168.89,172.34,167.81,169.81,1674700,169.81
2013-12-23,168.76,170.47,166.05,168.93,1261200,168.93
2013-12-16,166.,168.,157.18,167.48,2881000,167.48
2013-12-09,170.47,173.8,164.,164.9,3265500,164.9
2013-12-02,161.87,167.25,158.05,166.43,2372900,166.43
2013-11-25,164.73,165.74,160.71,161.77,2244400,161.77
2013-11-18,151.49,164.,151.21,163.33,3009500,163.33
2013-11-11,149.,151.45,146.52,151.11,2568700,151.11
2013-11-04,151.94,152.89,142.1,148.92,3741300,148.92
2013-10-28,156.,157.56,147.23,151.31,2784100,151.31
2013-10-21,161.49,161.64,154.6,155.74,2741600,155.74
2013-10-14,151.67,160.58,150.52,160.55,2524300,160.55
2013-10-07,155.25,157.11,143.13,153.17,3422300,153.17
2013-09-30,152.37,157.95,150.46,157.27,2720200,157.27
2013-09-23,149.34,154.99,144.01,154.61,2898000,154.61
2013-09-16,150.8,151.95,145.5,149.86,3508800,149.86
2013-09-09,147.06,151.,146.9,149.48,1879200,149.48
2013-09-03,141.77,148.39,141.42,146.97,2611300,146.97
2013-08-26,138.71,143.,135.51,139.98,2496800,139.98
2013-08-19,132.11,139.77,132.11,138.27,1913100,138.27
2013-08-12,141.44,142.07,131.52,132.49,2081800,132.49
2013-08-05,146.89,148.28,139.43,142.07,2108700,142.07
2013-07-29,142.,149.92,141.62,147.35,2537200,147.35
2013-07-22,138.2,144.15,134.3,143.94,2676000,143.94
2013-07-15,135.19,137.8,130.22,135.89,3179400,135.89
2013-07-08,123.,136.36,121.3,134.56,3217400,134.56
2013-07-01,119.3,122.77,118.15,122.48,1821200,122.48
2013-06-24,112.52,119.9,110.53,116.98,2577800,116.98
2013-06-17,120.43,121.27,111.71,113.89,2842200,113.89
2013-06-10,120.91,123.45,116.02,119.36,2536000,119.36
2013-06-03,124.12,124.72,111.5,120.41,4299400,120.41
2013-05-28,124.52,127.24,121.57,123.65,3091000,123.65
2013-05-20,124.6,128.35,120.55,122.58,2700000,122.58
2013-05-13,126.84,131.82,120.35,124.91,3744000,124.91
2013-05-06,121.06,127.47,121.03,127.46,2918000,127.46
2013-04-29,120.28,121.9,114.05,121.64,3337000,121.64
2013-04-22,124.16,128.52,116.25,120.34,4442100,120.34
2013-04-15,122.5,123.01,118.09,122.36,2879700,122.36
2013-04-08,116.67,124.1,115.26,123.,2510600,123.
2013-04-01,116.51,118.78,114.52,116.43,2865600,116.43
2013-03-25,112.89,116.95,111.07,115.91,2620300,115.91
2013-03-18,111.25,113.49,108.01,113.13,2377300,113.13
2013-03-11,111.48,115.44,110.67,112.4,3654700,112.4
2013-03-04,103.17,111.8,102.5,111.36,3801200,111.36
2013-02-25,101.84,105.82,98.62,105.62,3616800,105.62
2013-02-19,98.75,103.69,97.85,101.65,3908300,101.65
2013-02-11,100.87,101.56,97.9,98.77,2542000,98.77
2013-02-04,100.05,101.33,96.78,100.13,3238800,100.13
2013-01-28,99.,102.29,97.85,101.44,3426200,101.44
2013-01-22,99.98,100.05,96.3,99.76,4287700,99.76
2013-01-14,96.19,100.12,95.37,100.03,4377200,100.03
2013-01-07,82.1,96.33,81.33,96.3,7638000,96.3
