Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,62.43,63.07,62.24,62.45,1831400,62.45
2014-02-18,60.66,62.25,59.48,62.08,1954700,62.08
2014-02-10,55.31,60.28,54.91,60.18,2146200,60.18
2014-02-03,56.75,57.35,51.65,55.46,3716100,55.46
2014-01-27,54.77,56.98,53.64,56.89,1556500,56.89
2014-01-21,56.,57.58,54.7,54.71,1346300,54.71
2014-01-13,54.67,55.89,53.64,55.74,1676600,55.74
2014-01-06,54.67,55.48,54.15,55.18,1476700,55.18
2013-12-30,55.63,56.1,54.61,54.7,848500,54.7
2013-12-23,54.98,55.87,54.67,55.58,809000,55.58
2013-12-16,54.39,55.82,53.72,54.67,1637400,54.67
2013-12-09,57.49,57.65,53.83,54.17,1660000,54.17
2013-12-02,57.59,58.08,55.81,57.42,1288200,57.42
2013-11-25,58.09,58.46,57.25,57.47,912200,57.47
2013-11-18,57.39,58.03,55.7,57.96,998600,57.96
2013-11-11,56.7,57.6,55.96,57.34,817100,57.34
2013-11-04,56.21,57.09,55.59,57.04,1131700,57.04
2013-10-28,55.93,57.23,55.7,56.17,1489800,56.17
2013-10-21,57.91,59.42,54.44,56.13,2263800,56.13
2013-10-14,54.15,57.8,54.02,57.77,1369500,57.77
2013-10-07,54.32,54.93,52.55,54.68,1350900,54.68
2013-09-30,52.,54.82,51.37,54.71,2028900,54.71
2013-09-23,49.53,55.07,48.5,52.61,2310700,52.61
2013-09-16,49.5,50.25,48.81,49.82,1381300,49.82
2013-09-09,46.76,49.05,46.76,48.98,1366100,48.98
2013-09-03,47.15,47.81,45.81,46.7,1442200,46.7
2013-08-26,47.45,47.9,45.86,46.06,1035400,46.06
2013-08-19,46.99,48.32,46.86,47.44,1069700,47.44
2013-08-12,48.5,49.49,46.31,47.38,1404700,47.38
2013-08-05,49.99,50.04,48.31,48.74,1048200,48.74
2013-07-29,48.44,50.42,47.94,50.07,1899100,50.07
2013-07-22,50.42,50.85,47.93,48.66,1852200,48.66
2013-07-15,49.52,50.41,49.02,49.79,1192400,49.79
2013-07-08,49.99,50.1,47.34,49.56,1891900,49.56
2013-07-01,48.5,49.87,48.05,49.84,1183900,49.84
2013-06-24,94.1,97.66,93.02,96.09,1634400,48.04
2013-06-17,98.82,99.26,94.05,94.59,1738000,47.29
2013-06-10,99.19,99.48,96.41,98.22,1101300,49.11
2013-06-03,98.38,100.,96.55,99.35,1991800,49.67
2013-05-28,97.21,98.89,95.,98.16,1809400,49.08
2013-05-20,98.44,98.79,94.26,96.09,1146300,48.04
2013-05-13,94.6,98.88,94.36,98.83,1347900,49.42
2013-05-06,96.32,96.7,93.49,95.08,1341800,47.54
2013-04-29,94.37,98.22,94.11,96.67,1847400,48.33
2013-04-22,91.69,97.52,90.8,95.88,2207100,47.94
2013-04-15,94.5,94.59,90.54,91.8,1515600,45.9
2013-04-08,92.05,96.24,91.43,94.68,1413900,47.34
2013-04-01,94.97,95.13,91.25,92.13,1399700,46.06
2013-03-25,92.93,94.92,91.95,94.74,1439300,47.37
2013-03-18,92.07,93.48,89.83,93.09,1290600,46.54
2013-03-11,91.89,93.45,91.78,92.78,1978100,46.39
2013-03-04,89.03,92.96,88.27,92.29,1775800,46.15
2013-02-25,88.09,89.39,85.38,89.23,1628600,44.62
2013-02-19,88.06,88.92,85.,87.56,1492800,43.78
