Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,41.09,41.53,41.09,41.1,896700,41.1
2014-02-18,41.1,41.73,40.9,41.08,990700,41.08
2014-02-10,39.68,41.36,39.61,40.95,1268100,40.95
2014-02-03,40.85,40.92,37.87,39.56,2912100,39.56
2014-01-27,39.13,41.98,38.95,40.77,2034800,40.77
2014-01-21,40.88,41.05,39.09,39.1,1103000,39.1
2014-01-13,41.09,41.52,40.58,40.75,1582600,40.75
2014-01-06,39.22,41.3,39.22,41.22,1952400,41.22
2013-12-30,39.84,40.15,38.98,39.,1220900,39.
2013-12-23,39.54,40.24,39.38,39.8,821400,39.8
2013-12-16,39.01,39.73,37.6,39.4,2488000,39.4
2013-12-09,39.86,40.24,38.33,38.71,1328600,38.71
2013-12-02,39.91,40.29,39.13,39.67,1185800,39.67
2013-11-25,39.54,40.03,39.11,39.85,1313900,39.85
2013-11-18,39.16,39.42,38.43,39.37,1416700,39.37
2013-11-11,37.77,39.57,37.55,39.18,1479300,39.18
2013-11-04,38.91,39.25,37.1,37.65,1456900,37.65
2013-10-28,39.,39.56,38.52,38.9,1505100,38.9
2013-10-21,39.18,39.64,38.69,38.94,984200,38.94
2013-10-14,37.86,39.65,37.7,39.24,1337800,39.24
2013-10-07,37.26,38.04,36.73,38.03,1083800,38.03
2013-09-30,36.75,37.77,36.65,37.51,1553200,37.51
2013-09-23,37.97,38.1,36.81,36.94,1495500,36.94
2013-09-16,37.46,38.5,37.46,38.09,1887200,38.09
2013-09-09,36.55,37.64,36.55,37.18,1505900,37.18
2013-09-03,36.08,36.9,35.45,36.62,1946800,36.62
2013-08-26,35.67,36.08,35.01,35.85,1851600,35.85
2013-08-19,35.72,36.31,35.4,35.68,1164800,35.68
2013-08-12,36.66,37.95,35.44,35.82,1720900,35.82
2013-08-05,36.6,37.58,36.,36.95,2608000,36.95
2013-07-29,38.34,39.38,35.06,36.61,3642200,36.61
2013-07-22,38.76,39.04,37.96,38.34,1567700,38.34
2013-07-15,38.49,39.2,38.49,38.79,1317800,38.79
