Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,54.19,54.48,53.33,53.34,1957500,53.34
2014-02-18,54.72,55.17,53.45,54.12,1594800,54.12
2014-02-10,52.38,54.68,52.3,54.64,1812800,54.64
2014-02-03,57.91,58.88,52.01,52.39,4615600,52.39
2014-01-27,57.36,58.91,56.52,58.54,1836200,58.54
2014-01-21,59.49,60.31,57.18,57.21,1949000,57.21
2014-01-13,57.45,59.69,57.03,59.13,1813200,59.13
2014-01-06,57.65,58.27,56.1,57.7,1717000,57.7
2013-12-30,57.18,58.55,57.07,57.28,1260500,57.28
2013-12-23,56.87,57.78,56.51,57.72,1672100,57.72
2013-12-16,56.64,57.1,55.92,56.54,2546900,56.54
2013-12-09,58.08,58.36,56.11,56.4,1943400,56.4
2013-12-02,58.81,59.11,57.34,57.89,1830000,57.54
2013-11-25,58.94,59.17,58.45,58.65,1189300,58.29
2013-11-18,60.08,60.65,57.39,58.68,2340500,58.32
2013-11-11,59.51,60.44,58.54,59.98,1963000,59.61
2013-11-04,60.68,61.94,58.88,59.66,2509100,59.29
2013-10-28,60.88,61.26,59.5,59.94,1689100,59.57
2013-10-21,60.33,61.67,59.88,60.76,1361500,60.39
2013-10-14,58.75,60.5,58.45,60.21,1295800,59.84
2013-10-07,57.47,58.97,57.1,58.9,1332700,58.54
2013-09-30,59.56,60.12,57.35,58.48,1641500,58.12
2013-09-23,61.87,62.14,60.38,60.45,1310400,60.08
2013-09-16,59.77,62.46,59.69,62.09,1625700,61.71
2013-09-09,57.83,60.24,57.83,59.13,1314300,58.77
2013-09-03,57.46,58.17,56.65,57.7,1198100,57.35
2013-08-26,57.9,60.57,56.67,56.87,1416200,56.18
2013-08-19,56.16,57.29,55.67,57.2,833100,56.5
2013-08-12,56.59,57.17,55.26,56.13,937400,55.45
2013-08-05,59.58,60.2,55.6,56.79,1834200,56.1
2013-07-29,59.06,61.35,58.84,59.71,953300,58.98
2013-07-22,61.12,61.13,58.49,59.39,740100,58.67
2013-07-15,57.94,60.93,57.87,60.6,1151800,59.86
2013-07-08,57.53,59.19,57.35,57.83,961600,57.13
