Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,77.1,79.63,77.02,79.19,3548400,79.19
2014-02-18,77.86,78.66,76.37,77.34,2682900,77.34
2014-02-10,77.45,78.11,75.37,77.71,4256000,77.71
2014-02-03,86.46,86.66,76.13,77.47,2899600,77.47
2014-01-27,86.55,88.05,84.75,86.31,1335200,86.31
2014-01-21,89.81,90.55,86.5,86.7,1216200,86.7
2014-01-13,88.93,90.02,88.21,89.46,1131900,89.46
2014-01-06,86.81,90.63,86.08,89.21,1422300,89.21
2013-12-30,86.53,87.73,85.72,86.4,879700,86.4
2013-12-23,85.8,87.23,85.47,86.53,428100,86.53
2013-12-16,84.06,85.72,83.02,85.25,1410800,85.25
2013-12-09,87.51,87.93,83.16,83.25,1437300,83.25
2013-12-02,87.37,88.09,84.23,86.5,1386600,86.5
2013-11-25,86.76,88.57,86.52,87.45,1187100,87.45
2013-11-18,83.7,87.42,83.53,86.62,1459900,86.62
2013-11-11,80.77,83.66,80.58,83.64,1258900,83.64
2013-11-04,78.76,81.14,78.4,80.68,1980700,80.68
2013-10-28,74.1,78.5,73.68,78.38,2273600,78.38
2013-10-21,74.78,77.41,72.64,73.9,2028000,73.9
2013-10-14,79.14,80.51,74.46,74.95,2405000,74.95
2013-10-07,78.44,79.86,77.02,79.6,1216300,79.6
2013-09-30,77.06,79.72,76.31,79.23,1589500,79.23
2013-09-23,78.18,79.16,76.59,77.65,1565700,77.65
2013-09-16,84.3,84.68,76.83,78.59,2985800,78.59
2013-09-09,80.89,84.14,80.51,83.65,1099700,83.65
2013-09-03,79.45,81.75,78.84,80.83,1310000,80.83
2013-08-26,79.44,79.99,77.78,78.69,1160600,78.69
2013-08-19,77.31,79.45,77.16,79.33,901100,79.33
2013-08-12,78.09,79.33,75.79,77.36,1206900,77.36
2013-08-05,77.19,79.25,76.63,78.44,1497100,78.44
2013-07-29,77.49,78.65,76.07,77.3,1637200,77.3
2013-07-22,77.84,79.25,76.74,77.57,1159200,77.57
2013-07-15,75.86,78.68,74.48,77.84,1351200,77.84
2013-07-08,74.21,76.77,73.59,76.03,1687700,76.03
2013-07-01,73.17,73.95,71.12,73.94,1467400,73.94
2013-06-24,70.63,73.13,70.29,72.49,2477000,72.49
2013-06-17,68.62,71.4,67.87,71.04,2375100,71.04
2013-06-10,68.54,70.45,68.07,68.16,1859600,68.16
2013-06-03,68.02,68.89,65.54,68.45,1584800,68.45
2013-05-28,67.92,69.87,67.9,67.9,1354700,67.9
2013-05-20,67.78,69.2,66.81,67.23,2164100,67.23
2013-05-13,68.65,69.06,67.29,67.9,1632500,67.9
2013-05-06,67.14,68.82,66.7,68.82,1469000,68.82
