Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.77,47.03,46.63,46.65,632400,46.65
2014-02-18,46.88,47.3,46.32,46.75,591900,46.75
2014-02-10,45.63,47.,45.22,47.,763700,47.
2014-02-03,48.55,48.7,44.9,45.73,1152700,45.73
2014-01-27,48.6,49.31,47.52,48.45,675800,48.45
2014-01-21,50.9,50.99,48.8,48.81,849400,48.81
2014-01-13,50.99,51.24,50.21,50.52,718700,50.52
2014-01-06,51.18,51.49,50.64,51.15,646800,51.15
2013-12-30,51.96,52.5,51.01,51.13,421800,51.13
2013-12-23,52.16,53.74,51.96,51.98,433600,51.98
2013-12-16,51.02,52.07,50.37,52.01,669300,52.01
2013-12-09,52.35,52.53,51.2,51.22,483100,50.8
2013-12-02,52.41,52.48,51.14,52.28,578400,51.85
2013-11-25,52.6,53.14,52.35,52.41,527200,51.98
2013-11-18,51.16,52.47,50.76,52.41,560800,51.98
2013-11-11,50.5,51.09,49.77,51.08,431000,50.66
2013-11-04,50.11,50.58,49.55,50.57,484700,50.16
2013-10-28,50.27,50.78,49.8,50.,567300,49.59
2013-10-21,50.03,50.48,49.6,50.18,545700,49.77
2013-10-14,48.39,50.06,48.26,49.99,827600,49.58
2013-10-07,47.3,48.91,46.84,48.56,593600,48.16
2013-09-30,47.22,47.67,46.61,47.63,624500,47.24
2013-09-23,47.36,47.52,46.73,47.46,495800,47.07
2013-09-16,46.77,47.8,46.46,47.44,720700,47.05
2013-09-09,45.72,46.76,43.62,46.56,844600,45.76
2013-09-03,46.26,46.56,45.16,45.59,733300,44.81
2013-08-26,47.33,47.46,45.5,45.68,440300,44.9
2013-08-19,47.77,47.9,46.87,47.38,303500,46.57
2013-08-12,48.33,48.94,47.48,47.76,394400,46.94
2013-08-05,49.63,49.67,48.22,48.66,437500,47.83
2013-07-29,49.1,49.98,48.77,49.74,509200,48.89
2013-07-22,49.43,50.01,48.3,49.12,605000,48.28
2013-07-15,49.48,49.71,48.79,49.55,1074700,48.7
2013-07-08,46.9,49.22,46.46,49.18,833400,48.34
2013-07-01,46.24,46.76,45.47,46.64,609800,45.84
2013-06-24,45.14,46.38,44.53,45.92,865600,45.13
2013-06-17,46.18,47.14,45.09,45.4,765600,44.62
2013-06-10,46.58,46.68,45.38,46.18,747100,44.99
2013-06-03,47.47,47.47,45.17,46.46,993300,45.26
2013-05-28,48.11,48.68,47.34,47.34,642500,46.12
2013-05-20,49.64,49.72,47.13,47.93,921600,46.69
2013-05-13,49.13,50.6,48.9,49.66,841000,48.38
2013-05-06,49.39,49.72,48.94,49.31,478200,48.04
2013-04-29,48.15,49.38,47.96,49.26,551500,47.99
2013-04-22,47.7,49.34,47.34,48.1,524600,46.86
2013-04-15,48.72,49.25,46.67,47.68,991500,46.45
2013-04-08,47.38,49.21,47.15,48.8,639700,47.54
2013-04-01,47.35,47.85,46.77,47.36,580600,46.14
2013-03-25,46.71,47.28,46.22,47.22,489000,46.
2013-03-18,45.86,46.73,45.61,46.36,495200,45.16
2013-03-11,46.36,47.35,46.21,46.98,608500,45.37
2013-03-04,44.96,46.6,44.93,46.33,782600,44.74
2013-02-25,45.14,45.23,43.9,45.16,636600,43.61
2013-02-19,44.99,45.1,44.33,45.,716000,43.46
2013-02-11,44.51,44.84,44.37,44.84,697500,43.3
2013-02-04,43.36,47.25,43.03,44.61,787500,43.08
2013-01-28,42.76,43.5,42.12,43.5,619000,42.01
2013-01-22,41.7,45.46,41.62,42.78,582400,41.31
2013-01-14,41.22,41.66,40.72,41.62,958000,40.19
2013-01-07,40.25,41.3,40.01,41.26,811400,39.85
2012-12-31,38.64,40.4,38.41,40.34,804200,38.96
2012-12-24,39.55,39.79,38.56,38.56,651700,37.24
2012-12-17,39.5,40.51,39.29,39.61,1597300,38.25
2012-12-10,40.74,40.96,39.4,39.62,1153800,37.87
2012-12-03,40.64,40.77,40.09,40.5,588200,38.71
2012-11-26,39.92,40.61,39.69,40.52,684400,38.73
2012-11-19,39.51,40.32,39.35,40.32,549000,38.54
2012-11-12,39.12,39.7,37.87,39.12,925000,37.39
2012-11-05,38.89,39.91,38.62,39.1,708200,37.37
2012-10-31,36.96,40.51,36.96,39.06,1192500,37.33
2012-10-22,39.33,40.7,39.,40.61,747000,38.82
2012-10-15,38.2,39.91,38.2,39.53,702000,37.78
2012-10-08,38.61,38.89,38.24,38.4,475800,36.7
2012-10-01,38.18,38.95,37.62,38.71,670800,37.
2012-09-24,38.85,39.09,37.51,37.87,941200,36.2
2012-09-17,39.61,39.99,38.71,39.08,1341700,37.35
2012-09-10,38.69,40.22,38.49,39.89,698400,37.74
2012-09-04,38.74,39.24,38.47,38.71,819200,36.62
2012-08-27,39.07,39.19,38.13,38.66,689000,36.57
2012-08-20,39.5,39.88,38.67,39.1,636000,36.99
2012-08-13,38.28,39.58,37.95,39.53,578700,37.4
2012-08-06,38.35,38.45,37.82,38.29,508000,36.22
2012-07-30,38.09,38.47,37.1,38.24,729400,36.18
2012-07-23,36.54,38.48,36.5,38.05,834000,36.
2012-07-16,37.99,37.99,37.12,37.23,2118600,35.22
2012-07-09,38.09,38.24,37.53,38.12,919800,36.06
2012-07-02,38.26,38.51,37.5,38.13,727800,36.07
2012-06-25,36.46,38.12,36.32,38.07,1199000,36.02
2012-06-18,36.02,37.69,36.01,36.9,914600,34.91
2012-06-11,36.88,36.99,36.09,36.63,1483100,34.27
2012-06-04,35.26,36.75,34.82,36.71,1627600,34.35
2012-05-29,35.91,36.35,35.02,35.15,834500,32.89
2012-05-21,34.33,35.87,34.07,35.66,769400,33.37
2012-05-14,35.67,35.83,34.11,34.22,725500,32.02
2012-05-07,36.09,36.34,35.55,36.08,641500,33.76
2012-04-30,35.76,36.55,35.56,36.15,818700,33.82
2012-04-23,34.17,35.99,34.01,35.8,871600,33.5
2012-04-16,34.15,34.73,34.1,34.63,1107000,32.4
2012-04-09,33.8,34.27,33.06,33.87,1186800,31.69
2012-04-02,34.33,35.05,34.08,34.23,1202600,32.03
2012-03-26,35.1,35.47,34.49,34.51,972600,32.29
2012-03-19,35.11,35.42,34.56,34.78,685600,32.54
2012-03-12,35.05,36.02,34.98,35.54,1430300,32.88
2012-03-05,34.47,35.38,34.35,35.04,3019300,32.41
2012-02-27,35.47,35.9,34.3,34.5,1637900,31.91
2012-02-21,35.82,36.05,35.46,35.76,929300,33.08
2012-02-13,34.63,35.8,34.27,35.72,933300,33.04
2012-02-06,33.12,34.65,32.99,34.45,1255600,31.87
2012-01-30,32.75,33.6,32.33,33.41,1030000,30.91
2012-01-23,32.5,33.1,32.08,32.93,806200,30.46
2012-01-17,31.68,32.71,31.16,32.55,1028000,30.11
2012-01-09,30.67,31.51,30.63,31.25,815900,28.91
2012-01-03,31.13,31.2,30.06,30.67,1032600,28.37
2011-12-27,30.46,30.79,30.33,30.46,615500,28.18
2011-12-19,29.6,30.59,29.04,30.56,1013200,28.27
2011-12-12,29.23,30.17,29.18,29.98,2168100,27.36
2011-12-05,29.46,30.13,29.06,29.67,2801600,27.08
2011-11-28,28.23,29.69,28.02,28.92,1236700,26.39
2011-11-21,28.39,28.39,27.27,27.48,1011400,25.08
2011-11-14,29.11,29.36,28.31,28.72,1184600,26.21
2011-11-07,29.17,29.51,28.13,29.26,1081700,26.7
2011-10-31,29.14,29.43,27.69,29.21,1525100,26.66
2011-10-24,28.51,30.47,27.9,29.4,1655500,26.83
2011-10-17,26.01,28.58,25.69,28.56,1827000,26.06
2011-10-10,26.85,27.12,26.01,26.69,1790700,24.36
2011-10-03,26.13,27.18,24.66,26.29,2388300,23.99
2011-09-26,25.72,27.06,25.53,26.33,1777500,24.03
2011-09-19,27.,27.49,25.15,25.45,1844800,23.23
2011-09-12,26.49,28.02,26.37,27.83,2075600,25.03
2011-09-06,26.05,27.95,26.01,26.88,2038400,24.18
2011-08-29,27.,28.06,26.84,26.88,1232800,24.18
2011-08-22,26.11,27.46,25.32,26.58,1589400,23.91
2011-08-15,25.75,26.81,25.4,25.59,1694500,23.02
2011-08-08,25.5,26.12,23.65,25.51,3364800,22.94
2011-08-01,27.68,27.76,25.33,25.97,1863600,23.36
2011-07-25,28.13,28.51,27.14,27.33,1148100,24.58
2011-07-18,27.8,28.74,27.32,28.4,990900,25.54
2011-07-11,28.77,28.82,27.69,27.82,1313300,25.02
2011-07-05,29.47,29.47,28.86,29.02,1045300,26.1
2011-06-27,28.21,29.54,28.12,29.47,1038700,26.5
2011-06-20,28.48,28.7,27.8,28.13,1132700,25.3
2011-06-13,28.86,29.41,28.65,28.88,1308100,25.61
2011-06-06,29.4,29.5,29.03,29.19,2037900,25.89
2011-05-31,30.31,30.43,29.37,29.44,1722900,26.11
2011-05-23,30.37,30.4,29.55,30.09,1224400,26.69
2011-05-16,30.86,31.28,30.62,30.69,977000,27.22
