Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.89,21.91,21.16,21.34,8634700,21.34
2014-02-18,23.44,23.49,21.08,21.97,7551000,21.97
2014-02-10,21.03,23.53,20.4,23.16,9612100,23.01
2014-02-03,19.4,21.,18.42,20.82,9046200,20.68
2014-01-27,19.48,21.9,18.72,19.32,15466500,19.19
2014-01-21,22.04,22.07,19.18,19.33,10756400,19.2
2014-01-13,22.83,23.63,22.08,22.43,7555900,22.28
2014-01-06,24.83,25.13,22.73,22.83,9189700,22.68
2013-12-30,26.72,27.13,24.93,25.05,7416600,24.89
2013-12-23,24.26,26.62,24.02,26.53,5742500,26.36
2013-12-16,23.59,25.17,23.21,24.21,7379300,24.05
2013-12-09,24.51,25.46,23.27,23.51,5762900,23.36
2013-12-02,25.08,25.69,24.3,24.57,6113100,24.41
2013-11-25,25.8,26.18,24.2,25.01,5299200,24.85
2013-11-18,27.77,28.23,25.4,26.04,7555100,25.87
2013-11-11,27.28,27.86,25.9,27.51,6868500,27.18
2013-11-04,27.6,28.98,26.41,27.34,9294100,27.01
2013-10-28,24.94,27.77,24.14,27.34,10321200,27.01
2013-10-21,23.56,25.63,23.03,24.99,10774300,24.69
2013-10-14,21.3,23.5,21.17,23.02,7024700,22.74
2013-10-07,21.06,21.66,19.88,21.43,6371500,21.17
2013-09-30,20.09,21.84,19.99,21.45,5928000,21.19
2013-09-23,22.12,22.53,20.8,21.,5882800,20.75
2013-09-16,22.58,24.05,21.88,21.98,8298000,21.72
2013-09-09,22.12,24.1,21.7,22.07,7621800,21.81
2013-09-03,21.71,22.36,20.97,21.85,5975500,21.59
2013-08-26,22.45,23.39,20.76,20.87,6251100,20.62
2013-08-19,22.41,23.1,21.,22.37,7428100,22.1
2013-08-12,24.9,25.95,22.54,22.83,11266600,22.56
2013-08-05,20.75,24.75,19.91,24.35,10168800,23.91
2013-07-29,19.61,20.66,19.27,20.58,8285200,20.21
2013-07-22,18.09,20.05,17.98,19.71,10550700,19.35
2013-07-15,17.05,18.09,16.91,17.77,5102300,17.45
2013-07-08,15.71,17.66,15.62,16.86,8303400,16.56
2013-07-01,16.46,16.88,15.41,15.68,6613400,15.4
2013-06-24,16.8,16.83,15.5,16.25,8914100,15.96
2013-06-17,17.94,19.,16.88,17.19,12018000,16.88
2013-06-10,17.83,19.5,17.2,17.74,10642700,17.42
2013-06-03,18.14,19.31,17.88,17.94,10283600,17.62
2013-05-28,20.6,20.65,18.04,18.04,13183900,17.71
2013-05-20,20.52,21.96,20.2,20.37,9914600,20.
2013-05-13,23.43,23.75,19.91,20.69,10048800,20.32
2013-05-06,20.8,23.58,20.36,23.53,13478300,22.95
2013-04-29,20.36,21.98,19.02,19.91,11491300,19.42
2013-04-22,17.55,22.,16.74,20.17,17055600,19.67
2013-04-15,18.69,18.78,16.96,17.63,12815600,17.2
2013-04-08,18.99,21.12,18.43,19.2,14556400,18.73
2013-04-01,19.51,19.75,18.05,18.45,12570800,18.
2013-03-25,20.74,22.12,17.95,19.01,23017200,18.54
2013-03-18,21.7,22.13,20.06,20.76,12241700,20.25
2013-03-11,24.67,24.67,21.35,22.09,11774500,21.55
2013-03-04,25.01,25.38,23.56,24.73,9611700,24.12
2013-02-25,26.58,27.06,25.1,25.25,8328400,24.63
2013-02-19,29.41,29.57,26.35,26.47,11465700,25.82
2013-02-11,36.25,36.9,28.71,28.85,17158400,27.99
2013-02-04,37.16,38.52,35.95,36.49,4982200,35.41
2013-01-28,35.75,37.99,34.9,37.66,5669700,36.54
2013-01-22,37.33,38.55,34.8,35.71,6871900,34.65
2013-01-14,36.49,37.39,35.53,37.25,6129100,36.14
2013-01-07,37.35,38.65,35.65,36.21,7303000,35.13
2012-12-31,35.61,40.4,35.61,37.49,8601500,36.38
2012-12-24,35.32,37.13,34.82,35.58,4507000,34.52
2012-12-17,34.33,36.63,33.37,35.4,11441400,34.35
2012-12-10,29.55,34.47,29.51,33.96,8859700,32.95
2012-12-03,29.12,30.65,28.05,29.51,8379300,28.63
2012-11-26,31.32,31.43,28.33,28.75,7511600,27.9
2012-11-19,36.6,36.92,29.8,31.23,10954100,30.3
2012-11-12,36.82,36.92,34.06,35.33,5440800,33.67
2012-11-05,36.16,38.3,34.79,36.44,7836900,34.73
2012-10-31,36.9,38.36,36.12,36.27,7925100,34.57
2012-10-22,43.7,45.82,36.02,36.49,9318000,34.78
2012-10-15,40.66,46.5,40.31,44.45,8401300,42.37
2012-10-08,38.26,43.25,38.2,40.5,8383100,38.6
2012-10-01,39.95,40.35,37.75,38.36,6119900,36.56
2012-09-24,40.08,41.45,37.56,39.13,7265700,37.3
2012-09-17,43.97,44.,40.27,40.93,10847600,39.01
2012-09-10,39.53,46.83,39.06,45.55,13880400,43.41
2012-09-04,35.76,40.22,32.25,39.91,11282500,38.04
2012-08-27,39.01,39.09,35.51,35.84,5631100,34.16
2012-08-20,41.98,42.56,37.93,38.89,5645700,37.07
2012-08-13,44.09,44.55,41.08,42.23,3610500,40.25
2012-08-06,42.36,45.25,42.16,44.91,3539200,42.21
2012-07-30,39.4,43.25,38.3,42.11,6905200,39.58
2012-07-23,44.94,44.95,36.06,39.39,7711100,37.02
2012-07-16,46.31,47.8,44.42,45.99,2883700,43.22
2012-07-09,47.94,48.17,44.57,46.6,3149400,43.8
2012-07-02,49.23,50.89,47.28,48.01,2352000,45.12
2012-06-25,46.81,49.33,45.12,49.29,3588500,46.33
2012-06-18,48.46,53.13,47.6,47.63,4242400,44.77
2012-06-11,49.69,49.7,46.36,48.98,3101200,46.03
2012-06-04,46.34,50.83,44.4,48.77,3584800,45.84
2012-05-29,51.43,52.66,46.01,46.08,4849800,43.31
2012-05-21,48.96,52.34,48.92,50.28,3878900,47.26
2012-05-14,54.56,55.52,48.47,48.69,3796400,45.76
2012-05-07,57.84,59.34,55.1,55.43,3629100,52.1
2012-04-30,61.98,63.,58.07,58.27,3776600,54.77
2012-04-23,65.7,67.4,61.96,62.15,4087200,58.41
2012-04-16,70.15,71.6,67.25,67.3,4326700,62.66
2012-04-09,65.54,71.21,64.8,69.31,4433100,64.53
2012-04-02,69.26,71.6,66.65,67.05,2803900,62.42
2012-03-26,71.58,71.94,67.03,69.26,3333300,64.48
2012-03-19,71.71,73.63,67.71,70.78,4701000,65.9
2012-03-12,63.92,72.64,63.27,72.03,5541900,67.06
2012-03-05,63.57,65.11,59.4,63.99,3726800,59.58
2012-02-27,67.25,67.67,62.91,64.02,3556300,59.6
2012-02-21,67.4,68.86,65.15,67.86,3233400,63.18
2012-02-13,74.29,74.43,64.9,66.72,4307700,62.12
2012-02-06,74.59,77.67,72.96,73.55,2779900,68.22
2012-01-30,72.13,75.92,70.5,75.12,2444700,69.67
2012-01-23,71.94,78.85,70.25,73.06,3636300,67.76
2012-01-17,71.73,73.,70.,71.5,2483200,66.31
2012-01-09,67.05,71.59,65.6,70.25,3260800,65.15
2012-01-03,64.51,67.91,64.39,66.59,3538200,61.76
2011-12-27,65.4,66.21,61.35,62.35,2060600,57.83
2011-12-19,64.37,66.04,59.33,65.31,2790700,60.57
2011-12-12,67.69,68.5,61.94,63.95,2864200,59.31
2011-12-05,71.04,73.37,67.36,69.35,3830300,64.32
2011-11-28,62.88,71.06,61.9,68.34,3161300,63.38
2011-11-21,65.51,66.25,59.55,59.72,2858300,55.39
2011-11-14,70.16,74.38,66.55,67.46,4387200,62.57
2011-11-07,71.33,72.87,65.34,69.71,3731100,64.41
2011-10-31,70.46,72.5,63.14,71.45,5292100,66.01
2011-10-24,61.16,73.72,60.1,72.81,5991600,67.27
2011-10-17,64.7,64.79,56.01,60.03,5131200,55.46
2011-10-10,57.89,65.5,57.46,65.21,3963500,60.25
2011-10-03,50.21,59.5,47.31,55.87,6423000,51.62
2011-09-26,58.73,63.23,51.08,51.17,5347300,47.28
