Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,86.83,87.76,86.75,87.06,970200,87.06
2014-02-18,88.07,88.12,86.66,87.01,1000800,87.01
2014-02-10,85.44,88.57,85.12,88.11,988700,88.11
2014-02-03,88.51,88.66,83.7,85.63,1949900,85.63
2014-01-27,88.17,88.9,86.34,88.27,1412800,88.27
2014-01-21,90.59,91.41,88.6,88.83,1439300,88.12
2014-01-13,89.25,90.24,88.6,89.97,1600000,89.25
2014-01-06,91.88,92.17,88.7,89.28,1649500,88.57
2013-12-30,92.96,93.85,90.65,91.49,932000,90.76
2013-12-23,93.17,93.5,92.27,93.28,509900,92.53
2013-12-16,93.54,94.25,91.54,92.96,1071600,92.22
2013-12-09,95.86,96.76,92.94,93.25,1119200,92.5
2013-12-02,93.43,95.9,92.07,95.83,1432900,95.06
2013-11-25,92.64,93.76,92.22,93.17,897900,92.43
2013-11-18,93.8,94.11,92.,93.7,1067900,92.95
2013-11-11,89.8,93.61,89.77,93.6,1111100,92.85
2013-11-04,89.95,92.19,88.79,89.88,1336600,89.16
2013-10-28,87.8,92.,87.8,89.61,2102300,88.89
2013-10-21,85.58,88.97,85.1,88.64,1066300,87.23
2013-10-14,83.9,86.,83.52,85.75,1236500,84.38
2013-10-07,81.44,84.32,80.2,84.31,1097200,82.97
2013-09-30,81.84,83.75,81.25,81.57,1365000,80.27
2013-09-23,82.5,84.2,81.75,82.21,954300,80.9
2013-09-16,84.48,84.97,82.46,82.6,1458200,81.28
2013-09-09,82.34,84.36,82.34,83.91,611300,82.57
2013-09-03,83.25,83.46,81.72,82.33,713900,81.02
2013-08-26,84.3,84.42,81.54,82.7,776100,81.38
2013-08-19,83.9,84.8,82.92,84.29,634700,82.95
2013-08-12,85.53,86.64,83.97,84.09,758000,82.75
2013-08-05,85.17,86.67,84.99,85.98,807400,84.61
2013-07-29,85.8,86.93,83.89,85.32,1132500,83.96
2013-07-22,86.47,86.56,84.72,85.97,725100,84.6
2013-07-15,86.07,87.6,85.51,87.45,1743000,85.36
2013-07-08,84.23,85.9,83.59,85.84,1064400,83.79
2013-07-01,83.53,84.17,82.53,83.82,609100,81.81
2013-06-24,81.83,84.5,81.3,83.14,968000,81.15
2013-06-17,85.77,86.61,81.12,82.58,932400,80.6
2013-06-10,84.59,85.64,83.73,85.39,509600,83.35
2013-06-03,83.15,84.85,82.1,84.47,954400,82.45
2013-05-28,87.28,87.68,83.08,83.08,890700,81.09
2013-05-20,87.37,87.4,85.36,86.61,685400,84.54
2013-05-13,86.05,88.25,85.64,87.37,898600,85.28
2013-05-06,86.19,86.47,85.15,86.15,837800,84.09
2013-04-29,87.24,87.59,84.7,86.19,1337300,84.13
2013-04-22,89.06,89.98,86.38,86.67,938600,84.6
2013-04-15,88.41,90.1,87.61,89.53,916900,86.76
2013-04-08,86.73,89.14,86.11,88.76,696100,86.02
2013-04-01,88.53,89.33,86.22,86.61,941500,83.93
2013-03-25,86.7,88.63,85.95,88.53,578100,85.79
2013-03-18,83.7,86.49,83.36,86.46,647100,83.79
2013-03-11,84.26,84.78,83.36,83.72,754400,81.13
2013-03-04,83.8,85.33,83.26,84.21,822700,81.61
2013-02-25,83.25,84.95,82.32,83.98,1121600,81.38
2013-02-19,81.75,83.15,81.7,83.13,693900,80.56
2013-02-11,80.52,82.22,80.08,81.75,827300,79.22
2013-02-04,80.86,81.34,79.63,80.73,1006400,78.23
2013-01-28,77.42,79.48,77.3,79.16,917100,76.71
2013-01-22,76.76,77.8,76.72,77.54,654800,75.14
2013-01-14,75.81,76.99,75.59,76.84,1118000,74.47
2013-01-07,74.64,75.68,74.17,75.68,1325900,72.73
2012-12-31,72.53,74.71,72.2,74.71,877100,71.8
2012-12-24,73.99,74.04,72.62,72.66,587300,69.83
2012-12-17,75.38,76.58,74.,74.02,1069300,71.14
2012-12-10,76.18,76.4,75.08,75.4,584100,72.46
2012-12-03,76.45,76.74,75.15,76.27,728800,73.3
2012-11-26,74.2,76.46,74.08,76.35,1396500,73.37
2012-11-19,74.47,74.92,73.72,74.65,811000,71.74
2012-11-12,72.82,74.29,72.53,74.29,899200,71.39
2012-11-05,73.13,73.69,72.5,72.78,779700,69.94
2012-10-31,71.21,73.54,71.,73.05,1247000,70.2
2012-10-22,74.62,74.62,71.9,72.1,893400,69.29
