Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.69,47.85,46.69,47.54,1461800,47.54
2014-02-18,47.68,47.92,45.96,46.74,1601800,46.74
2014-02-10,45.67,47.92,45.4,47.63,1044600,47.63
2014-02-03,45.75,46.21,43.96,45.75,1642500,45.75
2014-01-27,47.23,47.54,45.73,45.8,1484700,45.8
2014-01-21,48.54,49.95,47.21,47.23,1951400,47.23
2014-01-13,47.8,49.95,47.02,47.65,1345800,47.65
2014-01-06,47.32,48.19,46.96,47.8,1184300,47.8
2013-12-30,47.46,47.81,46.84,47.08,985400,47.08
2013-12-23,46.83,48.69,46.74,47.47,896900,47.47
2013-12-16,45.35,46.94,45.12,46.73,1868000,46.73
2013-12-09,45.89,46.25,44.8,45.04,1183600,45.04
2013-12-02,45.43,45.94,44.57,45.85,1049200,45.68
2013-11-25,45.76,46.08,45.32,45.35,779500,45.18
2013-11-18,44.9,45.6,44.44,45.59,1070300,45.42
2013-11-11,45.15,45.23,44.07,44.9,1408600,44.73
2013-11-04,43.12,45.21,43.09,45.2,1661300,45.03
2013-10-28,42.68,43.91,42.55,43.04,2041100,42.88
2013-10-21,42.1,42.85,41.8,42.72,1586700,42.56
2013-10-14,40.36,42.19,40.3,42.06,1607700,41.9
2013-10-07,39.3,40.74,38.64,40.63,1677300,40.48
2013-09-30,38.81,39.89,38.56,39.62,1486400,39.47
2013-09-23,39.61,39.92,38.87,39.19,1266000,39.04
2013-09-16,40.97,41.64,38.99,39.73,2762700,39.58
2013-09-09,40.69,41.58,39.95,40.51,1708900,40.36
2013-09-03,41.33,41.79,40.38,41.25,1773300,40.93
2013-08-26,42.78,42.95,40.45,40.84,1244000,40.52
2013-08-19,42.37,43.44,41.87,42.83,816100,42.49
2013-08-12,42.09,42.89,41.77,42.57,1044100,42.24
2013-08-05,43.03,43.34,42.09,42.32,971000,41.99
2013-07-29,42.31,43.49,41.84,43.12,1251700,42.78
2013-07-22,42.21,43.19,41.97,42.38,1460100,42.05
2013-07-15,41.81,42.3,40.21,42.18,1894200,41.85
2013-07-08,42.71,43.,40.44,41.69,2748200,41.36
2013-07-01,40.04,42.57,39.98,42.57,1997700,42.24
2013-06-24,38.22,40.28,37.74,39.83,2483000,39.52
2013-06-17,37.67,38.84,37.,38.64,2921800,38.34
2013-06-10,38.78,39.12,37.18,37.35,1681400,37.06
2013-06-03,39.56,39.78,37.78,38.86,2102800,38.38
2013-05-28,39.5,40.43,39.1,39.49,2096000,39.01
2013-05-20,39.79,40.44,38.02,38.96,2465900,38.48
2013-05-13,37.9,40.02,37.86,39.88,1767500,39.39
2013-05-06,36.72,38.12,36.62,37.95,1560100,37.49
2013-04-29,36.03,37.1,35.72,37.07,1735200,36.62
2013-04-22,34.9,36.45,34.32,35.91,1855400,35.47
2013-04-15,34.83,35.09,33.9,34.86,2238600,34.43
2013-04-08,34.54,35.73,34.08,35.05,1416300,34.62
2013-04-01,35.95,35.95,33.55,34.51,2745100,34.09
2013-03-25,36.4,36.43,35.44,35.95,1358700,35.51
2013-03-18,36.03,36.46,35.72,36.25,2056600,35.81
