Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,39.7,40.9,39.7,40.3,2075500,40.3
2014-02-18,38.4,41.01,37.91,39.69,2788100,39.69
2014-02-10,36.54,38.75,36.38,38.43,1928300,38.43
2014-02-03,37.72,38.1,36.05,36.5,2128700,36.44
2014-01-27,37.4,38.75,36.93,37.35,3050600,37.29
2014-01-21,38.31,39.57,37.24,37.47,3039700,37.41
2014-01-13,36.47,38.86,36.31,38.21,2466300,38.15
2014-01-06,37.82,38.59,35.72,36.63,2163300,36.57
2013-12-30,38.54,38.68,37.51,37.81,1272900,37.75
2013-12-23,38.13,38.53,37.05,38.39,1752000,38.33
2013-12-16,37.25,38.59,36.63,37.84,2174700,37.78
2013-12-09,36.59,38.27,36.55,37.18,2038400,37.12
2013-12-02,35.71,37.95,35.35,36.59,2137400,36.53
2013-11-25,35.33,35.97,34.62,35.58,1874100,35.52
2013-11-18,35.67,35.81,33.67,35.31,2249600,35.25
2013-11-11,36.32,36.72,34.96,35.98,1833200,35.92
2013-11-04,37.05,38.28,35.24,36.41,2776400,36.22
2013-10-28,36.96,38.95,35.71,36.64,5355800,36.45
2013-10-21,38.12,38.9,37.14,38.14,2123000,37.94
2013-10-14,37.91,38.89,37.38,38.,2972000,37.8
2013-10-07,35.85,39.23,34.93,38.17,3977000,37.97
2013-09-30,33.02,36.58,32.96,36.33,2664300,36.14
2013-09-23,34.66,35.34,33.33,33.5,1836200,33.33
2013-09-16,34.28,36.56,33.88,34.89,1988400,34.71
2013-09-09,33.6,35.29,33.6,33.8,1631200,33.63
2013-09-03,31.82,33.88,31.61,33.45,1486900,33.28
2013-08-26,33.26,33.98,31.07,31.23,1662600,31.07
2013-08-19,30.75,33.38,30.18,33.23,1568900,33.06
2013-08-12,32.05,32.51,30.34,30.75,1454800,30.59
2013-08-05,30.9,32.27,30.32,32.06,1870200,31.89
2013-07-29,31.1,31.59,30.77,31.02,2490700,30.74
2013-07-22,28.99,31.39,28.15,31.35,3426100,31.06
2013-07-15,27.71,30.13,27.6,29.01,2592100,28.74
2013-07-08,26.67,28.5,26.6,27.67,2112000,27.42
2013-07-01,27.19,27.93,26.25,26.51,2338300,26.27
2013-06-24,29.49,29.56,26.84,27.1,4151000,26.85
2013-06-17,32.15,32.55,29.75,29.79,2503900,29.52
2013-06-10,33.64,33.76,31.3,31.95,1846200,31.66
2013-06-03,34.91,35.35,33.1,33.63,1530600,33.32
2013-05-28,35.93,36.14,34.4,34.68,2186800,34.36
2013-05-20,34.08,36.31,34.01,35.46,2086700,35.14
2013-05-13,34.71,34.75,33.41,33.97,1983200,33.66
2013-05-06,35.55,35.86,34.17,34.85,2248100,34.53
2013-04-29,32.72,35.85,32.4,35.58,2738300,35.13
2013-04-22,32.52,34.03,31.75,32.52,2516800,32.11
2013-04-15,33.09,33.73,30.79,32.28,2704700,31.87
2013-04-08,32.87,34.5,32.66,33.57,1742200,33.14
2013-04-01,33.73,33.81,31.5,32.99,2326900,32.57
2013-03-25,33.77,34.55,32.81,33.65,2296600,33.22
2013-03-18,33.35,35.24,33.28,33.66,2606700,33.23
2013-03-11,32.51,34.33,32.06,33.91,2476200,33.48
2013-03-04,30.12,32.36,29.59,32.12,3234000,31.71
2013-02-25,32.91,32.93,30.38,30.64,2164400,30.25
2013-02-19,34.08,34.5,32.19,32.51,2327600,32.1
2013-02-11,31.77,34.26,31.66,34.08,3743000,33.65
2013-02-04,31.09,31.89,30.5,31.73,2126300,31.33
2013-01-28,32.05,33.12,30.55,31.43,2875400,31.03
2013-01-22,31.78,32.99,31.55,32.08,2313600,31.67
2013-01-14,30.19,31.94,29.42,31.88,4023600,31.47
2013-01-07,32.06,32.2,29.78,30.19,3173200,29.81
2012-12-31,31.63,33.02,30.6,32.43,3142100,32.02
2012-12-24,33.26,33.28,31.58,31.76,1985400,31.36
2012-12-17,33.89,35.27,32.77,33.15,2264900,32.73
2012-12-10,32.92,34.62,32.36,33.7,2034200,33.15
2012-12-03,31.8,33.53,30.98,33.04,2269800,32.5
2012-11-26,32.48,32.55,30.94,31.35,2149800,30.84
2012-11-19,32.3,33.33,31.63,32.69,1553000,32.16
2012-11-12,33.2,33.36,30.42,31.75,2943300,31.23
2012-11-05,34.96,35.94,32.3,32.95,3223300,32.41
2012-10-31,35.16,37.28,35.01,35.2,2705400,34.5
2012-10-22,35.86,37.39,33.75,35.19,4265600,34.49
2012-10-15,34.04,36.4,33.66,35.21,4305500,34.51
2012-10-08,31.14,35.69,31.03,35.14,4264100,34.45
2012-10-01,30.25,31.76,29.49,31.35,3391000,30.73
2012-09-24,30.53,30.8,28.51,30.05,3489000,29.46
2012-09-17,32.66,33.05,30.51,31.14,2675200,30.52
2012-09-10,31.03,33.57,30.68,32.82,3549000,32.17
2012-09-04,30.12,31.4,28.42,31.21,4290800,30.59
2012-08-27,33.03,33.09,30.07,30.2,3554600,29.6
2012-08-20,32.09,34.62,31.88,32.88,2756600,32.23
2012-08-13,32.89,33.16,31.3,31.98,2601400,31.35
2012-08-06,29.22,33.78,28.97,32.87,4222800,32.22
2012-07-30,29.45,29.99,27.69,29.13,3798200,28.44
2012-07-23,30.31,31.1,27.42,29.41,4302000,28.71
2012-07-16,31.49,31.55,29.97,30.9,3596000,30.17
2012-07-09,30.94,31.75,29.38,31.66,3634200,30.91
2012-07-02,30.14,31.67,29.84,31.06,3054500,30.32
2012-06-25,27.7,30.29,26.41,30.24,3498600,29.52
2012-06-18,27.78,29.58,27.32,28.26,3666500,27.59
2012-06-11,28.47,28.6,26.46,28.04,4265600,27.37
2012-06-04,28.34,29.67,27.51,28.25,3296400,27.58
2012-05-29,30.25,31.,26.91,28.15,5423300,27.48
2012-05-21,29.46,30.77,29.05,29.59,5015100,28.89
2012-05-14,33.91,34.68,29.02,29.36,6729900,28.66
2012-05-07,33.17,35.6,32.93,34.26,4645400,33.45
2012-04-30,32.44,34.16,32.3,33.38,4999900,32.47
2012-04-23,32.56,34.56,32.27,32.68,4890300,31.79
2012-04-16,34.,35.69,33.46,33.72,4944200,32.8
2012-04-09,33.08,35.19,33.03,33.7,5490300,32.78
2012-04-02,34.,35.09,33.4,33.8,3705100,32.88
2012-03-26,34.19,34.36,32.57,34.1,4495600,33.17
2012-03-19,33.92,35.55,32.37,33.76,5593900,32.84
2012-03-12,33.28,34.31,31.4,34.05,4933300,33.12
2012-03-05,34.46,34.46,29.85,33.37,4723200,32.46
2012-02-27,36.08,36.75,33.89,33.93,3605500,33.
2012-02-21,37.51,37.96,34.99,36.33,3862600,35.34
2012-02-13,36.37,37.75,35.26,37.26,3446300,36.24
2012-02-06,37.33,37.72,35.87,36.03,4095400,35.05
2012-01-30,35.88,38.42,35.2,37.67,3893500,36.64
2012-01-23,34.27,36.78,33.,36.46,5799500,35.35
2012-01-17,35.21,35.26,32.51,33.02,5031000,32.01
2012-01-09,38.63,39.18,33.44,34.33,5550900,33.28
2012-01-03,38.07,39.51,37.63,38.57,2433400,37.39
2011-12-27,37.9,38.23,35.94,36.7,1878900,35.58
2011-12-19,37.14,38.67,34.95,38.05,2998800,36.89
2011-12-12,39.04,39.04,35.91,36.32,2782800,35.21
2011-12-05,41.62,41.95,38.36,39.88,2413900,38.66
2011-11-28,37.11,41.85,36.89,40.72,2781800,39.48
2011-11-21,37.13,38.06,35.18,35.29,2196000,34.21
2011-11-14,42.69,43.11,37.67,38.27,3248100,37.1
2011-11-07,44.1,45.3,41.36,42.89,2559800,41.58
2011-10-31,45.34,45.49,39.85,44.84,3971100,43.35
2011-10-24,41.74,46.9,40.12,46.75,4526300,45.19
2011-10-17,41.22,41.95,38.68,41.46,3101300,40.08
2011-10-10,37.23,41.75,37.12,41.42,4135400,40.04
2011-10-03,33.26,37.56,30.56,36.02,5209900,34.82
2011-09-26,34.71,39.97,33.72,33.93,5099100,32.8
2011-09-19,41.81,42.7,33.26,34.09,5740600,32.96
2011-09-12,42.39,43.73,41.64,43.08,4161000,41.65
2011-09-06,42.65,46.14,42.03,43.12,4623200,41.68
2011-08-29,44.2,46.74,43.53,44.78,3296600,43.29
2011-08-22,43.24,43.62,40.1,43.41,3925200,41.97
2011-08-15,41.08,45.03,41.07,41.71,6426600,40.32
2011-08-08,39.67,42.18,35.75,40.58,6568900,39.23
2011-08-01,54.55,54.58,40.44,41.59,6245400,40.11
2011-07-25,53.83,54.95,51.04,53.6,4595300,51.69
2011-07-18,52.76,55.02,51.53,54.82,3934500,52.87
2011-07-11,49.29,52.66,48.04,52.34,3917000,50.48
2011-07-05,48.46,50.99,47.79,50.25,2900200,48.46
2011-06-27,46.67,49.09,46.37,48.34,2384300,46.62
2011-06-20,46.07,48.6,45.59,46.87,3250800,45.2
2011-06-13,47.15,49.37,45.18,45.86,3058400,44.23
2011-06-06,50.39,50.93,48.61,48.83,2368400,47.09
2011-05-31,51.46,52.27,49.16,50.25,3236300,48.46
2011-05-23,47.83,51.11,47.26,50.75,2843600,48.94
2011-05-16,47.99,49.56,47.1,49.,3309900,47.26
2011-05-09,49.45,50.5,46.74,47.27,3144300,45.59
2011-05-02,54.57,55.33,48.54,49.13,3711100,47.29
2011-04-25,51.22,55.07,49.86,54.09,2737100,52.06
2011-04-18,50.01,51.53,48.21,51.26,2807300,49.34
2011-04-11,52.42,52.74,48.43,50.84,3254600,48.93
2011-04-04,53.48,54.09,50.8,52.52,3054100,50.55
2011-03-28,55.04,55.63,52.04,53.13,4072500,51.13
2011-03-21,55.03,56.18,53.19,55.48,3538800,53.4
2011-03-14,49.6,56.32,48.4,53.93,6088400,51.9
2011-03-07,52.96,52.98,47.38,48.61,2263400,46.78
2011-02-28,50.,53.03,49.1,52.48,3199600,50.51
2011-02-22,45.46,49.84,45.35,49.81,5207600,47.94
2011-02-14,47.11,47.89,45.58,45.89,3420200,44.17
2011-02-07,49.41,49.85,46.5,47.,3683400,45.24
2011-01-31,48.23,52.,48.21,49.33,3186500,47.48
