Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,70.97,72.1,70.97,71.73,2823400,71.73
2014-02-18,72.68,73.1,70.21,70.97,2471100,70.97
2014-02-10,71.4,72.54,70.81,72.4,2384700,72.4
2014-02-03,70.52,71.42,67.86,71.4,3080600,71.4
2014-01-27,70.55,71.31,69.72,70.61,2782300,70.3
2014-01-21,72.8,73.14,70.57,70.57,4594000,70.26
2014-01-13,77.62,77.91,72.29,72.39,4353200,72.07
2014-01-06,77.55,78.49,76.57,78.02,3507500,77.68
2013-12-30,75.97,77.73,75.54,77.34,2093700,77.
2013-12-23,74.95,76.,74.5,75.78,1221000,75.45
2013-12-16,71.76,74.81,71.22,74.73,3048900,74.4
2013-12-09,73.02,73.33,71.02,71.47,2424200,71.16
2013-12-02,72.65,73.19,71.15,72.6,3842000,72.28
2013-11-25,69.73,72.18,69.6,71.63,2116000,71.32
2013-11-18,70.44,70.58,68.74,69.61,2856100,69.31
2013-11-11,69.63,70.93,68.8,70.37,2672000,70.06
2013-11-04,69.52,70.48,68.82,69.59,3094100,69.29
2013-10-28,70.37,71.38,68.63,69.39,3043400,68.79
2013-10-21,71.8,71.95,70.07,70.38,3614200,69.77
2013-10-14,71.62,72.99,70.95,71.6,4569600,70.98
2013-10-07,69.63,71.94,67.36,71.91,2846500,71.29
2013-09-30,68.48,70.49,68.07,70.32,2705000,69.71
2013-09-23,68.75,69.84,67.85,68.92,2599500,68.32
2013-09-16,68.19,69.76,67.47,69.1,2845900,68.5
2013-09-09,65.49,68.19,65.34,67.49,2307400,66.91
2013-09-03,65.31,65.98,63.99,65.38,1782700,64.82
2013-08-26,66.58,66.81,63.65,64.55,2190700,63.99
2013-08-19,66.87,67.22,65.67,66.67,1719700,66.09
2013-08-12,68.,68.88,66.82,67.16,1961600,66.58
2013-08-05,69.37,69.64,67.87,68.23,2765700,67.64
2013-07-29,68.42,69.79,68.18,69.59,3252100,68.99
2013-07-22,69.27,69.49,67.25,68.76,2814300,67.87
2013-07-15,67.63,70.,65.94,69.14,3238900,68.24
2013-07-08,66.07,66.96,64.6,66.81,2862900,65.94
2013-07-01,63.17,65.66,63.09,65.66,2960900,64.81
2013-06-24,60.93,63.12,59.81,62.81,3033400,62.
2013-06-17,61.42,62.5,60.71,61.36,4211200,60.57
2013-06-10,62.34,62.94,60.58,61.01,2573900,60.22
2013-06-03,61.18,62.39,59.67,62.33,3251700,61.52
2013-05-28,62.,62.98,60.93,60.93,4964400,60.14
2013-05-20,60.72,63.63,60.5,61.13,4049900,60.34
2013-05-13,59.38,60.95,58.5,60.83,3306200,60.04
2013-05-06,58.47,59.85,58.26,59.51,3164400,58.74
2013-04-29,57.3,59.64,57.05,58.52,3657500,57.47
2013-04-22,56.29,57.55,55.13,57.15,4589700,56.13
2013-04-15,54.36,56.49,52.34,56.17,6927400,55.16
2013-04-08,54.53,56.5,53.91,54.66,3876500,53.68
2013-04-01,55.06,55.13,53.44,54.71,4008800,53.73
2013-03-25,54.4,55.52,53.9,54.95,3645700,53.97
2013-03-18,54.53,54.98,53.17,54.1,3994100,53.13
2013-03-11,54.26,55.26,53.84,55.19,4961300,54.2
2013-03-04,51.74,54.85,51.73,54.2,7114100,53.23
2013-02-25,52.45,52.57,50.21,51.87,7392400,50.94
2013-02-19,53.99,54.,51.83,52.28,8508700,51.34
2013-02-11,57.02,57.08,53.68,54.03,7224400,53.06
2013-02-04,56.11,57.91,56.01,57.27,4456100,56.25
2013-01-28,56.58,57.05,55.13,56.5,5789800,55.44
2013-01-22,56.86,57.33,56.02,56.32,6437200,55.26
2013-01-14,62.78,62.9,56.21,56.99,8984900,55.92
2013-01-07,61.8,62.92,61.58,61.99,4216300,60.83
2012-12-31,56.77,61.96,56.47,61.96,4849500,60.8
2012-12-24,58.86,58.86,56.45,57.1,1672800,56.03
2012-12-17,57.09,59.94,57.05,58.89,4686100,57.79
2012-12-10,56.91,58.91,56.67,56.83,3425900,55.76
2012-12-03,57.84,58.11,56.33,57.07,2911600,56.
2012-11-26,58.47,58.82,56.97,57.6,2818300,56.52
2012-11-19,56.25,58.97,56.13,58.97,2478300,57.86
2012-11-12,58.47,58.49,54.45,55.7,4135600,54.66
2012-11-05,61.18,61.45,57.55,58.37,3876500,57.28
2012-10-31,60.33,61.83,59.48,61.4,4058800,60.2
2012-10-22,61.14,61.33,59.04,60.,4320500,58.83
2012-10-15,56.76,60.89,56.75,60.75,6325600,59.56
2012-10-08,58.77,59.19,57.76,58.21,2894600,57.07
2012-10-01,57.49,60.05,57.49,59.,3513800,57.85
2012-09-24,56.82,58.04,55.14,57.01,4957300,55.9
2012-09-17,59.18,59.29,57.23,57.26,4247900,56.14
2012-09-10,57.55,59.74,56.,59.37,6168700,58.21
2012-09-04,56.5,57.59,55.4,57.41,13304100,56.29
2012-08-27,56.92,57.06,55.62,56.53,2541600,55.42
2012-08-20,56.48,57.42,55.48,56.87,3206600,55.76
2012-08-13,56.25,56.83,54.79,56.79,2995000,55.68
2012-08-06,57.64,57.78,55.5,56.1,3112200,55.
2012-07-30,57.5,57.94,54.18,57.58,3274400,56.4
2012-07-23,54.89,57.98,54.16,57.6,3513400,56.42
2012-07-16,54.04,58.69,54.04,55.88,5398100,54.74
2012-07-09,53.89,54.84,52.88,54.42,2329600,53.31
2012-07-02,54.87,55.34,53.71,54.02,1892500,52.92
2012-06-25,51.74,54.91,51.64,54.66,3267400,53.54
2012-06-18,53.6,55.4,52.75,52.93,4831700,51.85
2012-06-11,53.25,54.01,51.46,53.81,5858600,52.71
2012-06-04,48.53,52.61,47.99,52.59,5112500,51.52
2012-05-29,51.45,52.,48.03,48.4,4427300,47.41
2012-05-21,49.14,51.92,48.86,51.13,4241900,50.09
2012-05-14,53.65,53.87,48.9,49.13,5672000,48.13
2012-05-07,54.08,55.05,52.72,54.37,4630600,53.21
2012-04-30,55.85,56.9,53.82,54.52,3513800,53.35
2012-04-23,53.77,56.28,53.34,56.06,4897500,54.86
2012-04-16,53.86,54.99,52.86,53.85,4705300,52.7
2012-04-09,54.74,54.78,52.51,53.47,4744400,52.33
2012-04-02,55.89,56.95,55.01,55.65,4392700,54.46
2012-03-26,56.22,57.49,55.51,55.74,6174900,54.55
2012-03-19,54.94,56.19,54.07,55.74,6111400,54.55
2012-03-12,49.8,55.,48.67,54.5,9814500,53.34
2012-03-05,49.86,50.38,48.09,49.82,3560900,48.76
2012-02-27,49.06,51.32,48.86,49.89,10041000,48.82
2012-02-21,49.,49.5,48.11,49.29,5077000,48.24
2012-02-13,48.62,50.02,47.49,48.83,5473300,47.79
2012-02-06,48.86,49.25,47.14,48.28,5706300,47.25
2012-01-30,45.37,49.93,44.3,49.3,6576600,48.2
2012-01-23,45.91,46.33,44.65,46.05,6153200,45.02
2012-01-17,49.19,49.63,44.75,46.03,8439800,45.
2012-01-09,45.31,48.97,45.18,48.89,5811800,47.79
2012-01-03,43.39,46.22,43.12,45.16,5527000,44.15
2011-12-27,42.78,43.25,41.68,42.29,2841900,41.34
2011-12-19,43.51,43.56,41.27,43.1,6035800,42.13
2011-12-12,45.45,46.,42.82,43.39,5553600,42.42
2011-12-05,46.24,47.25,44.62,46.07,4646000,45.04
2011-11-28,41.52,46.1,41.4,45.34,6363000,44.32
2011-11-21,40.56,41.33,39.3,40.02,4156500,39.12
2011-11-14,44.64,44.76,40.93,41.64,5203100,40.71
2011-11-07,45.98,46.94,44.15,45.02,4318100,43.96
2011-10-31,46.03,46.93,43.65,46.16,5847900,45.07
2011-10-24,43.7,47.31,43.15,46.9,6754800,45.79
2011-10-17,41.8,43.49,39.14,43.29,8009400,42.27
2011-10-10,40.8,44.26,40.75,42.06,4953500,41.07
2011-10-03,39.37,41.67,36.33,39.81,6257600,38.87
2011-09-26,41.36,45.19,39.62,39.63,6195500,38.7
2011-09-19,41.95,43.51,39.81,40.94,6712400,39.97
2011-09-12,40.82,44.12,40.72,42.97,7177400,41.96
2011-09-06,40.82,44.28,40.32,41.78,6031000,40.8
2011-08-29,44.95,46.46,41.9,42.28,5877700,41.28
2011-08-22,42.38,45.56,40.82,44.23,5817000,43.19
2011-08-15,44.28,46.15,41.23,41.3,6428400,40.33
2011-08-08,41.95,46.12,35.94,43.78,14905900,42.75
2011-08-01,48.14,48.36,41.,42.8,8030000,41.74
2011-07-25,49.27,49.57,46.58,47.8,4615700,46.62
2011-07-18,48.39,50.4,47.55,49.64,6391300,48.41
2011-07-11,52.84,53.37,47.95,48.5,14011500,47.3
2011-07-05,52.56,54.97,51.89,53.71,3911600,52.38
2011-06-27,49.59,52.83,49.29,52.65,4184900,51.35
2011-06-20,48.72,51.25,48.57,49.51,4507200,48.28
2011-06-13,50.06,50.63,47.33,48.84,7122100,47.63
2011-06-06,51.43,51.61,48.85,49.54,3707300,48.31
2011-05-31,54.46,54.81,51.5,51.55,3395700,50.27
2011-05-23,54.35,54.65,51.83,54.04,3526300,52.7
2011-05-16,52.14,56.26,51.87,55.07,4309000,53.71
2011-05-09,53.53,54.06,52.09,52.34,2859900,51.
2011-05-02,55.13,55.29,52.57,53.79,4183200,52.41
2011-04-25,53.4,55.64,53.03,54.73,3983500,53.33
2011-04-18,49.44,53.83,48.83,53.26,4618700,51.89
2011-04-11,51.69,52.03,49.32,50.03,3443500,48.75
2011-04-04,52.09,52.46,51.24,51.65,2562800,50.33
2011-03-28,52.46,52.87,51.16,52.09,2891700,50.75
2011-03-21,51.76,52.49,49.76,52.23,4154000,50.89
2011-03-14,49.11,52.28,47.93,51.05,5963500,49.74
2011-03-07,48.64,49.88,47.78,49.57,4042500,48.3
2011-02-28,50.25,50.5,47.79,48.53,5179300,47.29
2011-02-22,51.91,52.39,49.39,49.99,5019800,48.71
2011-02-14,51.96,52.98,51.67,52.69,3618800,51.34
2011-02-07,48.99,52.4,48.82,52.06,4628600,50.72
2011-01-31,48.5,50.,47.97,48.76,3746100,47.46
2011-01-24,49.06,49.29,47.54,48.24,4071000,46.96
2011-01-18,49.06,49.69,46.25,49.17,5858500,47.86
2011-01-10,44.99,48.62,44.88,48.38,4338200,47.09
2011-01-03,43.01,45.85,43.01,45.41,4942800,44.2
2010-12-27,42.08,42.95,42.01,42.56,1658300,41.43
2010-12-20,40.8,42.91,40.55,42.36,3070900,41.23
2010-12-13,42.61,42.76,40.08,40.49,4922300,39.41
2010-12-06,38.67,42.4,38.33,42.21,4785800,41.09
2010-11-29,36.8,39.06,36.54,38.76,4639400,37.73
2010-11-22,37.69,37.84,36.44,37.,4079700,36.02
2010-11-15,39.43,40.52,37.5,37.82,4895400,36.81
2010-11-08,40.1,40.62,38.49,39.27,4413400,38.23
2010-11-01,37.41,41.,36.88,40.36,5615600,39.24
2010-10-25,39.45,39.84,37.08,37.27,5040800,36.23
2010-10-18,36.86,40.15,36.1,39.12,9735300,38.03
2010-10-11,39.47,41.15,36.5,36.86,7798600,35.84
2010-10-04,39.23,40.63,38.43,39.36,4821000,38.27
2010-09-27,39.38,40.03,38.4,39.3,4070800,38.21
2010-09-20,38.9,39.48,37.4,39.35,5487600,38.26
2010-09-13,39.6,40.16,38.05,38.67,5119400,37.59
2010-09-07,40.28,40.38,38.52,38.89,4870100,37.81
2010-08-30,38.05,40.77,37.41,40.69,4216900,39.56
2010-08-23,37.97,38.45,36.69,38.21,4740600,37.15
2010-08-16,38.62,39.87,37.3,37.78,4639900,36.73
2010-08-09,41.04,42.04,38.5,38.82,4947700,37.74
2010-08-02,43.09,43.36,39.98,40.92,4649900,39.73
2010-07-26,40.72,42.76,40.59,42.33,5412200,41.1
