Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,65.,66.79,64.98,66.42,8054500,66.42
2014-02-18,65.57,66.,64.63,64.68,5927500,64.68
2014-02-10,64.96,66.79,64.13,65.53,5802600,65.53
2014-02-03,65.1,65.39,62.74,64.97,6344700,64.28
2014-01-27,66.28,66.65,64.35,64.95,6327200,64.26
2014-01-21,68.08,68.79,66.4,66.57,4790500,65.87
2014-01-13,68.68,68.75,67.09,67.51,5362000,66.8
2014-01-06,70.34,70.81,68.79,68.87,4672200,68.14
2013-12-30,70.47,70.92,69.53,69.96,3440800,69.22
2013-12-23,70.08,70.75,69.31,70.39,2545300,69.65
2013-12-16,69.7,70.49,68.23,69.88,6456300,69.14
2013-12-09,70.55,70.99,68.91,69.43,5161100,68.7
2013-12-02,73.39,73.49,70.12,70.77,5421600,70.02
2013-11-25,73.76,73.92,72.38,72.8,3780000,72.03
2013-11-18,73.47,74.07,71.76,74.02,4720900,73.24
2013-11-11,73.46,73.83,72.57,73.3,3709900,72.52
2013-11-04,73.37,73.97,72.27,73.69,4899400,72.91
2013-10-28,73.91,74.59,72.21,73.09,4525200,72.32
2013-10-21,73.53,74.1,71.95,74.06,3874700,73.28
2013-10-14,71.3,73.59,71.25,73.43,5145700,72.65
2013-10-07,70.4,71.85,69.62,71.71,4915800,70.95
2013-09-30,69.69,70.99,69.3,70.97,5102600,69.52
2013-09-23,70.66,71.04,69.8,70.31,4329900,68.88
2013-09-16,69.77,71.09,69.14,71.,5719800,69.55
2013-09-09,68.25,69.42,68.05,69.19,4205200,67.78
2013-09-03,66.96,68.77,66.51,68.2,5586500,66.81
2013-08-26,66.59,67.33,65.94,66.3,4913700,64.95
2013-08-19,67.41,67.41,65.29,66.55,4990000,65.19
2013-08-12,66.32,67.91,66.06,67.38,5790600,66.01
2013-08-05,67.,67.47,66.17,66.83,4546700,65.47
2013-07-29,65.54,67.23,64.51,67.23,5972700,65.86
2013-07-22,66.08,66.25,65.13,65.72,4062400,64.38
2013-07-15,64.79,66.,64.67,66.,9800200,64.66
2013-07-08,62.51,64.85,62.31,64.84,7663700,62.85
2013-07-01,60.73,62.42,60.73,62.31,4967600,60.4
2013-06-24,59.78,61.1,58.71,60.5,5468600,58.64
2013-06-17,61.45,62.57,59.55,60.36,5962600,58.51
2013-06-10,62.36,62.44,60.38,61.03,4510400,59.16
2013-06-03,61.58,62.38,60.96,62.32,6250900,60.41
2013-05-28,63.24,63.61,61.34,61.34,6507200,59.46
2013-05-20,63.3,64.77,61.9,62.53,6404500,60.61
2013-05-13,62.11,63.31,61.75,63.31,7965800,60.74
2013-05-06,61.96,62.99,61.71,62.23,8345100,59.7
2013-04-29,59.29,61.97,59.02,61.92,6760500,59.4
2013-04-22,57.58,59.,56.92,58.91,6677800,56.52
2013-04-15,58.72,58.72,56.38,57.49,7747300,55.15
2013-04-08,58.6,60.63,58.51,59.36,5359400,56.95
2013-04-01,60.2,60.7,58.06,58.54,5225200,56.16
2013-03-25,61.,61.19,60.03,60.1,4922300,57.66
2013-03-18,58.67,61.11,58.55,60.91,7072900,58.44
2013-03-11,58.41,59.56,58.08,59.07,5861700,56.67
2013-03-04,58.14,58.49,57.25,58.39,5962800,56.02
2013-02-25,58.47,58.55,56.83,58.28,7309100,55.91
2013-02-19,57.64,58.61,57.09,58.2,6432400,55.84
2013-02-11,57.94,58.62,56.78,57.02,12681100,54.7
2013-02-04,58.47,58.53,57.05,57.87,9109700,54.89
2013-01-28,60.88,62.05,57.81,58.82,9485300,55.8
2013-01-22,59.3,61.1,59.17,61.06,5448600,57.92
2013-01-14,58.2,59.36,58.19,59.27,5321500,56.22
2013-01-07,59.63,59.71,58.03,58.27,5036400,55.27
2012-12-31,56.98,59.9,56.84,59.83,5586500,56.75
2012-12-24,58.56,58.69,57.01,57.07,4213700,54.14
2012-12-17,57.98,59.65,57.67,58.61,8420000,55.6
2012-12-10,57.59,58.75,57.53,57.69,5107800,54.72
2012-12-03,57.33,57.94,56.57,57.94,6136600,54.96
2012-11-26,56.23,57.38,55.78,56.94,6374000,54.01
2012-11-19,55.69,56.7,55.16,56.67,3872600,53.76
2012-11-12,55.83,56.05,53.95,55.03,6285700,52.2
2012-11-05,57.49,58.41,55.61,55.67,6391300,52.81
2012-10-31,57.61,58.8,57.5,57.65,8102500,54.69
2012-10-22,57.52,57.57,55.7,57.31,7013400,54.36
2012-10-15,56.17,58.52,55.89,57.45,5142200,54.5
2012-10-08,57.37,58.23,55.9,56.17,5141800,53.28
2012-10-01,57.48,58.03,56.59,57.58,5128100,53.99
2012-09-24,57.1,58.08,56.83,57.18,6092000,53.61
2012-09-17,58.1,58.75,56.77,57.36,8309000,53.78
2012-09-10,56.67,58.9,56.1,58.21,6185600,54.58
2012-09-04,56.96,57.,54.83,56.64,6676300,53.11
2012-08-27,56.42,57.13,55.97,56.79,5944300,53.25
2012-08-20,57.34,57.37,55.78,56.36,5383400,52.85
2012-08-13,57.46,57.77,57.04,57.39,4887500,53.81
2012-08-06,55.93,57.37,55.8,57.28,6720300,53.71
2012-07-30,54.94,55.99,54.16,55.71,7405300,52.24
2012-07-23,54.82,55.19,52.84,54.97,10410000,51.54
2012-07-16,54.91,56.89,54.6,55.99,6867900,52.5
2012-07-09,54.67,55.05,53.23,54.98,8940100,50.95
2012-07-02,55.97,56.47,54.25,54.75,12202100,50.74
2012-06-25,52.82,55.88,52.29,55.88,8131000,51.79
2012-06-18,55.03,56.,52.68,53.41,11044300,49.5
2012-06-11,54.51,55.46,53.79,55.46,10175900,51.4
2012-06-04,51.4,54.59,50.62,53.97,11372200,50.02
2012-05-29,52.91,53.5,50.89,51.19,12250800,47.44
2012-05-21,50.82,52.45,50.8,52.11,7997000,48.29
2012-05-14,52.66,53.17,50.66,50.82,14291200,47.1
2012-05-07,52.24,54.6,52.13,53.5,19873300,48.95
2012-04-30,71.95,72.3,52.96,53.17,12996500,48.65
2012-04-23,71.74,72.72,70.53,71.98,10572200,50.21
2012-04-16,73.81,74.68,72.3,72.88,10611400,50.84
2012-04-09,74.66,75.49,73.42,73.63,10795900,51.36
2012-04-02,75.99,77.31,75.25,75.36,8744700,52.57
2012-03-26,77.08,77.5,74.44,76.01,9022700,53.02
2012-03-19,77.23,78.29,75.55,76.51,10096200,53.37
2012-03-12,77.17,78.11,76.13,77.18,12781500,53.84
