Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,44.05,44.44,44.03,44.19,1559100,44.19
2014-02-18,43.05,44.06,42.61,43.98,2725700,43.98
2014-02-10,40.24,43.75,40.15,43.01,2376000,43.01
2014-02-03,41.38,41.38,39.6,40.32,1468500,40.32
2014-01-27,42.28,42.38,40.54,41.21,1778600,41.21
2014-01-21,42.15,42.89,41.59,42.29,2264200,42.29
2014-01-13,42.61,43.01,41.62,41.79,2002500,41.79
2014-01-06,42.68,43.03,42.01,42.83,2033900,42.83
2013-12-30,43.25,43.5,42.36,42.42,1746900,42.42
2013-12-23,42.8,43.7,42.44,43.3,1441500,42.99
2013-12-16,40.95,43.43,40.8,42.7,4830900,42.39
2013-12-09,42.48,43.12,40.31,40.75,3989600,40.45
2013-12-02,38.66,42.67,38.37,42.43,5088900,42.12
2013-11-25,39.08,39.23,38.5,38.73,2439400,38.45
2013-11-18,42.55,42.55,38.3,39.37,3797000,39.08
2013-11-11,41.93,42.73,41.36,42.42,1183000,42.11
2013-11-04,42.85,42.92,41.44,41.93,1232600,41.63
2013-10-28,42.44,43.38,42.44,42.69,1427900,42.38
2013-10-21,41.66,42.97,41.4,42.56,1827400,42.25
2013-10-14,40.83,41.78,40.5,41.59,1301400,41.29
2013-10-07,40.23,41.06,39.87,40.88,1382100,40.58
2013-09-30,40.73,41.35,40.31,40.52,1882300,40.23
2013-09-23,41.7,41.82,40.69,40.96,1219100,40.35
2013-09-16,42.75,42.89,41.65,41.8,1619500,41.18
2013-09-09,42.11,42.42,41.1,42.28,2211500,41.65
2013-09-03,43.3,43.39,41.5,41.99,3158600,41.37
2013-08-26,46.4,46.5,42.65,43.18,1755100,42.54
2013-08-19,46.,46.44,45.25,46.39,709000,45.7
2013-08-12,47.28,48.08,45.74,46.,1018900,45.32
2013-08-05,47.24,47.87,46.98,47.74,843200,47.03
2013-07-29,46.88,47.59,46.51,47.41,781400,46.71
2013-07-22,47.2,47.52,46.11,47.07,1078100,46.37
2013-07-15,45.67,47.33,45.62,47.27,950500,46.57
2013-07-08,44.81,46.49,44.72,45.73,974400,45.05
2013-07-01,44.92,45.34,44.1,44.56,1026200,43.9
2013-06-24,43.19,45.21,42.9,44.79,1237200,43.84
2013-06-17,44.98,45.95,43.11,43.57,1674900,42.65
2013-06-10,44.58,44.99,43.35,44.79,1375600,43.84
2013-06-03,42.86,44.68,42.32,44.67,2060900,43.72
2013-05-28,46.07,46.47,42.8,42.81,2400400,41.9
2013-05-20,48.7,48.83,45.19,45.64,2276700,44.67
2013-05-13,46.19,48.43,46.19,47.63,1790200,46.62
2013-05-06,46.7,46.8,45.99,46.29,1386500,45.31
2013-04-29,46.27,46.99,46.02,46.84,1451800,45.85
2013-04-22,46.38,46.85,46.04,46.2,1723100,45.22
2013-04-15,45.43,46.72,45.23,46.46,1880600,45.48
2013-04-08,44.79,45.75,44.61,45.5,1334700,44.54
2013-04-01,45.34,46.45,44.73,44.77,2648600,43.82
2013-03-25,43.47,45.4,43.44,45.36,2128300,44.4
2013-03-18,41.41,43.45,41.21,43.35,1362400,42.43
2013-03-11,41.44,41.95,41.28,41.61,1432400,40.73
2013-03-04,42.01,42.05,41.11,41.38,2473000,40.5
2013-02-25,40.21,42.16,39.91,42.11,2739600,41.22
2013-02-19,39.5,40.27,39.4,40.13,2479600,39.28
2013-02-11,37.97,40.56,37.92,39.4,3393000,38.57
2013-02-04,36.61,38.34,36.49,37.93,1587700,37.13
2013-01-28,36.63,36.9,36.09,36.79,1445600,36.01
2013-01-22,36.29,36.64,36.04,36.53,1044300,35.76
2013-01-14,35.2,36.33,35.2,36.29,1214500,35.52
2013-01-07,35.6,35.67,34.84,35.22,1980500,34.47
2012-12-31,34.5,36.,34.3,35.68,2114800,34.92
2012-12-24,35.46,35.59,34.49,34.56,975200,33.83
2012-12-17,35.67,36.25,35.37,35.5,2188900,34.75
2012-12-10,36.62,36.89,35.57,35.58,2022200,34.83
2012-12-03,36.86,36.93,36.27,36.63,2115400,35.28
2012-11-26,36.6,36.8,36.32,36.75,1621800,35.4
2012-11-19,36.79,37.16,35.83,36.7,2779000,35.35
2012-11-12,35.46,36.77,35.27,36.64,2886700,35.29
2012-11-05,35.12,35.68,34.8,35.48,1876500,34.18
2012-10-31,34.8,35.62,34.8,35.23,1719700,33.93
2012-10-22,35.2,35.2,34.46,34.72,1192400,33.44
2012-10-15,34.78,35.54,34.56,35.22,1601200,33.93
2012-10-08,35.26,35.45,34.55,34.68,1493200,33.41
2012-10-01,34.81,35.44,34.67,35.32,1838400,34.02
2012-09-24,35.02,35.4,34.44,34.82,1701100,33.26
2012-09-17,34.58,35.46,34.5,35.1,2260900,33.53
2012-09-10,35.09,35.09,34.28,34.55,2263700,33.01
2012-09-04,36.22,36.28,34.54,35.04,3448700,33.48
2012-08-27,35.,35.6,34.68,35.14,2214000,33.57
2012-08-20,34.75,35.,34.31,34.99,1571600,33.43
2012-08-13,33.93,34.92,33.85,34.8,2450800,33.25
2012-08-06,32.9,33.35,32.44,33.31,1375000,31.82
2012-07-30,33.09,33.49,32.24,32.79,1749900,31.33
2012-07-23,32.86,33.21,32.34,33.12,1817900,31.64
2012-07-16,33.33,33.58,32.75,33.19,1807000,31.71
2012-07-09,33.1,33.38,32.14,33.35,2571000,31.86
2012-07-02,33.3,33.48,32.88,32.99,1954200,31.52
2012-06-25,31.77,33.39,31.77,33.38,2128600,31.61
2012-06-18,31.6,32.58,31.57,32.06,2048500,30.36
2012-06-11,31.85,31.93,31.32,31.78,1832900,30.1
2012-06-04,31.56,31.91,31.33,31.72,3090000,30.04
2012-05-29,32.67,32.75,31.32,31.33,2770500,29.67
2012-05-21,33.12,33.33,31.91,32.58,2674300,30.85
2012-05-14,34.2,34.58,33.37,33.4,2056800,31.63
2012-05-07,33.63,34.55,33.63,34.4,1895600,32.58
2012-04-30,33.85,33.95,33.49,33.82,1468500,32.03
2012-04-23,33.56,34.04,33.14,33.85,1656300,32.06
2012-04-16,33.08,33.95,32.94,33.83,1848000,32.04
2012-04-09,33.22,33.43,32.95,33.01,2043000,31.26
2012-04-02,33.75,34.01,33.35,33.55,2545400,31.77
2012-03-26,32.98,34.04,32.87,33.85,2461200,31.78
2012-03-19,32.75,33.16,32.61,32.88,1463400,30.87
2012-03-12,32.82,33.07,32.66,32.8,1397200,30.8
2012-03-05,33.2,33.2,32.6,32.83,1455300,30.83
2012-02-27,33.55,33.75,32.94,33.19,1913400,31.16
2012-02-21,32.92,34.,32.76,33.71,3056200,31.65
2012-02-13,31.65,33.97,31.34,32.9,2541300,30.89
2012-02-06,31.93,32.28,31.5,31.67,1410700,29.74
2012-01-30,31.32,32.19,31.25,31.9,1743500,29.95
2012-01-23,31.69,32.14,31.33,31.44,1783800,29.52
2012-01-17,32.37,32.48,31.33,31.75,2595600,29.81
2012-01-09,31.53,32.6,31.5,32.48,2292700,30.5
2012-01-03,33.5,33.69,31.22,31.45,3294600,29.53
2011-12-27,33.15,33.58,33.06,33.24,778000,31.21
2011-12-19,32.82,33.5,32.47,33.16,1245600,31.14
2011-12-12,32.78,33.23,32.08,32.72,1833600,30.46
2011-12-05,32.82,33.08,32.47,32.84,1805100,30.57
2011-11-28,32.19,32.78,31.58,32.54,2552500,30.29
2011-11-21,33.33,33.8,31.22,31.85,3749000,29.65
2011-11-14,33.71,33.88,33.16,33.65,1747200,31.32
2011-11-07,33.11,34.12,33.04,33.79,2179900,31.45
2011-10-31,33.2,33.59,32.6,33.15,2374500,30.86
2011-10-24,33.91,34.,33.22,33.47,1769300,31.15
2011-10-17,33.39,34.,32.93,33.88,2016900,31.54
2011-10-10,33.01,33.68,32.86,33.49,2176400,31.17
2011-10-03,32.11,33.01,32.06,32.76,3825200,30.49
2011-09-26,31.4,32.88,31.27,32.37,2346300,29.86
2011-09-19,31.05,31.5,29.93,31.26,2658400,28.84
2011-09-12,30.63,31.58,30.26,31.36,2288300,28.93
2011-09-06,30.75,31.74,30.68,30.85,2006500,28.46
2011-08-29,31.12,32.26,31.12,31.46,2611000,29.02
2011-08-22,30.46,31.42,30.12,30.92,2342600,28.53
2011-08-15,30.81,31.41,30.03,30.03,2749000,27.71
2011-08-08,31.5,31.86,29.69,30.69,8092300,28.31
2011-08-01,33.18,33.22,31.75,31.89,3431700,29.42
2011-07-25,33.69,33.77,32.8,33.05,1425000,30.49
2011-07-18,33.83,34.11,33.36,33.81,1745900,31.19
2011-07-11,33.93,35.02,33.72,33.92,3771700,31.29
2011-07-05,34.59,34.63,33.91,34.17,2031600,31.52
2011-06-27,34.,35.1,33.68,34.65,2491900,31.7
2011-06-20,34.07,34.36,32.95,33.9,2807300,31.01
2011-06-13,33.92,34.45,33.69,34.17,1622600,31.26
2011-06-06,33.65,34.29,33.48,33.71,1779100,30.84
2011-05-31,34.78,34.84,33.68,33.68,1776700,30.81
2011-05-23,34.45,35.39,34.38,34.64,3271600,31.69
2011-05-16,35.03,35.66,34.86,35.24,2233200,32.24
2011-05-09,33.6,35.27,33.39,35.19,2990000,32.19
2011-05-02,33.62,33.94,33.31,33.62,1958200,30.76
2011-04-25,32.89,33.65,32.71,33.59,1654100,30.73
2011-04-18,33.55,33.67,32.79,32.89,2461900,30.09
2011-04-11,33.34,34.02,33.27,33.84,2059000,30.96
2011-04-04,33.34,33.7,33.06,33.27,1887500,30.44
2011-03-28,33.52,33.7,33.06,33.22,1736100,30.13
2011-03-21,33.65,33.8,33.1,33.56,1650300,30.44
2011-03-14,34.11,34.16,33.03,33.5,2665700,30.38
2011-03-07,33.68,34.5,33.39,34.28,1947800,31.09
2011-02-28,33.73,33.88,33.38,33.55,2082900,30.43
2011-02-22,33.04,34.07,33.03,33.58,3131400,30.46
2011-02-14,34.35,35.,32.66,33.58,3623700,30.46
2011-02-07,34.44,34.55,34.02,34.43,1305400,31.23
2011-01-31,34.41,34.62,34.08,34.42,1824400,31.22
2011-01-24,35.39,35.43,34.41,34.45,2249300,31.24
2011-01-18,34.9,35.5,34.7,35.32,2041400,32.03
2011-01-10,34.31,35.12,34.31,34.95,1623100,31.7
2011-01-03,34.86,34.86,34.36,34.48,2015000,31.27
2010-12-27,34.48,34.88,34.42,34.75,1052600,31.52
2010-12-20,35.32,35.37,34.13,34.48,2067400,31.27
2010-12-13,34.44,35.4,34.28,35.39,2197800,31.83
2010-12-06,34.06,34.65,33.64,34.48,3078700,31.01
2010-11-29,33.92,34.28,33.7,34.06,2885000,30.63
2010-11-22,34.67,34.88,33.44,34.14,3362700,30.71
2010-11-15,34.64,34.78,34.35,34.65,2229200,31.16
2010-11-08,36.45,36.5,34.18,34.52,3006600,31.05
2010-11-01,36.29,36.99,36.1,36.61,1797200,32.93
2010-10-25,36.5,36.64,35.76,36.25,2002100,32.6
2010-10-18,36.49,36.52,35.89,36.37,1570000,32.71
2010-10-11,35.64,36.85,35.59,36.61,2417800,32.93
2010-10-04,36.09,36.24,35.36,35.67,2216200,32.08
2010-09-27,36.24,36.5,35.56,36.09,2544500,32.21
2010-09-20,36.31,36.8,35.91,36.24,2368900,32.35
2010-09-13,36.15,36.59,35.32,36.3,2486500,32.4
2010-09-07,35.62,36.21,35.52,35.99,3868300,32.12
2010-08-30,37.4,37.59,35.82,36.21,3464500,32.32
2010-08-23,36.77,37.56,36.54,37.47,2391700,33.44
2010-08-16,36.05,37.07,35.9,36.64,1835000,32.7
2010-08-09,36.22,36.55,35.77,36.19,1826700,32.3
2010-08-02,36.19,36.5,35.76,36.18,2561100,32.29
2010-07-26,36.11,36.76,35.4,35.9,2415700,32.04
2010-07-19,35.95,36.52,35.79,36.25,2684200,32.36
2010-07-12,36.15,36.36,35.69,35.82,2764900,31.97
2010-07-06,35.63,36.53,35.4,36.3,2096500,32.4
2010-06-28,36.22,36.73,35.15,35.31,2822400,31.52
2010-06-21,37.4,37.5,36.05,36.11,2610900,31.98
2010-06-14,36.76,37.5,36.42,37.15,2381500,32.9
2010-06-07,35.99,37.17,35.92,36.47,3737500,32.3
2010-06-01,35.54,36.79,35.49,36.,3153600,31.89
2010-05-24,35.4,36.,34.61,35.81,3622700,31.72
2010-05-17,35.36,35.99,34.71,35.48,3475100,31.42
2010-05-10,35.48,36.42,35.21,35.34,2091500,31.3
2010-05-03,35.99,36.09,34.18,35.04,2560200,31.04
2010-04-26,35.47,36.25,34.98,35.86,1960800,31.76
2010-04-19,35.55,36.09,35.35,35.59,1613100,31.52
2010-04-12,35.27,36.1,35.13,35.71,2385400,31.63
2010-04-05,35.56,35.66,35.09,35.36,1721700,31.32
2010-03-29,34.97,35.75,34.94,35.56,1527000,31.5
2010-03-22,35.13,35.54,34.78,34.92,1445800,30.69
2010-03-15,34.41,35.31,34.4,35.31,2114600,31.03
2010-03-08,34.31,34.53,33.75,34.49,1859800,30.31
2010-03-01,33.4,34.39,33.24,34.39,2445300,30.22
2010-02-22,33.76,33.98,32.73,33.33,3158300,29.29
2010-02-16,33.13,34.09,32.92,33.93,2435600,29.82
2010-02-08,32.56,33.62,32.49,33.04,2134700,29.04
2010-02-01,33.28,33.66,32.18,32.47,2205600,28.54
2010-01-25,33.1,33.71,32.38,33.11,2306700,29.1
2010-01-19,33.03,33.23,32.39,32.78,2154200,28.81
2010-01-11,32.83,33.9,32.6,32.99,2737100,28.99
2010-01-04,33.91,34.17,32.68,32.83,2467300,28.85
2009-12-28,34.4,34.4,33.77,33.8,1271600,29.71
2009-12-21,33.12,34.52,33.03,34.51,1819300,30.09
2009-12-14,34.86,34.96,32.39,33.02,3407700,28.79
2009-12-07,35.41,35.61,34.69,34.8,1692100,30.34
2009-11-30,35.15,35.8,34.7,35.47,2163100,30.93
2009-11-23,34.6,35.61,33.87,35.16,2658100,30.65
2009-11-16,33.37,34.34,33.21,34.12,2189700,29.75
2009-11-09,32.22,33.46,32.15,33.18,1792100,28.93
2009-11-02,31.85,32.24,30.96,32.19,2252500,28.07
2009-10-26,31.96,32.5,31.38,31.75,2042000,27.68
2009-10-19,32.66,33.15,31.83,31.89,1887500,27.8
2009-10-12,32.5,32.84,32.13,32.62,1881000,28.44
2009-10-05,31.96,32.58,31.6,32.35,2368600,28.2
2009-09-28,32.67,32.98,31.87,31.88,2149000,27.8
2009-09-21,32.29,33.13,32.29,32.53,2594900,28.14
2009-09-14,32.44,32.97,31.7,32.29,3262500,27.94
2009-09-08,31.45,33.98,31.28,33.13,3335500,28.66
2009-08-31,31.18,31.6,30.63,31.19,1451600,26.99
2009-08-24,31.22,31.57,30.87,31.41,1246600,27.18
2009-08-17,30.49,31.19,29.81,31.12,2135000,26.92
2009-08-10,30.8,30.99,30.24,30.6,1543600,26.47
2009-08-03,31.28,31.44,30.67,30.83,1514700,26.67
2009-07-27,30.57,31.47,30.23,31.03,2076400,26.85
2009-07-20,29.97,30.6,29.58,30.53,1612500,26.41
2009-07-13,28.92,30.12,28.92,29.93,2337100,25.89
2009-07-06,29.08,29.9,28.57,28.84,1876000,24.95
2009-06-29,29.63,30.14,29.15,29.21,2105200,25.27
2009-06-22,28.48,29.64,28.43,29.53,2561800,25.33
2009-06-15,28.92,29.27,28.1,28.57,2379200,24.51
2009-06-08,28.67,29.36,28.44,29.1,2512500,24.96
2009-06-01,27.81,29.02,27.7,28.77,2644200,24.68
2009-05-26,27.34,28.54,27.12,27.72,3402800,23.78
2009-05-18,27.21,27.53,26.5,27.35,2743800,23.46
2009-05-11,26.8,27.59,26.38,26.89,2931400,23.07
2009-05-04,26.,26.76,25.65,26.4,2820400,22.65
2009-04-27,24.73,25.96,24.63,25.8,3173600,22.13
2009-04-20,26.21,26.79,24.73,24.87,2530200,21.33
2009-04-13,26.03,26.78,25.5,26.44,2244200,22.68
2009-04-06,26.58,26.91,25.93,26.12,2445100,22.41
