Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,62.19,63.73,62.13,63.4,1187600,63.4
2014-02-18,62.23,63.66,62.,62.2,1140800,62.2
2014-02-10,59.9,62.39,59.56,61.72,1198500,61.72
2014-02-03,60.15,60.8,57.18,60.06,1950200,60.06
2014-01-27,54.26,61.79,52.92,60.41,2193800,60.41
2014-01-21,55.84,57.42,54.27,54.27,1305800,54.27
2014-01-13,55.8,56.44,54.68,55.45,688000,55.45
2014-01-06,56.01,56.47,55.06,55.84,977600,55.84
2013-12-30,55.69,56.2,55.48,55.88,563200,55.88
2013-12-23,54.9,55.91,54.79,55.63,551600,55.63
2013-12-16,52.6,54.87,52.21,54.84,1179300,54.64
2013-12-09,54.06,54.14,52.06,52.32,862800,52.13
2013-12-02,52.62,54.22,52.24,54.09,1106200,53.9
2013-11-25,53.27,53.46,52.36,52.62,573200,52.43
2013-11-18,53.62,54.06,52.93,53.26,1027300,53.07
2013-11-11,51.02,53.73,50.91,53.59,899100,53.4
2013-11-04,50.48,51.71,50.02,51.03,1167600,50.85
2013-10-28,51.86,52.46,46.8,50.39,1814600,50.21
2013-10-21,52.63,53.79,51.59,51.82,694100,51.63
2013-10-14,51.84,53.41,51.64,52.55,1000800,52.36
2013-10-07,51.47,52.33,49.26,52.15,1270900,51.96
2013-09-30,51.6,52.39,51.11,51.92,645800,51.73
2013-09-23,51.92,52.57,51.35,52.02,762300,51.83
2013-09-16,52.32,53.63,51.98,52.01,1105200,51.82
2013-09-09,50.71,52.49,50.68,51.62,898700,51.43
2013-09-03,50.92,51.41,50.07,50.49,971900,50.31
2013-08-26,51.41,51.84,49.76,50.15,740800,49.97
2013-08-19,51.32,52.32,50.65,51.53,838900,51.14
2013-08-12,51.86,52.76,51.07,51.55,1106400,51.16
2013-08-05,49.3,54.8,49.11,52.08,2330900,51.69
2013-07-29,47.57,49.41,47.06,49.39,950300,49.02
2013-07-22,47.37,48.09,47.,47.76,635800,47.4
2013-07-15,47.67,47.92,46.56,47.39,1013200,47.03
2013-07-08,46.57,48.04,46.57,47.79,1272800,47.43
2013-07-01,43.99,46.52,43.99,46.46,1183200,46.11
2013-06-24,43.88,45.03,42.54,43.77,1578200,43.44
2013-06-17,45.19,45.94,43.09,44.35,1720800,44.01
2013-06-10,46.79,46.81,43.73,44.86,1252900,44.52
2013-06-03,44.48,46.81,43.79,46.74,2318800,46.18
2013-05-28,43.6,45.36,42.82,44.61,1776800,44.08
2013-05-20,44.37,45.13,42.54,43.26,1919700,42.74
2013-05-13,49.07,50.26,42.43,44.6,3221100,44.07
2013-05-06,47.32,49.31,47.16,49.29,978700,48.7
2013-04-29,45.63,47.52,45.55,47.28,899200,46.71
2013-04-22,44.3,46.21,43.58,45.6,1021200,45.05
2013-04-15,46.23,46.58,43.69,44.23,1227300,43.7
2013-04-08,47.33,48.92,46.3,46.69,1793500,46.13
2013-04-01,49.23,49.26,46.74,47.26,1315400,46.69
2013-03-25,48.65,49.37,48.01,49.23,1168500,48.64
2013-03-18,48.16,49.7,47.78,48.46,1666100,47.88
2013-03-11,49.7,50.59,48.58,48.58,1680200,48.
2013-03-04,47.98,49.99,47.91,49.76,1301800,48.97
2013-02-25,47.81,48.39,46.47,48.27,1474700,47.5
2013-02-19,48.1,48.94,46.95,47.66,1853600,46.9
2013-02-11,45.7,49.49,45.6,48.07,1797100,47.3
2013-02-04,42.42,46.8,41.83,45.7,2456200,44.97
2013-01-28,42.47,42.89,41.73,42.7,1244600,42.02
2013-01-22,42.6,42.78,41.47,42.44,1334100,41.76
2013-01-14,41.78,42.3,41.19,41.87,1103200,41.2
2013-01-07,41.36,42.,40.33,41.95,1371600,41.28
2012-12-31,39.06,41.86,39.02,41.66,1426100,41.
2012-12-24,39.07,39.69,38.8,39.04,1032800,38.42
2012-12-17,39.47,40.63,38.88,39.05,2089600,38.23
2012-12-10,38.7,40.1,38.7,39.6,1669300,38.77
2012-12-03,38.87,40.34,37.61,38.87,2402700,38.05
2012-11-26,37.68,38.68,37.11,38.06,1149800,37.26
2012-11-19,35.47,37.92,35.47,37.9,1336000,37.11
2012-11-12,35.29,35.5,34.18,34.47,1466800,33.75
2012-11-05,30.97,37.8,30.83,35.22,2807000,34.48
2012-10-31,30.7,31.4,30.15,31.12,1194800,30.47
2012-10-22,31.44,31.75,30.3,30.59,825800,29.95
2012-10-15,31.5,32.59,31.25,31.46,817800,30.8
2012-10-08,31.73,32.03,31.01,31.42,1004700,30.76
2012-10-01,32.33,32.5,31.44,31.88,1231900,31.21
2012-09-24,33.03,33.2,31.76,32.21,1509900,31.53
2012-09-17,34.56,34.66,32.43,33.08,1438000,32.39
2012-09-10,32.82,34.74,32.75,34.68,2435800,33.95
2012-09-04,32.68,33.21,31.5,33.04,1597500,32.35
2012-08-27,33.19,33.3,31.88,32.21,1281800,31.53
2012-08-20,32.56,33.42,32.35,32.99,1369000,32.1
2012-08-13,31.34,33.,30.92,32.68,2227700,31.8
2012-08-06,24.93,31.4,24.91,31.32,2988400,30.47
2012-07-30,24.15,24.94,23.83,24.83,1162700,24.16
2012-07-23,22.86,24.37,22.19,24.23,2407800,23.57
2012-07-16,23.67,24.28,23.01,23.35,1211500,22.72
2012-07-09,24.12,24.29,22.71,23.73,1716900,23.09
2012-07-02,24.92,25.19,24.1,24.23,1465800,23.57
2012-06-25,23.63,24.83,23.1,24.82,1569000,24.15
2012-06-18,24.6,24.87,23.75,23.9,1263500,23.25
2012-06-11,26.42,26.44,24.09,24.71,1662600,24.04
2012-06-04,25.84,26.96,25.15,26.15,1713600,25.24
2012-05-29,26.92,27.36,25.8,25.8,1468400,24.9
2012-05-21,25.76,27.,25.53,26.62,1493200,25.69
2012-05-14,26.77,27.09,25.5,25.75,2497900,24.85
2012-05-07,26.91,27.54,26.38,27.11,1438400,26.17
2012-04-30,28.37,28.5,27.19,27.21,1334100,26.26
2012-04-23,26.91,28.48,26.48,28.48,1396600,27.49
2012-04-16,27.41,28.14,27.2,27.26,1623300,26.31
2012-04-09,28.76,28.76,25.67,27.02,2493900,26.08
2012-04-02,29.85,30.28,28.6,29.35,1449400,28.33
2012-03-26,31.05,31.44,29.68,29.94,1280000,28.9
2012-03-19,31.39,31.96,30.22,30.69,1530800,29.62
2012-03-12,31.47,32.38,30.9,31.6,1652900,30.3
2012-03-05,32.23,32.84,30.87,31.47,1515000,30.17
2012-02-27,32.,32.62,31.32,31.32,1320100,30.03
2012-02-21,33.1,33.39,31.75,32.09,1791300,30.77
2012-02-13,32.75,33.8,31.88,33.08,2347600,31.72
2012-02-06,27.72,33.5,26.39,32.47,5887800,31.13
2012-01-30,25.91,28.13,25.41,28.07,1519500,26.91
2012-01-23,26.15,26.66,25.71,26.18,1202500,25.1
2012-01-17,24.46,26.29,24.41,26.1,1522500,25.03
2012-01-09,23.69,24.93,23.27,24.15,1835700,23.16
2012-01-03,24.29,24.88,23.48,23.53,2454100,22.56
2011-12-27,24.57,24.99,23.43,23.7,2267600,22.72
2011-12-19,25.92,26.6,24.9,26.48,1773500,25.39
2011-12-12,25.67,26.09,24.6,25.93,2573400,24.68
2011-12-05,25.1,26.25,24.9,25.95,2405100,24.69
2011-11-28,23.77,25.15,23.13,24.67,2950500,23.48
2011-11-21,24.8,25.08,22.8,22.93,2722200,21.82
2011-11-14,26.24,27.1,24.65,25.21,3238300,23.99
2011-11-07,32.3,33.,24.92,26.48,3780200,25.2
2011-10-31,32.07,32.62,29.72,32.4,1676900,30.83
2011-10-24,30.23,33.12,29.78,32.44,1631100,30.87
2011-10-17,30.44,30.44,28.48,30.03,1352400,28.58
2011-10-10,29.21,30.89,29.14,30.6,1272200,29.12
2011-10-03,26.71,29.29,26.06,28.59,2341800,27.21
2011-09-26,26.37,28.69,26.11,26.85,1898300,25.55
2011-09-19,28.73,29.11,25.6,26.04,2101200,24.78
2011-09-12,27.3,29.52,27.09,29.28,1827800,27.86
2011-09-06,27.91,29.21,26.74,27.63,2267100,26.29
2011-08-29,29.35,31.28,28.5,28.59,2824800,27.21
2011-08-22,27.44,29.7,27.44,28.83,2925000,27.25
2011-08-15,29.49,30.4,26.82,26.92,3029000,25.45
2011-08-08,32.73,33.53,26.31,29.24,6782000,27.64
2011-08-01,35.55,35.68,32.11,33.49,3912000,31.66
2011-07-25,36.81,37.18,34.89,35.28,1826400,33.35
2011-07-18,36.52,38.08,36.06,37.93,1271000,35.85
2011-07-11,37.39,37.5,36.35,36.65,1643300,34.64
2011-07-05,38.24,38.41,37.32,37.82,1214300,35.75
2011-06-27,37.26,38.5,36.97,38.36,1341000,36.26
2011-06-20,38.32,39.15,37.04,37.09,1683100,35.06
2011-06-13,37.9,39.35,37.19,38.5,2717700,36.39
2011-06-06,38.46,38.69,37.19,37.69,2290000,35.63
2011-05-31,40.44,40.44,38.42,38.47,2343000,36.17
2011-05-23,43.9,44.31,36.3,40.04,4315500,37.65
2011-05-16,44.48,44.92,43.64,44.58,1123800,41.92
2011-05-09,43.51,45.14,43.51,44.66,1434200,41.99
2011-05-02,51.31,51.43,43.28,43.51,2729500,40.91
2011-04-25,49.25,51.3,49.03,50.98,960500,47.94
2011-04-18,49.45,50.1,49.1,49.13,1670200,46.2
2011-04-11,49.38,50.14,48.47,50.05,976200,47.06
2011-04-04,49.4,50.08,49.2,49.55,626400,46.59
2011-03-28,49.24,49.5,48.4,49.38,739100,46.43
2011-03-21,47.89,49.43,47.63,49.17,894400,46.24
2011-03-14,47.25,47.59,45.45,47.29,1146200,44.47
2011-03-07,48.01,48.52,46.7,47.7,1001800,44.85
2011-02-28,48.64,48.79,47.18,47.74,1177200,44.7
2011-02-22,48.27,48.69,47.02,48.59,1796800,45.5
2011-02-14,47.81,48.99,47.31,48.94,1731100,45.82
2011-02-07,55.77,56.61,47.5,47.92,4152900,44.87
2011-01-31,52.57,55.94,52.25,55.76,2107400,52.21
2011-01-24,53.06,54.26,52.43,52.45,887100,49.11
2011-01-18,53.19,54.06,52.23,53.03,945400,49.65
2011-01-10,51.79,53.23,51.53,53.16,1037000,49.78
2011-01-03,49.91,52.11,49.8,52.05,1464600,48.74
2010-12-27,48.83,49.74,48.83,49.6,868600,46.44
2010-12-20,48.56,49.08,47.8,49.01,1145100,45.89
2010-12-13,47.2,49.09,46.9,48.4,1801400,45.13
2010-12-06,47.04,47.74,46.77,47.11,814200,43.93
2010-11-29,45.35,47.18,44.44,47.1,1085000,43.92
2010-11-22,45.75,46.07,45.05,45.59,682000,42.51
2010-11-15,46.94,47.05,45.56,46.,1099900,42.89
2010-11-08,49.22,49.49,46.78,46.86,1476800,43.69
2010-11-01,49.29,49.96,48.6,49.74,935900,46.38
2010-10-25,49.98,49.98,48.69,49.05,943600,45.74
2010-10-18,49.59,50.01,48.62,49.79,1091100,46.43
2010-10-11,46.38,49.78,46.23,49.39,1462600,46.05
2010-10-04,45.72,46.52,45.15,46.37,923800,43.24
2010-09-27,45.46,46.81,44.75,45.73,1253600,42.64
2010-09-20,43.73,45.43,43.65,45.38,1463800,42.31
2010-09-13,43.18,43.71,42.45,43.62,1405400,40.67
2010-09-07,42.11,43.03,41.5,42.87,1382500,39.97
2010-08-30,40.51,42.51,39.61,42.51,1330400,39.5
2010-08-23,42.15,42.2,39.76,40.77,1592200,37.88
2010-08-16,41.88,42.88,41.37,42.02,1080600,39.04
2010-08-09,46.21,46.63,41.9,42.04,1523500,39.06
2010-08-02,46.01,46.58,45.37,46.05,785500,42.79
2010-07-26,46.8,47.11,44.63,45.33,1028600,42.12
2010-07-19,45.53,46.92,44.92,46.78,1079400,43.46
2010-07-12,45.57,47.18,45.28,45.3,1054800,42.09
2010-07-06,44.39,45.97,43.42,45.67,1417700,42.43
2010-06-28,48.03,48.03,44.04,44.1,1399300,40.97
2010-06-21,51.17,51.37,47.4,47.91,996200,44.51
2010-06-14,49.71,51.06,49.07,50.53,1114500,46.95
2010-06-07,47.82,49.49,47.19,49.24,1265500,45.75
2010-06-01,49.47,50.35,47.64,47.78,2053600,44.26
2010-05-24,49.4,50.33,47.1,49.99,2088500,46.31
2010-05-17,49.87,50.37,47.05,49.74,2101000,46.07
2010-05-10,51.96,52.02,49.58,49.85,1380400,46.18
2010-05-03,52.82,52.82,49.02,49.58,2051000,45.93
2010-04-26,55.55,55.86,52.32,52.39,1134600,48.53
2010-04-19,54.97,55.65,54.39,55.61,1009300,51.51
2010-04-12,54.47,55.7,54.34,55.2,1514300,51.13
2010-04-05,53.29,54.71,52.9,54.51,1457300,50.49
2010-03-29,54.73,55.1,53.61,54.25,1715100,50.25
2010-03-22,54.17,55.48,54.,54.58,1130500,50.56
2010-03-15,53.35,54.93,53.15,54.56,945200,50.54
2010-03-08,52.89,53.62,52.77,53.45,712200,49.51
2010-03-01,51.78,52.99,51.69,52.96,946400,49.06
2010-02-22,52.08,52.59,50.72,51.79,934600,47.97
2010-02-16,51.58,52.7,51.26,52.45,840300,48.59
2010-02-08,52.05,53.66,50.51,51.27,1373400,47.49
2010-02-01,51.6,53.15,50.53,51.36,1012600,47.58
2010-01-25,53.44,53.68,51.21,51.3,1181900,47.52
2010-01-19,55.84,57.01,53.18,53.23,1071400,49.31
2010-01-11,57.29,57.52,55.74,55.96,733800,51.84
2010-01-04,57.94,58.,56.65,57.2,773400,52.99
2009-12-28,57.92,58.36,57.52,57.53,451400,53.29
2009-12-21,55.72,57.97,55.72,57.94,452800,53.67
2009-12-14,56.22,56.77,55.27,55.7,788800,51.6
2009-12-07,55.79,56.09,54.54,55.78,880300,51.67
2009-11-30,54.21,56.34,53.93,55.7,1083700,51.6
2009-11-23,54.91,55.61,53.81,54.26,523700,50.26
2009-11-16,53.8,55.29,53.73,54.33,755600,50.33
2009-11-09,52.92,54.69,52.9,53.96,1037800,49.98
2009-11-02,50.96,52.7,49.99,52.6,856000,48.72
2009-10-26,51.88,52.42,50.13,50.71,912000,46.97
2009-10-19,53.3,53.89,51.66,51.78,876100,47.96
2009-10-12,52.93,54.45,52.28,53.07,1066400,49.16
2009-10-05,50.89,52.89,50.44,52.51,810700,48.64
2009-09-28,52.01,53.7,50.65,50.74,1965000,47.
2009-09-21,52.21,52.6,50.65,50.79,996800,47.05
2009-09-14,51.39,52.98,50.96,52.4,1472000,48.54
2009-09-08,48.99,50.99,48.41,50.89,1141600,47.14
2009-08-31,49.49,49.49,47.25,48.54,1088900,44.96
2009-08-24,49.84,50.41,49.3,49.67,982400,46.01
2009-08-17,49.32,49.75,47.82,49.68,823600,46.02
2009-08-10,49.36,50.32,48.95,49.66,1318900,46.
2009-08-03,48.68,49.96,47.62,49.45,1245500,45.81
2009-07-27,46.86,49.07,46.38,48.17,1018600,44.62
2009-07-20,45.57,47.06,45.44,46.83,868800,43.38
2009-07-13,42.69,45.53,42.35,45.39,822400,42.05
2009-07-06,43.8,43.94,41.68,42.67,1002600,39.53
2009-06-29,43.58,44.89,43.28,43.8,1011600,40.57
2009-06-22,43.72,43.85,42.35,43.63,930500,40.42
2009-06-15,44.51,45.1,43.45,43.89,1159600,40.66
2009-06-08,43.78,45.16,43.21,44.99,940500,41.67
2009-06-01,42.65,44.53,42.65,43.93,1034800,40.69
2009-05-26,39.79,42.63,39.79,42.46,1405200,39.33
2009-05-18,36.54,40.31,36.32,39.76,1537800,36.83
2009-05-11,37.09,37.95,36.04,36.29,763700,33.62
2009-05-04,37.4,38.54,36.75,37.48,1053300,34.72
2009-04-27,36.63,38.82,36.2,37.1,1130200,34.37
2009-04-20,37.46,37.67,35.95,37.07,854300,34.34
2009-04-13,38.68,38.93,36.99,37.98,1177600,35.18
2009-04-06,40.51,40.51,37.36,39.08,1171200,36.2
2009-03-30,35.75,40.25,34.82,40.15,1149200,37.19
2009-03-23,35.63,38.12,35.17,36.42,1131300,33.74
