Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.33,27.85,27.33,27.69,6525600,27.69
2014-02-18,27.52,27.62,27.06,27.32,6500800,27.32
2014-02-10,27.19,27.59,26.9,27.53,4969600,27.53
2014-02-03,26.93,27.45,25.84,27.25,7186400,27.25
2014-01-27,26.09,27.06,25.89,26.91,6515500,26.91
2014-01-21,27.35,27.52,26.19,26.2,8847000,26.2
2014-01-13,28.83,29.25,26.76,27.23,13199000,27.23
2014-01-06,28.56,28.94,28.05,28.88,4619400,28.88
2013-12-30,28.32,28.8,28.19,28.43,4214800,28.43
2013-12-23,28.3,28.56,28.18,28.29,2607300,28.29
2013-12-16,27.73,28.26,27.4,28.08,7352200,28.08
2013-12-09,27.85,28.25,27.25,27.57,5148200,27.57
2013-12-02,27.27,27.9,27.02,27.75,5214200,27.75
2013-11-25,27.34,27.53,27.02,27.27,3261600,27.27
2013-11-18,27.07,27.48,26.75,27.35,5225600,27.2
2013-11-11,26.6,27.14,26.5,27.,6018600,26.85
2013-11-04,26.49,26.64,26.2,26.61,5510600,26.46
2013-10-28,26.63,26.85,25.97,26.28,5269600,26.14
2013-10-21,25.64,26.61,25.58,26.61,5744400,26.46
2013-10-14,25.76,26.21,25.28,25.7,9173200,25.56
2013-10-07,25.4,26.08,25.08,25.83,6816700,25.69
2013-09-30,25.56,26.25,25.04,25.57,5499800,25.43
2013-09-23,26.39,26.4,25.65,25.85,5605400,25.71
2013-09-16,26.38,26.9,25.56,26.42,6751600,26.28
2013-09-09,25.52,26.17,25.38,26.06,5040700,25.92
2013-09-03,24.92,25.68,24.68,25.45,5105400,25.31
2013-08-26,25.38,25.62,24.46,24.61,4827800,24.48
2013-08-19,25.08,25.4,24.56,25.36,4545600,25.07
2013-08-12,25.52,25.67,24.79,25.16,5585100,24.87
2013-08-05,26.26,26.26,25.27,25.7,8045600,25.4
2013-07-29,24.65,26.68,24.56,26.05,9392200,25.75
2013-07-22,25.4,25.63,24.43,24.68,5440600,24.4
2013-07-15,24.43,25.79,24.27,25.39,8843200,25.1
2013-07-08,23.38,24.79,23.09,24.36,6588400,24.08
2013-07-01,23.33,23.5,22.89,23.26,5757600,22.99
2013-06-24,23.23,23.57,22.4,23.19,9434100,22.92
