Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,31.27,31.48,31.12,31.19,4717200,31.19
2014-02-18,30.77,31.28,30.57,31.09,5140900,31.09
2014-02-10,28.81,31.25,28.7,30.65,8015000,30.65
2014-02-03,28.9,28.9,27.93,28.79,5651900,28.79
2014-01-27,29.2,29.32,28.31,28.86,6998200,28.86
2014-01-21,30.13,30.18,29.14,29.15,5688300,29.15
2014-01-13,30.99,31.25,29.98,30.,6574900,30.
2014-01-06,31.73,31.8,30.7,31.02,4006400,31.02
2013-12-30,31.84,32.1,31.5,31.6,3972400,31.6
2013-12-23,31.06,32.04,31.06,32.01,3973700,32.01
2013-12-16,30.8,31.93,30.4,31.04,8225700,31.04
2013-12-09,31.07,31.82,30.32,30.73,6134500,30.73
2013-12-02,30.63,31.27,29.93,31.07,5858700,31.07
2013-11-25,30.78,31.22,30.54,30.7,4612400,30.7
2013-11-18,32.19,32.37,30.6,30.67,4971600,30.67
2013-11-11,31.45,32.2,31.26,32.1,4126100,31.55
2013-11-04,33.78,33.93,30.86,31.33,7483000,30.8
2013-10-28,33.24,34.18,33.18,33.58,3963500,33.01
2013-10-21,33.1,33.54,32.74,33.27,3510000,32.71
2013-10-14,32.91,33.34,32.48,33.01,3834900,32.45
2013-10-07,31.01,33.39,31.01,33.22,5748600,32.66
2013-09-30,31.6,31.87,31.07,31.2,4587000,30.67
2013-09-23,32.15,32.39,31.72,31.78,3418500,31.24
2013-09-16,32.64,32.9,32.1,32.28,4143100,31.73
2013-09-09,31.86,32.85,31.86,32.34,6039300,31.79
2013-09-03,33.32,33.34,31.85,31.9,6345500,31.36
2013-08-26,33.31,33.4,32.7,33.12,4032200,32.02
2013-08-19,32.91,33.32,32.26,33.3,9916800,32.2
2013-08-12,33.82,34.3,32.91,32.92,4667200,31.83
2013-08-05,35.97,36.45,33.66,33.89,7191000,32.77
2013-07-29,36.02,36.39,35.63,36.11,3615800,34.91
2013-07-22,36.02,36.11,35.48,36.03,5149200,34.84
2013-07-15,36.22,36.49,35.5,35.98,3897000,34.79
2013-07-08,35.59,36.32,35.13,36.24,2966100,35.04
2013-07-01,35.32,35.73,34.9,35.44,2596100,34.27
2013-06-24,33.98,35.79,33.83,35.35,4634200,34.18
2013-06-17,36.29,36.59,34.05,34.18,5212900,33.05
2013-06-10,35.53,36.4,35.24,36.04,5086300,34.85
2013-06-03,34.12,35.75,34.12,35.43,6058200,34.26
2013-05-28,37.55,37.94,34.13,34.15,10309000,33.02
2013-05-20,37.58,37.9,36.66,37.27,7822400,35.5
2013-05-13,37.54,38.16,37.25,37.67,4535100,35.88
2013-05-06,37.03,38.4,36.83,37.62,5671300,35.83
2013-04-29,37.24,37.61,36.78,37.14,4016000,35.37
2013-04-22,37.17,37.9,36.35,37.15,6341500,35.38
2013-04-15,36.95,37.46,36.34,37.17,4788100,35.4
2013-04-08,36.01,37.5,35.86,37.22,4206800,35.45
2013-04-01,35.11,36.19,34.66,36.11,5354600,34.39
2013-03-25,35.03,35.44,34.8,35.13,4358400,33.46
2013-03-18,34.21,35.15,34.05,35.03,6280900,33.36
2013-03-11,34.26,35.05,34.,34.37,5958200,32.74
2013-03-04,34.85,35.84,34.18,34.39,6141000,32.75
2013-02-25,34.71,35.07,33.86,34.89,8612500,32.73
2013-02-19,33.36,35.17,33.36,34.64,14894200,32.49
2013-02-11,41.29,42.01,32.05,33.02,25550500,30.97
2013-02-04,40.91,41.38,40.35,41.36,4046800,38.8
2013-01-28,40.25,41.3,39.93,41.15,5670200,38.6
2013-01-22,39.99,40.68,39.97,40.13,4331800,37.64
2013-01-14,40.38,40.42,39.52,40.02,3650800,37.54
2013-01-07,39.75,40.46,39.42,40.32,3792400,37.82
2012-12-31,38.49,40.19,38.46,39.91,4837700,37.44
2012-12-24,39.25,39.39,38.49,38.56,2952300,36.17
2012-12-17,39.16,40.16,39.07,39.29,6601100,36.85
2012-12-10,37.83,39.32,37.61,39.06,5020700,36.64
2012-12-03,38.99,39.48,37.66,37.94,5584900,35.59
2012-11-26,38.25,38.93,37.76,38.84,4449700,35.75
