Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,59.68,60.52,59.48,59.61,1885400,59.61
2014-02-18,57.24,61.11,56.62,59.8,4108400,59.8
2014-02-10,55.06,58.12,55.02,57.14,4138700,57.14
2014-02-03,54.15,55.45,52.02,55.28,4268900,55.28
2014-01-27,59.14,59.17,51.18,54.07,7430000,54.07
2014-01-21,60.89,61.72,58.59,58.9,3204500,58.9
2014-01-13,60.13,63.18,58.61,60.44,3646500,60.44
2014-01-06,62.42,62.7,59.59,60.13,2439400,60.13
2013-12-30,61.61,63.44,61.38,62.48,1352800,62.48
2013-12-23,61.83,62.04,60.63,61.67,1003800,61.67
2013-12-16,58.33,61.79,57.69,61.73,2030500,61.73
2013-12-09,60.01,60.44,56.9,57.99,1876900,57.99
2013-12-02,59.01,60.53,57.55,60.03,1991900,60.03
2013-11-25,58.9,59.71,58.24,59.32,1633100,59.32
2013-11-18,57.04,59.16,56.26,59.,2460200,59.
2013-11-11,59.54,61.64,54.52,56.9,7768300,56.9
2013-11-04,57.21,60.8,57.02,59.79,2848600,59.79
2013-10-28,58.12,58.22,56.55,56.82,2270400,56.82
2013-10-21,57.33,59.75,55.42,57.98,4543100,57.98
2013-10-14,58.57,59.02,56.48,57.26,4450500,57.26
2013-10-07,70.66,71.74,58.,59.08,5397300,59.08
2013-09-30,70.1,71.28,68.51,70.48,1289200,70.48
2013-09-23,75.81,75.99,70.71,70.8,1782900,70.8
2013-09-16,74.51,77.16,73.38,76.08,1247800,76.08
2013-09-09,71.68,74.31,71.21,73.79,1151000,73.79
2013-09-03,71.56,72.4,70.01,71.38,869700,71.38
2013-08-26,73.46,73.46,69.85,70.77,963100,70.77
2013-08-19,71.72,73.44,71.17,72.71,1397700,72.71
2013-08-12,72.45,74.06,71.59,71.6,1220600,71.6
2013-08-05,72.94,73.51,71.77,72.96,1208000,72.96
2013-07-29,67.41,73.75,67.41,73.12,2914500,73.12
2013-07-22,65.66,70.66,65.07,67.78,3273300,67.78
2013-07-15,67.22,67.27,64.44,65.07,1957400,65.07
2013-07-08,63.71,67.73,63.01,67.41,1687700,67.41
2013-07-01,60.68,63.38,60.5,63.36,1993400,63.36
2013-06-24,59.51,60.94,58.,60.36,1914600,60.36
2013-06-17,61.76,62.71,59.58,59.99,2433500,59.99
2013-06-10,63.46,63.75,61.1,61.23,1520200,61.23
2013-06-03,64.38,64.75,61.1,63.61,2599800,63.61
2013-05-28,63.93,65.64,63.89,64.38,1486400,64.38
2013-05-20,66.87,67.08,62.61,63.43,1640500,63.43
2013-05-13,66.31,67.8,64.81,66.84,2584500,66.84
2013-05-06,63.85,66.58,63.52,66.56,1991000,66.56
2013-04-29,61.89,63.84,61.5,63.49,2396100,63.49
2013-04-22,67.4,68.34,61.62,61.8,3682800,61.8
2013-04-15,70.21,71.25,66.19,67.17,2209300,67.17
2013-04-08,69.02,70.44,66.67,70.39,2537700,70.39
2013-04-01,72.32,72.65,64.,68.9,1888500,68.9
2013-03-25,71.09,72.26,69.8,72.15,2205200,72.15
2013-03-18,72.84,73.17,70.51,71.01,1800300,71.01
2013-03-11,74.09,75.5,73.38,73.79,1356800,73.79
2013-03-04,71.3,74.95,70.75,74.43,1132500,74.43
2013-02-25,73.26,74.1,69.89,71.36,2041100,71.36
2013-02-19,72.75,73.89,70.43,72.91,1467300,72.91
2013-02-11,72.73,73.9,71.45,72.62,1755500,72.62
2013-02-04,73.86,74.56,71.11,72.91,2053400,72.91
2013-01-28,71.88,75.5,66.19,74.03,4200300,74.03
2013-01-22,67.75,71.71,67.16,71.55,2307300,71.55
2013-01-14,71.47,72.52,67.18,67.65,2335800,67.65
2013-01-07,67.05,71.61,65.78,71.47,2971300,71.47
2012-12-31,64.43,68.43,63.96,66.55,1994300,66.55
2012-12-24,66.07,66.73,64.07,64.3,689500,64.3
2012-12-17,65.14,68.62,64.11,66.15,2289500,66.15
2012-12-10,61.84,66.1,61.83,65.02,2400000,65.02
2012-12-03,61.7,62.48,58.43,62.03,2961000,62.03
2012-11-26,61.62,63.1,58.35,61.16,2945300,61.16
2012-11-19,60.3,62.11,59.62,61.77,2079700,61.77
2012-11-12,60.44,60.58,56.57,59.21,2451700,59.21
2012-11-05,62.74,65.49,59.3,60.17,2152700,60.17
2012-10-31,63.,64.,61.48,62.77,2321900,62.77
2012-10-22,64.35,65.,60.14,62.82,4585100,62.82
2012-10-15,68.33,68.8,64.1,64.16,3556000,64.16
2012-10-08,71.53,71.89,66.23,67.7,5152200,67.7
2012-10-01,76.96,77.82,71.55,71.57,2096300,71.57
2012-09-24,78.28,78.65,73.52,76.53,2176000,76.53
2012-09-17,81.82,82.61,79.78,81.19,1391000,81.19
2012-09-10,80.55,82.13,78.48,81.74,1829800,81.74
2012-09-04,77.43,81.85,76.71,80.59,1662200,80.59
2012-08-27,77.06,78.9,76.3,77.69,1275800,77.69
2012-08-20,77.88,78.22,75.85,77.,1298200,77.
2012-08-13,76.12,78.43,74.61,78.08,1900000,78.08
2012-08-06,72.65,76.29,71.82,76.26,1931500,76.26
2012-07-30,77.14,77.32,68.17,72.44,3646100,72.44
2012-07-23,78.19,78.99,71.71,77.81,3718900,77.81
2012-07-16,75.99,82.98,74.53,80.75,1863500,80.75
2012-07-09,77.65,78.97,74.12,76.63,1882400,76.63
2012-07-02,84.08,85.65,76.15,77.45,1848800,77.45
2012-06-25,79.28,83.95,76.79,83.94,1644200,83.94
2012-06-18,79.8,82.84,77.9,80.14,1548500,80.14
2012-06-11,77.7,80.19,74.93,80.12,1639000,80.12
2012-06-04,71.03,78.15,69.89,77.12,1914200,77.12
2012-05-29,76.2,76.37,70.19,70.79,2515600,70.79
2012-05-21,75.42,79.6,73.85,75.43,2001000,75.43
2012-05-14,78.85,80.31,74.6,74.82,1938500,74.82
2012-05-07,82.73,83.7,77.27,79.46,2601400,79.46
2012-04-30,85.27,87.74,82.17,82.85,1968600,82.85
2012-04-23,76.93,87.99,74.13,85.78,3192600,85.78
2012-04-16,75.57,80.85,74.21,77.78,1664500,77.78
2012-04-09,76.79,76.89,72.75,75.12,1558000,75.12
2012-04-02,79.12,80.59,76.88,78.28,1121200,78.28
2012-03-26,78.54,80.7,77.45,78.91,1584900,78.91
2012-03-19,78.1,79.06,76.64,77.68,1306200,77.68
2012-03-12,76.27,79.98,75.88,78.2,1554100,78.2
2012-03-05,75.24,76.8,71.24,76.27,2310300,76.27
2012-02-27,74.31,76.72,73.78,75.43,1190100,75.43
2012-02-21,74.62,75.58,72.12,75.16,1617600,75.16
2012-02-13,72.01,76.45,71.93,74.77,1785800,74.77
2012-02-06,68.63,72.34,68.31,71.46,2019500,71.46
2012-01-30,64.46,68.98,63.75,68.78,1630900,68.78
2012-01-23,68.31,70.35,63.75,65.14,3864100,65.14
2012-01-17,65.69,70.78,65.37,68.12,2419300,68.12
2012-01-09,62.25,67.21,61.36,64.85,1920000,64.85
2012-01-03,62.41,64.19,60.15,62.02,2766200,62.02
2011-12-27,61.96,62.77,60.27,60.72,1207500,60.72
2011-12-19,64.49,64.78,56.79,62.04,2501400,62.04
