Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.13,16.47,16.1,16.41,3685300,16.41
2014-02-18,16.56,16.63,16.02,16.1,3099700,16.1
2014-02-10,16.24,17.52,15.99,16.6,5365200,16.6
2014-02-03,16.16,16.48,15.78,16.24,3166500,16.24
2014-01-27,15.9,16.75,15.72,16.04,3581700,16.04
2014-01-21,16.48,16.62,15.69,15.87,2825200,15.87
2014-01-13,16.87,17.1,16.27,16.36,3445800,16.36
2014-01-06,17.24,17.34,16.63,16.88,4304200,16.88
2013-12-30,17.77,18.05,16.94,17.2,2559200,17.2
2013-12-23,17.35,17.91,17.33,17.78,1830100,17.78
2013-12-16,16.44,17.33,16.06,17.21,3399400,17.21
2013-12-09,16.04,16.74,15.91,16.3,2722700,16.3
2013-12-02,16.91,16.99,15.86,16.,4358000,16.
2013-11-25,15.79,16.91,15.26,16.77,4987400,16.77
2013-11-18,14.91,15.93,14.66,15.8,4772900,15.8
2013-11-11,15.13,15.66,14.83,14.93,3626000,14.78
2013-11-04,16.15,16.48,14.65,15.08,4669100,14.93
2013-10-28,15.77,16.14,15.55,16.08,3707300,15.92
2013-10-21,15.68,15.9,15.36,15.81,3098200,15.65
2013-10-14,16.16,16.52,15.57,15.66,4217700,15.5
2013-10-07,16.73,16.93,16.04,16.27,3816200,16.11
2013-09-30,16.71,17.11,16.7,16.94,3550300,16.77
2013-09-23,17.52,17.59,16.74,16.83,2139700,16.66
2013-09-16,17.98,18.11,17.01,17.62,3408100,17.44
2013-09-09,17.95,18.05,17.49,17.65,1919700,17.47
2013-09-03,17.91,18.13,17.55,17.95,1763500,17.77
2013-08-26,17.81,18.1,17.28,17.73,2116000,17.55
2013-08-19,18.2,18.46,17.41,17.78,3146800,17.6
2013-08-12,19.62,20.12,18.39,18.43,2480000,18.24
2013-08-05,19.59,19.89,18.71,19.61,3167100,19.27
2013-07-29,18.82,20.16,17.82,19.61,3763300,19.27
2013-07-22,19.,19.09,18.47,18.83,1438900,18.5
2013-07-15,18.97,19.48,18.45,18.96,3027600,18.63
2013-07-08,19.27,19.38,18.59,18.81,3167700,18.48
2013-07-01,17.4,19.23,17.25,19.22,6531300,18.88
2013-06-24,14.94,17.01,14.78,16.82,4989300,16.52
2013-06-17,14.76,15.48,14.68,14.96,3347900,14.7
2013-06-10,14.65,14.84,13.88,14.68,3116700,14.42
2013-06-03,15.12,15.29,14.46,14.65,2686000,14.39
2013-05-28,15.5,15.72,15.12,15.12,1664200,14.85
2013-05-20,15.46,15.85,15.15,15.34,2414000,15.07
2013-05-13,15.77,15.94,15.16,15.43,3395500,15.01
2013-05-06,15.3,16.01,14.16,15.83,4856900,15.4
2013-04-29,14.85,15.4,14.68,15.28,2381300,14.87
2013-04-22,14.29,14.88,14.21,14.8,1892100,14.4
2013-04-15,14.72,14.75,14.,14.27,2321200,13.89
2013-04-08,14.42,14.93,14.29,14.84,2072000,14.44
2013-04-01,14.91,14.96,14.,14.41,2394000,14.02
2013-03-25,15.01,15.07,14.63,14.96,1928800,14.56
2013-03-18,13.91,15.04,13.76,14.94,5521700,14.54
2013-03-11,13.98,14.44,13.65,14.08,5650400,13.7
2013-03-04,13.76,14.18,13.62,13.96,3880200,13.44
2013-02-25,15.21,15.55,13.68,13.76,5589500,13.25
2013-02-19,15.13,15.32,14.42,15.13,2798000,14.57
2013-02-11,14.9,15.37,14.8,15.15,2360200,14.58
2013-02-04,14.21,15.3,14.11,14.97,4403600,14.41
2013-01-28,15.25,15.78,14.21,14.27,4874200,13.74
2013-01-22,15.34,15.46,14.89,15.2,2315300,14.63
2013-01-14,15.36,15.96,15.11,15.33,2523900,14.76
2013-01-07,15.22,15.56,14.55,15.39,2774800,14.82
2012-12-31,14.68,15.44,14.57,15.31,3973300,14.74
2012-12-24,14.74,14.98,14.63,14.73,1726300,14.18
2012-12-17,14.5,15.2,14.49,14.74,2607300,14.19
2012-12-10,14.27,14.72,14.14,14.46,2339900,13.92
2012-12-03,13.89,14.65,13.67,14.35,2736600,13.81
2012-11-26,13.96,14.11,13.53,13.84,3389600,13.32
2012-11-19,14.05,14.38,13.69,13.98,3201400,13.46
2012-11-12,14.78,16.05,13.21,14.02,4672400,13.5
2012-11-05,16.79,16.79,14.55,14.79,5345300,14.24
2012-10-31,17.94,18.05,16.84,16.94,3520000,16.16
2012-10-22,18.85,18.86,17.69,17.89,3023000,17.07
2012-10-15,16.95,18.54,16.95,18.39,4407900,17.55
2012-10-08,16.86,17.41,16.55,16.91,2834300,16.14
2012-10-01,15.86,17.05,15.76,16.96,2633700,16.18
2012-09-24,16.26,16.48,15.64,15.85,2515600,15.12
2012-09-17,16.9,16.98,16.3,16.32,2707500,15.57
2012-09-10,15.64,17.43,15.58,16.98,3089900,16.2
2012-09-04,14.91,15.68,14.65,15.65,2415800,14.93
2012-08-27,15.23,15.25,14.62,14.95,1932300,14.26
2012-08-20,15.12,15.52,14.87,15.17,2181400,14.47
2012-08-13,15.49,15.66,15.01,15.14,3017600,14.45
2012-08-06,15.59,17.25,14.99,15.5,4575800,14.79
2012-07-30,15.,15.55,14.87,15.54,3602600,14.69
2012-07-23,14.53,15.13,14.24,15.07,4544500,14.24
2012-07-16,13.1,14.9,12.91,14.57,5067200,13.77
2012-07-09,13.35,13.41,12.66,13.1,2374900,12.38
2012-07-02,13.34,13.78,13.2,13.32,2161500,12.59
2012-06-25,12.26,13.36,11.94,13.29,2816500,12.56
2012-06-18,12.39,12.68,12.19,12.41,3576500,11.73
2012-06-11,11.66,12.55,11.18,12.46,4467100,11.78
