Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,71.47,72.12,71.35,71.37,4915900,71.37
2014-02-18,70.48,71.66,69.92,71.2,5752300,71.2
2014-02-10,66.42,70.19,66.36,69.9,7860900,69.9
2014-02-03,67.52,67.67,64.95,66.44,7076100,66.44
2014-01-27,67.66,68.78,66.07,67.72,6647300,67.72
2014-01-21,68.61,69.66,67.63,67.63,6048500,67.63
2014-01-13,69.33,69.68,67.76,67.97,5146500,67.69
2014-01-06,70.75,70.83,68.83,69.51,5551400,69.23
2013-12-30,71.39,71.97,70.18,70.55,3296600,70.26
2013-12-23,70.5,71.99,70.12,71.56,2589400,71.27
2013-12-16,67.65,70.87,66.77,70.06,8416300,69.78
2013-12-09,66.88,68.73,66.21,67.31,6179900,67.04
2013-12-02,67.1,67.5,65.45,66.75,4540900,66.48
2013-11-25,66.71,67.64,66.06,66.96,4496900,66.69
2013-11-18,65.6,66.71,65.15,66.68,4185600,66.41
2013-11-11,63.87,65.7,63.55,65.62,3981300,65.35
2013-11-04,62.71,64.44,61.93,63.78,7254700,63.52
2013-10-28,61.68,62.9,61.45,62.59,5253400,62.34
2013-10-21,60.86,62.91,60.29,61.41,6420000,61.16
2013-10-14,59.15,61.23,57.85,61.01,6075700,60.76
2013-10-07,56.35,59.6,56.34,59.57,6701300,59.1
2013-09-30,57.47,57.93,56.32,56.88,6809000,56.43
2013-09-23,58.35,58.69,57.64,57.8,5036400,57.35
2013-09-16,60.39,61.33,58.29,58.53,7710000,58.07
2013-09-09,58.73,60.02,58.34,59.9,4409300,59.43
2013-09-03,58.44,59.03,57.95,58.63,4291800,58.17
2013-08-26,57.95,58.79,57.07,58.05,4892500,57.6
2013-08-19,58.36,59.69,57.97,57.97,4840100,57.52
2013-08-12,59.03,60.48,58.34,58.57,4667000,58.11
2013-08-05,62.04,62.07,58.27,59.48,5920400,59.01
2013-07-29,61.64,62.22,60.76,61.84,3730600,61.36
2013-07-22,61.67,62.36,61.14,61.96,2660900,61.47
2013-07-15,61.08,61.7,60.28,61.63,3318200,61.15
2013-07-08,58.98,61.25,58.72,60.95,4060400,60.25
2013-07-01,57.72,58.76,57.32,58.64,4039500,57.97
2013-06-24,57.1,57.96,55.66,57.18,5792800,56.52
2013-06-17,59.45,60.34,56.82,57.57,5094400,56.91
2013-06-10,58.54,59.95,58.05,59.03,4332300,58.35
2013-06-03,57.76,58.81,56.59,58.49,4961900,57.82
2013-05-28,59.71,60.7,57.58,57.58,5084500,56.92
2013-05-20,59.38,59.95,57.8,59.2,4448600,58.52
2013-05-13,57.99,60.66,57.85,59.44,5897600,58.76
2013-05-06,58.42,58.85,57.2,58.03,5172500,57.36
2013-04-29,57.94,59.37,57.37,58.64,5935400,57.97
2013-04-22,58.03,58.5,57.35,57.73,4377100,57.07
2013-04-15,57.33,58.13,56.3,58.,6174600,57.33
2013-04-08,55.65,58.29,55.2,57.52,5543300,56.63
2013-04-01,54.75,55.66,53.94,55.64,6381900,54.78
2013-03-25,55.27,56.07,54.76,54.99,7984700,54.14
2013-03-18,53.2,55.35,53.03,55.2,7614800,54.35
2013-03-11,52.27,53.61,51.77,53.58,6050600,52.75
2013-03-04,51.4,52.69,51.25,52.28,4236100,51.47
2013-02-25,51.69,51.97,50.21,51.56,4533000,50.77
2013-02-19,51.38,52.77,51.24,51.35,5959900,50.56
2013-02-11,51.25,52.1,50.81,51.12,5361400,50.33
2013-02-04,51.42,52.2,50.92,51.2,6258400,50.41
2013-01-28,51.21,51.84,50.9,51.58,5814900,50.79
2013-01-22,51.84,52.73,51.56,51.86,6472600,51.06
2013-01-14,51.41,52.42,51.15,52.11,5383200,51.09
2013-01-07,49.63,51.39,49.44,51.3,5980000,50.29
2012-12-31,47.76,50.1,47.65,49.99,6423200,49.01
2012-12-24,48.48,48.88,47.9,47.92,2966400,46.98
2012-12-17,49.32,49.41,48.16,48.67,7958800,47.71
2012-12-10,46.84,49.8,46.84,49.24,9304700,48.27
2012-12-03,46.53,46.9,45.81,46.84,5377700,45.92
2012-11-26,45.57,46.65,45.07,46.51,6857600,45.6
2012-11-19,45.08,45.86,44.95,45.83,5247500,44.93
2012-11-12,46.6,46.93,44.33,44.8,7940800,43.92
2012-11-05,46.26,47.78,45.93,46.36,8688200,45.45
2012-10-31,46.3,46.91,46.04,46.56,6592600,45.64
2012-10-22,46.13,46.45,45.59,46.06,5417100,45.15
2012-10-15,47.23,47.47,46.06,46.2,6483400,45.29
2012-10-08,48.85,48.94,46.75,47.08,5820300,45.99
2012-10-01,48.51,49.23,48.29,48.86,5609000,47.73
2012-09-24,47.75,48.46,47.43,48.42,5708900,47.3
2012-09-17,46.99,48.15,46.59,47.87,6389500,46.76
2012-09-10,46.04,47.62,45.86,46.97,5162200,45.89
2012-09-04,45.5,46.82,45.43,46.06,5545000,45.
2012-08-27,45.48,45.82,45.07,45.55,4040900,44.5
2012-08-20,45.54,45.98,45.24,45.56,5634400,44.51
2012-08-13,44.76,45.61,43.95,45.31,7082100,44.26
2012-08-06,45.01,46.,43.65,44.95,10688300,43.91
2012-07-30,44.88,45.64,43.84,44.75,8247400,43.72
2012-07-23,44.87,45.37,44.34,44.94,7898900,43.9
2012-07-16,47.89,48.69,44.59,45.08,13090600,44.04
2012-07-09,47.97,48.2,46.62,48.05,7783100,46.78
2012-07-02,46.89,48.31,46.73,48.12,5930300,46.85
2012-06-25,45.62,46.93,44.86,46.73,5803400,45.5
2012-06-18,45.54,46.42,45.32,45.9,8426100,44.69
2012-06-11,45.07,46.1,44.39,45.65,6897700,44.45
2012-06-04,43.61,45.19,43.3,44.89,6158900,43.71
2012-05-29,45.17,45.71,43.43,43.6,9439500,42.45
2012-05-21,44.56,45.54,44.39,44.98,6977400,43.79
2012-05-14,45.11,45.75,44.38,44.43,8944700,43.26
2012-05-07,45.39,46.2,44.69,45.32,7817500,44.13
2012-04-30,44.9,46.22,44.34,45.42,9037100,44.22
2012-04-23,43.86,45.24,43.08,44.88,7537100,43.7
2012-04-16,43.44,44.49,43.25,44.33,9357600,43.16
2012-04-09,44.17,44.25,43.3,43.43,7787400,42.13
2012-04-02,44.2,45.19,44.07,44.62,6164800,43.28
