Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,113.37,115.,113.05,114.15,7337900,114.15
2014-02-18,113.86,115.33,112.47,112.68,7931100,112.68
2014-02-10,112.47,113.87,111.08,113.48,6877200,113.48
2014-02-03,112.35,112.46,109.27,112.05,9322100,111.06
2014-01-27,116.26,117.25,111.11,111.63,7413500,110.65
2014-01-21,120.74,120.89,116.26,116.29,5970100,115.27
2014-01-13,120.81,120.9,118.19,119.29,6295700,118.24
2014-01-06,124.59,125.32,120.37,121.01,6173800,119.94
2013-12-30,124.79,125.21,123.71,124.35,4052600,123.26
2013-12-23,123.41,125.65,122.63,125.23,3130100,124.13
2013-12-16,120.46,123.79,118.25,122.78,7666100,121.7
2013-12-09,122.27,123.94,119.38,119.9,6621600,118.84
2013-12-02,122.87,123.06,120.71,122.29,4814300,121.21
2013-11-25,123.77,124.1,121.64,122.44,4037600,121.36
2013-11-18,120.71,124.19,120.07,124.03,4804700,122.94
2013-11-11,121.18,121.5,119.13,120.06,5606500,119.
2013-11-04,118.59,121.88,117.07,121.19,8625800,119.12
2013-10-28,120.56,122.01,117.,118.01,6367000,116.
2013-10-21,119.63,121.22,119.31,120.59,4845700,118.53
2013-10-14,117.33,119.85,116.32,119.65,5660900,117.61
2013-10-07,117.43,118.5,114.44,117.67,7790400,115.66
2013-09-30,121.6,122.02,117.52,118.13,6753200,116.11
2013-09-23,124.62,125.84,122.51,122.64,5117700,120.55
2013-09-16,124.98,126.43,123.82,124.92,6147600,122.79
2013-09-09,121.21,124.83,121.21,124.14,4620400,122.02
2013-09-03,121.34,122.75,119.01,121.21,4213200,119.14
2013-08-26,119.74,122.36,118.07,120.43,5353800,118.38
2013-08-19,119.69,120.,117.22,119.53,4630500,117.49
2013-08-12,122.,123.23,119.05,119.88,5452200,117.84
2013-08-05,124.72,124.75,121.68,122.5,4737700,119.42
2013-07-29,127.37,127.37,123.3,124.95,5448500,121.81
2013-07-22,126.71,127.83,125.79,127.56,4328700,124.36
2013-07-15,124.11,126.91,123.55,126.91,4390700,123.72
2013-07-08,121.29,124.54,120.98,124.06,5923400,120.94
2013-07-01,118.35,120.86,118.,120.51,4346500,117.48
2013-06-24,117.71,119.56,116.02,118.34,5710600,115.37
2013-06-17,120.45,122.38,117.26,118.93,6308400,115.94
2013-06-10,122.94,122.98,119.61,120.28,4938900,117.26
2013-06-03,122.35,124.12,118.66,121.7,7781800,118.64
2013-05-28,126.39,127.4,122.75,122.75,6319800,119.67
2013-05-20,123.43,126.98,123.18,125.45,7007300,122.3
2013-05-13,122.9,125.,122.17,123.42,8837200,120.32
2013-05-06,123.32,123.95,122.11,123.23,6676000,119.17
2013-04-29,120.44,123.91,120.04,123.49,5919600,119.43
2013-04-22,116.39,120.41,115.89,120.04,5670900,116.09
2013-04-15,118.81,118.9,114.12,115.9,7718800,112.09
2013-04-08,117.45,121.15,116.65,119.94,5380600,115.99
2013-04-01,118.99,119.95,116.17,117.52,5350100,113.65
2013-03-25,121.5,121.56,118.76,118.82,5802800,114.91
2013-03-18,118.78,121.4,118.65,121.18,5475400,117.19
2013-03-11,118.63,120.26,118.06,119.68,6447800,115.74
2013-03-04,116.78,119.11,116.08,118.57,5227100,114.67
2013-02-25,116.5,117.89,113.5,116.9,5940000,113.05
2013-02-19,115.19,116.26,114.09,115.96,5118100,112.14
2013-02-11,115.68,116.84,114.03,114.96,4797500,111.18
2013-02-04,115.02,116.38,114.29,115.64,5161200,110.97
2013-01-28,116.56,117.5,115.05,116.5,5650500,111.8
2013-01-22,115.11,116.38,114.53,116.2,5017700,111.51
2013-01-14,111.38,115.86,111.35,115.24,6732800,110.59
2013-01-07,110.02,112.08,109.1,111.73,5295500,107.22
2012-12-31,105.75,110.92,105.75,110.5,5982400,106.04
2012-12-24,109.3,109.39,106.3,106.45,4295300,102.15
2012-12-17,107.97,111.11,107.94,109.71,8461700,105.28
2012-12-10,107.1,109.18,106.47,107.82,5640400,103.47
2012-12-03,106.,107.,103.94,106.99,6234300,102.67
2012-11-26,104.75,106.69,102.76,105.69,6084600,101.42
2012-11-19,103.67,105.47,102.92,105.47,4641800,101.21
2012-11-12,106.45,106.52,100.66,102.4,7092400,98.26
2012-11-05,107.74,110.69,105.08,105.84,5821800,100.7
2012-10-31,111.93,111.94,107.57,108.37,6938100,103.1
2012-10-22,113.61,113.7,109.03,111.18,5515400,105.78
2012-10-15,112.16,115.36,111.1,113.38,5822700,107.87
2012-10-08,117.19,118.38,111.61,112.07,7714600,106.63
2012-10-01,116.92,118.25,116.05,117.5,5644600,111.79
2012-09-24,117.55,118.5,116.15,116.56,6213900,110.9
2012-09-17,117.17,118.53,115.5,117.8,7210900,112.08
2012-09-10,114.2,118.22,113.6,117.25,6221500,111.55
2012-09-04,112.03,114.,110.59,114.,4915600,108.46
2012-08-27,112.18,112.95,110.92,112.16,3821200,106.71
2012-08-20,112.69,113.45,110.76,112.01,4129000,106.57
2012-08-13,113.32,113.87,112.,112.66,5239800,107.19
2012-08-06,110.75,113.64,110.7,113.55,5210500,107.18
2012-07-30,108.87,111.88,108.47,111.12,7359200,104.88
2012-07-23,107.25,109.5,104.61,109.26,6646300,103.13
2012-07-16,105.71,109.25,105.5,109.19,6714000,103.06
2012-07-09,104.97,106.19,103.29,106.01,6446300,100.06
2012-07-02,105.59,107.42,104.39,105.07,4857500,99.17
2012-06-25,99.34,105.51,98.17,105.5,7621800,99.58
2012-06-18,103.14,104.65,99.58,100.44,8111100,94.8
2012-06-11,101.99,104.5,99.56,104.33,7571000,98.47
2012-06-04,96.48,102.,95.73,100.84,6714600,95.18
2012-05-29,99.81,100.85,96.02,96.41,7780500,91.
2012-05-21,98.81,100.68,96.7,98.86,6431100,93.31
2012-05-14,101.74,102.66,98.24,98.46,7906200,92.93
2012-05-07,103.08,104.24,101.37,102.69,9291900,96.06
2012-04-30,106.16,108.79,103.25,103.72,5373100,97.02
2012-04-23,101.19,106.8,100.89,106.2,5794400,99.34
2012-04-16,101.62,104.09,101.17,102.52,5797000,95.9
2012-04-09,103.3,104.08,100.51,100.78,7152000,94.27
2012-04-02,106.85,108.79,104.33,104.75,5323000,97.99
2012-03-26,107.23,108.,104.92,107.21,5674000,100.29
2012-03-19,110.52,111.06,104.85,106.36,6857100,99.49
2012-03-12,109.65,112.28,109.16,110.28,8293400,103.16
2012-03-05,109.14,110.57,108.,109.57,6299900,102.5
2012-02-27,108.29,110.92,108.28,109.61,7757100,102.53
2012-02-21,107.51,109.4,107.2,109.08,6409200,102.04
2012-02-13,106.16,107.24,104.59,106.66,5724900,99.77
2012-02-06,104.62,107.5,104.37,105.28,5750000,97.73
2012-01-30,103.4,105.6,102.08,105.5,7295200,97.94
2012-01-23,106.99,108.57,103.12,103.96,7430100,96.51
2012-01-17,107.27,107.98,105.2,106.89,6614300,99.23
2012-01-09,108.24,110.66,103.51,106.09,8545400,98.49
2012-01-03,108.74,110.99,107.97,108.31,8734400,100.55
2011-12-27,107.26,108.49,105.88,106.4,4730500,98.77
2011-12-19,101.16,107.61,99.5,107.5,6535100,99.79
2011-12-12,104.02,105.89,99.32,100.86,11294900,93.63
2011-12-05,103.58,105.74,101.95,104.25,7646800,96.78
2011-11-28,96.03,103.19,95.,101.69,8853300,94.4
2011-11-21,96.92,97.25,92.29,92.29,10220700,85.68
2011-11-14,106.2,107.33,97.52,97.88,13580600,90.86
2011-11-07,106.65,109.,103.5,107.05,8804600,98.6
2011-10-31,107.72,108.,100.79,106.43,10548600,98.03
2011-10-24,105.5,110.01,104.33,109.64,10211600,100.98
2011-10-17,99.91,105.84,97.97,105.53,9397600,97.2
2011-10-10,96.13,100.56,96.09,100.47,7569100,92.54
2011-10-03,91.93,95.73,86.68,94.4,12108800,86.95
2011-09-26,90.65,95.35,88.76,92.59,11068000,85.28
2011-09-19,97.19,99.74,88.56,90.01,11072800,82.9
2011-09-12,93.94,100.16,93.16,99.63,11899700,91.76
2011-09-06,93.58,100.58,92.75,95.19,10949900,87.67
2011-08-29,98.28,100.48,95.07,96.41,9853500,88.8
2011-08-22,96.55,98.52,92.95,96.85,9808700,89.2
2011-08-15,97.,99.28,91.75,93.29,11766200,85.92
2011-08-08,94.28,97.05,87.3,95.86,21248600,87.59
2011-08-01,106.08,106.13,93.82,97.61,13974100,89.19
2011-07-25,107.55,109.,103.07,104.02,6982900,95.05
2011-07-18,105.58,109.75,105.11,108.97,6543200,99.57
2011-07-11,104.43,106.61,103.75,106.19,8088900,97.03
2011-07-05,104.11,106.92,104.11,105.89,6950300,96.75
2011-06-27,97.94,104.19,97.94,104.09,7031800,95.11
2011-06-20,98.88,102.46,97.,97.9,8522000,89.45
2011-06-13,98.93,101.29,97.71,99.17,8966800,90.61
2011-06-06,100.9,101.87,98.98,99.67,7120500,91.07
2011-05-31,104.61,105.21,99.57,101.,8051400,92.29
2011-05-23,101.13,104.22,100.7,103.21,6929500,94.31
2011-05-16,102.03,104.53,99.61,102.57,7987000,93.72
2011-05-09,103.25,104.95,100.41,102.39,8620700,92.84
2011-05-02,109.48,109.58,101.11,102.88,8984800,93.28
2011-04-25,107.37,109.6,106.68,109.44,5594900,99.23
2011-04-18,104.95,108.34,103.04,108.13,5942800,98.04
2011-04-11,109.74,109.9,103.13,106.24,8519600,96.33
2011-04-04,108.52,109.94,107.51,109.66,6388700,99.43
2011-03-28,106.4,109.65,105.52,108.32,7161300,98.21
2011-03-21,103.86,107.01,103.2,106.78,7917000,96.82
2011-03-14,99.16,103.97,97.98,102.8,11229300,93.21
2011-03-07,104.12,104.77,97.6,99.93,8732800,90.61
2011-02-28,102.28,104.99,102.18,103.75,9641900,94.07
2011-02-22,99.23,103.94,99.23,102.1,14470600,92.58
2011-02-14,95.5,98.81,95.5,98.72,7376800,89.51
2011-02-07,97.28,98.23,95.7,96.45,7764100,86.8
2011-01-31,93.85,97.44,93.37,97.11,9750700,87.39
2011-01-24,93.89,94.97,92.93,93.37,8456800,84.03
