Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,57.91,57.91,56.95,57.44,2786300,57.44
2014-02-18,57.,57.82,56.49,56.71,2637300,56.71
2014-02-10,55.2,57.21,54.89,56.92,2785500,56.92
2014-02-03,53.66,55.33,51.63,55.25,3676000,55.25
2014-01-27,54.05,55.34,53.29,53.65,4166300,53.44
2014-01-21,53.89,55.5,51.78,53.88,5268900,53.67
2014-01-13,55.35,55.52,53.04,53.41,2996300,53.21
2014-01-06,55.12,55.55,54.35,55.41,2523000,55.2
2013-12-30,54.6,56.2,54.6,55.07,2204300,54.86
2013-12-23,54.33,54.91,53.78,54.5,1477900,54.29
2013-12-16,54.22,54.53,52.61,54.,2974900,53.79
2013-12-09,52.91,53.58,52.25,53.02,2948400,52.82
2013-12-02,53.49,53.76,51.25,52.77,2724600,52.57
2013-11-25,52.64,53.7,52.5,53.3,2111600,53.1
2013-11-18,52.49,52.68,51.33,52.4,2141000,52.2
2013-11-11,52.35,52.47,50.22,52.39,4260200,52.19
2013-11-04,52.83,52.94,51.46,52.26,2998300,52.06
2013-10-28,51.01,53.13,50.66,52.,3118900,51.6
2013-10-21,54.28,54.45,50.93,51.,4515500,50.61
2013-10-14,51.58,54.39,51.52,53.95,3017100,53.54
2013-10-07,50.02,51.97,48.4,51.78,2984600,51.38
2013-09-30,50.51,51.24,49.6,50.57,2635400,50.18
2013-09-23,51.9,51.96,50.49,51.29,2856800,50.9
2013-09-16,51.72,53.36,51.42,52.12,3876400,51.72
2013-09-09,48.73,51.06,48.68,50.98,2556400,50.59
2013-09-03,47.77,48.92,47.49,48.59,2382400,48.22
2013-08-26,49.53,49.78,46.93,47.25,2659500,46.89
2013-08-19,49.78,49.88,48.51,49.54,2152200,49.16
2013-08-12,50.03,50.88,49.37,49.78,2208200,49.4
2013-08-05,51.05,51.18,50.16,50.18,2020900,49.8
2013-07-29,49.27,51.16,48.93,51.13,3041600,50.54
2013-07-22,50.65,51.7,49.01,49.45,3496300,48.88
2013-07-15,51.25,51.25,49.2,50.62,3430900,50.04
2013-07-08,50.39,50.92,49.49,50.89,3096600,50.3
2013-07-01,48.01,50.03,47.68,49.99,3052900,49.41
2013-06-24,45.73,48.,45.08,47.64,3259300,47.09
2013-06-17,47.66,48.39,45.95,46.39,3869500,45.86
2013-06-10,48.87,49.38,46.97,47.34,3193800,46.79
2013-06-03,47.75,49.38,47.34,48.66,4564100,48.1
2013-05-28,48.23,48.63,47.05,47.41,3702100,46.86
2013-05-20,47.74,49.71,46.92,47.68,4668100,47.13
2013-05-13,45.45,47.74,44.95,47.7,3731600,47.15
2013-05-06,45.96,46.37,45.35,45.59,3520200,45.06
2013-04-29,44.18,46.06,43.67,45.93,4210800,45.2
2013-04-22,43.37,45.61,42.74,43.92,6020900,43.23
2013-04-15,43.18,43.39,42.12,43.34,5098400,42.66
2013-04-08,43.01,43.88,42.31,43.31,6145100,42.63
2013-04-01,44.72,44.95,42.32,43.07,4093500,42.39
2013-03-25,45.36,45.38,44.49,44.84,4182100,44.13
2013-03-18,43.75,45.13,43.53,45.,5710700,44.29
2013-03-11,41.29,44.23,41.29,44.14,6614200,43.44
2013-03-04,38.93,41.8,38.89,41.37,4597500,40.72
2013-02-25,39.05,39.2,37.24,39.08,5347000,38.46
2013-02-19,39.22,39.59,38.04,38.89,4487000,38.28
2013-02-11,39.78,40.29,38.9,39.15,4149500,38.53
2013-02-04,38.46,40.35,38.25,39.88,4463000,39.25
2013-01-28,39.07,39.16,37.49,38.8,8212000,38.19
2013-01-22,38.49,39.32,38.,39.09,4558900,38.47
2013-01-14,40.4,40.44,38.3,38.55,5553200,37.94
2013-01-07,39.8,40.63,39.23,40.39,4241200,39.75
2012-12-31,37.52,40.05,37.46,40.04,4637600,39.41
2012-12-24,38.55,38.99,37.36,37.99,3889300,37.25
2012-12-17,39.65,40.88,37.57,38.5,9930200,37.75
2012-12-10,40.91,41.22,39.4,39.54,4040500,38.77
2012-12-03,41.81,42.08,40.11,41.15,3617300,40.35
2012-11-26,41.3,41.87,40.3,41.61,3322800,40.8
2012-11-19,39.93,41.51,39.93,41.46,3259700,40.65
2012-11-12,41.2,41.7,37.9,39.46,6367200,38.69
2012-11-05,40.74,41.81,39.96,41.08,4920100,40.28
2012-10-31,40.32,41.77,40.12,40.98,4027300,40.18
2012-10-22,39.64,40.54,39.19,40.25,3502600,39.47
2012-10-15,39.,40.86,38.75,39.62,3943900,38.85
