Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,57.55,58.66,57.47,58.03,3130700,58.03
2014-02-18,57.5,58.45,56.74,57.49,3420600,57.49
2014-02-10,57.2,57.99,55.5,57.26,3622600,57.26
2014-02-03,56.48,57.93,55.2,57.1,3952700,57.1
2014-01-27,57.55,58.03,55.08,56.32,4003200,56.32
2014-01-21,60.18,60.41,56.73,57.35,3972600,57.35
2014-01-13,62.63,62.76,59.76,60.1,4011300,60.1
2014-01-06,61.22,62.93,58.94,62.87,5097200,62.87
2013-12-30,60.33,61.77,60.,60.98,3691000,60.98
2013-12-23,60.25,61.95,60.07,60.11,2985600,60.11
2013-12-16,61.,61.12,58.69,60.08,2969000,60.08
2013-12-09,60.17,61.82,60.12,60.48,3843300,60.48
2013-12-02,56.91,61.08,55.56,60.2,5836500,60.2
2013-11-25,58.73,59.,56.92,56.94,3272400,56.94
2013-11-18,59.44,59.56,56.89,58.4,3155600,58.4
2013-11-11,57.33,59.51,57.25,59.26,2293000,59.26
2013-11-04,57.99,58.59,56.81,57.28,2236200,57.28
2013-10-28,59.4,59.71,57.5,57.77,2056000,57.77
2013-10-21,58.88,59.87,58.37,59.5,1649400,59.5
2013-10-14,57.52,59.13,56.44,58.89,2585200,58.89
2013-10-07,58.36,58.36,55.96,57.83,2954100,57.83
2013-09-30,56.23,58.82,55.71,58.77,2553000,58.77
2013-09-23,57.68,58.29,56.51,56.59,2499000,56.59
2013-09-16,57.4,58.71,56.57,57.65,3034300,57.65
2013-09-09,57.2,57.52,56.54,56.83,1930400,56.83
2013-09-03,54.47,57.8,53.4,56.96,5070900,56.96
2013-08-26,55.43,56.1,53.86,53.97,1732700,53.97
2013-08-19,53.5,55.6,53.1,55.05,3169600,55.05
2013-08-12,54.14,54.83,52.4,52.47,2547200,52.47
2013-08-05,55.52,55.64,54.12,54.25,2271500,54.25
2013-07-29,53.81,55.82,53.44,55.79,2921500,55.79
2013-07-22,53.37,54.37,53.04,53.78,2712300,53.78
2013-07-15,53.93,54.2,53.06,53.3,2203200,53.3
2013-07-08,52.,55.8,51.49,53.77,4942400,53.77
2013-07-01,51.03,52.84,50.53,52.01,2789500,52.01
2013-06-24,49.78,51.93,49.5,50.43,3876500,50.43
