Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,53.05,54.01,53.01,53.81,2032000,53.81
2014-02-18,52.49,53.25,52.12,53.05,1782300,53.05
2014-02-10,51.,52.97,50.98,52.6,2887400,52.6
2014-02-03,52.2,53.36,50.46,50.8,2824200,50.8
2014-01-27,53.85,55.68,51.8,52.5,4015600,52.5
2014-01-21,55.,55.24,53.64,53.71,1707000,53.71
2014-01-13,53.74,54.96,53.4,54.68,1833600,54.68
2014-01-06,53.06,54.04,51.9,53.87,2655500,53.87
2013-12-30,53.9,54.28,52.11,52.72,3197100,52.72
2013-12-23,53.55,54.7,53.55,54.1,1376100,53.79
2013-12-16,54.49,54.8,52.5,53.52,3019000,53.22
2013-12-09,60.16,60.52,53.45,54.2,4188200,53.89
2013-12-02,61.05,62.03,59.87,59.99,2135300,59.65
2013-11-25,61.86,62.48,60.71,60.94,1459600,60.59
2013-11-18,62.5,62.56,60.95,61.8,1541800,61.45
2013-11-11,63.24,64.1,62.18,62.2,2487500,61.85
2013-11-04,62.5,64.,61.42,63.32,3434300,62.96
2013-10-28,58.57,61.03,58.46,60.93,1672700,60.58
2013-10-21,57.75,58.83,57.75,58.59,1470400,58.26
2013-10-14,57.97,60.,57.36,57.92,2248900,57.59
2013-10-07,61.59,62.45,57.45,58.12,2849500,57.79
2013-09-30,61.43,62.81,61.31,61.8,1337700,61.45
2013-09-23,61.7,62.82,61.47,61.72,1559600,61.37
2013-09-16,62.04,62.7,61.33,62.,1570500,61.35
2013-09-09,60.99,61.91,60.48,61.43,1190300,60.79
2013-09-03,58.87,61.41,58.81,61.11,1470600,60.47
2013-08-26,59.05,59.36,57.73,58.62,804300,58.01
2013-08-19,58.,59.79,58.,59.06,822900,58.44
2013-08-12,59.13,60.21,57.98,58.09,1259800,57.48
2013-08-05,58.51,59.7,58.,59.38,1272800,58.76
2013-07-29,58.5,58.94,58.11,58.61,967300,58.
2013-07-22,59.,59.54,58.3,58.5,1639400,57.89
2013-07-15,59.6,60.62,58.65,59.03,2053200,58.41
2013-07-08,61.02,61.47,56.81,59.33,2046500,58.71
2013-07-01,60.81,61.15,59.84,60.8,767400,60.16
2013-06-24,60.73,61.93,60.12,60.63,1228600,60.
2013-06-17,62.84,63.06,60.75,61.07,963300,60.14
2013-06-10,62.44,63.4,61.71,62.62,812900,61.66
2013-06-03,61.91,63.,61.03,62.22,1118800,61.27
2013-05-28,63.,63.3,61.83,61.84,1120100,60.89
2013-05-20,60.48,62.56,60.35,62.5,1272000,61.54
2013-05-13,59.56,60.79,58.9,60.69,1287800,59.76
2013-05-06,57.15,59.78,57.15,59.77,1169300,58.86
2013-04-29,56.19,57.75,55.78,57.21,1050400,56.34
2013-04-22,55.85,57.24,55.26,56.16,1861200,55.3
2013-04-15,59.06,59.55,55.56,55.92,2442700,55.06
2013-04-08,56.89,60.,56.41,59.34,1432100,58.43
2013-04-01,56.42,57.92,56.01,57.01,1061300,56.14
2013-03-25,56.71,57.5,55.8,56.46,1231600,55.6
2013-03-18,55.9,56.85,55.48,56.56,1329900,55.4
2013-03-11,55.92,56.84,55.78,56.22,1261000,55.07
2013-03-04,55.99,56.96,55.33,55.94,1296500,54.79
2013-02-25,56.16,56.66,55.16,56.13,1146200,54.98
2013-02-19,57.25,57.85,55.69,55.75,1081500,54.61
2013-02-11,58.59,58.73,56.47,57.32,1281300,56.14
2013-02-04,57.97,58.87,57.53,58.5,886200,57.3
2013-01-28,58.12,58.57,57.03,58.11,1757400,56.92
2013-01-22,61.24,61.95,57.36,57.94,2238900,56.75
2013-01-14,59.46,61.4,59.1,61.4,1265400,60.14
2013-01-07,58.04,59.71,57.11,59.41,1523300,58.19
2012-12-31,57.68,59.2,57.22,58.,1138000,56.51
2012-12-24,59.4,59.4,57.71,57.72,503000,56.24
2012-12-17,59.35,60.83,59.07,59.42,933700,57.9
2012-12-10,58.15,59.76,57.96,59.17,842700,57.65
2012-12-03,57.92,58.44,57.45,58.26,716000,56.77
2012-11-26,57.65,58.51,56.59,57.78,1049700,56.3
2012-11-19,57.99,58.24,56.85,57.98,737300,56.49
2012-11-12,57.32,57.95,55.98,57.8,823900,56.32
2012-11-05,57.54,59.19,57.01,57.17,633200,55.71
2012-10-31,58.53,58.67,57.47,57.94,632700,56.46
2012-10-22,59.05,59.54,57.95,58.33,829200,56.84
2012-10-15,63.41,64.07,59.05,59.17,1804000,57.65
2012-10-08,64.24,64.87,63.2,63.39,611600,61.77
2012-10-01,63.55,64.56,63.01,64.17,590500,62.53
2012-09-24,62.87,63.78,62.34,63.43,616000,61.8
2012-09-17,61.58,63.25,61.3,63.,629000,61.22
2012-09-10,61.96,62.3,61.11,61.54,712000,59.8
2012-09-04,60.31,62.69,60.05,61.98,803900,60.23
2012-08-27,60.75,61.07,59.71,60.47,612100,58.76
2012-08-20,59.93,61.24,59.38,60.5,631200,58.79
2012-08-13,59.48,60.1,59.06,60.02,482400,58.32
2012-08-06,59.24,60.48,58.87,59.47,647600,57.79
2012-07-30,58.66,59.83,57.57,59.26,935500,57.58
2012-07-23,58.2,58.89,56.84,58.78,1021400,57.12
2012-07-16,63.,63.68,58.54,58.76,1477900,57.1
2012-07-09,59.62,63.98,59.6,63.,1626500,61.22
2012-07-02,60.1,60.55,59.48,59.62,785100,57.93
2012-06-25,57.06,60.19,56.69,59.9,1271300,58.21
2012-06-18,56.72,58.23,56.5,57.59,1056200,55.8
2012-06-11,55.7,56.95,54.88,56.84,1059200,55.07
2012-06-04,54.96,55.51,53.25,55.43,1560800,53.71
2012-05-29,58.39,58.81,54.95,55.1,1770300,53.39
2012-05-21,56.37,58.03,56.28,58.,888700,56.2
2012-05-14,56.67,57.48,56.,56.38,838300,54.63
2012-05-07,57.04,58.17,56.52,57.21,680000,55.43
2012-04-30,57.5,58.85,57.14,57.14,785500,55.37
2012-04-23,58.15,58.68,57.19,57.53,876400,55.74
2012-04-16,58.14,61.,57.82,58.54,1420000,56.72
2012-04-09,60.43,60.43,57.93,57.98,1326600,56.18
2012-04-02,61.13,62.32,60.75,61.17,785500,59.27
2012-03-26,59.38,61.49,59.19,61.15,783500,59.25
2012-03-19,59.6,60.44,58.25,59.17,1074600,57.17
2012-03-12,58.93,60.12,58.06,59.81,711300,57.79
2012-03-05,57.66,59.14,56.9,58.88,774200,56.89
2012-02-27,57.11,58.69,57.03,57.99,994300,56.03
2012-02-21,57.28,57.66,56.79,57.24,588400,55.31
2012-02-13,57.67,57.99,56.31,57.29,1023600,55.36
2012-02-06,58.36,58.54,56.66,57.54,852600,55.6
2012-01-30,58.56,58.86,57.55,58.64,1197000,56.66
2012-01-23,57.14,61.47,56.34,59.,2731600,57.01
2012-01-17,57.5,57.95,55.37,57.14,986400,55.21
2012-01-09,58.07,58.68,56.36,56.81,1113400,54.89
2012-01-03,58.89,58.99,56.93,58.01,950700,56.05
2011-12-27,58.85,59.39,57.74,58.06,519400,55.94
2011-12-19,56.48,59.3,55.49,58.97,803700,56.81
2011-12-12,56.84,56.91,55.35,56.24,948400,54.18
2011-12-05,59.25,59.37,56.38,57.16,846600,55.07
2011-11-28,55.31,59.44,54.77,58.6,1350300,56.46
2011-11-21,54.35,56.23,54.14,54.43,1356800,52.44
2011-11-14,57.,57.63,54.25,55.14,1267700,53.12
2011-11-07,56.64,57.99,55.18,57.54,1236900,55.43
2011-10-31,56.8,57.15,54.37,55.82,1622600,53.78
2011-10-24,50.12,58.75,49.6,57.61,3652000,55.5
2011-10-17,48.44,50.11,48.,49.89,1237300,48.06
2011-10-10,47.17,48.85,46.7,48.52,1018700,46.74
2011-10-03,49.28,49.3,45.13,47.03,2325100,45.31
2011-09-26,48.24,51.02,48.11,49.36,1858400,47.45
2011-09-19,48.33,50.14,46.75,48.05,1834600,46.19
2011-09-12,48.,49.95,47.48,49.09,1748800,47.19
2011-09-06,47.85,50.93,47.8,48.32,1504500,46.45
2011-08-29,48.71,50.66,48.63,49.06,1359300,47.16
2011-08-22,47.26,48.78,45.77,48.31,1404700,46.44
2011-08-15,48.,49.53,46.33,46.48,1797800,44.68
2011-08-08,49.53,50.14,46.13,48.05,2963300,46.19
2011-08-01,54.68,54.68,49.58,50.66,3378200,48.7
2011-07-25,56.67,56.71,53.72,54.01,1950400,51.92
2011-07-18,57.81,58.65,56.21,56.99,2809200,54.79
2011-07-11,59.22,59.22,57.48,58.06,1736300,55.82
2011-07-05,59.68,60.8,59.22,59.61,1143600,57.31
2011-06-27,59.56,59.87,58.4,59.85,1463800,57.54
2011-06-20,60.52,61.21,59.12,59.41,2096100,57.02
2011-06-13,59.11,61.,58.26,60.56,1714400,58.12
2011-06-06,58.05,58.95,57.79,58.51,1650500,56.15
2011-05-31,58.,58.56,57.68,58.24,2206900,55.89
2011-05-23,57.53,57.86,56.65,57.63,1369300,55.31
2011-05-16,57.15,58.55,56.94,58.18,1446700,55.84
2011-05-09,56.63,58.13,55.9,57.4,1087300,55.09
2011-05-02,56.44,57.16,55.63,56.74,1345400,54.45
2011-04-25,55.32,56.44,55.27,56.38,1521900,54.11
2011-04-18,57.91,59.39,56.49,56.55,2475100,54.27
2011-04-11,57.95,58.81,57.24,58.36,1082900,56.01
2011-04-04,57.49,58.87,57.3,57.99,1042100,55.65
2011-03-28,54.78,58.,54.68,57.44,1636100,55.13
2011-03-21,54.38,55.02,53.38,54.79,990700,52.49
2011-03-14,56.9,57.03,53.26,53.74,1813800,51.49
2011-03-07,56.81,57.69,56.,57.39,1725400,54.98
2011-02-28,56.83,57.12,55.69,56.69,1996600,54.31
2011-02-22,56.84,57.28,56.,56.67,1822100,54.29
2011-02-14,57.46,57.75,56.41,57.56,1516000,55.15
2011-02-07,58.94,59.11,56.54,57.49,1977300,55.08
2011-01-31,57.65,59.,56.53,58.97,5089300,56.5
2011-01-24,54.69,58.24,54.05,57.36,2839900,54.95
2011-01-18,54.75,54.84,53.37,54.51,1372700,52.22
2011-01-10,53.09,55.18,52.87,54.64,1025200,52.35
2011-01-03,54.26,55.64,52.65,53.13,1419900,50.9
2010-12-27,54.38,54.69,53.88,53.97,527800,51.61
2010-12-20,54.19,54.93,53.87,54.54,811300,52.16
2010-12-13,51.26,54.52,50.69,54.22,1647900,51.85
2010-12-06,49.73,51.26,49.7,51.08,1050400,48.85
2010-11-29,49.25,51.15,48.87,50.1,1319900,47.91
2010-11-22,50.54,50.75,49.5,49.58,752000,47.42
2010-11-15,51.22,51.68,49.87,50.71,884500,48.5
2010-11-08,51.9,52.44,50.93,51.03,812000,48.8
2010-11-01,49.27,52.08,48.92,52.02,979400,49.75
2010-10-25,49.07,49.93,48.72,49.14,1571800,46.99
2010-10-18,50.43,51.62,46.75,49.03,2983500,46.89
2010-10-11,50.37,51.08,49.52,50.34,943600,48.14
2010-10-04,49.9,50.89,49.31,50.42,1051000,48.22
2010-09-27,49.13,50.96,48.35,50.13,984700,47.94
2010-09-20,48.28,49.94,48.27,49.14,1204800,46.9
2010-09-13,47.95,48.43,46.78,48.27,1152800,46.07
2010-09-07,45.67,47.96,45.37,47.74,1911200,45.56
2010-08-30,44.66,45.96,43.38,45.93,1302400,43.84
2010-08-23,46.55,47.05,44.12,44.65,1279200,42.61
2010-08-16,47.04,47.85,45.9,46.38,978600,44.27
2010-08-09,48.18,48.98,46.44,47.36,1081300,45.2
2010-08-02,47.51,48.42,47.18,48.11,1573200,45.92
2010-07-26,44.97,47.23,44.79,46.99,2470800,44.85
2010-07-19,49.48,49.99,43.95,44.71,3405800,42.67
2010-07-12,49.63,51.11,49.11,49.29,982500,47.04
2010-07-06,49.7,50.27,48.64,49.73,1159800,47.46
2010-06-28,50.91,51.46,48.53,49.2,1434200,46.96
2010-06-21,53.43,53.45,50.36,50.74,1596700,48.33
2010-06-14,53.04,53.98,52.88,53.09,1282800,50.57
2010-06-07,51.86,52.86,51.21,52.77,1386400,50.26
2010-06-01,52.32,53.12,51.32,51.53,1456100,49.08
2010-05-24,52.01,53.,50.88,52.75,1939500,50.24
2010-05-17,55.28,55.3,51.56,52.25,1785200,49.77
2010-05-10,55.62,56.46,54.04,54.97,1994800,52.36
2010-05-03,57.41,57.58,40.8,54.5,2728300,51.91
2010-04-26,57.77,58.12,55.94,57.16,1795100,54.44
2010-04-19,58.09,60.28,57.44,57.83,2734000,55.08
2010-04-12,58.25,59.49,57.49,58.26,1468400,55.49
2010-04-05,59.3,59.3,57.8,58.15,1139500,55.39
2010-03-29,57.99,59.1,57.99,59.07,830100,56.26
2010-03-22,57.27,58.28,56.11,57.89,1436400,55.05
2010-03-15,55.94,57.96,55.69,57.3,1518900,54.48
2010-03-08,55.99,56.29,55.47,55.97,1124900,53.22
2010-03-01,56.78,57.47,55.54,56.19,1685300,53.43
2010-02-22,57.49,57.93,56.18,56.75,1117200,53.96
2010-02-16,56.29,57.96,55.79,57.5,1178400,54.67
