Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.72,23.92,23.54,23.71,5066600,23.71
2014-02-18,23.64,23.95,22.78,23.65,5382300,23.65
2014-02-10,23.89,24.17,22.85,23.62,6579100,23.62
2014-02-03,23.49,23.95,22.54,23.89,8491500,23.89
2014-01-27,21.01,24.,20.2,23.48,12253300,23.44
2014-01-21,21.66,22.08,20.8,20.88,5991800,20.85
2014-01-13,21.97,22.14,21.23,21.59,5389800,21.55
2014-01-06,21.92,22.56,21.15,22.15,6009500,22.11
2013-12-30,21.67,22.35,21.36,21.75,5411800,21.71
2013-12-23,20.73,21.73,20.73,21.67,5545000,21.63
2013-12-16,19.05,20.63,18.68,20.58,8330300,20.55
2013-12-09,19.1,20.14,18.83,18.96,6073900,18.93
2013-12-02,19.82,19.82,18.72,19.08,5987600,19.05
2013-11-25,19.05,20.43,18.66,19.88,7378700,19.85
2013-11-18,19.6,19.77,18.7,19.05,7662200,19.02
2013-11-11,18.16,19.97,17.67,19.59,11549400,19.56
2013-11-04,18.63,19.28,17.86,18.14,10781000,18.11
2013-10-28,19.79,20.,18.18,18.51,5990900,18.48
2013-10-21,19.16,20.23,18.31,19.77,6374100,19.74
2013-10-14,18.3,19.28,17.6,19.02,9454600,18.99
2013-10-07,18.26,18.84,17.66,18.65,6860300,18.62
2013-09-30,19.28,19.7,18.28,18.54,7870100,18.51
2013-09-23,20.18,20.61,19.57,19.63,5898200,19.6
2013-09-16,19.74,21.6,19.61,20.2,9467400,20.17
2013-09-09,18.19,20.07,18.19,19.14,7446300,19.11
2013-09-03,17.91,18.51,17.52,18.1,6623900,18.07
2013-08-26,18.69,19.03,17.57,17.85,8328300,17.82
2013-08-19,18.97,19.44,18.21,18.73,6655400,18.7
2013-08-12,18.81,19.87,17.59,19.,10505700,18.97
2013-08-05,20.3,20.33,18.58,18.89,5946800,18.86
2013-07-29,19.48,20.76,19.38,20.38,7925700,20.35
2013-07-22,22.27,22.34,19.13,19.33,10181700,19.3
2013-07-15,22.74,22.82,21.2,22.07,6764100,22.03
2013-07-08,20.36,23.2,19.69,22.76,8533300,22.72
2013-07-01,21.38,21.71,19.89,20.28,5536700,20.25
2013-06-24,20.5,21.77,20.02,21.28,9742700,21.24
2013-06-17,24.1,24.65,19.94,21.1,9874400,21.07
2013-06-10,23.7,24.15,22.17,23.89,6772200,23.85
2013-06-03,24.4,24.53,22.09,23.56,9114700,23.52
2013-05-28,26.13,26.53,24.31,24.36,5959000,24.32
2013-05-20,27.2,27.61,25.33,25.75,5605900,25.71
2013-05-13,27.07,27.75,26.5,27.23,5249200,27.19
2013-05-06,26.46,27.31,26.16,27.15,4191900,27.11
2013-04-29,26.61,27.32,25.39,26.45,7131800,26.41
2013-04-22,22.01,26.92,21.47,26.66,8142700,26.62
2013-04-15,23.21,23.22,21.24,21.98,5518300,21.94
2013-04-08,23.1,23.93,22.9,23.42,4550900,23.38
2013-04-01,24.32,24.41,22.1,23.08,5550500,23.04
2013-03-25,24.79,25.22,23.9,24.3,4102700,24.26
2013-03-18,24.06,25.56,23.97,24.72,5780400,24.68
2013-03-11,24.07,24.76,23.42,24.34,4914000,24.3
2013-03-04,22.4,24.3,22.32,24.07,5927800,24.03
2013-02-25,22.44,22.96,21.35,22.51,5585200,22.47
2013-02-19,23.76,24.1,21.53,22.31,7959200,22.27
2013-02-11,23.12,24.66,22.89,23.66,5648700,23.62
2013-02-04,23.15,23.94,22.77,23.08,5343900,23.04
2013-01-28,21.85,24.29,21.11,23.35,11801000,23.31
2013-01-22,21.65,22.15,21.16,21.76,5500700,21.72
2013-01-14,21.,21.67,20.63,21.52,3867000,21.48
2013-01-07,20.59,21.41,20.5,20.95,3864800,20.92
2012-12-31,19.19,20.8,19.05,20.72,5911500,20.69
2012-12-24,19.76,20.,19.06,19.24,2813700,19.21
2012-12-17,18.83,20.3,18.8,19.75,6627300,19.72
2012-12-10,18.64,19.42,18.27,18.74,6000400,18.71
2012-12-03,19.56,19.76,18.3,18.85,5298300,18.67
2012-11-26,19.48,20.,18.94,19.46,4840400,19.28
2012-11-19,19.32,19.79,18.78,19.53,5482800,19.31
2012-11-12,21.25,21.36,17.71,18.9,11775000,18.69
2012-11-05,21.01,22.07,20.1,20.6,4838500,20.37
2012-10-31,20.9,22.3,20.62,21.04,4076700,20.8
2012-10-22,21.49,21.86,20.42,20.76,3697100,20.52
2012-10-15,19.99,22.03,19.77,21.48,5291000,21.24
2012-10-08,21.66,21.66,19.73,19.96,5796900,19.73
2012-10-01,20.8,22.32,20.5,21.65,8664400,21.4
2012-09-24,22.46,22.54,20.44,20.63,8179100,20.4
2012-09-17,21.99,22.79,21.29,22.37,6716900,22.12
2012-09-10,19.97,22.48,19.73,21.99,8686400,21.74
2012-09-04,19.,20.14,18.92,20.03,7169800,19.8
2012-08-27,19.04,19.2,18.46,18.99,3440800,18.77
2012-08-20,18.97,19.22,18.14,19.01,6322200,18.79
2012-08-13,18.03,19.06,17.9,18.98,5663700,18.76
2012-08-06,17.48,18.63,17.17,18.09,5691700,17.89
2012-07-30,18.65,18.89,16.93,17.35,7384600,17.12
2012-07-23,18.55,19.35,17.61,18.39,8818700,18.14
2012-07-16,18.71,19.17,18.09,18.88,7815800,18.63
2012-07-09,18.62,19.34,17.57,18.7,8558900,18.45
2012-07-02,18.45,18.81,18.11,18.76,6384200,18.51
2012-06-25,16.11,18.45,15.93,18.38,8582300,18.13
2012-06-18,15.65,16.96,15.65,16.41,6468300,16.19
2012-06-11,16.15,16.19,14.98,15.88,7295100,15.67
2012-06-04,15.16,15.99,14.37,15.97,9146700,15.76
2012-05-29,17.2,17.46,14.9,15.21,8443300,15.01
2012-05-21,16.02,17.24,15.63,17.01,6795700,16.78
2012-05-14,17.15,17.75,15.77,16.01,10138800,15.8
2012-05-07,16.56,17.59,16.08,17.13,7837300,16.9
2012-04-30,16.45,17.91,16.07,16.6,9766800,16.38
2012-04-23,15.59,16.69,14.83,16.51,11954500,16.25
2012-04-16,15.,15.62,14.48,15.38,7212500,15.14
2012-04-09,13.81,15.22,13.8,14.82,10052600,14.59
