Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,76.38,77.09,76.3,76.56,2665200,76.56
2014-02-18,76.15,76.58,75.04,76.15,2502100,76.15
2014-02-10,75.26,76.6,74.57,76.43,2483300,76.43
2014-02-03,74.53,75.29,71.89,75.12,3302500,75.12
2014-01-27,74.39,76.57,73.65,74.39,3665300,74.39
2014-01-21,78.6,78.8,74.12,74.13,3336500,74.13
2014-01-13,77.32,78.64,76.09,77.87,3040200,77.87
2014-01-06,76.95,77.73,75.85,77.68,2278100,77.68
2013-12-30,76.99,77.33,76.1,76.56,1306600,76.56
2013-12-23,76.96,77.39,76.44,77.05,1517400,77.05
2013-12-16,74.24,77.08,74.11,76.54,2982300,76.52
2013-12-09,75.62,75.78,72.88,74.01,2721900,73.99
2013-12-02,74.59,75.29,72.91,75.12,2087600,75.1
2013-11-25,75.,75.93,74.36,74.8,1943400,74.78
2013-11-18,74.52,74.99,73.54,74.65,2108600,74.63
2013-11-11,74.6,74.94,73.38,74.49,2559700,74.47
2013-11-04,72.64,74.64,71.7,74.6,2290900,74.58
2013-10-28,72.14,72.82,71.73,72.63,1840000,72.61
2013-10-21,72.23,72.5,71.49,72.11,2131100,72.09
2013-10-14,68.97,72.69,68.8,72.,3760700,71.98
2013-10-07,68.08,69.51,66.83,69.44,2352100,69.42
2013-09-30,69.33,69.79,67.49,68.52,2396700,68.5
2013-09-23,69.29,70.14,68.81,69.87,2243200,69.85
2013-09-16,70.41,70.94,69.57,69.57,3443000,69.52
2013-09-09,67.02,69.78,67.02,69.76,2150200,69.71
2013-09-03,66.13,67.59,65.61,66.83,1790700,66.78
2013-08-26,67.23,67.49,64.78,65.52,1683900,65.47
2013-08-19,66.5,67.54,66.05,67.34,1947500,67.29
2013-08-12,66.54,67.72,65.88,66.73,2040700,66.68
2013-08-05,67.1,67.98,66.78,66.99,1908300,66.94
2013-07-29,66.47,68.19,66.22,67.23,2297700,67.18
2013-07-22,68.75,68.88,66.53,66.72,2679400,66.67
2013-07-15,68.51,69.02,66.83,68.69,3534700,68.64
2013-07-08,64.95,69.,64.31,68.19,3898300,68.14
2013-07-01,63.74,65.15,63.16,64.6,2464500,64.56
2013-06-24,61.64,63.9,61.23,63.3,3254300,63.26
2013-06-17,63.,64.8,61.67,62.11,3756100,62.04
2013-06-10,62.22,62.83,61.17,62.52,2359000,62.45
2013-06-03,61.86,62.77,59.65,62.1,3518400,62.03
2013-05-28,62.72,63.21,61.82,61.82,2220000,61.75
2013-05-20,63.18,64.39,61.71,62.1,2771900,62.03
2013-05-13,61.68,63.34,61.57,63.25,3726700,63.18
2013-05-06,60.79,62.12,60.54,61.9,1878700,61.83
2013-04-29,60.,61.53,59.88,60.8,3268300,60.73
2013-04-22,59.12,60.92,58.49,59.94,3166000,59.87
2013-04-15,61.28,61.58,57.61,59.1,4228000,59.04
2013-04-08,60.53,62.12,60.19,61.56,2141600,61.49
2013-04-01,61.86,62.1,59.78,60.55,2855700,60.48
2013-03-25,61.8,62.23,60.72,62.15,2265000,62.08
2013-03-18,61.97,62.24,60.96,61.67,2694000,61.58
2013-03-11,61.95,62.9,61.82,62.65,2512800,62.56
2013-03-04,61.52,62.46,60.89,61.94,2133800,61.85
2013-02-25,61.51,61.99,59.88,61.57,2510800,61.48
2013-02-19,61.75,62.14,60.59,61.46,2699300,61.37
2013-02-11,60.78,61.9,60.33,61.68,2599900,61.59
2013-02-04,60.19,60.82,59.86,60.81,2204200,60.72
2013-01-28,60.83,61.49,59.5,60.47,3734200,60.38
2013-01-22,60.38,61.14,59.82,60.54,3317100,60.45
2013-01-14,59.76,61.01,59.22,60.51,2775700,60.42
2013-01-07,59.8,60.5,57.55,59.78,4099400,59.69
2012-12-31,54.83,58.49,54.57,58.09,3741400,58.
2012-12-24,55.99,56.2,54.94,55.02,1421900,54.94
2012-12-17,54.76,56.58,54.69,56.06,3333000,55.98
2012-12-10,53.52,55.21,53.24,54.52,3391000,54.44
2012-12-03,54.4,54.46,52.82,53.5,2871300,53.39
2012-11-26,53.04,54.07,52.05,53.97,3984000,53.86
2012-11-19,52.43,53.5,52.2,53.49,2339500,53.38
2012-11-12,52.06,52.55,51.32,51.99,3594600,51.89
2012-11-05,51.92,53.11,51.64,52.02,3879300,51.92
2012-10-31,52.54,53.45,51.66,51.95,5781800,51.85
2012-10-22,53.32,53.82,50.63,51.77,6623400,51.67
2012-10-15,56.05,56.99,52.55,53.34,6218700,53.24
2012-10-08,56.42,57.03,55.24,55.93,2940000,55.82
2012-10-01,55.15,57.15,55.15,56.46,2728200,56.35
2012-09-24,54.59,55.74,54.19,55.15,3871300,55.04
2012-09-17,54.68,56.11,54.55,54.9,3680000,54.77
2012-09-10,54.71,55.94,54.03,54.76,2843700,54.63
2012-09-04,53.67,55.13,52.57,55.06,2542500,54.93
2012-08-27,53.52,53.71,52.9,53.57,1801500,53.44
2012-08-20,53.77,54.22,52.87,53.3,2213000,53.17
2012-08-13,53.27,54.,53.1,53.79,2962500,53.66
2012-08-06,53.64,53.75,52.72,53.48,1814400,53.35
2012-07-30,52.89,53.87,52.2,53.36,3343800,53.23
2012-07-23,50.28,53.25,49.76,52.84,3737600,52.71
2012-07-16,50.59,52.32,49.8,51.14,3943200,51.02
2012-07-09,51.07,51.97,49.28,50.69,2871100,50.57
2012-07-02,52.08,52.7,50.98,51.37,1960700,51.25
2012-06-25,50.95,52.08,49.18,52.08,2708700,51.95
2012-06-18,51.31,53.,51.04,51.52,3283900,51.37
2012-06-11,51.79,52.05,50.47,51.69,3128700,51.54
2012-06-04,49.79,52.31,49.56,51.51,3422100,51.36
2012-05-29,53.15,53.69,49.82,49.82,3447900,49.67
2012-05-21,51.76,53.19,51.54,52.76,3378900,52.61
2012-05-14,53.2,54.03,51.34,51.57,3859800,51.42
2012-05-07,54.23,54.57,52.77,53.66,2938100,53.5
2012-04-30,54.56,55.,53.11,53.6,2064400,53.44
2012-04-23,52.53,54.8,52.16,54.69,2943900,54.53
2012-04-16,54.19,55.08,52.54,53.14,3419600,52.98
2012-04-09,54.43,54.89,52.56,53.88,2705100,53.72
2012-04-02,56.,56.45,54.9,55.12,2454200,54.96
2012-03-26,54.71,56.05,54.16,56.,2637700,55.84
2012-03-19,54.84,55.13,53.62,54.37,2096900,54.19
2012-03-12,53.5,55.17,53.19,55.,2525900,54.81
2012-03-05,53.08,53.64,52.04,53.35,2341800,53.17
2012-02-27,53.13,53.71,52.57,53.35,3066500,53.17
2012-02-21,52.82,53.61,52.63,53.32,2543500,53.14
2012-02-13,52.,52.71,51.06,52.43,3062400,52.25
2012-02-06,52.52,52.98,51.31,51.53,3219100,51.36
2012-01-30,51.9,53.6,51.5,52.87,3706200,52.69
2012-01-23,51.4,53.2,51.36,52.26,3419900,52.08
2012-01-17,50.99,51.79,50.62,51.34,2576700,51.17
2012-01-09,48.32,50.9,47.9,50.49,2791600,50.32
2012-01-03,48.04,48.9,47.5,48.33,2658300,48.17
2011-12-27,47.78,47.97,46.72,47.04,1700300,46.88
2011-12-19,46.69,48.13,46.02,47.78,2942500,47.59
2011-12-12,46.26,47.06,45.06,46.37,4448500,46.19
2011-12-05,48.45,48.47,45.77,46.92,3530300,46.74
2011-11-28,46.02,49.,45.73,47.5,3867900,47.32
2011-11-21,46.49,46.64,44.39,44.56,2316000,44.39
2011-11-14,49.5,49.86,46.54,47.32,2949500,47.14
2011-11-07,48.57,50.15,47.9,49.71,3284100,49.52
2011-10-31,50.13,50.5,46.42,48.75,4458200,48.56
2011-10-24,46.89,50.97,46.75,50.86,4841500,50.66
2011-10-17,45.42,47.28,43.69,46.91,4243100,46.73
2011-10-10,43.03,45.9,43.,45.38,3184200,45.2
2011-10-03,41.73,42.84,39.34,42.28,5900700,42.12
2011-09-26,43.21,45.15,41.94,41.94,4366700,41.78
2011-09-19,45.26,46.78,41.99,42.71,4745000,42.52
2011-09-12,41.74,46.91,41.44,45.94,6585200,45.74
2011-09-06,41.97,44.34,41.36,42.59,4941400,42.4
2011-08-29,43.51,46.14,42.82,43.05,4653200,42.86
2011-08-22,41.76,43.51,39.89,42.89,4806700,42.7
2011-08-15,44.53,45.2,40.51,40.72,4404100,40.54
2011-08-08,42.9,44.5,40.28,44.16,8977500,43.96
2011-08-01,49.59,49.84,43.37,44.5,7046200,44.3
2011-07-25,51.15,51.89,47.8,49.11,5030900,48.89
2011-07-18,52.35,53.54,51.16,51.69,4271600,51.46
2011-07-11,53.82,54.24,51.71,52.62,3249700,52.39
2011-07-05,54.32,55.66,53.88,54.54,2935100,54.3
2011-06-27,51.12,55.25,50.75,54.52,3861900,54.28
2011-06-20,51.71,53.46,51.06,51.31,4725100,51.08
2011-06-13,51.33,52.63,50.83,51.84,6686500,51.59
2011-06-06,51.69,52.44,51.38,51.47,2795600,51.22
2011-05-31,54.86,55.03,51.78,51.89,3519200,51.64
2011-05-23,54.01,54.67,52.82,54.44,2621800,54.18
2011-05-16,53.71,55.73,53.04,54.66,3433200,54.4
2011-05-09,54.18,55.18,53.33,53.86,2592900,53.6
2011-05-02,55.61,55.82,53.68,54.22,3229100,53.96
2011-04-25,53.27,56.09,52.34,55.24,4324100,54.97
2011-04-18,52.13,54.87,51.19,53.18,3608900,52.92
2011-04-11,51.48,52.91,51.22,52.71,2669200,52.46
2011-04-04,52.57,52.7,51.29,51.55,2138200,51.3
2011-03-28,51.94,53.01,50.9,52.57,2162100,52.32
