Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,82.81,83.37,82.42,82.46,1503100,82.46
2014-02-18,81.03,83.03,80.06,82.81,1527200,82.81
2014-02-10,82.56,83.97,78.45,80.83,2080200,80.83
2014-02-03,78.37,83.15,77.14,82.76,1812900,82.76
2014-01-27,79.04,81.82,76.69,79.78,2241500,79.78
2014-01-21,81.46,81.46,78.99,78.99,2142400,78.99
2014-01-13,83.52,84.08,80.55,80.91,1398700,80.91
2014-01-06,88.96,89.,83.6,84.02,1470000,84.02
2013-12-30,89.,90.76,88.47,88.58,817000,88.58
2013-12-23,87.98,89.26,87.96,88.95,717300,88.95
2013-12-16,83.23,88.5,82.82,87.75,1460800,87.75
2013-12-09,85.48,86.87,81.69,82.45,1222600,82.45
2013-12-02,86.34,87.08,83.52,85.06,1172900,85.06
2013-11-25,86.46,88.23,85.24,87.27,948000,87.27
2013-11-18,86.27,86.34,84.4,85.87,1500800,85.87
2013-11-11,85.19,86.46,83.6,85.43,744100,85.43
2013-11-04,87.89,88.18,83.73,85.36,1347400,85.36
2013-10-28,85.77,89.3,83.51,87.8,1777900,87.8
2013-10-21,82.46,85.89,82.12,85.66,1082200,85.66
2013-10-14,80.29,82.51,78.78,82.47,828400,82.47
2013-10-07,80.4,80.79,77.27,80.54,989300,80.54
2013-09-30,84.03,84.69,80.55,81.27,1228500,81.27
2013-09-23,81.4,85.73,79.7,84.84,1288400,84.84
2013-09-16,79.03,82.62,78.42,81.8,1537300,81.8
2013-09-09,77.93,79.03,77.38,77.83,1182200,77.83
2013-09-03,78.73,79.29,76.34,77.55,1545300,77.55
2013-08-26,84.71,84.71,76.98,77.51,731700,77.51
2013-08-19,80.23,81.05,79.15,80.56,687900,80.56
2013-08-12,82.33,83.65,80.25,80.34,887700,80.34
2013-08-05,82.44,83.49,81.9,83.13,818300,83.13
2013-07-29,84.76,85.46,79.1,82.19,1461700,82.19
2013-07-22,85.7,89.58,83.62,85.06,659400,85.06
2013-07-15,86.32,86.32,83.8,84.31,972500,84.31
2013-07-08,81.2,85.09,80.98,85.07,1100300,85.07
2013-07-01,77.6,81.47,77.37,81.12,960700,81.12
2013-06-24,74.88,77.89,74.13,77.24,973400,77.24
2013-06-17,77.3,78.3,74.09,75.42,1349300,75.42
2013-06-10,76.33,76.85,72.77,76.38,1901800,76.38
2013-06-03,78.8,79.66,74.15,76.39,1720100,76.39
2013-05-28,80.04,80.97,78.76,78.87,1141500,78.87
2013-05-20,78.78,80.28,78.05,79.53,1313900,79.53
2013-05-13,78.51,79.67,77.33,78.85,1419600,78.85
2013-05-06,79.,79.39,75.67,78.68,1920200,78.68
2013-04-29,79.11,80.44,78.08,79.21,1382500,79.21
2013-04-22,77.98,80.,77.35,79.21,1158200,79.21
2013-04-15,80.42,80.72,76.26,77.85,1793700,77.85
2013-04-08,78.67,81.43,78.11,81.03,1085800,81.03
2013-04-01,79.07,79.44,76.39,78.56,1453300,78.56
2013-03-25,79.57,80.34,77.59,78.74,1497000,78.74
2013-03-18,76.61,79.42,75.67,79.13,1493500,79.13
2013-03-11,77.86,79.08,77.17,77.32,1557200,77.32
2013-03-04,74.86,78.41,74.55,77.9,2080400,77.9
2013-02-25,70.93,74.99,69.79,74.88,1472600,74.88
2013-02-19,70.55,71.16,68.58,70.47,1148900,70.47
2013-02-11,71.45,72.1,67.89,70.3,1775200,70.3
2013-02-04,70.04,71.53,69.19,71.47,1337600,71.47
2013-01-28,69.33,70.37,67.54,70.31,1090700,70.31
2013-01-22,67.84,69.24,67.31,69.,815400,69.
2013-01-14,68.06,68.31,66.41,67.72,1243100,67.72
2013-01-07,65.99,68.44,65.33,68.16,1407500,68.16
2012-12-31,62.,66.51,61.79,66.08,1138900,66.08
2012-12-24,62.97,63.65,61.46,61.89,761200,61.89
2012-12-17,61.25,64.5,61.05,63.15,2830000,63.15
2012-12-10,61.06,62.18,59.99,60.82,1338600,60.82
2012-12-03,60.5,63.2,59.86,61.09,1551900,61.09
2012-11-26,57.83,60.78,57.16,60.41,1228200,60.41
2012-11-19,55.83,58.23,55.42,58.2,954600,58.2
2012-11-12,56.51,57.36,54.89,55.18,1226800,55.18
2012-11-05,59.89,60.25,55.33,56.45,2457200,56.45
2012-10-31,58.79,61.61,58.19,59.88,1554700,59.88
2012-10-22,60.39,60.98,57.93,58.19,983100,58.19
2012-10-15,60.76,62.36,60.14,60.44,908200,60.44
2012-10-08,61.15,61.31,59.51,60.74,901500,60.74
2012-10-01,60.19,61.56,59.48,61.25,977400,61.25
2012-09-24,59.52,59.88,57.91,59.6,1537300,59.6
2012-09-17,58.82,60.48,58.14,59.9,1172000,59.9
