Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,96.07,100.45,95.96,99.72,1768200,99.72
2014-02-18,97.47,98.01,94.44,95.54,675200,95.54
2014-02-10,97.47,99.5,96.3,97.26,516300,96.81
2014-02-03,109.68,115.3,94.29,97.76,1193100,97.31
2014-01-27,113.47,113.47,109.08,110.,544500,109.49
2014-01-21,119.91,120.33,113.22,113.3,420300,112.77
2014-01-13,122.49,123.21,118.26,118.97,451100,118.42
2014-01-06,122.44,124.59,120.47,122.98,418100,122.41
2013-12-30,123.16,123.24,120.37,121.95,350200,121.38
2013-12-23,121.11,124.17,120.69,123.42,281900,122.85
2013-12-16,115.59,120.94,113.76,120.61,466200,120.05
2013-12-09,119.7,120.92,115.19,115.19,475600,114.66
2013-12-02,116.81,119.58,114.47,119.44,258900,118.89
2013-11-25,116.5,117.69,115.55,116.85,199100,116.31
2013-11-18,113.92,117.6,113.38,116.56,391200,115.62
2013-11-11,111.38,113.45,110.47,113.43,369800,112.52
2013-11-04,108.98,114.,106.55,111.45,585400,110.55
2013-10-28,108.63,110.15,107.27,108.49,325500,107.62
2013-10-21,106.72,109.14,105.43,108.45,224100,107.58
2013-10-14,103.97,107.93,103.59,106.57,262600,105.71
2013-10-07,102.77,104.62,99.4,104.51,254600,103.67
2013-09-30,103.41,105.52,102.36,103.57,352100,102.74
2013-09-23,103.43,105.01,102.25,104.17,199000,103.33
2013-09-16,106.12,108.9,103.41,103.87,342600,103.03
2013-09-09,101.14,105.44,100.75,104.86,399100,104.02
2013-09-03,100.65,101.78,98.69,100.74,236900,99.93
2013-08-26,104.21,104.88,99.15,99.48,219400,98.68
2013-08-19,101.91,104.49,101.08,104.12,262900,102.87
2013-08-12,106.41,108.14,101.86,102.28,298600,101.05
2013-08-05,106.98,107.83,103.52,107.11,318100,105.82
2013-07-29,102.85,107.61,102.29,107.04,465600,105.75
2013-07-22,106.99,112.1,102.97,103.12,424700,101.88
2013-07-15,107.51,108.03,105.87,107.,394500,105.72
2013-07-08,99.81,108.25,99.4,107.59,616100,106.3
2013-07-01,97.97,99.45,97.67,99.22,356700,98.03
2013-06-24,95.01,98.51,93.81,97.45,338000,96.28
2013-06-17,99.37,99.93,94.55,95.69,371800,94.54
2013-06-10,99.55,99.87,97.49,98.76,310200,97.57
2013-06-03,98.38,99.76,95.73,99.24,545400,98.05
2013-05-28,98.36,99.84,97.12,98.14,547000,96.96
2013-05-20,98.95,101.47,96.24,97.59,512300,96.42
2013-05-13,92.45,100.92,92.14,98.98,630100,97.39
2013-05-06,90.,92.98,89.63,92.46,541000,90.98
2013-04-29,88.26,91.91,86.49,90.,641400,88.56
2013-04-22,84.98,89.33,84.5,87.89,365000,86.48
2013-04-15,85.69,86.17,84.4,84.72,407900,83.36
2013-04-08,82.64,86.69,82.29,86.,375900,84.62
2013-04-01,83.71,85.,82.59,82.75,395800,81.42
2013-03-25,81.04,83.73,80.34,83.65,272600,82.31
2013-03-18,81.16,83.05,80.07,80.82,314700,79.52
2013-03-11,79.89,82.2,79.81,81.98,562300,80.67
2013-03-04,80.27,81.3,79.88,79.96,472600,78.68
2013-02-25,81.47,82.25,79.9,80.46,445200,79.17
2013-02-19,81.92,83.25,81.07,81.38,544400,79.68
2013-02-11,84.02,85.45,77.6,81.75,1561200,80.04
2013-02-04,82.6,85.,82.12,84.49,442500,82.73
2013-01-28,80.32,83.84,79.53,82.71,603400,80.98
2013-01-22,79.83,81.2,79.13,79.9,398900,78.23
2013-01-14,80.69,81.59,79.4,79.98,304600,78.31
2013-01-07,77.71,81.29,77.71,80.62,414200,78.94
2012-12-31,78.02,80.05,77.25,78.17,506900,76.54
2012-12-24,81.92,83.05,78.,78.27,367400,76.64
2012-12-17,80.81,84.08,80.09,82.28,521000,80.56
2012-12-10,80.8,82.64,79.48,80.5,432200,78.82
2012-12-03,79.48,81.47,78.43,81.05,410400,79.36
2012-11-26,77.21,80.27,76.62,79.18,672500,77.53
2012-11-19,75.08,78.06,73.75,78.06,567000,76.06
2012-11-12,81.65,82.08,70.38,74.98,1026400,73.06
2012-11-05,82.21,83.89,80.8,81.33,396700,79.25
2012-10-31,81.91,82.75,78.3,81.98,616000,79.88
2012-10-22,80.52,83.43,77.65,81.58,514400,79.49
2012-10-15,82.65,83.09,80.56,80.84,289700,78.77
2012-10-08,82.52,82.99,80.46,82.01,347300,79.91
2012-10-01,80.01,83.3,79.82,82.95,350300,80.82
2012-09-24,82.54,82.54,78.94,79.62,371800,77.58
2012-09-17,83.85,84.43,82.49,82.55,445100,80.43
2012-09-10,81.75,86.46,81.05,84.16,507400,82.
2012-09-04,80.81,83.,80.64,82.25,473000,80.14
2012-08-27,82.43,83.63,80.47,80.95,342300,78.88
2012-08-20,81.98,83.14,81.09,82.33,544300,79.84
2012-08-13,78.77,85.79,78.02,82.14,1085700,79.66
2012-08-06,74.5,81.26,72.59,79.02,648500,76.63
2012-07-30,71.97,83.2,69.21,74.49,1377600,72.24
2012-07-23,70.06,72.52,68.13,72.25,324000,70.07
2012-07-16,70.19,72.96,69.42,71.07,291100,68.92
2012-07-09,70.45,71.6,68.96,70.45,276100,68.32
2012-07-02,71.5,72.28,70.02,70.61,460400,68.48
2012-06-25,67.6,71.31,66.87,71.17,474200,69.02
2012-06-18,66.89,69.19,66.64,68.44,491100,66.37
2012-06-11,67.45,68.97,66.56,67.39,726400,65.36
